date,open,close,high,low,volume
2025-12-24,4.440,4.490,4.500,4.430,149183.000
2025-12-25,4.500,4.490,4.510,4.470,109567.000
2025-12-26,4.500,4.500,4.530,4.480,133946.000
2025-12-29,4.500,4.490,4.520,4.480,128409.000
2025-12-30,4.480,4.440,4.490,4.430,146190.000
2025-12-31,4.460,4.430,4.460,4.410,102748.000
2026-01-05,4.430,4.450,4.450,4.410,171043.000
2026-01-06,4.450,4.530,4.540,4.420,221987.000
2026-01-07,4.560,4.500,4.570,4.500,192975.000
2026-01-08,4.510,4.510,4.530,4.480,184927.000
2026-01-09,4.510,4.510,4.530,4.480,178048.000
2026-01-12,4.510,4.550,4.550,4.500,235260.000
2026-01-13,4.550,4.520,4.550,4.500,227569.000
2026-01-14,4.520,4.480,4.550,4.460,247869.000
2026-01-15,4.490,4.490,4.510,4.460,144530.000
2026-01-16,4.500,4.450,4.500,4.430,190134.000
2026-01-19,4.440,4.460,4.490,4.430,144253.000
2026-01-20,4.470,4.510,4.510,4.450,192801.000
2026-01-21,4.500,4.490,4.510,4.460,194219.000
2026-01-22,4.500,4.590,4.600,4.480,361524.000
2026-01-23,4.600,4.710,4.770,4.580,472132.000
2026-01-26,4.720,4.670,4.730,4.640,317719.000
2026-01-27,4.640,4.640,4.670,4.560,219614.000
2026-01-28,4.620,4.670,4.710,4.590,261076.000
2026-01-29,4.670,4.710,4.730,4.630,246183.000
2026-01-30,4.680,4.650,4.720,4.570,224317.000
2026-02-02,4.600,4.460,4.620,4.450,430992.000
2026-02-03,4.500,4.550,4.570,4.480,290019.000
2026-02-04,4.550,4.770,4.770,4.540,503406.000
2026-02-05,4.750,4.690,4.760,4.660,299526.000
2026-02-06,4.690,4.650,4.720,4.640,260185.000
2026-02-09,4.710,4.760,4.850,4.700,404825.000
2026-02-10,4.780,4.710,4.790,4.700,223071.000
2026-02-11,4.710,4.790,4.840,4.690,349982.000
2026-02-12,4.740,4.670,4.760,4.660,324425.000
2026-02-13,4.670,4.550,4.680,4.540,339297.000
2026-02-24,4.610,4.710,4.730,4.590,336298.000
2026-02-25,4.700,5.180,5.180,4.680,1072319.000
2026-02-26,5.180,5.040,5.270,5.000,1420602.000
2026-02-27,5.010,5.030,5.060,4.970,735121.000
2026-03-02,4.950,4.930,5.000,4.880,602257.000
2026-03-03,4.940,4.830,4.980,4.800,558166.000
2026-03-04,4.760,4.780,4.860,4.740,418796.000
2026-03-05,4.870,4.810,4.910,4.780,444376.000
2026-03-06,4.790,4.840,4.850,4.750,403301.000
2026-03-09,4.880,4.840,4.900,4.790,486680.000
2026-03-10,4.850,4.860,4.910,4.800,424979.000
2026-03-11,4.850,4.940,4.940,4.780,553002.000
2026-03-12,4.900,4.940,4.950,4.870,415989.000
2026-03-13,4.910,4.870,4.960,4.850,411411.000
2026-03-16,4.850,4.820,4.910,4.780,333979.000
2026-03-17,4.840,4.810,4.920,4.810,308690.000
2026-03-18,4.820,4.740,4.850,4.710,283412.000
2026-03-19,4.710,4.630,4.720,4.610,307303.000
2026-03-20,4.680,4.550,4.690,4.550,327921.000
2026-03-23,4.510,4.380,4.540,4.350,453527.000
2026-03-24,4.430,4.450,4.460,4.360,263144.000
2026-03-25,4.460,4.530,4.570,4.440,280612.000
2026-03-26,4.530,4.520,4.580,4.500,208316.000
2026-03-27,4.490,4.540,4.550,4.470,168411.000
2026-03-30,4.490,4.540,4.540,4.430,186584.000
2026-03-31,4.530,4.450,4.570,4.450,214150.000
2026-04-01,4.530,4.500,4.540,4.470,171161.000
2026-04-02,4.490,4.450,4.520,4.420,194117.000
2026-04-03,4.450,4.350,4.460,4.340,199095.000
2026-04-07,4.350,4.390,4.410,4.350,148962.000
2026-04-08,4.450,4.470,4.480,4.420,206008.000
2026-04-09,4.450,4.430,4.470,4.420,149691.000
2026-04-10,4.450,4.490,4.530,4.440,177422.000
2026-04-13,4.460,4.540,4.550,4.450,192787.000
2026-04-14,4.550,4.540,4.570,4.500,165680.000
2026-04-15,4.530,4.490,4.550,4.490,129086.000
2026-04-16,4.480,4.540,4.560,4.480,168800.000
2026-04-17,4.540,4.530,4.560,4.480,126055.000
2026-04-20,4.520,4.530,4.570,4.480,146635.000
2026-04-21,4.540,4.530,4.560,4.520,134400.000
2026-04-22,4.520,4.510,4.550,4.490,131740.000
2026-04-23,4.510,4.470,4.520,4.430,169229.000
2026-04-24,4.450,4.450,4.490,4.440,134731.000
2026-04-27,4.430,4.440,4.470,4.420,135817.000
2026-04-28,4.340,4.030,4.400,4.000,727483.000
2026-04-29,4.010,4.060,4.090,4.010,270496.000
2026-04-30,4.060,4.030,4.080,4.020,207822.000
2026-05-06,4.040,4.030,4.080,3.990,297358.000
2026-05-07,4.030,4.040,4.050,4.010,206052.000
2026-05-08,4.020,4.030,4.050,4.010,177239.000
2026-05-11,4.050,4.020,4.050,4.010,249766.000
2026-05-12,4.020,3.900,4.040,3.890,414506.000
2026-05-13,3.890,3.830,3.890,3.810,327249.000
2026-05-14,3.830,3.850,3.890,3.760,307332.000
2026-05-15,3.820,3.730,3.840,3.710,266465.000
2026-05-18,3.720,3.710,3.720,3.660,182508.000
2026-05-19,3.700,3.740,3.750,3.690,133767.000
2026-05-20,3.720,3.640,3.740,3.620,201900.000
2026-05-21,3.690,4.000,4.000,3.690,581068.000
2026-05-22,4.000,4.400,4.400,3.860,1257726.000
2026-05-25,4.410,4.600,4.830,4.300,2009093.000
2026-05-26,4.370,4.500,4.730,4.360,1602110.000
2026-05-27,4.380,4.450,4.640,4.370,1143299.000
2026-05-28,4.370,4.380,4.550,4.310,844683.000
2026-05-29,4.400,4.050,4.430,4.010,905492.000
2026-06-01,4.060,4.160,4.300,4.020,685882.000
2026-06-02,4.190,4.100,4.200,4.080,422885.000
2026-06-03,4.110,4.110,4.240,4.080,507188.000
2026-06-04,4.090,4.200,4.270,4.050,701996.000
2026-06-05,4.160,4.380,4.540,4.070,1282677.000
2026-06-08,4.200,4.310,4.490,4.200,828113.000
2026-06-09,4.340,4.400,4.410,4.230,686250.000
2026-06-10,4.350,4.230,4.360,4.150,575985.000
2026-06-11,4.180,4.080,4.250,4.050,556920.000
2026-06-12,4.110,4.000,4.150,3.890,591900.000
2026-06-15,4.000,4.110,4.190,3.990,510288.000
2026-06-16,4.100,4.520,4.520,4.050,428470.000
2026-06-17,4.550,4.630,4.750,4.420,1726157.000
2026-06-18,4.460,4.300,4.490,4.260,1065364.000
2026-06-22,4.380,4.730,4.730,4.320,915656.000
2026-06-23,4.690,4.670,4.830,4.620,1550582.000
2026-06-24,4.650,4.630,4.800,4.560,1117811.000
2026-06-25,4.670,4.770,4.870,4.620,1143986.000
2026-06-26,4.680,4.800,5.110,4.550,1531473.000
