date,open,close,high,low,volume
2025-12-10,76.640,77.230,77.800,75.800,118442.000
2025-12-11,77.400,75.950,77.600,75.810,136310.000
2025-12-12,76.020,77.020,77.410,75.360,167417.000
2025-12-15,76.250,75.150,76.790,74.900,136757.000
2025-12-16,75.120,73.720,75.390,73.200,130609.000
2025-12-17,73.660,75.060,75.420,73.000,122142.000
2025-12-18,74.480,76.490,77.500,74.330,218260.000
2025-12-19,76.930,75.850,77.130,75.810,141048.000
2025-12-22,76.150,77.160,77.580,76.140,166248.000
2025-12-23,77.000,76.510,77.480,76.160,147014.000
2025-12-24,76.420,77.920,77.980,76.300,202915.000
2025-12-25,77.880,79.170,79.470,77.360,246130.000
2025-12-26,79.780,80.220,82.000,79.220,296545.000
2025-12-29,79.800,78.810,80.790,78.620,235586.000
2026-01-15,86.690,86.690,86.690,86.690,120369.000
2026-01-16,91.990,86.040,91.990,83.850,990715.000
2026-01-19,85.010,84.500,86.360,82.950,472558.000
2026-01-20,83.870,82.050,85.300,81.400,400153.000
2026-01-21,81.110,86.360,88.000,81.110,617493.000
2026-01-22,87.600,85.020,87.990,84.740,406348.000
2026-01-23,85.010,87.920,88.230,84.680,520239.000
2026-01-26,87.930,84.290,87.950,84.030,407318.000
2026-01-27,83.830,85.800,86.400,82.120,381499.000
2026-01-28,86.110,87.910,89.110,86.110,495276.000
2026-01-29,87.280,84.260,87.860,84.080,364456.000
2026-01-30,83.390,84.110,85.380,81.790,311682.000
2026-02-02,83.080,79.780,83.850,79.760,333076.000
2026-02-03,81.100,81.290,81.300,79.690,211188.000
2026-02-04,80.300,78.800,80.350,77.800,269931.000
2026-02-05,77.530,77.480,78.200,76.500,177518.000
2026-02-06,76.880,76.560,77.560,76.020,166903.000
2026-02-09,77.700,78.000,78.070,77.090,175759.000
2026-02-10,77.990,77.940,78.930,77.550,148525.000
2026-02-11,77.790,77.310,77.970,77.210,120237.000
2026-02-12,77.410,78.510,78.660,77.410,163530.000
2026-02-13,77.860,77.490,78.850,77.490,136795.000
2026-02-24,78.280,78.830,79.150,77.600,163786.000
