date,open,close,high,low,volume
2025-12-24,14.700,14.870,14.930,14.640,162596.000
2025-12-25,14.840,14.930,14.980,14.710,149961.000
2025-12-26,14.920,14.970,15.040,14.850,146326.000
2025-12-29,14.960,14.900,15.070,14.840,115147.000
2025-12-30,14.820,14.880,15.040,14.760,114241.000
2025-12-31,14.970,14.870,15.000,14.760,106029.000
2026-01-05,14.940,15.280,15.280,14.940,234947.000
2026-01-06,15.400,15.470,15.580,15.320,257210.000
2026-01-07,15.800,15.420,15.880,15.360,278920.000
2026-01-08,15.330,15.430,15.590,15.320,205294.000
2026-01-09,15.430,15.630,15.730,15.350,262520.000
2026-01-12,15.640,15.920,15.920,15.620,292475.000
2026-01-13,15.940,15.380,15.990,15.350,286649.000
2026-01-14,15.420,15.550,15.820,15.380,280892.000
2026-01-15,15.410,15.860,16.050,15.360,414643.000
2026-01-16,16.000,16.670,16.970,15.810,676568.000
2026-01-19,16.580,17.100,17.540,16.280,587437.000
2026-01-20,16.730,16.850,17.450,16.660,505490.000
2026-01-21,16.770,18.540,18.540,16.680,473255.000
2026-01-22,19.460,18.430,20.390,18.240,1386434.000
2026-01-23,18.540,18.840,19.010,18.090,935809.000
2026-01-26,18.150,17.250,18.350,17.060,774036.000
2026-01-27,17.120,17.950,18.190,17.000,645715.000
2026-01-28,17.780,17.940,18.680,17.700,668062.000
2026-01-29,17.660,17.380,18.390,17.310,563721.000
2026-01-30,17.180,17.500,17.920,17.130,410449.000
2026-02-02,17.050,16.990,17.520,16.800,348538.000
2026-02-03,17.390,17.450,17.490,16.990,315291.000
2026-02-04,17.270,17.230,17.500,16.940,252757.000
2026-02-05,16.920,16.680,16.920,16.430,281283.000
2026-02-06,16.500,16.500,16.760,16.380,182044.000
2026-02-09,16.710,16.890,16.980,16.680,230076.000
2026-02-10,16.830,16.660,16.940,16.610,158815.000
2026-02-11,16.540,16.460,16.680,16.440,130832.000
2026-02-12,16.560,16.630,16.710,16.480,165989.000
2026-02-13,16.510,16.510,16.850,16.460,165142.000
2026-02-24,16.690,16.930,17.080,16.620,205228.000
2026-02-25,16.950,17.130,17.200,16.810,230571.000
2026-02-26,17.150,17.260,17.340,17.010,236422.000
2026-02-27,16.990,17.170,17.170,16.810,167405.000
2026-03-02,16.700,16.580,16.970,16.490,230176.000
2026-03-03,16.570,15.480,16.780,15.460,291191.000
2026-03-04,15.200,15.620,15.980,15.200,170833.000
2026-03-05,15.960,16.070,16.290,15.830,200672.000
2026-03-06,15.970,16.160,16.220,15.900,110128.000
2026-03-09,15.800,16.090,16.150,15.510,148142.000
2026-03-10,16.280,16.340,16.560,16.250,144104.000
