date,open,close,high,low,volume
2025-12-24,21.940,22.340,22.410,21.940,28688.000
2025-12-25,22.280,22.800,23.100,22.200,56379.000
2025-12-26,22.780,22.830,23.050,22.610,43701.000
2025-12-29,22.800,22.990,23.180,22.690,37164.000
2025-12-30,22.980,22.670,22.990,22.650,34121.000
2025-12-31,22.720,23.090,23.240,22.520,46991.000
2026-01-05,23.210,23.360,23.420,22.960,46272.000
2026-01-06,23.370,23.330,23.540,23.270,51663.000
2026-01-07,23.460,23.230,23.570,23.160,42941.000
2026-01-08,23.200,23.680,24.100,23.060,76056.000
2026-01-09,23.620,24.130,24.460,23.580,82120.000
2026-01-12,24.460,25.350,25.360,24.170,138764.000
2026-01-13,25.470,24.630,25.480,24.600,102957.000
2026-01-14,24.480,24.680,25.400,24.420,106495.000
2026-01-15,24.700,24.330,24.880,24.170,55195.000
2026-01-16,24.350,24.520,24.630,24.060,52560.000
2026-01-19,24.500,24.360,24.600,24.180,38804.000
2026-01-20,24.380,23.750,24.440,23.560,45307.000
2026-01-21,23.600,23.780,23.970,23.480,35039.000
2026-01-22,23.870,23.940,24.040,23.740,37813.000
2026-01-23,23.860,24.000,24.070,23.780,38315.000
2026-01-26,23.990,22.900,24.000,22.720,69225.000
2026-01-27,22.900,23.090,23.090,22.320,37321.000
2026-01-28,23.050,22.600,23.050,22.570,38456.000
2026-01-29,22.600,22.260,22.770,22.180,35340.000
2026-01-30,22.270,22.010,22.450,21.970,36718.000
2026-02-02,22.200,21.700,22.220,21.640,32528.000
2026-02-03,21.750,21.990,22.000,21.730,27434.000
2026-02-04,21.910,22.600,22.700,21.870,44365.000
2026-02-05,22.400,22.620,22.880,22.170,32918.000
2026-02-06,22.650,22.610,22.850,22.330,29046.000
2026-02-09,22.640,22.830,22.890,22.640,19193.000
2026-02-10,22.980,22.780,23.000,22.760,18161.000
2026-02-11,22.790,22.520,22.810,22.510,17926.000
2026-02-12,22.520,22.430,22.630,22.330,18961.000
2026-02-13,22.430,22.470,22.780,22.400,20685.000
2026-02-24,22.510,23.090,23.150,22.510,33570.000
2026-02-25,23.090,22.870,23.220,22.840,25796.000
