date,open,close,high,low,volume
2025-12-24,28.700,29.750,30.150,28.460,171564.000
2025-12-25,30.500,32.730,32.730,30.000,253012.000
2025-12-26,34.000,36.000,36.000,32.150,479794.000
2025-12-29,35.640,33.500,35.650,32.900,363236.000
2025-12-30,33.170,31.510,33.490,31.340,260850.000
2025-12-31,31.900,34.660,34.660,31.900,349469.000
2026-01-05,36.000,35.900,36.990,33.850,478194.000
2026-01-06,34.650,34.790,35.300,33.010,332625.000
2026-01-07,34.500,35.310,36.240,33.100,307396.000
2026-01-08,34.410,37.080,38.190,33.680,397943.000
2026-01-09,37.100,39.970,40.790,36.500,405460.000
2026-01-12,41.680,41.980,43.880,39.600,343080.000
2026-01-13,40.770,37.780,40.980,37.780,264530.000
2026-01-14,38.000,39.350,41.470,36.780,353004.000
2026-01-15,37.160,35.420,37.320,35.420,163204.000
2026-01-16,35.050,35.650,36.880,34.550,207258.000
2026-01-19,35.260,36.460,37.430,35.260,162092.000
2026-01-20,36.350,33.250,36.660,32.840,226401.000
2026-01-21,33.060,32.670,33.380,32.380,137345.000
2026-01-22,32.710,32.540,33.250,32.280,163297.000
2026-01-23,32.800,34.350,34.430,32.720,238741.000
2026-01-26,34.250,32.030,34.250,31.680,181672.000
2026-01-27,31.560,32.060,32.300,30.940,104240.000
2026-01-28,33.500,33.640,35.270,33.320,309476.000
2026-01-29,32.880,32.660,33.800,32.180,206175.000
2026-01-30,32.230,35.930,35.930,31.870,236928.000
2026-02-02,37.800,37.200,38.880,36.200,426149.000
2026-02-03,37.190,37.580,38.900,36.570,308253.000
2026-02-04,36.880,37.110,38.210,36.370,233554.000
2026-02-05,36.000,36.360,37.100,35.880,148028.000
2026-02-06,36.120,40.000,40.000,36.060,320830.000
2026-02-09,40.160,40.560,41.240,39.310,369696.000
2026-02-10,40.290,43.760,44.490,40.080,368958.000
2026-02-11,42.500,41.670,45.080,41.600,328372.000
2026-02-12,42.880,42.760,44.480,40.230,286968.000
2026-02-13,41.660,39.650,42.900,39.580,221352.000
2026-02-24,41.320,43.620,43.620,41.260,153899.000
2026-02-25,44.100,42.890,45.570,42.680,279375.000
2026-02-26,43.900,43.510,45.990,43.260,262242.000
2026-02-27,41.140,44.580,45.330,41.140,252013.000
2026-03-02,44.380,47.020,47.500,44.100,306346.000
2026-03-03,46.620,43.580,47.410,43.500,213437.000
2026-03-04,42.700,42.860,44.450,42.460,136857.000
2026-03-05,44.000,43.820,46.820,43.310,175830.000
2026-03-06,43.950,40.740,43.950,40.480,202510.000
2026-03-09,39.010,39.780,39.870,37.750,156128.000
2026-03-10,40.250,43.760,43.760,40.160,203909.000
2026-03-11,45.100,44.860,48.100,44.680,296457.000
2026-03-12,44.500,43.950,46.880,43.370,205553.000
2026-03-13,43.500,42.130,44.380,42.030,142021.000
2026-03-16,41.970,40.980,42.690,40.500,111588.000
2026-03-17,41.060,37.940,41.300,37.780,148718.000
2026-03-18,38.470,39.190,39.300,38.010,103835.000
2026-03-19,38.330,37.800,38.750,37.610,80262.000
2026-03-20,39.000,36.900,39.950,36.800,160631.000
2026-03-23,35.880,34.880,37.160,34.400,114787.000
2026-03-24,35.800,36.350,36.640,34.510,137166.000
2026-03-25,37.500,39.990,39.990,37.410,218888.000
2026-03-26,40.320,39.800,40.670,39.200,161123.000
2026-03-27,38.620,39.300,39.900,37.770,120376.000
2026-03-30,38.680,43.230,43.230,38.590,191921.000
2026-03-31,42.900,43.130,44.400,42.500,232888.000
2026-04-01,44.480,42.560,44.600,42.100,163559.000
2026-04-02,42.170,42.870,44.750,42.110,219577.000
2026-04-03,43.730,43.300,44.850,42.870,230960.000
2026-04-07,43.330,43.460,44.600,42.970,152104.000
2026-04-08,44.500,44.930,45.080,43.800,232544.000
2026-04-09,44.300,49.420,49.420,44.300,240379.000
2026-04-10,53.280,54.360,54.360,52.520,258492.000
2026-04-13,55.000,55.000,57.080,53.210,447642.000
