date,open,close,high,low,volume
2025-12-24,5.770,5.880,5.910,5.740,482262.000
2025-12-25,5.860,5.960,6.020,5.770,550956.000
2025-12-26,5.950,5.990,6.090,5.940,361639.000
2025-12-29,6.020,5.950,6.060,5.910,334427.000
2025-12-30,5.910,5.870,5.960,5.820,433234.000
2025-12-31,5.890,5.820,5.920,5.800,247395.000
2026-01-05,5.930,6.120,6.220,5.930,839220.000
2026-01-06,6.120,6.340,6.400,6.090,846115.000
2026-01-07,6.470,6.390,6.520,6.310,574959.000
2026-01-08,6.380,6.280,6.380,6.240,397537.000
2026-01-09,6.280,6.250,6.320,6.200,412935.000
2026-01-12,6.210,6.280,6.310,6.180,507413.000
2026-01-13,6.270,6.050,6.270,6.030,618200.000
2026-01-14,6.020,5.970,6.090,5.920,644907.000
2026-01-15,5.960,6.030,6.070,5.940,347695.000
2026-01-16,6.070,6.020,6.080,5.990,374014.000
2026-01-19,6.020,6.190,6.220,5.930,832709.000
2026-01-20,6.170,6.280,6.300,6.090,629974.000
2026-01-21,6.250,6.380,6.460,6.230,714876.000
2026-01-22,6.380,6.670,6.740,6.350,857855.000
2026-01-23,6.630,6.840,6.890,6.620,868458.000
2026-01-26,6.790,6.820,6.930,6.700,708060.000
2026-01-27,6.790,6.830,6.910,6.720,437122.000
2026-01-28,6.830,6.990,7.130,6.760,668052.000
2026-01-29,6.990,7.090,7.230,6.950,808230.000
2026-01-30,6.940,6.900,7.040,6.670,773092.000
2026-02-02,6.790,6.560,6.930,6.550,664265.000
2026-02-03,6.680,7.000,7.020,6.650,851716.000
2026-02-04,6.990,7.390,7.460,6.870,1323920.000
2026-02-05,7.340,7.100,7.350,7.060,582519.000
2026-02-06,7.010,7.160,7.300,7.010,684723.000
2026-02-09,7.230,7.320,7.380,7.180,583812.000
2026-02-10,7.270,7.090,7.310,7.060,488489.000
2026-02-11,7.080,7.380,7.530,7.080,896810.000
2026-02-12,7.310,7.420,7.590,7.280,678698.000
2026-02-13,7.350,6.980,7.360,6.970,735249.000
2026-02-24,7.100,7.160,7.260,7.000,487975.000
2026-02-25,7.170,7.300,7.430,7.170,569306.000
2026-02-26,7.290,7.300,7.360,7.160,462229.000
2026-02-27,7.270,7.430,7.520,7.220,507079.000
2026-03-02,7.290,7.340,7.460,7.240,663331.000
2026-03-03,7.360,7.030,7.410,6.970,597546.000
2026-03-04,6.940,6.700,7.070,6.590,1038457.000
2026-03-05,6.790,6.650,6.830,6.590,556539.000
2026-03-06,6.590,6.820,6.880,6.580,526335.000
2026-03-09,6.770,6.730,6.890,6.580,503321.000
2026-03-10,6.750,6.830,6.970,6.750,488715.000
2026-03-11,6.830,6.970,7.040,6.800,466461.000
2026-03-12,7.000,6.810,7.000,6.750,494952.000
2026-03-13,6.780,6.700,6.970,6.670,410022.000
2026-03-16,6.700,6.530,6.780,6.430,588829.000
2026-03-17,6.540,6.460,6.760,6.450,512983.000
2026-03-18,6.470,6.350,6.530,6.290,470495.000
2026-03-19,6.290,6.110,6.320,6.070,537624.000
2026-03-20,6.140,5.980,6.190,5.920,599580.000
2026-03-23,5.940,5.760,5.960,5.620,777432.000
2026-03-24,5.810,5.800,5.860,5.670,528859.000
2026-03-25,5.790,5.860,5.930,5.790,470793.000
2026-03-26,5.850,5.620,5.910,5.560,851057.000
2026-03-27,5.550,5.680,5.720,5.540,394102.000
2026-03-30,5.610,5.740,5.790,5.500,474717.000
2026-03-31,5.710,5.720,5.980,5.670,627782.000
2026-04-01,5.790,5.790,5.910,5.740,409963.000
2026-04-02,5.740,5.690,5.760,5.620,375432.000
2026-04-03,5.680,5.510,5.690,5.490,319416.000
2026-04-07,5.530,5.490,5.550,5.450,295184.000
2026-04-08,5.590,5.720,5.720,5.590,426260.000
2026-04-09,5.700,5.680,5.710,5.560,435390.000
2026-04-10,5.730,5.700,5.810,5.690,561946.000
2026-04-13,5.630,5.820,5.860,5.600,522131.000
2026-04-14,5.810,5.770,5.850,5.710,374140.000
2026-04-15,5.770,5.680,5.800,5.680,417578.000
2026-04-16,5.700,5.770,5.790,5.660,363101.000
2026-04-17,5.750,5.790,5.860,5.670,475799.000
2026-04-20,5.860,5.990,6.110,5.850,1060118.000
2026-04-21,5.960,5.900,6.010,5.870,571165.000
2026-04-22,5.930,6.010,6.080,5.870,655164.000
2026-04-23,5.890,5.920,6.040,5.780,1067945.000
2026-04-24,6.020,6.310,6.480,5.990,2063132.000
2026-04-27,6.340,6.720,6.950,6.340,1836578.000
2026-04-28,6.680,6.420,6.700,6.390,1091967.000
2026-04-29,6.360,6.400,6.570,6.300,834718.000
2026-04-30,6.350,6.220,6.380,6.130,853708.000
2026-05-06,6.270,6.310,6.360,6.140,897284.000
2026-05-07,6.280,6.540,6.640,6.260,1058546.000
2026-05-08,6.460,6.110,6.580,6.050,1469166.000
2026-05-11,6.090,6.450,6.550,5.970,1392829.000
2026-05-12,6.400,6.680,6.750,6.230,1299608.000
2026-05-13,6.600,6.670,6.750,6.510,838192.000
2026-05-14,6.640,6.590,6.790,6.490,783110.000
