code,name,price,pe_ttm,pb,mcap_yi,change_pct,turnover,sector,score,pct_ma60,vol_ratio,chg20d,reasons
000012,南  玻Ａ,4.80,1309.1,1.1,94,0.6,7.8,玻璃玻纤,85,11.7,1.4,9.6,完美多头|极早期(12%)|温和放量(1.4x)|稳健(+10%)|强势行业(玻璃玻纤)
002584,西陇科学,9.62,-78.0,2.6,45,-6.3,30.4,电子化学品,82,18.6,1.8,18.5,完美多头|早期(19%)|温和放量(1.8x)|稳健(+18%)|强势行业(电子化学品)
000070,特发信息,22.29,-39.5,24.0,191,-10.0,10.7,通信设备,82,13.5,1.1,24.9,完美多头|极早期(13%)|强势行业(通信设备)
002077,大港股份,18.53,141.7,3.2,108,-2.4,7.1,半导体,80,9.9,1.2,-0.6,完美多头|极早期(10%)|温和放量(1.2x)|强势行业(半导体)
002049,紫光国微,83.98,43.2,5.1,713,-4.0,5.7,半导体,80,10.9,1.3,-2.7,完美多头|极早期(11%)|温和放量(1.3x)|强势行业(半导体)
002415,海康威视,33.32,20.4,3.9,3014,-3.2,0.9,计算机设备,73,4.0,1.4,8.3,极早期(4%)|温和放量(1.4x)|稳健(+8%)|底部蓄力
600563,法拉电子,188.76,35.5,7.3,425,-0.7,7.6,元件,72,33.4,1.2,8.2,完美多头|温和放量(1.2x)|稳健(+8%)|强势行业(元件)
600345,长江通信,65.36,85.9,5.7,138,-10.0,10.2,通信设备,69,20.7,1.1,32.1,完美多头|早期(21%)|强势行业(通信设备)
601636,旗滨集团,8.93,163.0,1.8,264,7.0,12.6,玻璃玻纤,69,36.4,1.4,30.6,完美多头|温和放量(1.4x)|强势行业(玻璃玻纤)
002643,万润股份,19.44,60.9,2.6,175,1.9,5.5,电子化学品,67,18.2,1.3,18.7,早期(18%)|温和放量(1.3x)|稳健(+19%)|强势行业(电子化学品)
000050,深天马Ａ,9.88,-352.7,0.9,241,-4.8,5.5,光学光电子,67,20.3,1.7,20.8,完美多头|早期(20%)|温和放量(1.7x)
002289,宇顺电子,46.99,392.8,49.6,129,-2.9,3.6,光学光电子,67,28.6,1.3,20.6,完美多头|早期(29%)|温和放量(1.3x)
002273,水晶光电,35.83,41.6,5.0,488,-1.6,7.0,光学光电子,66,5.8,1.1,-17.7,多头排列|极早期(6%)|底部蓄力
600237,铜峰电子,13.21,71.0,4.3,83,1.7,22.5,元件,64,32.7,1.1,21.9,完美多头|强势行业(元件)
002134,天津普林,29.06,454.3,14.1,72,-1.8,7.1,元件,63,9.8,1.0,-4.6,多头排列|极早期(10%)|底部蓄力|强势行业(元件)
002189,中光学,21.03,-25.0,13.2,55,-2.1,4.0,国防军工,63,0.2,1.6,-6.7,极早期(0%)|温和放量(1.6x)|底部蓄力
000100,TCL科技,5.40,22.2,1.9,1033,1.1,12.8,光学光电子,62,22.6,1.2,20.0,完美多头|早期(23%)
600703,三安光电,21.73,-217.8,3.1,1084,0.3,10.9,科技精选,62,41.9,1.3,29.0,完美多头|温和放量(1.3x)
002106,莱宝高科,15.62,53.8,2.0,110,10.0,8.0,光学光电子,62,34.3,1.2,27.0,完美多头|温和放量(1.2x)
002129,TCL中环,11.19,-5.0,2.3,452,10.0,12.8,科技精选,58,20.2,1.0,7.2,多头排列|早期(20%)|稳健(+7%)
002281,光迅科技,240.34,192.0,14.4,1876,-8.1,7.1,通信设备,57,35.7,1.0,11.8,完美多头|稳健(+12%)|强势行业(通信设备)
002463,沪电股份,147.28,65.9,17.9,2832,-5.0,4.3,元件,57,30.8,0.9,10.7,完美多头|稳健(+11%)|强势行业(元件)
002741,光华科技,39.11,151.8,9.4,167,6.1,17.9,电子化学品,57,56.0,1.3,25.5,完美多头|温和放量(1.3x)|强势行业(电子化学品)
603061,金海通,415.05,154.7,21.4,361,3.8,3.6,半导体,57,47.2,1.2,38.3,完美多头|强势行业(半导体)
002025,航天电器,72.46,174.5,5.0,329,-1.1,7.1,国防军工,53,3.5,1.2,2.8,极早期(4%)
000066,中国长城,18.57,2969.3,5.5,599,-9.3,9.8,计算机设备,53,3.4,1.5,-0.7,极早期(3%)|温和放量(1.5x)
002080,中材科技,97.67,83.5,8.3,1639,5.1,5.3,玻璃玻纤,52,59.8,1.1,28.4,完美多头|强势行业(玻璃玻纤)
002579,中京电子,22.78,532.1,5.8,133,7.0,38.3,元件,52,52.3,1.0,25.2,完美多头|强势行业(元件)
002475,立讯精密,68.00,28.9,5.6,4965,-8.6,4.7,科技精选,48,2.0,1.4,-6.6,极早期(2%)|温和放量(1.4x)
002935,天奥电子,21.09,135.3,5.6,88,-1.1,2.9,国防军工,48,3.6,1.0,2.9,极早期(4%)|底部蓄力
600584,长电科技,100.89,109.3,6.3,1805,-3.1,18.8,科技精选,48,63.9,1.1,19.2,完美多头|稳健(+19%)
600105,永鼎股份,65.71,935.5,29.1,961,-9.9,10.4,通信设备,47,37.7,0.9,35.4,完美多头|强势行业(通信设备)
605006,山东玻纤,24.94,-1296.8,6.2,157,5.2,14.1,玻璃玻纤,45,62.8,1.2,23.5,多头排列|强势行业(玻璃玻纤)
003009,中天火箭,57.29,-118.5,4.7,94,6.5,7.3,国防军工,43,-1.7,1.0,7.5,稳健(+8%)
600487,亨通光电,110.81,84.6,8.4,2710,-9.9,8.1,通信设备,42,42.8,0.9,57.2,完美多头|短期过热|强势行业(通信设备)
600183,生益科技,178.50,110.4,27.1,4274,-4.7,3.0,元件,42,68.4,0.9,32.4,完美多头|强势行业(元件)
600498,烽火通信,76.22,247.1,5.9,969,-10.0,9.3,通信设备,42,33.9,0.9,50.2,完美多头|短期过热|强势行业(通信设备)
002201,九鼎新材,11.99,87.0,6.7,72,-2.4,7.5,玻璃玻纤,40,-2.7,1.4,1.8,温和放量(1.4x)|强势行业(玻璃玻纤)
002296,辉煌科技,8.77,19.4,1.4,30,-3.4,2.5,通信设备,40,-17.9,1.3,-13.3,温和放量(1.3x)|底部蓄力|强势行业(通信设备)
600176,中国巨石,74.12,77.6,9.4,2967,4.7,5.7,玻璃玻纤,40,94.0,1.1,70.5,完美多头|短期过热|强势行业(玻璃玻纤)
601869,长飞光纤,543.00,388.5,31.6,2206,-5.6,3.8,科技精选,40,33.8,1.0,46.5,完美多头
000823,超声电子,28.46,79.2,3.6,169,10.0,17.9,元件,40,68.4,1.1,67.4,完美多头|短期过热|强势行业(元件)
000725,京东方Ａ,7.79,48.5,2.1,2755,3.6,12.8,光学光电子,38,58.6,1.0,38.5,完美多头
000977,浪潮信息,63.89,36.7,4.2,937,-6.8,5.5,计算机设备,38,-4.2,1.0,-3.8,底部蓄力
002414,高德红外,13.17,58.1,7.6,448,-5.2,1.7,国防军工,38,-3.1,1.0,-1.7,底部蓄力
603078,江化微,47.95,173.2,9.4,185,4.5,12.3,电子化学品,35,50.5,0.8,43.0,完美多头|强势行业(电子化学品)
002138,顺络电子,68.82,57.5,8.7,521,-3.3,5.2,元件,35,54.6,0.8,40.4,完美多头|强势行业(元件)
002017,东信和平,14.70,51.5,4.8,85,-4.6,2.2,通信设备,35,-17.6,1.1,-12.1,底部蓄力|强势行业(通信设备)
002484,江海股份,109.00,135.4,14.9,894,-1.8,7.1,元件,35,86.1,0.9,47.2,完美多头|强势行业(元件)
600775,南京熊猫,9.35,261.5,2.8,63,-6.7,4.3,通信设备,35,-22.7,1.4,-17.2,温和放量(1.4x)|强势行业(通信设备)
003004,声迅股份,69.68,-6276.6,9.0,48,3.5,4.1,计算机设备,35,50.2,0.9,21.6,完美多头
002436,兴森科技,51.81,610.2,16.7,786,-3.2,9.4,元件,35,54.7,0.9,42.6,完美多头|强势行业(元件)
002236,大华股份,15.98,13.4,1.4,382,-4.1,1.7,计算机设备,33,-7.1,1.2,-7.7,温和放量(1.2x)|底部蓄力
000636,风华高科,78.50,295.6,7.3,908,-1.4,12.3,元件,30,99.5,0.8,61.4,完美多头|短期过热|强势行业(元件)
002636,金安国纪,112.13,170.3,21.9,812,-0.8,3.8,元件,30,102.2,0.6,109.6,完美多头|短期过热|强势行业(元件)
603256,宏和科技,297.00,863.1,99.1,2613,7.3,1.9,玻璃玻纤,30,92.3,0.9,50.1,完美多头|短期过热|强势行业(玻璃玻纤)
002152,广电运通,9.26,27.2,1.9,230,-5.1,1.1,计算机设备,28,-15.9,1.1,-13.8,底部蓄力
002376,新北洋,5.68,57.7,1.3,45,-2.4,1.2,计算机设备,28,-15.0,1.0,-15.0,底部蓄力
600879,航天电子,20.02,289.0,3.2,661,5.7,7.7,国防军工,28,-9.6,1.0,-4.2,底部蓄力
000020,深华发Ａ,10.85,88.5,6.9,20,-2.0,2.4,光学光电子,28,-22.0,1.2,-14.4,底部蓄力
002197,证通电子,5.73,-9.5,2.0,31,-4.3,3.3,计算机设备,28,-21.6,1.2,-16.5,底部蓄力
000045,深纺织Ａ,10.00,72.6,1.7,46,-1.5,1.4,光学光电子,28,-14.9,1.1,-15.7,底部蓄力
603931,格林达,53.89,89.6,5.5,108,-2.4,3.5,电子化学品,27,20.3,0.8,-15.2,早期(20%)|强势行业(电子化学品)
600819,耀皮玻璃,5.70,47.5,1.4,43,-0.2,1.3,玻璃玻纤,25,-16.9,0.8,-19.8,底部蓄力|强势行业(玻璃玻纤)
002194,武汉凡谷,10.49,-344.9,2.9,54,-10.0,9.3,通信设备,25,-9.4,0.8,-10.6,底部蓄力|强势行业(通信设备)
000063,中兴通讯,35.67,38.1,2.2,1437,-7.2,5.8,通信设备,25,-2.2,0.9,-6.9,底部蓄力|强势行业(通信设备)
002180,奔图科技,14.55,-28.0,2.3,198,10.0,2.7,计算机设备,23,-12.7,1.1,-11.8,
603516,淳中科技,122.83,84.4,14.8,250,-5.5,3.4,计算机设备,23,-7.1,0.8,5.3,稳健(+5%)
002222,福晶科技,90.18,144.3,23.2,422,-8.3,7.3,光学光电子,23,-3.9,1.1,-16.4,
002396,星网锐捷,17.70,33.3,2.0,134,-5.3,4.0,通信设备,20,-16.8,0.8,-28.4,强势行业(通信设备)
600776,东方通信,13.40,36.8,4.4,128,-10.0,3.8,通信设备,20,-16.2,0.8,-13.9,强势行业(通信设备)
002613,北玻股份,4.07,424.0,2.0,31,-8.5,13.4,玻璃玻纤,20,-4.9,0.8,-17.3,强势行业(玻璃玻纤)
600586,金晶科技,4.31,-8.2,1.2,61,2.4,3.0,玻璃玻纤,20,-18.6,0.7,-20.3,强势行业(玻璃玻纤)
002313,日海智能,7.40,-14.7,36.1,28,-3.4,1.9,通信设备,20,-17.8,1.0,-21.2,强势行业(通信设备)
002177,御银股份,5.69,264.9,2.5,38,-5.0,4.7,计算机设备,18,-21.2,1.2,-20.1,温和放量(1.2x)
000738,航发控制,17.62,73.8,1.9,232,-1.4,1.4,国防军工,18,-13.6,1.0,-12.0,底部蓄力
002036,联创电子,7.25,-6.9,7.9,77,-1.8,4.5,光学光电子,13,-17.6,0.8,-25.9,
000586,汇源通信,13.47,-261.2,8.2,26,-6.4,4.6,通信设备,10,-25.2,0.8,-22.5,强势行业(通信设备)
000536,华映科技,3.13,-8.5,10.3,86,-0.9,2.3,光学光电子,3,-21.9,0.7,-26.5,
