date,open,close,high,low,volume
2026-03-30,10.620,10.710,10.750,10.400,115534.000
2026-03-31,10.600,10.260,10.660,10.250,163840.000
2026-04-01,10.500,10.490,10.570,10.380,91897.000
2026-04-02,10.460,10.110,10.520,10.030,124568.000
2026-04-03,10.140,9.990,10.210,9.930,79703.000
2026-04-07,10.040,10.100,10.160,10.000,62876.000
2026-04-08,10.380,10.570,10.570,10.330,124538.000
2026-04-09,10.440,10.550,10.700,10.420,93124.000
2026-04-10,10.670,10.620,10.820,10.620,94530.000
2026-04-13,10.500,10.570,10.630,10.460,75610.000
2026-04-14,10.690,10.650,10.730,10.520,76303.000
2026-04-15,10.700,10.490,10.740,10.450,85307.000
2026-04-16,10.460,10.520,10.550,10.410,84592.000
2026-04-17,10.520,10.540,10.620,10.400,88786.000
2026-04-20,10.600,11.060,11.280,10.590,285870.000
2026-04-21,10.930,10.830,10.950,10.720,129076.000
2026-04-22,10.750,10.960,11.000,10.750,104851.000
2026-04-23,10.900,10.430,10.920,10.280,226853.000
2026-04-24,10.330,10.340,10.430,10.180,102751.000
2026-04-27,10.340,10.780,10.860,10.300,163666.000
2026-04-28,10.630,10.350,10.640,10.280,163528.000
2026-04-29,10.340,10.540,10.570,10.300,94371.000
2026-04-30,10.490,10.380,10.540,10.280,110735.000
2026-05-06,10.460,10.550,10.670,10.460,111915.000
2026-05-07,10.540,10.780,10.840,10.530,120292.000
2026-05-08,10.680,10.940,10.950,10.610,122495.000
2026-05-11,10.970,11.030,11.040,10.890,136116.000
2026-05-12,10.950,10.900,11.030,10.860,109550.000
2026-05-13,10.900,11.180,11.240,10.820,157051.000
2026-05-14,11.170,10.880,11.180,10.880,154367.000
2026-05-15,10.850,10.660,11.000,10.560,156517.000
2026-05-18,10.630,10.760,10.830,10.520,94287.000
2026-05-19,10.690,10.970,10.980,10.590,125279.000
2026-05-20,10.890,10.830,10.970,10.680,102598.000
2026-05-21,11.040,10.700,11.480,10.670,245917.000
2026-05-22,10.840,11.310,11.340,10.630,257872.000
2026-05-25,11.300,11.760,12.120,11.240,348761.000
2026-05-26,11.670,11.850,11.990,11.550,338057.000
2026-05-27,11.880,12.170,12.230,11.580,462385.000
2026-05-28,11.910,12.300,12.680,11.850,492179.000
2026-05-29,12.310,11.550,12.350,11.440,365772.000
2026-06-01,11.550,11.800,12.400,11.530,329559.000
2026-06-02,11.850,11.990,12.200,11.730,305031.000
2026-06-03,11.890,12.330,12.890,11.870,493960.000
2026-06-04,12.160,12.730,12.840,12.090,495114.000
2026-06-05,12.580,13.420,13.960,12.540,815064.000
2026-06-08,12.900,12.990,13.650,12.640,625253.000
2026-06-09,13.180,13.140,13.180,12.500,460454.000
2026-06-10,12.910,13.110,13.640,12.830,488710.000
2026-06-11,12.910,12.490,12.910,12.370,413179.000
2026-06-12,12.730,12.060,12.960,11.920,411632.000
2026-06-15,12.200,13.280,13.280,12.110,389635.000
2026-06-16,13.250,13.440,13.620,13.000,545854.000
2026-06-17,13.360,14.780,14.780,13.330,418624.000
2026-06-18,14.840,14.070,14.990,13.840,822217.000
2026-06-22,14.360,15.150,15.480,14.350,955192.000
2026-06-23,15.000,14.290,15.200,14.150,643443.000
2026-06-24,14.180,14.080,14.270,13.680,456746.000
2026-06-25,14.120,14.200,15.050,14.090,621558.000
2026-06-26,14.090,15.620,15.620,14.020,564996.000
