date,open,close,high,low,volume
2026-03-30,21.520,22.420,22.450,21.180,21274.000
2026-03-31,22.500,21.550,22.950,21.500,27456.000
2026-04-01,21.820,21.830,22.030,21.590,13284.000
2026-04-02,21.790,22.630,22.920,21.630,33733.000
2026-04-03,22.600,21.790,22.600,21.750,22680.000
2026-04-07,21.820,22.250,22.590,21.820,18528.000
2026-04-08,22.800,22.990,23.250,22.620,18750.000
2026-04-09,22.880,23.390,23.750,22.700,27469.000
2026-04-10,23.450,23.460,23.950,23.320,21897.000
2026-04-13,23.460,23.780,24.080,23.400,33843.000
2026-04-14,23.780,24.670,24.970,23.610,41488.000
2026-04-15,24.800,24.330,25.450,24.330,40387.000
2026-04-16,24.600,25.370,25.460,24.410,42383.000
2026-04-17,25.370,26.080,26.500,25.370,37163.000
2026-04-20,25.480,25.860,26.080,25.470,40303.000
2026-04-21,25.870,25.990,26.530,25.710,45271.000
2026-04-22,25.800,25.340,26.080,24.900,53869.000
2026-04-23,25.310,24.900,25.540,24.070,63365.000
2026-04-24,25.200,25.000,25.260,24.570,24617.000
2026-04-27,25.000,24.560,25.100,24.200,34023.000
2026-04-28,24.560,23.950,24.730,23.690,29918.000
2026-04-29,23.810,23.930,24.200,23.690,17998.000
2026-04-30,23.350,23.300,23.530,23.050,36218.000
2026-05-06,23.200,22.710,23.200,22.670,39360.000
2026-05-07,22.680,23.850,23.850,22.680,46873.000
2026-05-08,24.000,24.800,25.040,23.870,52802.000
2026-05-11,24.900,24.620,25.060,24.380,33046.000
2026-05-12,24.800,24.670,25.100,24.460,30952.000
2026-05-13,24.810,25.660,25.780,24.580,37007.000
2026-05-14,25.880,25.180,25.960,24.900,38446.000
2026-05-15,25.520,25.810,25.940,25.290,32294.000
2026-05-18,25.300,24.870,25.480,24.720,31388.000
2026-05-19,24.870,25.250,25.320,24.730,21008.000
2026-05-20,25.100,26.030,26.270,24.440,49040.000
2026-05-21,26.000,25.300,26.410,25.000,29683.000
2026-05-22,25.400,26.570,26.570,25.180,57677.000
2026-05-25,26.570,26.260,26.980,26.090,46357.000
2026-05-26,26.520,25.500,26.660,25.200,30790.000
2026-05-27,25.680,25.400,25.890,24.960,28265.000
2026-05-28,25.200,25.480,25.900,25.160,28238.000
2026-05-29,25.480,24.790,25.840,24.730,26761.000
2026-06-01,24.550,24.810,24.960,24.250,19737.000
2026-06-02,24.800,25.040,25.350,24.570,19271.000
2026-06-03,24.950,24.800,25.010,24.450,17581.000
2026-06-04,24.510,24.940,25.310,24.400,24245.000
2026-06-05,24.880,25.050,25.420,24.080,32048.000
2026-06-08,24.390,24.960,24.960,24.210,24531.000
2026-06-09,24.970,25.000,25.210,24.750,18189.000
2026-06-10,24.850,25.620,26.250,24.810,47662.000
2026-06-11,25.620,25.190,25.950,25.070,24316.000
2026-06-12,25.320,26.230,26.400,25.210,34851.000
2026-06-15,25.900,25.850,26.000,25.580,28767.000
2026-06-16,25.730,26.040,26.160,25.660,24877.000
2026-06-17,25.980,27.100,27.100,25.920,38632.000
2026-06-18,27.170,28.460,28.460,26.820,44249.000
2026-06-22,28.250,27.040,28.250,27.040,63938.000
2026-06-23,26.890,27.790,27.930,26.060,37042.000
2026-06-24,27.730,27.660,28.130,26.680,30957.000
2026-06-25,28.000,26.910,28.000,26.820,27676.000
2026-06-26,26.550,28.260,28.260,26.310,43979.000
