date,open,close,high,low,volume
2026-03-30,1.630,1.630,1.640,1.620,7978.000
2026-03-31,1.630,1.620,1.640,1.620,7591.000
2026-04-01,1.630,1.630,1.640,1.620,10468.000
2026-04-02,1.630,1.620,1.630,1.610,5447.000
2026-04-03,1.630,1.600,1.630,1.600,8119.000
2026-04-07,1.600,1.570,1.610,1.560,13490.000
2026-04-08,1.570,1.600,1.600,1.570,10422.000
2026-04-09,1.580,1.570,1.590,1.560,8190.000
2026-04-10,1.570,1.580,1.590,1.570,4024.000
2026-04-13,1.590,1.580,1.590,1.570,6952.000
2026-04-14,1.580,1.590,1.590,1.570,3100.000
2026-04-15,1.590,1.580,1.590,1.580,4350.000
2026-04-16,1.580,1.590,1.590,1.570,6427.000
2026-04-17,1.590,1.570,1.590,1.560,18282.000
2026-04-20,1.560,1.570,1.570,1.560,3786.000
2026-04-21,1.570,1.580,1.580,1.560,7974.000
2026-04-22,1.580,1.580,1.580,1.560,6033.000
2026-04-23,1.580,1.570,1.580,1.560,5939.000
2026-04-24,1.570,1.580,1.580,1.560,5876.000
2026-04-27,1.570,1.570,1.580,1.560,5339.000
2026-04-28,1.490,1.440,1.510,1.440,51961.000
2026-04-29,1.440,1.480,1.480,1.440,18660.000
2026-04-30,1.470,1.460,1.480,1.450,23607.000
2026-05-06,1.460,1.440,1.470,1.440,18355.000
2026-05-07,1.450,1.450,1.460,1.420,17173.000
2026-05-08,1.440,1.420,1.440,1.420,8939.000
2026-05-11,1.430,1.420,1.440,1.420,13727.000
2026-05-12,1.430,1.380,1.430,1.360,25226.000
2026-05-13,1.360,1.340,1.370,1.320,22002.000
2026-05-14,1.340,1.320,1.340,1.280,27328.000
2026-05-15,1.300,1.310,1.320,1.290,12504.000
2026-05-18,1.300,1.270,1.310,1.240,19063.000
2026-05-19,1.250,1.320,1.330,1.250,28235.000
2026-05-20,1.300,1.300,1.330,1.280,9915.000
2026-05-21,1.300,1.390,1.410,1.290,71616.000
2026-05-22,1.380,1.470,1.480,1.340,83641.000
2026-05-25,1.440,1.460,1.500,1.440,48438.000
2026-05-26,1.440,1.430,1.460,1.420,26109.000
2026-05-27,1.420,1.400,1.440,1.390,13157.000
2026-05-28,1.390,1.390,1.400,1.360,13011.000
2026-05-29,1.390,1.340,1.390,1.310,35923.000
2026-06-01,1.340,1.350,1.370,1.340,9025.000
2026-06-02,1.350,1.370,1.370,1.340,15810.000
2026-06-03,1.370,1.380,1.390,1.360,22256.000
2026-06-04,1.370,1.370,1.380,1.320,25894.000
2026-06-05,1.350,1.400,1.420,1.330,45353.000
2026-06-08,1.380,1.370,1.390,1.360,18048.000
2026-06-09,1.380,1.400,1.400,1.370,17479.000
2026-06-10,1.400,1.390,1.400,1.350,27386.000
2026-06-11,1.370,1.370,1.380,1.360,3791.000
2026-06-12,1.370,1.390,1.390,1.370,7327.000
2026-06-15,1.390,1.410,1.420,1.380,14012.000
2026-06-16,1.410,1.500,1.500,1.410,58237.000
2026-06-17,1.490,1.490,1.500,1.470,32112.000
2026-06-18,1.480,1.440,1.480,1.440,15432.000
2026-06-22,1.440,1.570,1.570,1.440,74860.000
2026-06-23,1.560,1.550,1.570,1.520,32634.000
2026-06-24,1.550,1.550,1.580,1.520,22663.000
2026-06-25,1.550,1.570,1.590,1.530,27847.000
2026-06-26,1.570,1.590,1.630,1.550,51604.000
