date,open,close,high,low,volume
2026-03-30,8.320,8.960,9.260,8.280,429667.000
2026-03-31,8.900,8.580,8.920,8.570,300377.000
2026-04-01,8.820,8.880,8.920,8.660,238687.000
2026-04-02,8.820,8.530,8.950,8.450,286998.000
2026-04-03,8.540,8.320,8.600,8.290,155694.000
2026-04-07,8.380,8.450,8.510,8.340,138731.000
2026-04-08,8.660,8.890,8.900,8.640,257713.000
2026-04-09,8.800,8.770,8.870,8.710,165351.000
2026-04-10,8.850,8.800,8.970,8.800,167608.000
2026-04-13,8.730,9.350,9.420,8.670,414338.000
2026-04-14,9.230,9.140,9.340,9.050,444450.000
2026-04-15,9.150,9.410,9.520,9.100,472367.000
2026-04-16,9.320,9.300,9.400,9.160,381711.000
2026-04-17,9.280,9.250,9.400,9.230,245390.000
2026-04-20,9.260,9.240,9.320,9.170,230455.000
2026-04-21,9.210,9.230,9.310,9.180,180903.000
2026-04-22,9.250,9.360,9.400,9.220,265223.000
2026-04-23,9.370,9.120,9.410,9.100,236085.000
2026-04-24,9.070,9.120,9.190,9.050,159292.000
2026-04-27,9.070,9.180,9.210,8.630,288041.000
2026-04-28,9.100,8.820,9.140,8.780,199928.000
2026-04-29,8.760,9.020,9.090,8.700,171290.000
2026-04-30,9.010,8.800,9.070,8.800,168895.000
2026-05-06,8.860,9.020,9.100,8.860,199831.000
2026-05-07,9.030,9.130,9.200,9.020,178847.000
2026-05-08,9.080,9.170,9.200,9.040,187321.000
2026-05-11,9.350,9.460,9.620,9.350,334056.000
2026-05-12,9.450,9.360,9.550,9.280,213282.000
2026-05-13,9.280,9.420,9.490,9.230,212224.000
2026-05-14,9.460,8.980,9.480,8.980,268323.000
2026-05-15,8.970,8.770,9.100,8.680,228272.000
2026-05-18,8.720,8.890,8.940,8.620,158196.000
2026-05-19,8.920,9.290,9.300,8.770,323646.000
2026-05-20,9.190,9.600,9.690,9.140,519705.000
2026-05-21,9.730,9.410,9.860,9.270,611215.000
2026-05-22,9.490,9.940,9.980,9.490,780036.000
2026-05-25,9.940,9.950,10.300,9.820,767094.000
2026-05-26,9.820,9.970,10.060,9.680,490394.000
2026-05-27,9.950,9.850,10.120,9.720,543036.000
2026-05-28,9.920,10.840,10.840,9.890,1216163.000
2026-05-29,10.820,10.520,11.030,10.440,1132020.000
2026-06-01,10.300,10.220,10.760,10.210,617892.000
2026-06-02,10.350,10.870,10.880,9.990,792862.000
2026-06-03,10.770,11.110,11.780,10.700,1096333.000
2026-06-04,10.900,12.220,12.220,10.830,1503278.000
2026-06-05,11.850,12.070,12.600,11.450,1266093.000
2026-06-08,11.310,11.200,11.900,11.060,815551.000
2026-06-09,11.420,11.700,11.720,10.970,958815.000
2026-06-10,11.410,10.700,11.410,10.530,939274.000
2026-06-11,10.330,10.280,10.650,10.100,602970.000
2026-06-12,10.450,9.710,10.610,9.660,806035.000
2026-06-15,9.880,10.680,10.680,9.880,471995.000
2026-06-16,11.110,11.420,11.630,11.080,1020976.000
2026-06-17,11.230,12.560,12.560,11.230,741672.000
2026-06-18,12.350,12.200,12.570,11.900,1026910.000
2026-06-22,12.200,12.600,12.600,12.090,1028959.000
2026-06-23,12.600,11.720,12.600,11.600,789217.000
2026-06-24,11.720,11.810,11.990,11.440,661721.000
2026-06-25,11.880,12.990,12.990,11.290,1100762.000
2026-06-26,13.000,13.210,13.540,12.590,1404118.000
