code,name,screen_date,buy_date,buy_time,buy_price,sell_date,sell_time,sell_price,shares,exit_reason,buy_commission,sell_commission,stamp_tax,net_pnl,return_pct
002008.SZ,大族激光,20250903,20250904,11:06:00,33.4668,20250905,10:00:00,33.0934,100,FORCE_1000,5.0,5.0,3.30934,-50.64934,-1.5111627601680353
002195.SZ,岩山科技,20250903,20250904,11:06:00,8.4022,20250905,10:00:00,7.6042,100,FORCE_1000,5.0,5.0,0.76042,-90.56042,-10.714419914341827
002402.SZ,和而泰,20250903,20250904,11:06:00,34.8174,20250905,10:00:00,33.5132,100,FORCE_1000,5.0,5.0,3.35132,-143.77132,-4.12337369577313
002436.SZ,兴森科技,20250903,20250904,11:06:00,18.4192,20250905,10:00:00,18.1709,100,FORCE_1000,5.0,5.0,1.81709,-36.64709,-1.9842272540229138
002851.SZ,麦格米特,20250903,20250904,11:06:00,75.9279,20250905,10:00:00,74.1829,100,FORCE_1000,5.0,5.0,7.41829,-191.91829,-2.525975184889291
003031.SZ,中瓷电子,20250903,20250904,11:06:00,55.4777,20250905,10:00:00,54.2129,100,FORCE_1000,5.0,5.0,5.42129,-141.90129,-2.5555045499813605
300373.SZ,扬杰科技,20250903,20250904,11:06:00,60.5503,20250905,10:00:00,59.99,100,FORCE_1000,5.0,5.0,5.999,-72.029,-1.1885914756197575
300620.SZ,光库科技,20250903,20250904,11:06:00,96.7576,20250905,10:00:00,94.2529,100,FORCE_1000,5.0,5.0,9.42529,-269.89529,-2.787955594395481
300458.SZ,全志科技,20250904,20250905,10:20:00,37.4437,20250908,09:31:00,38.7668,100,SELLBACK,5.0,5.0,3.87668,118.43332,3.158752537092898
300570.SZ,太辰光,20250904,20250905,10:20:00,104.7523,20250908,09:31:00,109.3358,100,SELLBACK,5.0,5.0,10.93358,437.41642,4.17372920250796
688498.SH,源杰科技,20250904,20250905,10:20:00,238.74,20250908,09:31:00,254.1012,100,SELLBACK,5.9685,6.35253,25.41012,1498.38885,6.274668452766176
300454.SZ,深信服,20250904,20250905,14:05:00,112.3762,20250908,10:00:00,112.1739,100,FORCE_1000,5.0,5.0,11.21739,-41.44739,-0.3686630874297984
300496.SZ,中科创达,20250904,20250905,14:05:00,72.7313,20250908,09:31:00,73.6644,100,SELLBACK,5.0,5.0,7.36644,75.94356,1.0434487979742049
688318.SH,财富趋势,20250904,20250905,14:05:00,108.0754,20250908,09:33:00,109.4,100,SELLBACK,5.0,5.0,10.94,111.52,1.031395028365213
688331.SH,荣昌生物,20250904,20250905,14:05:00,90.2351,20250908,10:00:00,90.6746,100,FORCE_1000,5.0,5.0,9.06746,24.88254,0.2755996282886102
300620.SZ,光库科技,20250904,20250905,14:40:00,99.5097,20250908,10:00:00,93.6532,100,FORCE_1000,5.0,5.0,9.36532,-605.01532,-6.076909833999098
002131.SZ,利欧股份,20250905,20250908,09:34:00,5.5378,20250909,09:39:00,5.5966,100,SELLBACK,5.0,5.0,0.55966,-4.67966,-0.8374780772397009
002195.SZ,岩山科技,20250905,20250908,09:34:00,8.3622,20250909,10:00:00,7.944,100,FORCE_1000,5.0,5.0,0.7944,-52.6144,-6.254535080002855
002402.SZ,和而泰,20250905,20250908,09:34:00,37.4587,20250909,10:00:00,36.3218,100,FORCE_1000,5.0,5.0,3.63218,-127.32218,-3.3944706161503864
300475.SZ,香农芯创,20250905,20250908,09:34:00,44.7252,20250909,09:31:00,50.0477,100,SELLBACK,5.0,5.0,5.00477,517.24523,11.552047338705353
300953.SZ,震裕科技,20250905,20250908,09:34:00,110.7625,20250909,10:00:00,107.589,100,FORCE_1000,5.0,5.0,10.7589,-338.1089,-3.051180146644106
300972.SZ,万辰集团,20250905,20250908,10:13:00,195.2003,20250909,10:00:00,187.7089,100,FORCE_1000,5.0,5.0,18.77089,-777.91089,-3.9841725723340757
600737.SH,中粮糖业,20250905,20250908,10:22:00,16.7083,20250909,10:00:00,16.6717,100,FORCE_1000,5.0,5.0,1.66717,-15.32717,-0.9146017197448428
688019.SH,安集科技,20250905,20250908,10:22:00,130.4498,20250909,10:00:00,131.3343,100,FORCE_1000,5.0,5.0,13.13343,65.31657,0.5005108820090145
301377.SZ,鼎泰高科,20250908,20250909,09:34:00,66.2731,20250910,09:31:00,66.9794,100,SELLBACK,5.0,5.0,6.69794,53.93206,0.8131715797361704
000831.SZ,中国稀土,20250908,20250909,09:39:00,51.6468,20250910,09:32:00,52.2425,100,SELLBACK,5.0,5.0,5.22425,44.34575,0.857804544962164
300558.SZ,贝达药业,20250908,20250909,10:25:00,73.4867,20250910,10:00:00,72.8436,100,FORCE_1000,5.0,5.0,7.28436,-81.59436,-1.1095733150930078
688692.SH,达梦数据,20250908,20250909,13:01:00,251.7986,20250910,09:31:00,255.017,100,SELLBACK,6.294965,6.375425,25.5017,283.66791,1.1262850974839143
300548.SZ,长芯博创,20250909,20250910,09:34:00,115.6778,20250911,09:31:00,120.1096,100,SELLBACK,5.0,5.0,12.01096,421.16904,3.6393074092828166
600521.SH,华海药业,20250909,20250910,09:34:00,24.6423,20250911,10:00:00,24.6877,100,FORCE_1000,5.0,5.0,2.46877,-7.92877,-0.32110293492303266
688498.SH,源杰科技,20250909,20250910,09:34:00,224.5329,20250911,09:31:00,239.6401,100,SELLBACK,5.613323,5.991002,23.96401,1475.151665,6.568226612927039
688709.SH,成都华微,20250909,20250910,09:34:00,46.8244,20250911,10:00:00,47.0275,100,FORCE_1000,5.0,5.0,4.70275,5.60725,0.11962286450599902
601869.SH,长飞光纤,20250909,20250910,09:36:00,84.2771,20250911,09:31:00,88.572,100,SELLBACK,5.0,5.0,8.8572,410.6328,4.869523557670072
688629.SH,华丰科技,20250909,20250910,09:38:00,77.8889,20250911,10:00:00,77.4812,100,FORCE_1000,5.0,5.0,7.74812,-58.51812,-0.7508204503784375
600601.SH,方正科技,20250909,20250910,09:39:00,8.6943,20250911,09:31:00,9.6954,100,SELLBACK,5.0,5.0,0.96954,89.14046,10.19412188511373
688343.SH,云天励飞-U,20250909,20250910,10:14:00,82.0563,20250911,10:00:00,82.7086,100,FORCE_1000,5.0,5.0,8.27086,46.95914,0.5719310211274896
002138.SZ,顺络电子,20250910,20250911,09:34:00,33.7269,20250912,09:31:00,34.9475,100,SELLBACK,5.0,5.0,3.49475,108.56525,3.214186322605094
600601.SH,方正科技,20250910,20250911,09:34:00,9.7749,20250912,09:31:00,10.644,100,SELLBACK,5.0,5.0,1.0644,75.8456,7.71973251636149
002195.SZ,岩山科技,20250910,20250911,09:35:00,7.932,20250912,09:31:00,8.1757,100,SELLBACK,5.0,5.0,0.81757,13.55243,1.6978739664244549
300207.SZ,欣旺达,20250910,20250911,09:35:00,27.1436,20250912,09:31:00,27.9581,100,SELLBACK,5.0,5.0,2.79581,68.65419,2.5246451370910803
300724.SZ,捷佳伟创,20250910,20250911,13:24:00,97.7889,20250912,10:00:00,97.6112,100,FORCE_1000,5.0,5.0,9.76112,-37.53112,-0.3836012056554193
688411.SH,海博思创,20250911,20250912,09:35:00,171.1055,20250915,09:31:00,195.4165,100,SELLBACK,5.0,5.0,19.54165,2401.55835,14.031441291690887
600021.SH,上海电力,20250911,20250912,09:36:00,22.1911,20250915,09:32:00,22.636,100,SELLBACK,5.0,5.0,2.2636,32.2264,1.4489571109342614
688772.SH,珠海冠宇,20250911,20250912,09:36:00,22.1411,20250915,09:31:00,22.8457,100,SELLBACK,5.0,5.0,2.28457,58.17543,2.621565852977094
688331.SH,荣昌生物,20250911,20250912,09:37:00,109.2546,20250915,10:00:00,108.5557,100,FORCE_1000,5.0,5.0,10.85557,-90.74557,-0.8302081522644061
300759.SZ,康龙化成,20250911,20250912,09:38:00,32.3762,20250915,09:31:00,34.5082,100,SELLBACK,5.0,5.0,3.45082,199.74918,6.160116819115407
300763.SZ,锦浪科技,20250911,20250912,09:41:00,83.0197,20250915,09:31:00,85.5216,100,SELLBACK,5.0,5.0,8.55216,231.63784,2.7884757017299933
300751.SZ,迈为股份,20250911,20250912,09:42:00,90.9072,20250915,09:31:00,92.581,100,SELLBACK,5.0,5.0,9.2581,148.1219,1.6284791088555937
688180.SH,君实生物-U,20250911,20250912,10:06:00,48.104,20250915,10:00:00,47.5262,100,FORCE_1000,5.0,5.0,4.75262,-72.53262,-1.5062636541097314
300207.SZ,欣旺达,20250912,20250915,09:34:00,30.2352,20250916,10:00:00,28.2859,100,FORCE_1000,5.0,5.0,2.82859,-207.75859,-6.860069935149841
300751.SZ,迈为股份,20250912,20250915,09:34:00,91.5758,20250916,10:00:00,89.6651,100,FORCE_1000,5.0,5.0,8.96651,-210.03651,-2.292329343918416
601212.SH,白银有色,20250912,20250915,09:35:00,3.922,20250916,09:31:00,4.004,100,SELLBACK,5.0,5.0,0.4004,-2.2004,-0.5539778449144008
300763.SZ,锦浪科技,20250912,20250915,09:39:00,85.9229,20250916,10:00:00,82.9785,100,FORCE_1000,5.0,5.0,8.29785,-312.73785,-3.6376329052527017
000009.SZ,中国宝安,20250912,20250915,09:40:00,11.2292,20250916,10:00:00,10.7046,100,FORCE_1000,5.0,5.0,1.07046,-63.53046,-5.632532449109865
000830.SZ,鲁西化工,20250912,20250915,10:01:00,13.9487,20250916,09:31:00,14.1987,100,SELLBACK,5.0,5.0,1.41987,13.58013,0.9700993663697344
601233.SH,桐昆股份,20250912,20250915,14:59:00,14.2971,20250916,09:31:00,14.4483,100,SELLBACK,5.0,5.0,1.44483,3.67517,0.2561611754291808
600988.SH,赤峰黄金,20250915,20250916,09:35:00,29.3046,20250917,10:00:00,28.076,100,FORCE_1000,5.0,5.0,2.8076,-135.6676,-4.621681099384764
601212.SH,白银有色,20250915,20250916,09:37:00,3.8919,20250917,10:00:00,3.7781,100,FORCE_1000,5.0,5.0,0.37781,-21.75781,-5.519625053908014
601869.SH,长飞光纤,20250915,20250916,09:42:00,86.2381,20250917,09:31:00,96.54,100,SELLBACK,5.0,5.0,9.654,1010.536,11.711186131111937
