============================================================
  日志文件创建: 2026-08-13 09:30:00
  策略版本: v22 (MiniQMT, 模块化拆分)
  标的: 601869
============================================================
[09:30:03] [连接] MiniQMT 行情服务已连接
[09:30:03] [交易] 已订阅账号 8890145315
[09:30:03] [启动] 长飞光纤 v22 实盘 601869.SH
[09:30:03] [信号] 熊市 开盘Y352.00 ATR11.1% RSI35 量比1.00 乘数0.20 触发Y359.84 
[09:30:03] [因子] 趋势-0.15 波动率-0.17 成交量+0.00 RSI+0.10
[09:30:03] [账户] 持仓:200股 Y70,398(68%) | 可用:Y33,435 | T+0:2手(200股)
[09:30:03] [反T] ✅ 2手 触发Y359.84 买回=卖价×(1-ATR%×0.15) 紧急+3%
[09:30:03] [正T] ❌ 资金不足  1手≈Y35,199
[09:30:03] [开盘] [Y351.99] [反T触发Y359.84(需涨2.23%)] [正T触发Y344.95(需跌2.00%)]
[09:30:03] [心跳] IDLE Y351.99 反T:需涨7.85至Y359.84 | 正T:禁
[09:31:03] [心跳] IDLE Y350.52 反T:需涨9.32至Y359.84 | 正T:禁
[09:32:03] [心跳] IDLE Y350.56 反T:需涨9.28至Y359.84 | 正T:禁
[09:33:04] [心跳] IDLE Y351.32 反T:需涨8.52至Y359.84 | 正T:禁
[09:34:04] [心跳] IDLE Y350.20 反T:需涨9.64至Y359.84 | 正T:禁
[09:35:04] [心跳] IDLE Y350.10 反T:需涨9.74至Y359.84 | 正T:禁
[09:36:04] [心跳] IDLE Y350.80 反T:需涨9.04至Y359.84 | 正T:禁
[09:37:04] [心跳] IDLE Y352.94 反T:需涨6.90至Y359.84 | 正T:禁
[09:38:04] [心跳] IDLE Y352.17 反T:需涨7.67至Y359.84 | 正T:禁
[09:39:04] [心跳] IDLE Y350.50 反T:需涨9.34至Y359.84 | 正T:禁
[09:40:04] [心跳] IDLE Y348.50 反T:需涨11.34至Y359.84 | 正T:禁
[09:41:04] [心跳] IDLE Y348.00 反T:需涨11.84至Y359.84 | 正T:禁
[09:42:04] [心跳] IDLE Y350.99 反T:需涨8.85至Y359.84 | 正T:禁
[09:43:04] [心跳] IDLE Y352.00 反T:需涨7.84至Y359.84 | 正T:禁
[09:44:04] [心跳] IDLE Y351.50 反T:需涨8.34至Y359.84 | 正T:禁
[09:45:04] [心跳] IDLE Y351.22 反T:需涨8.62至Y359.84 | 正T:禁
[09:46:05] [心跳] IDLE Y352.77 反T:需涨7.07至Y359.84 | 正T:禁
[09:47:05] [心跳] IDLE Y353.25 反T:需涨6.59至Y359.84 | 正T:禁
[09:48:05] [心跳] IDLE Y353.66 反T:需涨6.18至Y359.84 | 正T:禁
[09:49:05] [心跳] IDLE Y352.55 反T:需涨7.29至Y359.84 | 正T:禁
[09:50:05] [心跳] IDLE Y349.80 反T:需涨10.04至Y359.84 | 正T:禁
[09:51:05] [心跳] IDLE Y351.00 反T:需涨8.84至Y359.84 | 正T:禁
[09:52:05] [心跳] IDLE Y351.60 反T:需涨8.24至Y359.84 | 正T:禁
[09:53:05] [心跳] IDLE Y350.00 反T:需涨9.84至Y359.84 | 正T:禁
[09:54:05] [心跳] IDLE Y350.07 反T:需涨9.77至Y359.84 | 正T:禁
[09:55:05] [心跳] IDLE Y347.33 反T:需涨12.51至Y359.84 | 正T:禁
[09:56:05] [心跳] IDLE Y347.85 反T:需涨11.99至Y359.84 | 正T:禁
[09:57:05] [心跳] IDLE Y346.68 反T:需涨13.16至Y359.84 | 正T:禁
[09:58:06] [心跳] IDLE Y348.12 反T:需涨11.72至Y359.84 | 正T:禁
[09:59:06] [心跳] IDLE Y350.00 反T:需涨9.84至Y359.84 | 正T:禁
[10:00:06] [心跳] IDLE Y348.47 反T:需涨11.37至Y359.84 | 正T:禁
[10:01:06] [心跳] IDLE Y349.98 反T:需涨9.86至Y359.84 | 正T:禁
[10:02:06] [心跳] IDLE Y351.53 反T:需涨8.31至Y359.84 | 正T:禁
[10:03:06] [心跳] IDLE Y352.20 反T:需涨7.64至Y359.84 | 正T:禁
[10:04:06] [心跳] IDLE Y352.75 反T:需涨7.09至Y359.84 | 正T:禁
[10:05:06] [心跳] IDLE Y353.30 反T:需涨6.54至Y359.84 | 正T:禁
[10:06:06] [心跳] IDLE Y352.66 反T:需涨7.18至Y359.84 | 正T:禁
[10:07:06] [心跳] IDLE Y352.00 反T:需涨7.84至Y359.84 | 正T:禁
[10:08:06] [心跳] IDLE Y352.96 反T:需涨6.88至Y359.84 | 正T:禁
[10:09:06] [心跳] IDLE Y354.87 反T:需涨4.97至Y359.84 | 正T:禁
[10:10:07] [心跳] IDLE Y355.05 反T:需涨4.79至Y359.84 | 正T:禁
[10:11:07] [心跳] IDLE Y354.68 反T:需涨5.16至Y359.84 | 正T:禁
[10:12:07] [心跳] IDLE Y354.99 反T:需涨4.85至Y359.84 | 正T:禁
[10:13:07] [心跳] IDLE Y355.23 反T:需涨4.61至Y359.84 | 正T:禁
[10:14:07] [心跳] IDLE Y356.14 反T:需涨3.70至Y359.84 | 正T:禁
[10:15:07] [心跳] IDLE Y356.34 反T:需涨3.50至Y359.84 | 正T:禁
[10:16:07] [心跳] IDLE Y356.39 反T:需涨3.45至Y359.84 | 正T:禁
[10:17:07] [心跳] IDLE Y356.01 反T:需涨3.83至Y359.84 | 正T:禁
[10:18:07] [心跳] IDLE Y355.79 反T:需涨4.05至Y359.84 | 正T:禁
[10:19:07] [心跳] IDLE Y354.53 反T:需涨5.31至Y359.84 | 正T:禁
[10:20:07] [心跳] IDLE Y355.21 反T:需涨4.63至Y359.84 | 正T:禁
[10:21:07] [心跳] IDLE Y356.13 反T:需涨3.71至Y359.84 | 正T:禁
[10:22:07] [心跳] IDLE Y355.65 反T:需涨4.19至Y359.84 | 正T:禁
[10:23:07] [心跳] IDLE Y356.00 反T:需涨3.84至Y359.84 | 正T:禁
[10:24:08] [心跳] IDLE Y355.90 反T:需涨3.94至Y359.84 | 正T:禁
[10:25:08] [心跳] IDLE Y355.55 反T:需涨4.29至Y359.84 | 正T:禁
[10:26:08] [心跳] IDLE Y354.60 反T:需涨5.24至Y359.84 | 正T:禁
[10:27:08] [心跳] IDLE Y354.56 反T:需涨5.28至Y359.84 | 正T:禁
[10:28:08] [心跳] IDLE Y354.22 反T:需涨5.62至Y359.84 | 正T:禁
[10:29:08] [心跳] IDLE Y355.02 反T:需涨4.82至Y359.84 | 正T:禁
[10:30:08] [心跳] IDLE Y354.66 反T:需涨5.18至Y359.84 | 正T:禁
[10:31:08] [心跳] IDLE Y352.96 反T:需涨6.88至Y359.84 | 正T:禁
[10:32:08] [心跳] IDLE Y353.24 反T:需涨6.60至Y359.84 | 正T:禁
[10:33:08] [心跳] IDLE Y353.92 反T:需涨5.92至Y359.84 | 正T:禁
[10:34:08] [心跳] IDLE Y352.81 反T:需涨7.03至Y359.84 | 正T:禁
[10:35:08] [心跳] IDLE Y352.80 反T:需涨7.04至Y359.84 | 正T:禁
