code,name,alpha,neg_days,avg_amount
600983.SH,惠而浦,9.080428766336507e-09,10,32244015.864
600615.SH,鑫源智造,8.061841386272531e-09,14,55329253.910500005
600148.SH,长春一东,8.01637184858406e-09,14,35759166.4595
600802.SH,福建水泥,7.803021747409565e-09,13,33228760.865500003
600561.SH,江西长运,7.619362952680587e-09,12,35568245.912
600671.SH,天目药业,7.579454935679063e-09,13,43230320.989999995
600620.SH,天宸股份,7.487034968479226e-09,12,31340777.348999996
600229.SH,城市传媒,7.329377342898504e-09,12,81128715.93299998
600689.SH,上海三毛,7.310944926278953e-09,14,34814417.64350001
600493.SH,凤竹纺织,7.1655466310539555e-09,15,37386808.607999995
600235.SH,民丰特纸,6.979331761076649e-09,13,34730222.992
600853.SH,龙建股份,6.969398363162564e-09,13,31666354.22
600692.SH,亚通股份,6.87374554426189e-09,12,40642071.798
600613.SH,神奇制药,6.813012464908045e-09,14,30249835.8435
600650.SH,锦江在线,6.7783900211771395e-09,12,49183872.787
600796.SH,钱江生化,6.732178639850682e-09,12,31363378.110999994
600846.SH,同济科技,6.691968926148078e-09,14,71944774.6775
600099.SH,林海股份,6.5201868123800555e-09,15,38655217.123500004
600533.SH,栖霞建设,6.466385576979243e-09,13,43054928.904999994
600051.SH,宁波联合,6.34414581096165e-09,14,36845245.767000005
600569.SH,安阳钢铁,6.2744473221350256e-09,13,30896802.5655
600616.SH,金枫酒业,6.248490438548873e-09,13,34766917.471
600405.SH,动力源,6.182680812841336e-09,11,57876000.789
600283.SH,钱江水利,6.180599329599841e-09,15,34775056.2835
600469.SH,风神股份,6.176755358025201e-09,12,38170992.642
600278.SH,东方创业,5.991807994786083e-09,11,38166541.56899999
600327.SH,大东方,5.983426121247003e-09,12,45286894.721
600081.SH,东风科技,5.8444623388371375e-09,14,42969406.9395
600560.SH,金自天正,5.813190173368197e-09,13,49810293.90349999
600679.SH,上海凤凰,5.805920469860482e-09,13,56012124.7155
600883.SH,博闻科技,5.783728815942273e-09,12,40229027.123500004
600824.SH,益民集团,5.768427521955329e-09,13,33146051.949499995
601366.SH,利群股份,5.653325800328091e-09,12,37856770.31
601279.SH,英利汽车,5.617433748783934e-09,13,35388654.62
600117.SH,西宁特钢,5.615367448262672e-09,11,42615086.725
600661.SH,昂立教育,5.607992207503205e-09,14,40660667.839499995
600668.SH,尖峰集团,5.551946029540988e-09,14,41534916.026999995
600847.SH,万里股份,5.460519936582226e-09,11,70504907.0325
601188.SH,龙江交通,5.436315628827184e-09,13,36693552.028
600738.SH,丽尚国潮,5.398917194913398e-09,13,38536971.6735
600359.SH,新农开发,5.369264750872292e-09,14,47766362.298999995
600825.SH,新华传媒,5.287399928887812e-09,12,71687466.26900001
600073.SH,光明肉业,5.193231101958637e-09,12,36899065.58749999
600495.SH,晋西车轴,5.156384386843533e-09,11,51209566.7745
601113.SH,华鼎股份,5.0210896115600835e-09,14,43653339.725
600897.SH,厦门空港,4.994317338525817e-09,13,45656085.93
600939.SH,重庆建工,4.97934562375402e-09,12,54428365.626499996
600508.SH,上海能源,4.9261394991676515e-09,10,201037994.7745
600831.SH,广电网络,4.864867008724846e-09,15,76091836.07299998
600805.SH,悦达投资,4.8287073108610725e-09,12,38344500.184
600858.SH,银座股份,4.813277446798558e-09,13,46372979.50750001
601008.SH,连云港,4.738364413844365e-09,11,47729573.419999994
600419.SH,天润乳业,4.7170603921563256e-09,12,44983134.158999994
600626.SH,申达股份,4.597693926099992e-09,11,53611171.23149999
600356.SH,恒丰纸业,4.531741423975094e-09,13,47140838.9995
600742.SH,富维股份,4.518868162362658e-09,11,41798812.279
600716.SH,凤凰股份,4.495322886229004e-09,9,36554420.1835
600603.SH,广汇物流,4.453876280359702e-09,14,95699491.0655
600604.SH,市北高新,4.4094039207998135e-09,12,71223529.9895
600217.SH,中再资环,4.399760261441676e-09,12,45403735.13649999
600178.SH,东安动力,4.396121719118779e-09,12,110800653.277
600261.SH,阳光照明,4.310327241064216e-09,10,55509665.243499994
600622.SH,光大嘉宝,4.304672943960819e-09,14,97624771.97299999
601022.SH,宁波远洋,4.304554632787472e-09,13,74592427.653
600249.SH,两面针,4.2962749681340606e-09,12,44394587.560499996
600526.SH,菲达环保,4.29425307911016e-09,12,44383724.1495
600612.SH,老凤祥,4.275011846054312e-09,13,44680911.948
600720.SH,中交设计,4.217426054843054e-09,14,57012687.3415
601512.SH,中新集团,4.180021201312266e-09,11,46492834.755
600055.SH,万东医疗,4.177744751078648e-09,15,77207508.98050001
600746.SH,江苏索普,4.166654410955668e-09,12,77096796.641
601089.SH,福元医药,4.159489795032989e-09,10,55442038.4035
600819.SH,耀皮玻璃,4.148633792992655e-09,11,93619001.4005
600975.SH,新五丰,4.1389231131043725e-09,12,49018658.95549999
600279.SH,重庆港,4.135513855906609e-09,11,133239329.92899999
600814.SH,杭州解百,4.1252796081560425e-09,14,46112883.2345
601038.SH,一拖股份,4.077330097075399e-09,15,64904368.20949999
600658.SH,电子城,4.014572692191737e-09,13,64136493.27
600448.SH,华纺股份,3.989080641947182e-09,13,67097081.263
601599.SH,浙文影业,3.987734127858154e-09,11,49220319.341
600643.SH,爱建集团,3.948277345655955e-09,10,59459675.146000005
600530.SH,交大昂立,3.9420711062490684e-09,15,123354634.81399998
601616.SH,广电电气,3.928634903312801e-09,14,76654773.6125
600681.SH,百川能源,3.896017457475965e-09,13,59707558.30500001
600191.SH,华资实业,3.851399477908635e-09,9,73058819.779
600725.SH,云维股份,3.829003828419852e-09,14,67792782.90799999
600594.SH,益佰制药,3.817391436269088e-09,12,62161306.87700001
601158.SH,重庆水务,3.8145934637392566e-09,12,31183889.885999996
601107.SH,四川成渝,3.781822362536428e-09,14,64753304.467499994
600167.SH,联美控股,3.7106891716067127e-09,12,80595032.868
600557.SH,康缘药业,3.7053126041581653e-09,12,57239154.94250001
601003.SH,柳钢股份,3.623820930199914e-09,10,70878767.6635
600724.SH,宁波富达,3.6061092558612213e-09,13,70264900.598
600997.SH,开滦股份,3.5925203145010155e-09,11,77622632.84099999
600429.SH,三元股份,3.5488116155306357e-09,11,64539709.97750001
600721.SH,百花医药,3.5106702046621486e-09,15,107316623.24
600698.SH,湖南天雁,3.507993757720833e-09,12,88204772.359
600830.SH,香溢融通,3.4735291328362614e-09,12,74183249.46700001
600373.SH,中文传媒,3.4622742300291427e-09,14,72312976.08749999
601121.SH,宝地矿业,3.457885727870738e-09,11,66993520.984500006
600990.SH,四创电子,3.4563275867403207e-09,13,71292963.64699998
600212.SH,绿能慧充,3.396892558832561e-09,13,73853472.11599998
601086.SH,国芳集团,3.3855736514773275e-09,10,119087938.1635
600639.SH,浦东金桥,3.376195748977944e-09,11,34092074.909499995
600597.SH,光明乳业,3.372162856533383e-09,11,52958445.47
600284.SH,浦东建设,3.3645393767476153e-09,12,109767107.53099999
600257.SH,大湖股份,3.359403612292402e-09,14,65607377.5535
600992.SH,贵绳股份,3.2967018247243265e-09,12,133289405.63849998
600851.SH,海欣股份,3.288590678179447e-09,7,125196404.567
600335.SH,国机汽车,3.259919866621501e-09,13,55924777.7385
600790.SH,轻纺城,3.233078488948736e-09,14,73219502.5625
601500.SH,通用股份,3.2297697175575744e-09,12,64228391.72600001
600250.SH,南京商旅,3.204312628272589e-09,12,74186283.19500001
600894.SH,广日股份,3.1808803227601264e-09,11,48684746.24549999
600966.SH,博汇纸业,3.166823037876282e-09,14,86979352.897
600262.SH,北方股份,3.1468756674159003e-09,13,68885352.964
600420.SH,国药现代,3.1355821159451507e-09,12,57345671.736
600784.SH,鲁银投资,3.128323810293606e-09,12,117060913.06099999
600075.SH,新疆天业,3.11362990550684e-09,12,109630608.49399999
601163.SH,三角轮胎,3.0975518400203282e-09,14,61027761.276
601515.SH,衢州东峰,3.0973400916801963e-09,11,73952402.84450002
600663.SH,陆家嘴,3.0738557093199604e-09,12,81576620.7775
600713.SH,南京医药,3.0721526449204075e-09,10,44673938.071499996
600880.SH,博瑞传播,3.0652435701290543e-09,11,74907746.9855
600571.SH,信雅达,3.0513284056747605e-09,12,96643168.49850002
600981.SH,苏豪汇鸿,3.033496360840349e-09,14,117648957.96200001
600756.SH,浪潮软件,3.029370342833369e-09,11,101609442.26449999
600368.SH,五洲交通,2.972999091775098e-09,11,60535933.47549999
601019.SH,山东出版,2.969346706378202e-09,11,48968673.0135
600375.SH,汉马科技,2.9638138450518415e-09,13,100428294.09200001
600422.SH,昆药集团,2.9594534351423973e-09,11,82565144.174
600838.SH,上海九百,2.9216019562172215e-09,13,72721260.266
600477.SH,杭萧钢构,2.8629872796213574e-09,12,78966546.15549998
600576.SH,祥源文旅,2.86227962968239e-09,12,113153990.03
600843.SH,上工申贝,2.8599591151471356e-09,12,138514123.838
600138.SH,中青旅,2.8563139721611662e-09,13,70305387.9445
600449.SH,宁夏建材,2.845169011694947e-09,10,98770366.9145
601339.SH,百隆东方,2.807142641785257e-09,10,97093719.79499999
600929.SH,雪天盐业,2.793300034265738e-09,12,94509670.8615
600812.SH,华北制药,2.77335433340424e-09,11,62035407.631500006
603092.SH,德力佳,2.7721787445354123e-09,15,105121557.988
600300.SH,维维股份,2.7514536196485335e-09,12,70681282.044
600173.SH,卧龙新能,2.7497831344875455e-09,11,107007757.1955
