code,sector,screen_date,entry_price,final_price,forward_return,max_dd_fwd,days_held,score,reasons
600183,元件,2024-07-16,21.02,40.09,90.7,-38.6,250,99,均线发散|极早期(14%)|温和放量(1.4x)|稳健(+11%)|强势行业(元件)
000977,计算机设备,2024-07-16,38.00,54.56,43.6,-34.3,250,97,均线发散|极早期(5%)|温和放量(1.2x)|稳健(+5%)|底部蓄力
200012,玻璃玻纤,2024-07-16,2.25,1.90,-15.7,-39.5,250,89,均线发散|极早期(1%)|温和放量(1.2x)|底部蓄力|强势行业(玻璃玻纤)
900918,玻璃玻纤,2024-07-16,0.25,0.34,35.6,-26.4,250,89,均线发散|极早期(3%)|温和放量(1.3x)|底部蓄力|强势行业(玻璃玻纤)
000636,元件,2024-07-16,14.85,14.22,-4.2,-28.7,250,89,均线发散|强势行业(元件)
002463,元件,2024-07-16,34.96,52.24,49.4,-46.3,250,89,均线发散|极早期(5%)|温和放量(1.3x)|底部蓄力|强势行业(元件)
002584,电子化学品,2024-07-16,5.93,9.14,54.2,-22.5,250,85,均线发散|极早期(5%)|底部蓄力|强势行业(电子化学品)
002741,电子化学品,2024-07-16,11.90,20.06,68.6,-45.4,250,84,均线发散|强势行业(电子化学品)
600819,玻璃玻纤,2024-07-16,4.30,6.63,54.1,-30.1,250,83,极早期(2%)|温和放量(1.4x)|底部蓄力|强势行业(玻璃玻纤)
002180,计算机设备,2024-07-16,27.08,24.15,-10.8,-35.9,250,82,均线发散|极早期(1%)|温和放量(1.3x)|底部蓄力
000823,元件,2024-07-16,8.12,12.64,55.7,-28.9,250,82,均线发散|极早期(6%)|底部蓄力|强势行业(元件)
000725,光学光电子,2024-07-16,3.96,4.04,2.0,-21.5,250,82,均线发散|极早期(1%)|温和放量(1.7x)|底部蓄力
000012,玻璃玻纤,2024-07-16,4.87,4.95,1.6,-23.8,250,82,均线发散|极早期(1%)|底部蓄力|强势行业(玻璃玻纤)
002475,,2024-07-16,41.69,37.60,-9.8,-38.4,250,82,均线发散|极早期(10%)|稳健(+15%)|底部蓄力
000063,通信设备,2024-07-16,27.37,34.47,25.9,-31.1,250,82,均线发散|极早期(5%)|底部蓄力|强势行业(通信设备)
002273,光学光电子,2024-07-16,18.71,20.66,10.4,-39.2,250,81,均线发散|温和放量(1.8x)
600584,,2024-07-16,34.42,34.88,1.3,-35.7,250,79,均线发散|极早期(12%)|底部蓄力
002636,元件,2024-07-16,6.48,12.20,88.2,-38.6,250,78,极早期(14%)|温和放量(1.4x)|强势行业(元件)
002134,元件,2024-07-16,8.55,21.90,156.1,-36.3,250,77,极早期(1%)|稳健(+7%)|底部蓄力|强势行业(元件)
002189,国防军工,2024-07-16,14.42,26.72,85.3,-38.5,250,76,极早期(5%)|温和放量(1.3x)|底部蓄力
002138,元件,2024-07-16,27.31,27.83,1.9,-26.2,250,76,极早期(6%)|底部蓄力|强势行业(元件)
002414,国防军工,2024-07-16,5.98,11.22,87.6,-28.1,250,76,极早期(3%)|温和放量(1.5x)|底部蓄力
002197,计算机设备,2024-07-15,3.73,6.90,85.0,-35.6,250,76,极早期(4%)|稳健(+8%)|底部蓄力
603516,计算机设备,2024-07-16,33.17,50.31,51.7,-46.3,250,72,均线发散|极早期(13%)|温和放量(1.3x)
002129,,2024-07-16,8.73,8.56,-1.9,-43.5,250,70,极早期(2%)|温和放量(1.2x)|底部蓄力
600703,,2024-07-16,11.78,12.81,8.7,-30.0,250,69,极早期(2%)|底部蓄力
000050,光学光电子,2024-07-16,7.49,9.24,23.4,-29.2,250,69,极早期(5%)|底部蓄力
600237,元件,2024-07-16,4.96,7.69,55.0,-30.1,250,68,极早期(1%)|底部蓄力|强势行业(元件)
600498,通信设备,2024-07-16,15.23,21.86,43.5,-31.4,250,68,极早期(1%)|底部蓄力|强势行业(通信设备)
600563,元件,2024-07-16,80.86,110.80,37.0,-33.5,250,68,极早期(8%)|底部蓄力|强势行业(元件)
002935,国防军工,2024-07-16,12.45,15.85,27.3,-32.4,250,62,极早期(11%)
002313,通信设备,2024-07-16,6.66,9.79,47.0,-41.0,250,62,极早期(1%)|底部蓄力|强势行业(通信设备)
002106,光学光电子,2024-07-16,9.73,10.67,9.7,-32.8,250,61,极早期(1%)|底部蓄力
000727,光学光电子,2024-07-16,2.02,2.43,20.3,-37.3,250,61,极早期(0%)|底部蓄力
600879,国防军工,2024-07-16,7.45,10.32,38.5,-26.1,250,55,极早期(2%)|底部蓄力
002222,光学光电子,2024-07-16,21.50,38.97,81.3,-22.2,250,55,极早期(0%)|底部蓄力
600487,通信设备,2024-07-16,14.86,15.90,7.0,-24.8,250,37,均线发散|底部蓄力|强势行业(通信设备)
002281,通信设备,2024-07-16,35.63,52.58,47.6,-33.3,250,37,均线发散|底部蓄力|强势行业(通信设备)
603256,玻璃玻纤,2024-07-16,6.54,23.26,255.6,-34.7,250,36,温和放量(1.2x)|强势行业(玻璃玻纤)
002436,元件,2024-07-16,9.60,17.86,86.0,-30.9,250,33,底部蓄力|强势行业(元件)
002376,计算机设备,2024-07-16,4.73,7.65,61.9,-28.4,250,33,温和放量(1.3x)|底部蓄力
000100,光学光电子,2024-07-16,3.91,4.51,15.3,-28.8,250,33,温和放量(1.2x)|底部蓄力
002080,玻璃玻纤,2024-07-16,10.53,29.28,178.0,-19.2,250,30,温和放量(1.2x)|强势行业(玻璃玻纤)
002296,通信设备,2024-07-16,7.91,11.66,47.4,-25.0,250,28,强势行业(通信设备)
002199,元件,2024-07-08,6.01,8.93,48.6,-61.3,250,27,强势行业(元件)
000536,光学光电子,2024-07-16,1.91,4.52,136.6,-55.2,250,26,底部蓄力
002152,计算机设备,2024-07-16,9.39,13.41,42.8,-30.5,250,26,底部蓄力
002484,元件,2024-07-16,12.41,21.67,74.6,-39.7,250,25,底部蓄力|强势行业(元件)
603078,电子化学品,2024-07-09,12.90,18.26,41.6,-33.7,250,25,底部蓄力|强势行业(电子化学品)
002579,元件,2024-07-16,6.92,12.58,81.8,-32.8,250,25,底部蓄力|强势行业(元件)
002194,通信设备,2024-07-16,7.58,13.43,77.2,-40.9,250,25,底部蓄力|强势行业(通信设备)
600776,通信设备,2024-07-16,9.10,11.16,22.7,-32.2,250,25,底部蓄力|强势行业(通信设备)
000586,通信设备,2024-07-09,7.12,11.60,62.9,-39.1,250,25,底部蓄力|强势行业(通信设备)
002643,电子化学品,2024-07-16,8.85,12.94,46.2,-28.8,250,25,底部蓄力|强势行业(电子化学品)
600775,通信设备,2024-07-16,7.26,10.60,46.0,-31.5,250,25,底部蓄力|强势行业(通信设备)
002049,半导体,2024-07-02,50.74,66.62,31.3,-25.7,250,25,底部蓄力|强势行业(半导体)
601636,玻璃玻纤,2024-07-16,5.88,6.44,9.4,-30.7,250,25,底部蓄力|强势行业(玻璃玻纤)
605006,玻璃玻纤,2024-07-16,4.08,7.62,86.8,-51.2,250,25,底部蓄力|强势行业(玻璃玻纤)
002613,玻璃玻纤,2024-07-16,3.74,4.10,9.6,-25.4,250,25,底部蓄力|强势行业(玻璃玻纤)
000070,通信设备,2024-07-15,4.28,7.56,76.6,-21.4,250,25,底部蓄力|强势行业(通信设备)
002201,玻璃玻纤,2024-07-16,4.23,7.72,82.8,-28.2,250,25,底部蓄力|强势行业(玻璃玻纤)
600105,通信设备,2024-07-16,3.40,9.42,176.7,-33.2,250,25,底部蓄力|强势行业(通信设备)
600293,玻璃玻纤,2024-07-16,2.50,3.20,28.0,-34.8,250,25,底部蓄力|强势行业(玻璃玻纤)
002017,通信设备,2024-07-16,7.56,27.11,258.6,-26.2,250,25,底部蓄力|强势行业(通信设备)
600586,玻璃玻纤,2024-07-16,5.67,5.35,-5.7,-31.1,250,25,底部蓄力|强势行业(玻璃玻纤)
002396,通信设备,2024-07-16,9.40,20.13,114.0,-28.0,250,25,底部蓄力|强势行业(通信设备)
600176,玻璃玻纤,2024-07-16,9.96,12.51,25.6,-18.8,250,25,底部蓄力|强势行业(玻璃玻纤)
600345,通信设备,2024-07-16,16.02,24.26,51.5,-32.2,250,20,强势行业(通信设备)
603061,半导体,2024-07-16,41.88,62.84,50.1,-25.5,250,20,强势行业(半导体)
002077,半导体,2024-07-16,10.74,14.27,32.9,-34.1,250,20,强势行业(半导体)
603931,电子化学品,2024-07-16,19.27,26.82,39.2,-30.7,250,20,强势行业(电子化学品)
000045,光学光电子,2024-07-16,7.61,10.71,40.7,-33.3,250,18,底部蓄力
002036,光学光电子,2024-07-09,7.27,10.95,50.6,-36.0,250,18,底部蓄力
002415,计算机设备,2024-07-16,28.43,27.44,-3.5,-19.3,250,18,底部蓄力
002217,光学光电子,2024-07-11,1.29,2.52,95.3,-27.4,250,18,底部蓄力
601869,,2024-07-16,22.45,40.13,78.8,-30.7,250,18,底部蓄力
000020,光学光电子,2024-07-16,9.56,13.48,41.0,-38.5,250,18,底部蓄力
000738,国防军工,2024-07-16,19.20,21.47,11.8,-33.7,250,18,底部蓄力
000066,计算机设备,2024-07-16,8.41,15.21,80.9,-44.1,250,18,底部蓄力
002025,国防军工,2024-07-16,41.65,53.29,27.9,-32.1,250,18,底部蓄力
003009,国防军工,2024-07-16,37.30,47.33,26.9,-27.6,250,18,底部蓄力
002236,计算机设备,2024-07-16,13.80,16.05,16.3,-26.7,250,18,底部蓄力
002177,计算机设备,2024-07-16,3.03,6.68,120.1,-42.9,250,18,底部蓄力
002289,光学光电子,2024-07-09,2.55,19.34,658.4,-19.0,250,13,
003004,计算机设备,2024-07-12,23.26,18.41,-20.9,-45.0,250,13,
