date,open,close,high,low,volume
2025-12-24,8.720,8.990,9.010,8.710,309951.000
2025-12-25,9.010,8.880,9.020,8.850,198619.000
2025-12-26,8.880,8.880,8.920,8.830,177118.000
2025-12-29,8.890,8.890,8.990,8.840,225040.000
2025-12-30,8.860,8.870,8.930,8.830,177872.000
2025-12-31,8.900,9.030,9.100,8.890,354445.000
2026-01-05,9.030,9.100,9.110,8.970,261465.000
2026-01-06,9.110,9.460,9.490,9.110,497313.000
2026-01-07,9.480,9.290,9.480,9.270,318624.000
2026-01-08,9.260,9.570,9.970,9.250,590521.000
2026-01-09,9.580,10.250,10.530,9.500,1499406.000
2026-01-12,10.000,10.330,10.390,9.980,1193600.000
2026-01-13,10.310,9.960,10.330,9.920,711933.000
2026-01-14,10.010,10.140,10.590,9.990,846241.000
2026-01-15,10.080,10.270,10.360,10.030,553994.000
2026-01-16,10.290,10.110,10.300,9.960,520480.000
2026-01-19,10.020,10.190,10.230,9.950,431854.000
2026-01-20,10.190,10.070,10.250,9.980,409906.000
2026-01-21,10.010,10.200,10.300,9.990,443535.000
2026-01-22,10.200,10.260,10.270,10.140,335338.000
2026-01-23,10.300,10.510,10.650,10.280,571809.000
2026-01-26,10.460,10.310,10.520,10.210,438758.000
2026-01-27,10.280,10.440,10.500,10.170,413248.000
2026-01-28,10.420,10.320,10.430,10.250,320955.000
2026-01-29,10.260,10.120,10.510,10.060,470009.000
2026-01-30,10.060,9.700,10.220,9.500,688643.000
2026-02-02,9.610,9.110,9.650,9.080,615277.000
2026-02-03,9.220,9.300,9.370,9.150,430371.000
2026-02-04,9.260,9.450,9.460,9.230,348934.000
2026-02-05,9.410,9.330,9.420,9.210,291787.000
2026-02-06,9.270,9.330,9.430,9.200,287877.000
2026-02-09,9.420,9.670,9.890,9.400,450148.000
2026-02-10,9.660,9.700,9.790,9.620,245824.000
2026-02-11,9.690,9.680,9.840,9.650,218368.000
2026-02-12,9.680,9.700,9.720,9.580,207951.000
2026-02-13,9.660,9.650,9.790,9.610,271944.000
2026-02-24,9.720,9.780,9.910,9.710,274778.000
2026-02-25,9.800,9.990,10.050,9.790,305661.000
2026-02-26,10.020,10.070,10.110,9.920,266673.000
2026-02-27,10.040,10.150,10.160,9.950,245380.000
2026-03-02,10.000,9.940,10.140,9.890,360773.000
2026-03-03,9.970,9.390,10.020,9.340,429326.000
2026-03-04,9.280,9.200,9.460,9.170,297973.000
2026-03-05,9.390,9.700,9.880,9.380,496886.000
2026-03-06,9.530,9.390,9.610,9.340,405575.000
2026-03-09,9.230,9.230,9.300,8.920,450657.000
2026-03-10,9.380,9.390,9.520,9.350,274782.000
2026-03-11,9.370,9.450,9.590,9.370,258370.000
2026-03-12,9.410,9.550,9.670,9.380,257617.000
2026-03-13,9.500,9.390,9.640,9.360,247623.000
2026-03-16,9.310,9.000,9.330,8.920,594905.000
2026-03-17,9.070,8.740,9.130,8.720,403061.000
2026-03-18,8.790,8.810,8.830,8.660,287086.000
2026-03-19,8.700,8.620,8.750,8.550,299757.000
2026-03-20,8.620,8.380,8.720,8.380,308533.000
2026-03-23,8.140,7.800,8.240,7.690,483574.000
2026-03-24,7.900,7.950,7.970,7.710,267259.000
2026-03-25,8.040,8.040,8.090,7.980,226031.000
2026-03-26,8.040,7.960,8.100,7.890,182642.000
2026-03-27,7.870,8.030,8.080,7.840,177651.000
2026-03-30,7.920,8.070,8.080,7.860,221858.000
2026-03-31,8.050,7.910,8.150,7.900,214368.000
2026-04-01,8.050,8.040,8.080,7.950,210269.000
2026-04-02,8.010,7.890,8.080,7.820,194294.000
2026-04-03,7.910,7.790,7.950,7.770,144878.000
2026-04-07,7.840,7.900,7.990,7.800,153233.000
2026-04-08,8.050,8.250,8.250,8.050,304085.000
2026-04-09,8.170,8.200,8.280,8.130,206649.000
2026-04-10,8.250,8.300,8.420,8.240,231854.000
2026-04-13,8.260,8.290,8.350,8.220,155765.000
2026-04-14,8.320,8.290,8.390,8.230,170149.000
2026-04-15,8.320,8.250,8.370,8.230,174120.000
2026-04-16,8.260,8.290,8.310,8.210,170986.000
2026-04-17,8.270,8.340,8.380,8.240,182099.000
2026-04-20,8.300,8.420,8.510,8.290,246291.000
2026-04-21,8.380,8.370,8.440,8.280,197969.000
2026-04-22,8.360,8.500,8.550,8.330,192539.000
2026-04-23,8.470,8.320,8.520,8.290,201743.000
2026-04-24,8.300,8.180,8.340,8.150,185390.000
2026-04-27,8.150,8.360,8.390,8.130,176920.000
2026-04-28,8.350,8.140,8.350,8.100,204142.000
2026-04-29,8.080,8.180,8.250,8.070,181171.000
2026-04-30,7.850,7.620,7.880,7.540,512740.000
2026-05-06,7.640,7.600,7.770,7.580,333337.000
2026-05-07,7.610,7.710,7.760,7.610,283419.000
2026-05-08,7.690,7.770,7.790,7.620,238456.000
2026-05-11,7.810,7.830,7.940,7.760,252900.000
2026-05-12,7.830,7.680,7.840,7.630,248274.000
2026-05-13,7.660,7.830,7.950,7.610,272231.000
2026-05-14,7.870,7.720,7.880,7.640,272610.000
2026-05-15,7.730,7.470,7.770,7.380,359377.000
2026-05-18,7.450,7.400,7.490,7.300,249262.000
2026-05-19,7.400,7.520,7.520,7.300,244294.000
2026-05-20,7.480,7.350,7.500,7.320,188791.000
2026-05-21,7.810,7.600,8.090,7.560,961542.000
2026-05-22,7.680,7.950,7.980,7.370,939952.000
2026-05-25,7.940,8.060,8.220,7.890,651387.000
2026-05-26,7.980,8.270,8.400,7.940,720122.000
2026-05-27,8.270,8.220,8.610,8.110,624050.000
2026-05-28,8.160,8.180,8.280,7.970,453163.000
2026-05-29,8.170,7.620,8.240,7.570,501489.000
2026-06-01,7.600,7.800,8.050,7.580,468363.000
2026-06-02,7.760,7.940,8.190,7.660,430551.000
2026-06-03,7.870,8.000,8.220,7.870,481793.000
2026-06-04,7.900,8.240,8.340,7.890,526813.000
2026-06-05,8.130,8.610,9.060,8.060,1088009.000
2026-06-08,8.380,8.220,8.850,8.200,724935.000
2026-06-09,8.350,8.320,8.440,8.020,594676.000
2026-06-10,8.170,8.000,8.260,7.900,539405.000
2026-06-11,7.880,7.660,7.950,7.550,493046.000
2026-06-12,7.870,7.510,8.080,7.450,585581.000
2026-06-15,7.520,7.950,7.990,7.520,626291.000
2026-06-16,7.970,8.310,8.550,7.930,599531.000
2026-06-17,8.280,9.140,9.140,8.220,576328.000
2026-06-18,9.000,8.940,9.120,8.690,1333371.000
2026-06-22,8.950,9.280,9.500,8.950,1108174.000
2026-06-23,9.300,9.990,10.170,9.060,1484333.000
2026-06-24,9.780,10.720,10.990,9.570,1830753.000
2026-06-25,10.550,10.380,10.780,10.070,1631329.000
2026-06-26,10.270,9.880,10.600,9.810,1342625.000
