date,open,close,high,low,volume
2025-12-24,12.170,12.580,12.750,12.060,978774.000
2025-12-25,12.510,12.480,12.710,12.290,707112.000
2025-12-26,12.480,12.280,12.480,12.140,655393.000
2025-12-29,12.200,12.140,12.330,12.100,486039.000
2025-12-30,12.130,11.980,12.380,11.930,621937.000
2025-12-31,11.880,11.740,12.000,11.640,544487.000
2026-01-05,11.950,12.000,12.070,11.770,508510.000
2026-01-06,12.070,11.950,12.070,11.750,487777.000
2026-01-07,11.860,12.000,12.120,11.850,532468.000
2026-01-08,11.980,12.200,12.270,11.850,765068.000
2026-01-09,12.120,12.530,12.590,12.080,1161005.000
2026-01-12,12.700,13.170,13.300,12.560,1621532.000
2026-01-13,13.290,11.970,13.290,11.910,1210636.000
2026-01-14,11.980,12.590,13.130,11.980,1245884.000
2026-01-15,12.200,11.860,12.280,11.660,828290.000
2026-01-16,11.920,11.960,12.100,11.710,463332.000
2026-01-19,11.800,11.750,12.000,11.600,369617.000
2026-01-20,11.740,11.230,11.760,11.170,497949.000
2026-01-21,11.150,11.370,11.490,11.060,288703.000
2026-01-22,11.700,11.660,11.760,11.460,326245.000
2026-01-23,11.620,11.720,11.730,11.520,406508.000
2026-01-26,11.660,12.200,12.230,11.600,868172.000
2026-01-27,11.920,11.770,11.970,11.360,520225.000
2026-01-28,12.310,11.870,12.610,11.820,598032.000
2026-01-29,11.520,11.320,11.570,11.250,480360.000
2026-01-30,11.140,11.900,12.150,11.000,877418.000
2026-02-02,11.500,11.500,11.910,11.460,494513.000
2026-02-03,11.620,12.290,12.350,11.620,1047054.000
2026-02-04,13.210,13.520,13.520,13.210,503973.000
2026-02-05,14.330,14.160,14.870,13.110,2696473.000
2026-02-06,13.630,14.300,14.680,13.500,1937154.000
2026-02-09,14.600,14.650,15.000,13.820,1577105.000
2026-02-10,15.500,16.120,16.120,15.320,388900.000
2026-02-11,17.730,17.730,17.730,17.730,102249.000
2026-02-12,19.500,19.500,19.500,18.500,1741083.000
2026-02-13,19.000,17.550,19.990,17.550,2049078.000
2026-02-24,18.260,18.200,19.000,17.750,1728475.000
2026-02-25,18.300,18.140,19.270,17.800,1301456.000
2026-02-26,18.710,18.120,19.430,18.100,1501519.000
2026-02-27,16.320,17.870,17.880,16.320,1287488.000
2026-03-02,17.870,19.660,19.660,17.870,490240.000
2026-03-03,19.660,18.460,20.150,18.370,1660379.000
2026-03-04,17.800,19.210,19.920,17.700,1179316.000
2026-03-05,19.620,17.510,19.850,17.400,1411726.000
2026-03-06,17.540,17.060,18.000,16.720,908235.000
2026-03-09,16.520,16.470,16.700,15.390,1091081.000
2026-03-10,16.380,17.460,17.480,16.240,1348283.000
2026-03-11,17.400,17.470,18.550,17.230,1575955.000
2026-03-12,17.360,17.560,18.460,17.070,1103907.000
2026-03-13,17.310,17.090,18.260,17.030,912175.000
2026-03-16,17.170,16.670,17.200,16.260,687368.000
2026-03-17,16.750,15.480,16.850,15.400,634118.000
2026-03-18,15.740,15.890,15.910,15.360,465076.000
2026-03-19,15.480,15.220,15.810,15.050,459591.000
2026-03-20,15.470,14.640,15.600,14.590,480304.000
2026-03-23,14.280,13.600,14.430,13.400,678812.000
2026-03-24,14.000,14.420,14.480,13.710,655810.000
2026-03-25,14.950,15.860,15.860,14.940,406962.000
2026-03-26,15.680,15.560,16.280,15.290,1299935.000
2026-03-27,15.090,15.680,15.940,14.900,807376.000
2026-03-30,15.400,16.180,16.450,15.220,1017114.000
2026-03-31,16.050,17.800,17.800,15.450,1575523.000
2026-04-01,18.000,18.450,19.050,17.830,1977398.000
2026-04-02,17.820,19.370,20.300,17.770,2021743.000
2026-04-03,19.030,18.680,19.600,18.520,1432013.000
2026-04-07,18.370,18.130,19.070,18.030,1276095.000
2026-04-08,18.400,18.980,19.050,17.950,1436291.000
2026-04-09,18.670,20.880,20.880,18.100,1862159.000
2026-04-10,20.880,19.760,20.990,19.430,1830765.000
2026-04-13,19.110,21.100,21.730,18.880,1864716.000
2026-04-14,21.250,20.280,21.510,19.840,1673650.000
2026-04-15,19.990,18.880,20.200,18.730,1458129.000
2026-04-16,18.610,20.770,20.770,18.410,2125485.000
2026-04-17,20.740,20.330,20.870,20.160,1453391.000
2026-04-20,20.710,21.030,21.320,20.260,1531150.000
2026-04-21,20.430,20.480,21.020,20.000,1060652.000
2026-04-22,20.030,21.250,22.200,19.950,1517438.000
2026-04-23,21.010,20.990,21.990,20.300,1134080.000
2026-04-24,20.510,19.970,22.500,19.600,1065863.000
2026-04-27,19.630,20.150,20.830,18.900,1018323.000
2026-04-28,20.130,19.250,20.480,19.010,746497.000
2026-04-29,19.130,19.330,20.290,18.880,557106.000
2026-04-30,19.360,18.080,19.500,18.030,892176.000
2026-05-06,18.450,18.280,18.740,18.200,843048.000
2026-05-07,19.800,20.110,20.110,18.770,1249888.000
2026-05-08,19.970,21.070,21.220,19.690,1608189.000
2026-05-11,22.120,20.900,22.120,20.200,1296737.000
2026-05-12,21.490,21.550,21.920,20.990,1547377.000
2026-05-13,20.840,21.210,22.000,20.780,1429726.000
2026-05-14,21.150,20.450,21.900,20.450,1344379.000
2026-05-15,20.040,19.060,20.950,18.870,1058153.000
2026-05-18,18.900,19.490,19.770,18.800,714629.000
2026-05-19,19.000,18.760,19.090,17.940,802882.000
2026-05-20,18.600,19.840,20.640,18.500,1569139.000
2026-05-21,19.490,17.990,19.600,17.860,1264271.000
2026-05-22,17.990,18.480,18.500,17.550,707555.000
2026-05-25,18.510,18.320,18.720,17.900,571086.000
2026-05-26,18.140,17.430,18.180,16.880,633588.000
2026-05-27,17.400,17.210,18.100,17.180,505759.000
2026-05-28,17.020,17.840,18.050,16.600,591223.000
2026-05-29,17.880,18.070,18.650,17.330,755954.000
2026-06-01,17.610,17.010,17.710,17.000,479583.000
2026-06-02,16.940,17.740,17.960,16.730,546745.000
2026-06-03,18.200,18.060,18.760,17.760,806483.000
2026-06-04,17.420,18.530,19.350,17.420,726961.000
2026-06-05,18.540,19.920,20.380,18.540,1786816.000
2026-06-08,17.930,18.460,19.490,17.930,1411132.000
2026-06-09,19.570,19.530,19.830,18.410,1034404.000
2026-06-10,19.220,18.210,19.360,17.700,974636.000
2026-06-11,17.900,17.670,18.750,17.260,724756.000
2026-06-12,18.100,17.100,18.240,16.920,836653.000
2026-06-15,17.080,18.810,18.810,17.080,1207670.000
2026-06-16,19.370,19.490,19.880,19.000,1320033.000
2026-06-17,19.000,20.660,20.830,19.000,1346809.000
2026-06-18,20.760,20.730,21.200,20.330,1076960.000
2026-06-22,22.010,22.800,22.800,22.010,398073.000
2026-06-23,24.750,25.080,25.080,23.510,1375005.000
2026-06-24,24.590,25.330,26.050,24.350,1861356.000
2026-06-25,25.330,24.770,25.470,23.770,1154074.000
2026-06-26,24.600,22.290,24.760,22.290,913376.000
