date,open,close,high,low,volume
2025-12-24,4.390,4.440,4.440,4.350,2558145.000
2025-12-25,4.430,4.380,4.440,4.370,1927381.000
2025-12-26,4.370,4.350,4.390,4.300,3016760.000
2025-12-29,4.360,4.400,4.480,4.340,4238399.000
2025-12-30,4.370,4.450,4.500,4.360,3907251.000
2025-12-31,4.450,4.450,4.490,4.390,2805074.000
2026-01-05,4.460,4.460,4.530,4.420,3975771.000
2026-01-06,4.550,4.840,4.920,4.550,15693598.000
2026-01-07,4.780,4.620,4.790,4.590,10203135.000
2026-01-08,4.620,4.550,4.630,4.540,6176205.000
2026-01-09,4.550,4.670,4.810,4.530,8504054.000
2026-01-12,4.650,4.680,4.740,4.640,5748808.000
2026-01-13,4.670,4.670,4.770,4.600,5963465.000
2026-01-14,4.780,4.870,5.140,4.760,16874064.000
2026-01-15,4.830,4.860,4.990,4.830,7272089.000
2026-01-16,4.890,4.740,4.920,4.700,7033213.000
2026-01-19,4.720,4.890,4.940,4.680,6495736.000
2026-01-20,4.900,4.880,4.900,4.770,4943116.000
2026-01-21,4.890,4.900,4.990,4.850,6516941.000
2026-01-22,4.910,4.820,4.930,4.770,5257501.000
2026-01-23,4.810,4.960,5.040,4.790,10106799.000
2026-01-26,4.970,4.940,5.060,4.910,5688988.000
2026-01-27,4.910,5.010,5.050,4.890,6637420.000
2026-01-28,4.980,4.970,5.040,4.920,5273842.000
2026-01-29,4.960,4.850,5.010,4.830,6198586.000
2026-01-30,4.830,4.760,4.870,4.580,6754906.000
2026-02-02,4.680,4.660,4.780,4.650,3686944.000
2026-02-03,4.740,4.700,4.750,4.610,4301523.000
2026-02-04,4.670,4.830,4.850,4.660,5298322.000
2026-02-05,4.800,4.880,4.900,4.740,4845379.000
2026-02-06,4.810,4.810,4.900,4.760,3857428.000
2026-02-09,4.860,4.810,4.880,4.770,3743780.000
2026-02-10,4.800,4.740,4.810,4.700,4060933.000
2026-02-11,4.730,4.630,4.760,4.620,3550491.000
2026-02-12,4.620,4.540,4.640,4.510,4469204.000
2026-02-13,4.530,4.470,4.550,4.470,3075248.000
2026-02-24,4.570,4.710,4.730,4.570,7333149.000
2026-02-25,4.690,4.770,4.820,4.680,4530419.000
2026-02-26,4.780,4.730,4.820,4.700,3366664.000
