date,open,close,high,low,volume
2025-12-24,8.380,8.520,8.550,8.330,723050.000
2025-12-25,8.500,8.550,8.570,8.430,536475.000
2025-12-26,8.900,8.810,9.070,8.760,1741156.000
2025-12-29,8.850,8.820,8.950,8.770,952508.000
2025-12-30,8.730,8.660,8.800,8.650,695520.000
2025-12-31,8.670,8.570,8.750,8.560,550684.000
2026-01-05,8.630,8.730,8.730,8.590,713230.000
2026-01-06,8.720,8.970,8.970,8.700,1030125.000
2026-01-07,8.950,8.970,9.040,8.870,875014.000
2026-01-08,8.940,9.100,9.250,8.890,1066554.000
2026-01-09,8.980,8.860,9.110,8.810,1324027.000
2026-01-12,8.760,9.130,9.280,8.740,1682890.000
2026-01-13,9.100,8.830,9.130,8.790,1380353.000
2026-01-14,8.750,8.730,9.010,8.620,1577023.000
2026-01-15,8.660,8.700,8.770,8.570,948932.000
2026-01-16,8.750,8.840,8.870,8.640,1207622.000
2026-01-19,8.900,8.970,9.090,8.690,1202736.000
2026-01-20,8.930,8.700,9.020,8.610,1137013.000
2026-01-21,8.620,8.850,8.920,8.600,926019.000
2026-01-22,8.850,9.040,9.150,8.760,1277550.000
2026-01-23,9.040,9.750,9.800,9.030,2733058.000
2026-01-26,9.640,9.300,9.690,9.270,1792182.000
2026-01-27,9.260,9.400,9.500,8.980,1724944.000
2026-01-28,9.310,9.260,9.410,9.200,1081888.000
2026-01-29,9.230,9.810,10.190,9.200,3642844.000
2026-01-30,9.690,9.410,9.800,9.080,2685413.000
2026-02-02,9.380,9.240,9.600,9.230,1575469.000
2026-02-03,9.420,9.610,9.690,9.360,1806916.000
2026-02-04,9.620,10.570,10.570,9.550,3979560.000
2026-02-05,10.470,10.740,11.190,10.240,5828700.000
2026-02-06,10.300,10.620,11.070,10.260,3816637.000
2026-02-09,11.000,11.680,11.680,10.860,4324673.000
2026-02-10,11.680,11.300,11.860,11.270,4804043.000
2026-02-11,11.270,10.980,11.750,10.910,3703718.000
2026-02-12,10.870,10.760,11.000,10.640,2529651.000
2026-02-13,10.710,10.320,10.800,10.310,1999966.000
2026-02-24,10.580,10.400,10.730,10.390,1528677.000
2026-02-25,10.410,10.430,10.570,10.350,1428437.000
2026-02-26,10.400,10.250,10.420,10.190,1359064.000
2026-02-27,10.160,10.320,10.480,10.140,1354185.000
2026-03-02,10.040,10.010,10.440,9.970,1814735.000
2026-03-03,10.100,9.860,10.450,9.830,2025133.000
