date,open,close,high,low,volume
2025-12-24,23.310,25.520,25.520,23.310,154129.000
2025-12-25,25.520,26.500,27.050,25.310,326839.000
2025-12-26,26.250,25.590,26.770,25.270,191929.000
2025-12-29,25.660,26.060,26.900,25.460,162241.000
2025-12-30,25.740,25.460,26.050,25.020,122329.000
2025-12-31,25.550,26.790,27.380,25.210,182369.000
2026-01-05,26.800,26.460,27.280,26.180,138900.000
2026-01-06,26.440,26.040,26.450,25.660,121260.000
2026-01-07,26.120,26.340,27.160,26.050,143719.000
2026-01-08,26.460,26.860,27.090,26.180,129272.000
2026-01-09,26.870,26.690,27.530,26.330,137384.000
2026-01-12,26.720,25.900,26.970,25.100,196697.000
2026-01-13,25.890,25.560,26.880,25.500,138678.000
2026-01-14,25.670,25.820,26.440,25.210,123168.000
2026-01-15,25.600,26.180,26.470,25.530,92127.000
2026-01-16,26.390,26.340,26.650,25.870,87461.000
2026-01-19,26.300,26.390,26.750,26.100,72644.000
2026-01-20,26.390,25.970,26.850,25.700,91033.000
2026-01-21,25.790,28.170,28.570,25.420,246644.000
2026-01-22,28.210,27.760,28.380,27.450,124332.000
2026-01-23,27.790,27.800,28.280,27.470,102492.000
2026-01-26,27.800,25.020,27.820,25.020,230469.000
2026-01-27,24.840,25.880,26.220,24.660,129864.000
2026-01-28,25.800,25.000,25.880,24.840,103910.000
2026-01-29,25.000,23.290,25.100,23.220,157352.000
2026-01-30,23.140,23.200,23.840,22.850,99733.000
2026-02-02,23.010,22.630,23.250,22.500,75349.000
2026-02-03,22.920,23.190,23.190,22.520,60684.000
2026-02-04,23.150,23.570,23.970,23.010,87924.000
2026-02-05,23.380,22.850,23.450,22.800,52799.000
2026-02-06,22.610,23.200,23.510,22.610,52614.000
2026-02-09,23.210,23.470,23.740,23.160,58343.000
2026-02-10,23.470,23.360,23.650,23.260,48711.000
2026-02-11,23.360,23.250,23.620,22.940,60675.000
2026-02-12,23.170,23.070,23.470,23.000,48790.000
2026-02-13,22.950,23.880,24.520,22.850,111000.000
2026-02-24,24.080,23.470,24.170,23.420,63036.000
2026-02-25,23.570,23.740,24.240,23.500,52529.000
2026-02-26,23.750,24.270,24.510,23.510,71870.000
2026-02-27,24.030,24.340,24.490,23.850,58803.000
2026-03-02,23.880,23.840,24.100,23.230,79319.000
2026-03-03,23.990,22.940,24.290,22.900,121072.000
2026-03-04,22.990,22.720,23.200,22.420,70223.000
2026-03-05,22.980,22.290,23.700,22.050,133612.000
2026-03-06,22.260,22.540,22.860,22.010,69219.000
2026-03-09,22.120,22.120,22.230,21.320,64345.000
2026-03-10,22.350,22.710,22.740,22.250,48635.000
2026-03-11,22.800,21.950,23.000,21.860,67732.000
2026-03-12,21.960,21.210,22.040,21.000,80547.000
2026-03-13,21.210,21.280,21.990,21.010,75858.000
2026-03-16,21.280,21.820,22.070,21.000,66420.000
2026-03-17,21.990,21.240,22.170,21.120,51484.000
2026-03-18,21.440,21.340,21.490,21.090,34503.000
2026-03-19,21.250,21.000,21.250,20.700,59948.000
2026-03-20,21.130,20.750,21.880,20.710,65819.000
2026-03-23,20.160,19.590,20.690,19.400,90638.000
2026-03-24,20.050,20.330,20.340,19.450,46992.000
2026-03-25,20.370,20.100,20.970,19.910,95312.000
2026-03-26,20.070,20.200,20.690,19.960,80333.000
2026-03-27,19.800,20.190,20.360,19.560,61364.000
2026-03-30,20.020,20.550,20.650,19.800,49305.000
2026-03-31,20.520,20.080,20.800,20.040,54283.000
2026-04-01,20.350,20.590,21.040,20.350,59032.000
2026-04-02,20.410,20.060,20.800,19.980,43938.000
2026-04-03,20.260,19.630,20.260,19.600,32326.000
2026-04-07,19.800,20.160,20.240,19.550,38554.000
2026-04-08,20.640,21.050,21.200,20.540,77709.000
2026-04-09,21.020,20.840,21.020,20.610,39861.000
2026-04-10,21.000,21.150,21.390,20.850,48285.000
2026-04-13,20.900,21.400,21.450,20.850,53784.000
2026-04-14,23.540,23.080,23.540,22.000,255225.000
2026-04-15,22.870,22.230,22.970,22.010,180760.000
2026-04-16,22.450,22.240,22.590,22.140,95935.000
2026-04-17,22.100,22.700,22.770,22.000,102437.000
2026-04-20,22.700,22.910,23.230,22.620,92480.000
2026-04-21,22.660,23.150,23.390,22.600,75675.000
2026-04-22,23.140,23.400,23.450,22.920,94915.000
2026-04-23,23.390,22.980,23.460,22.570,79563.000
2026-04-24,22.810,22.710,23.250,22.410,56093.000
2026-04-27,22.840,24.980,24.980,22.840,196530.000
2026-04-28,25.600,25.150,25.990,24.750,243888.000
2026-04-29,24.840,25.120,25.400,24.550,153282.000
2026-04-30,25.110,25.320,25.770,24.800,115193.000
2026-05-06,25.210,26.760,26.890,25.210,204603.000
2026-05-07,26.960,27.950,27.990,26.780,162916.000
2026-05-08,27.620,29.500,30.180,27.330,201138.000
2026-05-11,29.450,29.560,29.770,28.570,160075.000
2026-05-12,29.960,29.800,30.280,29.110,121744.000
2026-05-13,29.800,30.330,32.230,29.510,206203.000
2026-05-14,29.980,30.190,31.070,29.590,157263.000
2026-05-15,30.210,29.970,30.690,29.150,129248.000
2026-05-18,30.000,30.440,30.800,29.520,99348.000
2026-05-19,30.220,30.670,31.000,29.960,120373.000
2026-05-20,30.680,30.360,30.740,30.060,88519.000
2026-05-21,30.600,28.930,30.990,28.630,158809.000
2026-05-22,29.500,29.640,29.990,28.830,116757.000
2026-05-25,29.880,30.600,31.030,29.310,124058.000
2026-05-26,30.570,32.820,33.660,30.470,282826.000
2026-05-27,32.280,30.380,32.610,29.900,235787.000
2026-05-28,30.030,30.450,31.000,29.920,122948.000
2026-05-29,30.460,29.350,30.910,29.110,127062.000
2026-06-01,29.940,28.260,30.180,28.090,136646.000
2026-06-02,28.000,27.780,28.460,26.850,118258.000
2026-06-03,27.580,27.300,28.190,26.900,85224.000
2026-06-04,26.880,26.700,27.350,26.090,110451.000
2026-06-05,26.510,26.560,29.370,25.360,224483.000
2026-06-08,25.500,25.990,27.320,25.090,157208.000
2026-06-09,26.510,28.590,28.590,25.750,286160.000
2026-06-10,28.140,28.160,28.700,27.700,240497.000
2026-06-11,28.140,28.430,29.300,27.350,170488.000
2026-06-12,28.840,27.950,28.980,27.800,180381.000
2026-06-15,28.110,29.150,29.500,28.110,151328.000
2026-06-16,29.000,28.980,29.580,28.490,109475.000
2026-06-17,28.580,29.780,30.330,28.510,165206.000
2026-06-18,29.500,30.320,30.830,29.100,182879.000
2026-06-22,30.320,28.900,30.620,27.350,213037.000
2026-06-23,28.600,28.480,29.390,27.850,114635.000
2026-06-24,28.200,28.270,29.190,27.700,93228.000
2026-06-25,28.490,29.580,30.800,28.350,204896.000
2026-06-26,29.000,29.060,30.980,28.020,175627.000
