date,open,close,high,low,volume
2025-12-24,24.120,24.990,25.010,24.100,368841.000
2025-12-25,24.890,24.810,24.960,24.550,216968.000
2025-12-26,24.800,24.560,24.810,24.320,292862.000
2025-12-29,24.600,24.510,24.980,24.400,238908.000
2025-12-30,24.370,24.780,24.970,24.280,295558.000
2025-12-31,25.050,24.920,25.220,24.620,378538.000
2026-01-05,25.100,25.300,25.590,25.000,497457.000
2026-01-06,25.600,25.950,26.150,25.400,598205.000
2026-01-07,25.990,25.360,26.090,25.130,503282.000
2026-01-08,25.160,25.140,25.650,25.000,363296.000
2026-01-09,25.020,25.430,25.780,24.880,462644.000
2026-01-12,25.440,25.970,25.970,24.950,603267.000
2026-01-13,25.950,25.020,25.950,24.950,533219.000
2026-01-14,25.220,25.640,26.280,25.220,753588.000
2026-01-15,25.650,26.120,26.530,25.610,484103.000
2026-01-16,26.260,26.040,26.260,25.730,393427.000
2026-01-19,25.990,25.850,26.180,25.650,378099.000
2026-01-20,25.900,25.550,26.100,25.350,395049.000
2026-01-21,25.300,25.820,25.880,25.240,341046.000
2026-01-22,25.850,25.330,26.100,25.140,410892.000
2026-01-23,25.390,26.120,26.340,25.320,546966.000
2026-01-26,26.050,24.970,26.100,24.680,786141.000
2026-01-27,24.900,25.330,25.570,24.110,522760.000
2026-01-28,25.210,24.770,25.550,24.550,335036.000
2026-01-29,24.500,23.870,24.720,23.710,500233.000
2026-01-30,23.870,23.630,23.990,23.080,363083.000
2026-02-02,23.500,23.180,23.880,23.130,295211.000
2026-02-03,23.440,25.090,25.290,23.280,746475.000
2026-02-04,24.840,27.110,27.620,24.790,1604033.000
2026-02-05,27.390,27.000,27.700,26.570,841036.000
2026-02-06,26.980,26.350,27.120,25.940,805251.000
2026-02-09,26.850,26.820,27.430,26.450,667903.000
2026-02-10,26.790,26.750,27.350,26.210,616913.000
2026-02-11,26.590,26.890,27.150,26.520,454157.000
2026-02-12,26.660,26.670,26.800,26.280,352233.000
2026-02-13,26.520,26.310,26.900,26.230,369576.000
2026-02-24,26.750,27.840,28.430,26.100,684086.000
2026-02-25,27.700,27.580,27.890,27.330,407125.000
2026-02-26,27.550,27.330,27.680,27.210,424848.000
2026-02-27,27.330,28.000,28.080,27.010,551275.000
2026-03-02,27.380,28.210,28.520,27.290,608519.000
2026-03-03,28.300,26.360,28.310,26.310,689833.000
2026-03-04,25.980,26.040,27.050,25.920,419578.000
2026-03-05,26.640,26.990,27.560,26.590,505289.000
2026-03-06,26.680,27.490,27.550,26.100,461137.000
2026-03-09,26.610,25.600,26.650,25.000,758220.000
2026-03-10,26.110,26.240,26.550,25.790,492675.000
2026-03-11,26.210,25.700,26.710,25.680,376142.000
2026-03-12,25.660,25.510,26.290,25.300,376561.000
2026-03-13,25.310,27.420,28.080,25.210,1306769.000
2026-03-16,27.150,25.830,27.150,25.600,795979.000
2026-03-17,26.000,24.420,26.070,24.420,627979.000
2026-03-18,24.430,25.160,25.200,24.120,427140.000
2026-03-19,24.760,25.190,25.900,24.510,456246.000
2026-03-20,25.260,24.630,26.420,24.600,621642.000
2026-03-23,24.200,23.360,24.630,23.200,545043.000
2026-03-24,23.800,23.610,23.830,22.810,403782.000
2026-03-25,23.790,24.010,24.570,23.700,331367.000
2026-03-26,23.910,23.210,23.940,23.070,287350.000
2026-03-27,22.800,22.960,23.340,22.570,276197.000
2026-03-30,22.400,22.180,22.470,21.680,429678.000
2026-03-31,22.170,21.840,22.480,21.810,269538.000
2026-04-01,22.300,23.020,23.100,22.070,408141.000
2026-04-02,23.000,24.640,25.340,22.800,1300775.000
2026-04-03,25.010,24.680,25.350,24.140,652638.000
2026-04-07,24.810,25.420,25.950,24.810,585364.000
2026-04-08,26.050,27.980,27.980,25.900,1225649.000
2026-04-09,28.380,29.910,30.350,28.030,1496376.000
2026-04-10,29.880,29.680,30.220,29.100,929794.000
2026-04-13,29.370,30.070,31.140,29.370,872527.000
2026-04-14,30.060,29.810,30.260,29.350,603599.000
