date,open,close,high,low,volume
2025-12-23,26.990,28.250,28.250,26.990,37497.000
2025-12-24,29.100,29.660,29.660,29.000,34637.000
2025-12-25,31.080,31.140,31.140,30.510,27712.000
2025-12-26,31.680,32.700,32.700,30.000,86924.000
2025-12-29,32.700,32.320,33.800,31.440,64804.000
2025-12-30,30.700,30.700,31.500,30.700,18449.000
2025-12-31,29.170,29.170,29.170,29.170,3115.000
2026-01-05,27.710,27.720,29.500,27.710,81757.000
2026-01-06,27.380,29.110,29.110,26.880,40097.000
2026-01-07,30.570,30.570,30.570,30.570,9490.000
2026-01-08,31.800,29.250,31.800,29.040,68006.000
2026-01-09,28.790,29.600,30.000,28.390,38098.000
2026-01-12,30.000,29.290,30.480,29.000,41483.000
2026-01-13,29.200,28.090,29.200,27.900,30671.000
2026-01-14,28.400,27.670,28.490,27.470,30658.000
2026-01-15,27.800,27.970,28.600,26.400,23931.000
2026-01-16,28.380,27.730,28.500,27.600,18416.000
2026-01-19,27.310,27.750,28.190,27.310,16664.000
2026-01-20,27.800,29.140,29.140,27.720,27101.000
2026-01-21,30.600,29.950,30.600,29.380,61647.000
2026-01-22,29.330,29.530,29.800,28.820,28185.000
2026-01-23,29.990,30.220,31.000,29.850,35034.000
2026-01-26,28.710,28.710,29.950,28.710,28065.000
2026-01-27,28.210,27.800,28.960,27.500,25443.000
2026-01-28,29.190,28.220,29.190,27.990,23710.000
2026-01-29,28.090,27.720,28.370,27.610,15341.000
2026-01-30,27.670,27.640,28.200,27.200,10136.000
2026-02-02,27.120,26.260,27.640,26.260,22169.000
2026-02-03,24.950,25.810,27.000,24.950,26507.000
2026-02-04,25.690,27.100,27.100,25.330,28539.000
2026-02-05,27.500,27.060,27.770,26.670,20379.000
2026-02-06,26.550,27.180,27.330,26.300,12301.000
2026-02-09,28.000,26.450,28.050,25.930,20592.000
2026-02-10,26.550,26.300,27.000,26.000,16105.000
2026-02-11,26.300,25.690,26.490,25.500,18434.000
2026-02-12,24.420,25.370,25.890,24.420,23842.000
2026-02-13,25.370,26.640,26.640,25.370,25851.000
2026-02-24,27.950,27.970,27.970,26.710,42204.000
2026-02-25,28.330,28.990,28.990,27.960,30849.000
2026-02-26,29.000,28.110,29.200,28.100,21836.000
2026-02-27,28.110,27.790,28.300,27.380,16901.000
2026-03-02,27.150,28.060,28.800,26.800,25299.000
2026-03-03,28.000,27.520,28.680,27.350,15172.000
2026-03-04,27.050,27.820,28.280,27.000,12555.000
2026-03-05,29.170,28.880,29.210,28.160,36918.000
2026-03-06,28.340,28.130,28.660,27.820,21123.000
2026-03-09,27.510,28.070,28.380,27.360,12868.000
2026-03-10,27.970,28.410,28.700,27.790,16953.000
2026-03-11,28.440,28.590,29.190,28.280,14381.000
2026-03-12,28.490,27.710,28.530,27.550,18866.000
2026-03-13,27.980,27.210,27.990,27.180,14913.000
2026-03-16,27.210,26.360,27.700,26.350,23081.000
2026-03-17,26.250,26.460,26.860,25.600,19637.000
2026-03-18,26.460,26.230,26.990,25.850,12933.000
2026-03-19,26.100,26.550,26.850,25.330,15147.000
2026-03-20,26.630,26.000,26.780,25.890,13745.000
2026-03-23,25.500,24.890,26.350,24.890,12950.000
2026-03-24,25.200,26.130,26.130,25.120,24423.000
2026-03-25,26.140,26.090,26.530,25.920,17162.000
2026-03-26,26.000,25.510,26.080,25.310,13310.000
2026-03-27,25.510,25.870,26.290,25.120,10944.000
2026-03-30,25.500,26.920,27.160,25.500,24265.000
2026-03-31,26.730,26.550,27.170,26.320,14575.000
2026-04-01,26.770,26.590,26.770,26.250,9838.000
2026-04-02,26.680,26.430,26.780,26.340,7085.000
2026-04-03,26.650,26.390,26.650,26.180,5985.000
2026-04-07,26.900,26.660,27.490,26.400,15444.000
2026-04-08,26.300,26.830,26.890,26.300,15307.000
2026-04-09,26.900,26.420,27.200,26.340,15386.000
2026-04-10,26.520,26.510,26.600,26.060,12809.000
2026-04-13,26.540,26.010,26.860,25.910,17666.000
2026-04-14,25.980,25.970,26.230,25.720,11226.000
2026-04-15,25.970,26.010,26.480,25.590,16745.000
2026-04-16,26.000,26.230,26.570,25.780,14858.000
2026-04-17,26.230,26.580,26.580,26.060,11380.000
2026-04-20,26.800,27.910,27.910,26.800,34151.000
2026-04-21,28.500,29.310,29.310,28.470,27675.000
2026-04-22,30.000,30.730,30.780,29.690,68073.000
2026-04-23,31.000,31.660,32.000,30.500,41370.000
2026-04-24,31.000,30.080,31.600,30.080,43726.000
2026-04-27,31.580,31.580,31.580,30.710,16010.000
2026-04-28,33.160,33.160,33.160,32.410,44625.000
2026-04-29,34.820,34.820,34.820,34.820,3188.000
2026-04-30,36.560,36.560,36.560,36.560,4266.000
2026-05-06,38.390,38.390,38.390,38.390,2519.000
2026-05-07,40.310,40.310,40.310,40.310,5796.000
2026-05-08,41.330,42.330,42.330,38.560,98798.000
2026-05-11,44.000,44.450,44.450,43.000,15250.000
2026-05-12,46.670,46.670,46.670,46.000,16905.000
2026-05-13,48.540,44.600,48.980,44.340,125243.000
2026-05-14,45.520,46.830,46.830,45.520,33841.000
2026-05-15,49.170,44.890,49.170,44.490,72597.000
2026-05-18,44.000,42.650,44.990,42.650,40910.000
2026-05-19,43.220,40.520,43.670,40.520,22459.000
2026-05-20,40.020,40.330,42.550,40.000,92218.000
2026-05-21,40.750,39.690,41.180,39.000,51238.000
2026-05-22,39.950,41.320,41.430,39.270,32068.000
2026-05-25,41.480,40.470,42.550,40.300,40695.000
2026-05-26,41.190,40.240,41.700,39.810,34417.000
2026-05-27,40.240,38.950,40.790,38.230,43345.000
2026-05-28,39.000,40.900,40.900,37.510,32522.000
2026-05-29,41.990,42.950,42.950,40.900,37088.000
2026-06-01,45.100,43.760,45.100,43.010,45709.000
2026-06-02,42.200,41.700,42.870,41.570,33775.000
2026-06-03,41.450,41.690,42.700,40.770,25325.000
2026-06-04,40.880,40.330,41.690,39.780,21982.000
2026-06-05,40.100,39.400,41.190,39.110,21891.000
2026-06-08,38.250,38.540,39.370,37.850,26272.000
2026-06-09,38.610,39.490,40.470,38.610,26640.000
2026-06-10,38.600,38.090,38.600,37.800,19112.000
2026-06-11,38.180,39.880,39.990,37.610,24625.000
2026-06-12,39.580,40.000,40.480,39.010,15463.000
2026-06-15,39.900,40.580,40.900,39.800,14593.000
2026-06-16,40.390,40.670,41.440,39.500,15777.000
2026-06-17,40.980,41.360,42.140,40.020,20507.000
2026-06-18,41.630,42.760,43.330,40.430,20219.000
2026-06-22,43.000,43.880,44.890,43.000,21502.000
2026-06-23,44.010,46.070,46.070,44.010,30133.000
2026-06-24,47.400,48.370,48.370,47.400,17161.000
2026-06-26,51.000,46.990,51.000,44.990,98049.000
