date,open,close,high,low,volume
2025-12-24,28.350,28.580,28.700,28.270,314941.000
2025-12-25,28.590,28.880,28.920,28.550,361135.000
2025-12-26,28.870,29.070,29.280,28.810,401721.000
2025-12-29,29.070,28.850,29.140,28.780,305911.000
2025-12-30,28.760,29.100,29.190,28.710,270171.000
2025-12-31,29.100,29.090,29.170,28.880,330214.000
2026-01-05,29.130,29.250,29.370,29.120,543031.000
2026-01-06,29.280,29.640,29.650,29.170,503623.000
2026-01-07,29.710,29.320,29.760,29.250,503242.000
2026-01-08,29.260,29.260,29.470,29.120,403194.000
2026-01-09,29.230,29.510,29.550,29.150,466105.000
2026-01-12,29.750,30.890,31.110,29.730,1177043.000
2026-01-13,31.100,30.120,31.130,30.020,899391.000
2026-01-14,30.270,30.680,31.250,30.270,1089643.000
2026-01-15,30.500,30.540,30.790,30.330,556221.000
2026-01-16,30.670,30.250,30.720,30.000,651375.000
2026-01-19,30.250,30.260,30.510,30.100,459179.000
2026-01-20,30.310,30.390,30.470,29.840,553129.000
2026-01-21,31.280,31.850,32.240,31.060,1892094.000
2026-01-22,31.950,31.340,32.040,31.260,858979.000
2026-01-23,31.340,31.200,31.680,31.170,743424.000
2026-01-26,31.300,31.560,31.680,30.720,982147.000
2026-01-27,31.450,31.150,31.510,31.050,574297.000
2026-01-28,31.210,31.280,31.570,31.080,606173.000
2026-01-29,31.280,31.450,31.710,31.110,760728.000
2026-01-30,31.230,30.580,31.420,30.430,716842.000
2026-02-02,30.550,30.860,31.060,30.480,699191.000
2026-02-03,30.860,31.110,31.110,30.090,658925.000
2026-02-04,30.860,31.180,31.220,30.500,477906.000
2026-02-05,30.850,31.750,31.910,30.810,922449.000
2026-02-06,31.550,31.890,31.960,31.510,586497.000
2026-02-09,32.050,31.790,32.090,31.600,509719.000
2026-02-10,31.800,32.110,32.330,31.650,523966.000
2026-02-11,32.060,31.650,32.150,31.620,414714.000
2026-02-12,31.630,31.740,31.910,31.580,381721.000
2026-02-13,31.650,31.630,31.950,31.450,317704.000
2026-02-24,31.830,31.590,32.140,31.520,381461.000
2026-02-25,31.570,31.180,31.760,31.100,535259.000
2026-02-26,31.120,30.810,31.240,30.450,657404.000
2026-02-27,30.650,30.690,30.700,30.390,399166.000
2026-03-02,30.260,30.410,30.660,30.060,484190.000
2026-03-03,30.430,29.560,30.530,29.500,741356.000
2026-03-04,29.280,29.510,29.800,29.200,427896.000
2026-03-05,29.860,30.010,30.140,29.850,368056.000
2026-03-06,29.740,30.320,30.340,29.710,272439.000
2026-03-09,29.860,30.410,30.440,29.690,412952.000
2026-03-10,30.550,30.570,30.620,30.300,310388.000
2026-03-11,30.590,30.900,30.950,30.430,382859.000
2026-03-12,30.780,31.170,31.180,30.700,345862.000
2026-03-13,30.940,31.190,31.270,30.870,367074.000
2026-03-16,31.170,31.010,31.290,30.880,314161.000
2026-03-17,31.060,30.870,31.300,30.770,348725.000
2026-03-18,30.860,31.420,31.450,30.430,494308.000
2026-03-19,31.150,30.500,31.250,30.380,433232.000
2026-03-20,30.520,30.550,30.870,30.420,315698.000
2026-03-23,29.890,29.260,30.330,29.200,479521.000
2026-03-24,29.630,29.530,29.730,28.810,418668.000
2026-03-25,29.530,30.030,30.080,29.460,315977.000
2026-03-26,29.980,29.620,30.250,29.420,287777.000
2026-03-27,29.320,29.600,29.850,29.280,197710.000
2026-03-30,29.250,29.780,29.810,28.850,348653.000
2026-03-31,29.600,29.670,29.930,29.510,233407.000
2026-04-01,30.000,29.970,30.090,29.770,211749.000
2026-04-02,29.970,29.650,30.110,29.450,242198.000
2026-04-03,29.740,29.520,29.900,29.440,196364.000
2026-04-07,29.520,29.450,29.750,29.170,281594.000
2026-04-08,29.800,30.130,30.230,29.690,345766.000
2026-04-09,29.830,30.010,30.110,29.700,238773.000
2026-04-10,30.130,30.960,31.350,30.080,622901.000
2026-04-13,30.760,31.900,31.910,30.660,642490.000
2026-04-14,31.990,32.730,33.130,31.990,1243152.000
2026-04-15,32.700,32.450,32.750,32.160,575623.000
2026-04-16,32.540,32.790,32.840,32.300,479349.000
2026-04-17,32.740,32.380,33.000,32.000,798901.000
2026-04-20,34.060,33.760,34.540,33.650,1334411.000
2026-04-21,33.750,32.980,33.900,32.940,729407.000
2026-04-22,32.810,32.880,33.200,32.660,485982.000
2026-04-23,32.750,32.740,33.380,32.600,496834.000
2026-04-24,32.930,32.850,33.250,32.550,405259.000
2026-04-27,32.800,33.220,33.640,32.760,500328.000
2026-04-28,33.260,33.900,34.430,32.930,766107.000
2026-04-29,33.750,34.060,34.550,33.540,585983.000
2026-04-30,34.000,35.540,36.090,33.820,1175309.000
2026-05-06,35.930,35.290,36.340,35.040,930106.000
2026-05-07,35.170,35.210,35.700,34.810,630231.000
2026-05-08,35.130,34.800,35.130,34.450,576552.000
2026-05-11,35.050,34.610,36.110,34.420,946135.000
2026-05-12,34.610,33.810,34.760,33.800,790012.000
2026-05-13,33.750,33.740,33.940,33.040,721892.000
2026-05-14,33.840,32.700,34.100,32.700,691964.000
2026-05-15,32.880,32.370,33.330,32.270,618546.000
2026-05-18,32.400,32.250,32.720,32.000,487055.000
2026-05-19,32.100,32.630,32.660,31.800,528476.000
2026-05-20,32.600,32.550,33.500,32.460,564306.000
2026-05-21,32.840,31.630,33.150,31.600,623098.000
2026-05-22,31.800,31.830,31.940,31.290,418305.000
2026-05-25,32.010,32.270,32.400,31.840,479258.000
2026-05-26,32.150,32.000,32.840,31.420,663439.000
2026-05-27,31.920,31.650,32.540,31.460,582351.000
2026-05-28,31.410,30.760,31.450,30.230,889979.000
2026-05-29,31.000,30.560,31.200,30.150,751809.000
2026-06-01,30.560,30.060,30.760,30.010,707627.000
2026-06-02,30.110,30.750,30.960,30.000,747356.000
2026-06-03,30.550,30.770,31.150,30.280,585573.000
2026-06-04,30.620,30.630,30.920,30.450,412574.000
2026-06-05,30.770,31.280,31.530,30.510,761527.000
2026-06-08,30.700,30.300,31.110,30.100,681107.000
2026-06-09,30.570,30.490,30.830,30.200,542694.000
2026-06-10,30.200,30.380,30.500,30.110,444842.000
2026-06-11,30.200,29.980,30.300,29.760,513304.000
2026-06-12,30.250,30.240,30.670,30.120,662501.000
2026-06-15,30.600,30.710,31.000,30.350,546377.000
2026-06-16,30.780,32.200,32.590,30.600,1057855.000
2026-06-17,31.850,32.360,32.870,31.700,805756.000
2026-06-18,32.070,32.300,32.740,31.450,824633.000
2026-06-22,32.200,32.830,32.900,31.410,916410.000
2026-06-23,32.510,31.410,32.900,31.360,689675.000
2026-06-24,31.400,34.030,34.490,31.020,1671709.000
2026-06-25,33.900,34.440,35.540,33.840,1475231.000
