date,open,close,high,low,volume
2025-12-24,9.330,9.460,9.500,9.300,342823.000
2025-12-25,9.400,9.590,9.740,9.280,563468.000
2025-12-26,9.520,9.330,9.590,9.260,420288.000
2025-12-29,9.220,9.120,9.460,8.970,446065.000
2025-12-30,9.180,8.850,9.180,8.830,326160.000
2025-12-31,8.970,9.210,9.690,8.810,522112.000
2026-01-05,9.210,9.240,9.310,9.100,316952.000
2026-01-06,9.220,9.330,9.430,9.180,393637.000
2026-01-07,9.500,9.450,9.630,9.400,678299.000
2026-01-08,9.560,9.560,9.820,9.500,649404.000
2026-01-09,9.430,9.500,9.580,9.350,457883.000
2026-01-12,9.510,9.540,9.560,9.430,390212.000
2026-01-13,9.480,9.190,9.500,9.160,370159.000
2026-01-14,9.220,9.290,9.500,9.100,450784.000
2026-01-15,9.360,9.410,9.580,9.230,490607.000
2026-01-16,9.470,9.220,9.480,9.070,412679.000
2026-01-19,9.150,9.180,9.270,9.040,237510.000
2026-01-20,9.200,10.100,10.100,9.080,1238050.000
2026-01-21,10.390,9.950,10.480,9.930,1418251.000
2026-01-22,10.020,9.840,10.120,9.770,709121.000
2026-01-23,9.850,9.880,10.000,9.770,528537.000
2026-01-26,9.820,9.780,10.020,9.650,723780.000
2026-01-27,9.700,9.580,9.760,9.370,497451.000
2026-01-28,9.570,9.450,9.600,9.370,364931.000
2026-01-29,9.450,9.240,9.490,9.190,343003.000
2026-01-30,9.220,9.000,9.320,8.960,381724.000
2026-02-02,8.850,8.750,9.020,8.740,255270.000
2026-02-03,8.800,8.860,8.870,8.760,195009.000
2026-02-04,8.880,8.830,8.920,8.720,215716.000
2026-02-05,8.780,8.670,8.790,8.650,186183.000
2026-02-06,8.580,8.780,8.840,8.560,187685.000
2026-02-09,8.840,8.890,8.900,8.820,175746.000
2026-02-10,8.900,8.880,8.980,8.820,157091.000
2026-02-11,8.850,8.840,8.950,8.830,142432.000
2026-02-12,8.840,8.700,8.850,8.700,162023.000
2026-02-13,8.690,8.690,8.840,8.650,131248.000
2026-02-24,8.760,8.860,8.880,8.720,154590.000
2026-02-25,8.910,9.070,9.090,8.850,277766.000
2026-02-26,9.080,8.990,9.110,8.940,198763.000
2026-02-27,8.940,9.040,9.040,8.900,153770.000
2026-03-02,8.900,8.720,8.990,8.660,243015.000
2026-03-03,8.760,8.460,8.830,8.450,239857.000
2026-03-04,8.320,8.350,8.510,8.320,148668.000
2026-03-05,8.520,8.510,8.600,8.460,155106.000
2026-03-06,8.480,8.720,8.740,8.430,162509.000
2026-03-09,8.610,8.530,8.690,8.410,173046.000
2026-03-10,8.600,8.680,8.680,8.580,118187.000
2026-03-11,8.680,8.680,8.750,8.620,117573.000
2026-03-12,8.650,8.560,8.690,8.540,118153.000
2026-03-13,8.530,8.530,8.680,8.500,118200.000
2026-03-16,8.500,8.640,8.650,8.480,106705.000
2026-03-17,8.670,8.440,8.670,8.420,124198.000
2026-03-18,8.410,8.450,8.480,8.330,103328.000
2026-03-19,8.380,8.080,8.390,8.050,200323.000
2026-03-20,8.090,7.820,8.140,7.800,143067.000
2026-03-23,7.610,7.440,7.790,7.400,181392.000
2026-03-24,7.580,7.700,7.710,7.440,158839.000
2026-03-25,7.710,7.810,7.840,7.700,117261.000
2026-03-26,7.810,7.690,7.870,7.650,92716.000
2026-03-27,7.600,7.920,7.930,7.560,122679.000
2026-03-30,7.810,7.970,7.980,7.770,90860.000
2026-03-31,7.960,7.800,8.000,7.780,96931.000
2026-04-01,7.940,7.870,7.960,7.810,72044.000
2026-04-02,7.840,7.750,7.900,7.690,73990.000
2026-04-03,7.790,7.550,7.800,7.540,81964.000
2026-04-07,7.550,7.960,8.120,7.550,221903.000
2026-04-08,8.000,7.990,8.030,7.880,249629.000
2026-04-09,7.910,7.800,7.980,7.800,155773.000
2026-04-10,7.830,7.760,7.900,7.740,137095.000
2026-04-13,7.680,7.730,7.750,7.620,112296.000
2026-04-14,7.760,7.730,7.780,7.610,120788.000
2026-04-15,7.750,7.570,7.750,7.560,142714.000
2026-04-16,7.590,7.630,7.680,7.510,114628.000
2026-04-17,7.630,7.620,7.740,7.570,124990.000
2026-04-20,7.600,7.630,7.680,7.550,122951.000
2026-04-21,7.630,7.840,7.900,7.630,291895.000
2026-04-22,7.770,7.810,7.930,7.740,174615.000
2026-04-23,7.980,7.910,8.410,7.870,332378.000
2026-04-24,7.890,7.740,7.910,7.660,218192.000
2026-04-27,7.720,7.770,7.880,7.700,164371.000
2026-04-28,7.690,7.780,7.880,7.660,149153.000
2026-04-29,7.800,8.000,8.040,7.750,233829.000
2026-04-30,8.000,8.050,8.090,7.960,155187.000
2026-05-06,8.120,8.120,8.150,8.020,191091.000
2026-05-07,8.100,8.180,8.200,8.050,203175.000
2026-05-08,8.130,8.090,8.160,8.070,166106.000
2026-05-11,8.100,8.180,8.210,8.080,213266.000
2026-05-12,8.170,8.080,8.170,7.990,161465.000
2026-05-13,8.020,8.150,8.160,8.010,155666.000
2026-05-14,8.170,8.040,8.230,8.030,233954.000
2026-05-15,8.040,8.200,8.300,8.020,276571.000
2026-05-18,8.140,8.210,8.240,7.990,207125.000
2026-05-19,8.210,8.220,8.300,8.100,188887.000
2026-05-20,8.200,8.460,8.500,8.160,513884.000
2026-05-21,8.460,8.090,8.490,7.980,499191.000
2026-05-22,8.010,8.300,8.320,7.800,342801.000
2026-05-25,8.300,8.450,8.500,8.240,362370.000
2026-05-26,8.400,8.270,8.430,8.180,300152.000
2026-05-27,8.220,7.960,8.400,7.920,297196.000
2026-05-28,7.910,8.120,8.230,7.830,232615.000
2026-05-29,8.050,7.510,8.090,7.410,415272.000
2026-06-01,7.450,7.600,7.670,7.400,183225.000
2026-06-02,7.560,7.430,7.580,7.410,162672.000
2026-06-03,7.390,7.410,7.590,7.170,218782.000
2026-06-04,7.350,7.490,7.540,7.270,176859.000
2026-06-05,7.460,7.550,7.710,7.100,313697.000
2026-06-08,7.330,7.160,7.530,7.050,224122.000
2026-06-09,7.280,7.880,7.880,7.130,427803.000
2026-06-10,7.880,8.060,8.170,7.800,675158.000
2026-06-11,8.000,8.220,8.270,7.900,615470.000
2026-06-12,8.210,7.930,8.240,7.880,479280.000
2026-06-15,7.900,8.250,8.340,7.850,480879.000
2026-06-16,8.140,8.500,8.610,8.080,688546.000
2026-06-17,8.320,8.440,8.630,8.280,537766.000
2026-06-18,8.360,8.860,9.000,8.280,788274.000
2026-06-22,9.040,9.110,9.300,8.940,1008817.000
2026-06-23,9.500,10.020,10.020,9.500,705984.000
2026-06-24,11.020,11.020,11.020,11.020,148228.000
2026-06-25,11.750,10.270,11.750,9.920,2193941.000
2026-06-26,9.920,9.620,10.330,9.500,1425152.000
