date,open,close,high,low,volume
2025-12-24,100.630,103.280,103.390,100.450,34539.000
2025-12-25,102.580,103.160,103.680,102.510,19549.000
2025-12-26,102.710,103.670,104.640,102.710,22456.000
2025-12-29,103.690,104.550,105.860,103.060,28928.000
2025-12-30,103.920,103.700,104.990,102.850,24414.000
2025-12-31,103.700,102.650,104.500,102.610,16348.000
2026-01-05,103.700,104.900,105.190,103.210,27206.000
2026-01-06,105.180,105.790,106.080,103.700,38460.000
2026-01-07,105.850,104.950,106.280,104.400,33346.000
2026-01-08,104.680,104.430,105.760,103.950,33954.000
2026-01-09,103.960,105.750,106.190,103.780,40543.000
2026-01-12,106.100,106.280,106.700,104.460,42292.000
2026-01-13,106.280,104.700,106.290,103.450,47053.000
2026-01-14,104.680,103.330,105.230,102.700,49451.000
2026-01-15,102.910,103.200,104.070,102.340,31488.000
2026-01-16,104.000,106.190,107.600,103.500,77229.000
2026-01-19,107.200,108.180,109.320,106.810,60638.000
2026-01-20,109.890,109.510,111.630,108.320,65980.000
2026-01-21,108.310,113.290,113.980,107.900,80855.000
2026-01-22,113.680,112.150,113.700,111.400,49188.000
2026-01-23,112.850,115.260,116.000,112.800,58879.000
2026-01-26,115.280,113.690,115.390,112.110,69567.000
2026-01-27,112.810,112.700,114.550,110.370,49352.000
2026-01-28,112.800,112.420,113.620,111.670,45999.000
2026-01-29,112.400,108.400,112.400,108.140,55028.000
2026-01-30,107.940,106.390,108.820,104.300,47614.000
2026-02-02,105.600,101.390,106.580,101.380,59306.000
2026-02-03,102.700,105.050,105.070,102.570,40731.000
2026-02-04,104.580,104.470,104.610,103.000,29142.000
2026-02-05,104.100,103.800,105.170,103.030,30174.000
2026-02-06,102.770,102.400,104.190,102.080,32984.000
2026-02-09,103.520,103.280,104.090,102.710,33066.000
2026-02-10,103.700,104.510,105.980,103.360,36679.000
2026-02-11,104.200,107.710,108.060,103.880,53010.000
2026-02-12,107.470,110.400,110.760,106.630,48847.000
2026-02-13,110.000,108.680,112.200,108.580,41098.000
2026-02-24,109.700,111.520,112.320,109.480,40264.000
2026-02-25,111.520,113.030,113.570,111.400,42508.000
2026-02-26,113.000,115.900,117.190,112.400,68983.000
2026-02-27,114.710,114.190,115.550,113.330,42719.000
2026-03-02,112.240,117.070,118.060,111.760,68243.000
2026-03-03,118.500,112.650,118.600,112.580,62348.000
2026-03-04,112.200,111.760,115.040,111.000,45710.000
2026-03-05,113.370,112.410,115.980,111.700,47896.000
2026-03-06,112.410,115.550,119.190,112.030,67881.000
2026-03-09,114.580,113.070,114.580,109.310,67382.000
2026-03-10,114.580,114.800,115.560,113.800,39279.000
2026-03-11,115.310,116.610,118.200,114.710,50233.000
2026-03-12,116.700,118.750,120.170,115.290,61113.000
2026-03-13,117.710,115.550,119.470,115.100,48045.000
2026-03-16,115.600,116.110,117.140,112.960,37364.000
2026-03-17,116.470,112.700,116.950,112.000,45602.000
2026-03-18,112.700,122.170,124.200,112.700,160105.000
2026-03-19,120.780,120.660,123.410,120.070,97803.000
2026-03-20,121.580,122.300,127.600,121.580,117080.000
2026-03-23,119.720,117.730,124.000,116.970,99151.000
2026-03-24,119.800,124.880,125.680,117.880,112828.000
2026-03-25,129.700,134.470,137.030,128.600,157737.000
2026-03-26,134.390,132.580,135.480,131.400,89262.000
2026-03-27,131.200,140.380,140.730,130.710,132713.000
2026-03-30,133.230,130.200,136.480,127.700,151431.000
2026-03-31,129.480,122.610,130.100,122.350,118961.000
