date,open,close,high,low,volume
2025-12-24,13.180,13.480,13.480,13.100,535852.000
2025-12-25,13.480,13.780,13.950,13.380,865995.000
2025-12-26,13.760,13.960,14.180,13.650,1055207.000
2025-12-29,13.950,14.320,14.620,13.910,1521533.000
2025-12-30,14.320,14.160,14.420,14.100,748444.000
2025-12-31,14.150,14.130,14.370,14.070,645057.000
2026-01-05,14.150,14.380,14.500,14.150,877168.000
2026-01-06,14.440,14.860,14.950,14.380,1446972.000
2026-01-07,14.850,14.750,14.970,14.710,1059840.000
2026-01-08,14.610,14.870,14.920,14.600,775355.000
2026-01-09,15.290,15.390,15.910,15.120,2284306.000
2026-01-12,15.650,15.800,15.980,15.510,1872275.000
2026-01-13,15.010,14.430,15.130,14.350,2815821.000
2026-01-14,14.360,14.380,14.670,14.150,1418491.000
2026-01-15,14.300,14.350,14.380,14.150,815667.000
2026-01-16,14.450,15.790,15.790,14.380,3244207.000
2026-01-19,15.930,15.660,15.940,15.370,2372309.000
2026-01-20,15.660,15.400,15.800,15.220,1354139.000
2026-01-21,15.250,15.900,16.120,15.210,2264973.000
2026-01-22,16.010,15.640,16.030,15.410,1636612.000
2026-01-23,15.610,16.540,16.750,15.610,2731300.000
2026-01-26,16.980,16.300,17.370,16.140,2350219.000
2026-01-27,16.070,16.850,16.980,15.620,2560809.000
2026-01-28,16.860,16.570,17.160,16.430,1664427.000
2026-01-29,16.350,16.270,17.040,16.200,1602434.000
2026-01-30,16.120,16.160,16.450,15.630,1437787.000
2026-02-02,16.020,15.730,16.750,15.720,1282872.000
2026-02-03,15.980,16.220,16.450,15.860,1210101.000
2026-02-04,16.060,16.500,16.700,15.900,1397941.000
2026-02-05,16.220,16.420,16.800,16.010,1166527.000
2026-02-06,16.130,15.380,16.190,14.830,2068120.000
2026-02-09,15.670,15.940,16.040,15.650,1313878.000
2026-02-10,16.030,15.860,16.250,15.800,819401.000
2026-02-11,16.020,15.830,16.440,15.800,906083.000
2026-02-12,15.830,15.710,15.960,15.670,709947.000
2026-02-13,15.710,15.910,16.400,15.650,1143238.000
2026-02-24,16.200,15.680,16.200,15.560,873676.000
2026-02-25,15.830,15.580,15.880,15.410,1004074.000
2026-02-26,15.600,16.180,16.390,15.590,1694649.000
2026-02-27,15.940,16.700,16.950,15.640,2117022.000
2026-03-02,16.330,16.260,16.640,16.040,1494804.000
2026-03-03,16.260,14.700,16.440,14.650,2107863.000
2026-03-04,14.500,14.660,15.020,14.380,837022.000
2026-03-05,15.980,16.130,16.130,15.970,794490.000
2026-03-06,17.080,16.970,17.300,16.330,4818498.000
2026-03-09,16.320,16.380,16.550,15.710,2627945.000
2026-03-10,16.500,16.110,16.500,15.900,1903158.000
2026-03-11,16.150,17.040,17.420,16.050,3272110.000
2026-03-12,17.050,18.740,18.740,17.000,4354188.000
2026-03-13,18.390,18.140,18.770,18.080,3405816.000
