date,open,close,high,low,volume
2026-03-30,2.900,2.900,2.920,2.830,1299895.000
2026-03-31,2.890,2.830,2.930,2.820,1425380.000
2026-04-01,2.910,2.840,2.920,2.830,1041410.000
2026-04-02,2.830,2.710,2.840,2.700,1569962.000
2026-04-03,2.700,2.640,2.720,2.620,1101989.000
2026-04-07,2.650,2.710,2.720,2.630,1197087.000
2026-04-08,2.760,2.850,2.850,2.750,1631733.000
2026-04-09,2.800,2.770,2.810,2.750,1174476.000
2026-04-10,2.790,2.810,2.840,2.790,1265601.000
2026-04-13,2.750,2.830,2.850,2.730,1030181.000
2026-04-14,2.870,3.110,3.110,2.830,2200347.000
2026-04-15,3.110,2.920,3.200,2.900,4220415.000
2026-04-16,2.870,2.890,2.920,2.830,1875542.000
2026-04-17,2.880,2.860,2.920,2.850,1686412.000
2026-04-20,2.840,2.840,2.860,2.800,1374506.000
2026-04-21,2.840,2.800,2.860,2.780,1192286.000
2026-04-22,2.780,2.790,2.810,2.760,926079.000
2026-04-23,2.820,2.740,2.830,2.730,1061026.000
2026-04-24,2.720,2.720,2.770,2.690,990489.000
2026-04-27,2.710,2.730,2.750,2.680,845200.000
2026-04-28,2.730,2.720,2.800,2.680,1187719.000
2026-04-29,2.690,2.810,2.890,2.680,1954878.000
2026-04-30,2.800,2.800,2.850,2.770,1023963.000
2026-05-06,3.080,3.080,3.080,3.080,1645870.000
2026-05-07,3.030,3.110,3.240,2.970,6435019.000
2026-05-08,3.020,3.040,3.110,3.000,3264698.000
2026-05-11,3.150,3.140,3.190,3.100,3457150.000
2026-05-12,3.140,3.090,3.140,3.040,2285398.000
2026-05-13,3.050,3.180,3.210,3.030,3434250.000
2026-05-14,3.190,3.090,3.200,3.080,2048411.000
2026-05-15,3.070,3.260,3.340,3.060,4439238.000
2026-05-18,3.310,3.390,3.560,3.240,6968197.000
2026-05-19,3.300,3.330,3.380,3.240,3400467.000
2026-05-20,3.350,3.280,3.400,3.240,2759186.000
2026-05-21,3.270,3.070,3.330,3.060,3191598.000
2026-05-22,3.090,3.130,3.180,3.060,1809179.000
2026-05-25,3.100,3.110,3.180,3.080,1750740.000
2026-05-26,3.080,2.890,3.090,2.810,2873312.000
2026-05-27,2.960,2.820,3.170,2.800,4166092.000
2026-05-28,2.750,2.840,2.860,2.700,2054966.000
2026-05-29,2.830,2.800,2.890,2.790,1842951.000
2026-06-01,2.780,2.810,2.830,2.750,1177777.000
2026-06-02,2.820,2.840,2.850,2.780,1589370.000
2026-06-03,3.080,2.870,3.080,2.860,2703263.000
2026-06-04,2.810,2.980,3.060,2.800,2637949.000
2026-06-05,2.910,2.880,2.920,2.850,1784140.000
2026-06-08,2.880,3.170,3.170,2.880,5209772.000
2026-06-09,3.170,3.210,3.280,3.100,6769178.000
2026-06-10,3.120,3.060,3.190,3.020,3435629.000
2026-06-11,3.050,2.990,3.100,2.950,2221778.000
2026-06-12,3.050,2.940,3.090,2.870,3138357.000
2026-06-15,2.910,2.970,2.980,2.890,1881510.000
2026-06-16,2.970,2.920,2.980,2.870,1779847.000
2026-06-17,2.900,3.010,3.050,2.840,3398233.000
2026-06-18,2.980,2.960,2.990,2.890,2391007.000
2026-06-22,2.960,2.890,3.050,2.820,2411888.000
2026-06-23,2.850,2.920,3.070,2.830,2968562.000
2026-06-24,2.850,2.980,3.010,2.790,3268399.000
2026-06-25,3.040,3.110,3.280,3.000,5820951.000
2026-06-26,3.170,3.420,3.420,3.130,7922525.000
