date,open,close,high,low,volume
2026-03-30,6.520,6.590,6.600,6.480,359773.000
2026-03-31,6.590,6.560,6.690,6.540,371257.000
2026-04-01,6.670,6.690,6.700,6.630,385571.000
2026-04-02,6.670,6.610,6.670,6.560,354663.000
2026-04-03,6.610,6.500,6.640,6.490,286159.000
2026-04-07,6.490,6.520,6.570,6.490,201851.000
2026-04-08,6.640,6.840,6.850,6.640,632259.000
2026-04-09,6.780,6.670,6.790,6.660,322171.000
2026-04-10,6.900,6.960,7.120,6.840,1194698.000
2026-04-13,6.940,6.960,7.050,6.900,465407.000
2026-04-14,7.010,7.030,7.040,6.920,407107.000
2026-04-15,7.040,7.020,7.090,7.010,354626.000
2026-04-16,7.050,7.060,7.110,7.020,340650.000
2026-04-17,7.030,7.000,7.060,6.970,347872.000
2026-04-20,7.040,6.950,7.040,6.920,397221.000
2026-04-21,6.940,6.900,6.950,6.870,314903.000
2026-04-22,6.880,6.970,7.020,6.850,401606.000
2026-04-23,6.950,6.900,7.000,6.870,329978.000
2026-04-24,6.880,6.840,6.900,6.790,299299.000
2026-04-27,6.850,6.830,6.910,6.810,391922.000
2026-04-28,6.880,6.990,7.090,6.880,765531.000
2026-04-29,6.970,6.960,7.010,6.940,600393.000
2026-04-30,7.550,7.690,7.690,7.500,2961426.000
2026-05-06,7.810,8.490,8.490,7.810,2746851.000
2026-05-07,8.540,8.040,8.540,7.890,4003306.000
2026-05-08,8.030,7.920,8.050,7.830,1933727.000
2026-05-11,7.890,8.460,8.740,7.830,3926192.000
2026-05-12,8.380,8.640,8.940,8.250,3653323.000
2026-05-13,8.590,8.480,8.640,8.410,2193826.000
2026-05-14,8.490,8.290,8.640,8.290,1702731.000
2026-05-15,8.400,8.160,8.460,8.060,1550995.000
2026-05-18,8.110,8.100,8.280,8.000,1058120.000
2026-05-19,8.050,8.100,8.150,7.940,1008912.000
2026-05-20,8.030,8.110,8.250,8.000,888390.000
2026-05-21,8.170,8.070,8.520,8.040,1862156.000
2026-05-22,8.110,7.930,8.160,7.850,1152986.000
2026-05-25,7.980,8.050,8.060,7.880,820145.000
2026-05-26,7.950,8.100,8.260,7.920,1104186.000
2026-05-27,8.010,7.940,8.190,7.910,880778.000
2026-05-28,7.960,7.850,7.960,7.750,934895.000
2026-05-29,7.850,7.830,8.090,7.820,1032158.000
2026-06-01,7.810,7.650,7.820,7.620,986045.000
2026-06-02,7.620,7.540,7.660,7.440,946408.000
2026-06-03,7.500,7.570,7.730,7.480,730332.000
2026-06-04,7.510,7.410,7.610,7.340,694091.000
2026-06-05,7.410,7.200,7.470,7.180,878070.000
2026-06-08,7.020,7.010,7.190,6.930,832878.000
2026-06-09,7.040,7.080,7.090,6.950,573317.000
2026-06-10,7.020,7.160,7.180,7.000,770681.000
2026-06-11,7.110,7.080,7.240,7.010,683337.000
2026-06-12,7.100,7.400,7.450,7.070,1390878.000
2026-06-15,7.440,7.920,8.140,7.390,2351884.000
2026-06-16,7.850,7.970,8.040,7.830,1406262.000
2026-06-17,7.930,8.050,8.230,7.920,1109865.000
2026-06-18,7.990,7.820,8.090,7.790,1025998.000
2026-06-22,7.820,8.600,8.600,7.770,2214193.000
2026-06-23,8.910,9.460,9.460,8.910,3018601.000
2026-06-24,9.490,9.230,9.790,9.080,5287445.000
2026-06-25,9.330,10.150,10.150,9.060,5367599.000
2026-06-26,9.990,9.760,10.180,9.680,4306799.000
