date,open,close,high,low,volume
2026-03-30,9.246,9.336,9.376,9.156,116009.000
2026-03-31,9.306,9.086,9.396,9.086,138990.000
2026-04-01,9.256,9.276,9.436,9.216,130556.000
2026-04-02,9.256,9.036,9.296,8.936,128183.000
2026-04-03,9.076,9.026,9.206,8.846,146650.000
2026-04-07,9.046,9.316,9.636,9.016,191246.000
2026-04-08,9.526,9.806,9.876,9.436,264442.000
2026-04-09,9.666,9.756,9.876,9.636,159171.000
2026-04-10,9.806,10.026,10.206,9.776,241608.000
2026-04-13,9.926,10.166,10.226,9.916,166855.000
2026-04-14,10.226,10.596,10.656,10.196,370729.000
2026-04-15,10.586,10.306,10.596,10.276,227644.000
2026-04-16,10.306,10.376,10.466,10.306,153147.000
2026-04-17,10.336,10.876,11.076,10.316,466825.000
2026-04-20,10.826,10.706,10.886,10.616,221795.000
2026-04-21,10.706,10.626,10.816,10.536,164053.000
2026-04-22,10.586,10.806,10.836,10.526,203959.000
2026-04-23,10.776,10.466,10.816,10.446,196844.000
2026-04-24,10.426,10.496,10.576,10.326,166700.000
2026-04-27,10.456,10.556,10.606,10.416,119539.000
2026-04-28,10.486,10.256,10.546,10.196,195599.000
2026-04-29,10.226,10.406,10.476,10.196,149061.000
2026-04-30,10.326,10.246,10.376,10.186,138081.000
2026-05-06,10.476,10.506,10.776,10.396,214794.000
2026-05-07,10.556,10.916,10.996,10.466,338739.000
2026-05-08,10.816,10.806,10.886,10.646,197336.000
2026-05-11,10.936,10.986,11.116,10.856,294289.000
2026-05-12,10.976,11.376,11.376,10.716,450598.000
2026-05-13,11.266,11.846,12.526,10.806,1185321.000
2026-05-14,11.876,11.426,12.226,11.406,745839.000
2026-05-15,11.486,11.266,11.586,11.156,530968.000
2026-05-18,11.326,11.136,11.346,11.036,420485.000
2026-05-19,10.986,11.226,11.276,10.936,333786.000
2026-05-20,10.986,11.026,11.366,10.826,406267.000
2026-05-21,11.150,10.720,11.450,10.680,400779.000
2026-05-22,10.890,11.000,11.090,10.670,260267.000
2026-05-25,11.020,10.910,11.100,10.700,254245.000
2026-05-26,10.900,10.460,10.910,10.270,307379.000
2026-05-27,10.670,10.160,11.180,10.100,377961.000
2026-05-28,10.160,10.540,10.680,10.000,326352.000
2026-05-29,10.580,9.780,10.620,9.700,353287.000
2026-06-01,9.840,9.610,9.910,9.580,249622.000
2026-06-02,10.000,10.090,10.520,9.590,669488.000
2026-06-03,9.890,9.730,10.160,9.660,446447.000
2026-06-04,9.610,9.700,10.000,9.570,294687.000
2026-06-05,9.670,9.940,10.190,9.190,418285.000
2026-06-08,9.670,9.740,10.040,9.550,262222.000
2026-06-09,9.830,10.000,10.000,9.770,275732.000
2026-06-10,9.880,9.770,9.930,9.550,280622.000
2026-06-11,9.660,9.980,10.160,9.480,419464.000
2026-06-12,10.180,9.450,10.380,9.370,551612.000
2026-06-15,9.710,10.060,10.390,9.590,566499.000
2026-06-16,9.990,10.310,10.350,9.950,371640.000
2026-06-17,10.220,10.550,10.590,10.150,320966.000
2026-06-18,10.490,10.850,10.940,10.350,452024.000
2026-06-22,10.770,10.580,10.830,10.260,424520.000
2026-06-23,10.500,10.540,10.820,10.430,348222.000
2026-06-24,10.460,10.880,10.890,10.400,438325.000
2026-06-25,10.890,11.190,11.590,10.760,764623.000
2026-06-26,11.070,12.310,12.310,11.030,1103498.000
