date,open,close,high,low,volume
2026-03-30,15.058,15.252,15.280,14.886,17264.000
2026-03-31,15.180,15.044,15.438,14.993,17367.000
2026-04-01,15.330,15.166,15.424,14.957,18144.000
2026-04-02,15.180,14.843,15.209,14.757,18105.000
2026-04-03,15.058,14.269,15.058,14.133,22603.000
2026-04-07,14.269,14.671,14.850,14.168,20670.000
2026-04-08,14.922,15.273,15.280,14.922,23163.000
2026-04-09,15.266,15.008,15.309,14.950,16288.000
2026-04-10,15.158,15.201,15.316,15.015,14499.000
2026-04-13,15.201,15.187,15.209,14.972,14774.000
2026-04-14,15.273,15.180,15.273,14.993,14263.000
2026-04-15,15.216,15.122,15.381,15.072,16686.000
2026-04-16,15.122,15.452,15.495,14.957,19621.000
2026-04-17,15.452,15.244,15.452,15.137,20252.000
2026-04-20,15.460,15.460,15.603,15.151,20612.000
2026-04-21,15.524,15.646,15.675,15.388,20901.000
2026-04-22,15.646,15.969,16.105,15.316,48440.000
2026-04-23,15.904,14.907,15.904,14.671,67622.000
2026-04-24,14.836,14.879,15.015,14.563,35807.000
2026-04-27,14.922,15.216,15.237,14.606,30357.000
2026-04-28,15.266,15.481,15.617,14.993,47883.000
2026-04-29,15.280,15.660,15.782,15.252,37508.000
2026-04-30,15.840,15.833,15.911,15.703,28090.000
2026-05-06,15.969,16.213,16.392,15.840,45587.000
2026-05-07,16.213,16.729,16.787,16.155,52608.000
2026-05-08,16.758,16.887,17.432,16.643,53767.000
2026-05-11,16.901,17.131,17.224,16.779,39010.000
2026-05-12,17.073,16.607,17.167,16.564,37317.000
2026-05-13,16.607,16.464,16.772,16.385,34614.000
2026-05-14,16.464,16.435,16.916,16.363,30756.000
2026-05-15,16.435,16.478,16.751,16.220,31469.000
2026-05-18,16.550,16.536,16.679,16.091,33460.000
2026-05-19,16.571,16.744,16.830,16.421,27073.000
2026-05-20,16.729,16.916,16.995,16.363,31054.000
2026-05-21,16.916,16.543,17.360,16.514,36271.000
2026-05-22,16.521,16.636,16.715,16.335,21432.000
2026-05-25,16.715,16.105,16.873,15.897,30855.000
2026-05-26,16.112,15.711,16.148,15.424,24443.000
2026-05-27,15.675,15.115,15.696,14.864,26447.000
2026-05-28,15.180,15.567,15.782,14.957,22397.000
2026-05-29,15.567,15.101,15.797,14.950,19060.000
2026-06-01,15.079,16.629,16.629,14.922,28871.000
2026-06-02,16.822,16.033,17.073,15.969,65846.000
2026-06-03,16.048,15.782,16.234,15.445,38716.000
2026-06-04,15.780,15.920,16.760,15.500,49663.000
2026-06-05,15.870,15.580,16.030,15.390,43533.000
2026-06-08,14.880,14.550,15.540,14.200,45798.000
2026-06-09,14.400,14.520,15.290,14.370,34324.000
2026-06-10,14.700,15.970,15.970,14.540,43643.000
2026-06-11,15.900,15.240,16.460,14.920,120521.000
2026-06-12,15.450,16.760,16.760,15.150,62135.000
2026-06-15,16.760,15.950,16.760,15.650,160267.000
2026-06-16,15.600,15.230,15.670,15.000,99625.000
2026-06-17,15.370,14.710,15.980,14.610,88672.000
2026-06-18,14.650,14.680,14.910,13.580,93702.000
2026-06-22,14.500,16.150,16.150,14.390,122550.000
2026-06-23,16.360,17.770,17.770,16.170,159702.000
2026-06-24,17.520,17.720,18.180,17.310,165904.000
2026-06-25,17.540,16.640,18.000,16.030,131876.000
2026-06-26,16.600,16.370,16.970,16.000,108627.000
