date,open,close,high,low,volume
2026-03-30,2.140,2.180,2.180,2.120,205756.000
2026-03-31,2.170,2.140,2.220,2.140,228676.000
2026-04-01,2.180,2.160,2.200,2.140,234347.000
2026-04-02,2.150,2.120,2.160,2.100,193749.000
2026-04-03,2.120,2.060,2.130,2.060,270700.000
2026-04-07,2.050,2.060,2.070,2.000,246856.000
2026-04-08,2.100,2.120,2.130,2.090,261503.000
2026-04-09,2.110,2.050,2.120,2.040,335756.000
2026-04-10,2.050,2.040,2.080,2.040,298462.000
2026-04-13,2.030,2.060,2.070,2.020,285878.000
2026-04-14,2.070,2.060,2.080,2.030,279009.000
2026-04-15,2.050,2.020,2.070,2.020,307427.000
2026-04-16,2.030,2.030,2.040,2.010,250895.000
2026-04-17,2.030,2.010,2.030,2.000,293942.000
2026-04-20,2.010,2.040,2.050,2.000,278806.000
2026-04-21,2.030,2.080,2.100,2.020,642950.000
2026-04-22,2.070,2.070,2.080,2.040,261720.000
2026-04-23,2.060,2.160,2.180,2.060,788775.000
2026-04-24,2.130,2.210,2.270,2.130,801362.000
2026-04-27,2.210,2.430,2.430,2.200,1244158.000
2026-04-28,2.430,2.440,2.500,2.350,1606033.000
2026-04-29,2.410,2.510,2.530,2.360,1284845.000
2026-04-30,2.500,2.760,2.760,2.490,1912301.000
2026-05-06,2.710,2.730,2.750,2.580,1643598.000
2026-05-07,2.700,2.810,2.890,2.680,1480828.000
2026-05-08,2.770,2.830,2.920,2.750,1087373.000
2026-05-11,2.810,2.870,2.880,2.690,1106908.000
2026-05-12,2.840,2.740,2.850,2.700,869812.000
2026-05-13,2.760,2.800,2.850,2.760,801188.000
2026-05-14,2.800,2.870,2.870,2.770,663253.000
2026-05-15,2.880,3.010,3.160,2.870,2138074.000
2026-05-18,2.810,3.030,3.130,2.810,1682866.000
2026-05-19,3.030,3.060,3.130,3.010,954776.000
2026-05-20,3.050,3.110,3.140,2.960,1068058.000
2026-05-21,3.140,3.020,3.220,3.000,1094908.000
2026-05-22,3.040,3.160,3.300,3.040,1387600.000
2026-05-25,3.150,3.090,3.150,2.980,974267.000
2026-05-26,3.120,3.100,3.120,2.980,698287.000
2026-05-27,3.090,2.940,3.090,2.920,751484.000
2026-05-28,2.890,3.110,3.120,2.890,982452.000
2026-05-29,3.100,2.910,3.100,2.800,938815.000
2026-06-01,2.920,2.880,2.950,2.840,553437.000
2026-06-02,2.890,2.810,2.890,2.720,603151.000
2026-06-03,2.790,2.830,2.920,2.780,540476.000
2026-06-04,2.840,2.800,2.900,2.790,402484.000
2026-06-05,2.800,2.800,2.840,2.700,445504.000
2026-06-08,2.700,2.670,2.790,2.620,421581.000
2026-06-09,2.680,2.630,2.700,2.570,500779.000
2026-06-10,2.610,2.650,2.670,2.560,417604.000
2026-06-11,2.620,2.580,2.700,2.530,331696.000
2026-06-12,2.580,2.610,2.620,2.530,234492.000
2026-06-15,2.610,2.640,2.690,2.590,369166.000
2026-06-16,2.640,2.720,2.720,2.560,416076.000
2026-06-17,2.700,2.670,2.830,2.620,436523.000
2026-06-18,2.650,2.690,2.730,2.520,520332.000
2026-06-22,2.720,2.960,2.960,2.710,1652031.000
2026-06-23,3.000,3.260,3.260,2.960,1046060.000
2026-06-24,3.230,3.140,3.230,2.940,1994729.000
2026-06-25,3.090,3.350,3.420,3.050,1624696.000
2026-06-26,3.280,3.270,3.400,3.210,916747.000
