date,open,close,high,low,volume
2026-03-30,19.640,19.190,19.740,19.000,29456.000
2026-03-31,19.120,18.880,19.260,18.810,20337.000
2026-04-01,19.210,19.060,19.230,18.940,19149.000
2026-04-02,19.060,18.850,19.160,18.530,17611.000
2026-04-03,18.900,18.480,18.930,18.470,17651.000
2026-04-07,18.470,18.430,18.690,18.320,17334.000
2026-04-08,18.660,19.110,19.110,18.660,21882.000
2026-04-09,19.020,18.780,19.020,18.700,17674.000
2026-04-10,18.790,19.200,19.410,18.790,25433.000
2026-04-13,19.100,19.290,19.330,18.950,20629.000
2026-04-14,19.310,19.020,19.310,18.850,21717.000
2026-04-15,19.170,18.610,19.200,18.580,28003.000
2026-04-16,18.610,18.830,18.880,18.430,19670.000
2026-04-17,18.700,20.710,20.710,18.600,79436.000
2026-04-20,21.200,21.910,22.470,21.160,161116.000
2026-04-21,21.890,21.630,22.030,21.300,71988.000
2026-04-22,21.400,21.560,21.780,21.270,45039.000
2026-04-23,21.410,21.640,21.980,21.300,49518.000
2026-04-24,21.430,20.830,21.630,20.610,49081.000
2026-04-27,20.780,20.800,21.090,20.500,31090.000
2026-04-28,20.880,21.120,21.770,20.700,54033.000
2026-04-29,20.750,21.540,21.820,20.750,53046.000
2026-04-30,21.300,21.750,21.970,20.890,55153.000
2026-05-06,22.000,21.940,22.190,21.750,51949.000
2026-05-07,21.940,22.660,23.300,21.940,65169.000
2026-05-08,22.550,23.320,23.600,22.450,61985.000
2026-05-11,23.330,24.170,24.680,23.310,74878.000
2026-05-12,24.000,24.450,24.500,23.830,57787.000
2026-05-13,24.500,24.610,25.880,24.120,119629.000
2026-05-14,24.880,23.940,25.190,23.900,103271.000
2026-05-15,23.920,24.630,25.180,23.800,99905.000
2026-05-18,24.640,25.440,25.500,24.640,85223.000
2026-05-19,25.440,25.140,25.780,24.790,60589.000
2026-05-20,24.930,27.650,27.650,24.930,101087.000
2026-05-21,27.920,25.840,28.970,25.550,193780.000
2026-05-22,25.840,26.360,26.630,25.000,116804.000
2026-05-25,26.200,26.740,27.050,26.000,88754.000
2026-05-26,26.390,25.680,26.700,25.140,95957.000
2026-05-27,25.810,25.290,26.470,24.810,91688.000
2026-05-28,24.800,25.680,25.840,24.800,50177.000
2026-05-29,25.620,25.180,25.990,24.900,52347.000
2026-06-01,25.250,25.660,26.490,25.230,65722.000
2026-06-02,25.600,24.940,25.790,24.500,65617.000
2026-06-03,24.940,24.650,25.420,24.500,47815.000
2026-06-04,24.830,24.190,24.830,24.080,44501.000
2026-06-05,24.400,24.200,24.480,23.500,41851.000
2026-06-08,23.490,23.410,23.820,22.950,48119.000
2026-06-09,23.600,24.690,24.780,23.310,55234.000
2026-06-10,24.500,24.730,24.970,24.200,39084.000
2026-06-11,24.440,23.830,24.880,23.520,39568.000
2026-06-12,24.150,26.210,26.210,24.150,57938.000
2026-06-15,26.720,25.660,26.720,24.930,109773.000
2026-06-16,25.680,24.910,25.860,24.710,77803.000
2026-06-17,24.160,25.510,26.500,23.980,91619.000
2026-06-18,25.970,26.060,26.590,25.250,80789.000
2026-06-22,26.100,25.460,26.100,25.010,67593.000
2026-06-23,25.240,25.060,26.450,24.810,71530.000
2026-06-24,24.990,23.960,24.990,23.270,87342.000
2026-06-25,24.100,26.360,26.360,23.600,114021.000
2026-06-26,27.360,29.000,29.000,26.900,98970.000
