date,open,close,high,low,volume
2026-03-30,23.820,24.030,24.120,23.600,24769.000
2026-03-31,24.030,24.430,24.650,23.930,39406.000
2026-04-01,24.780,24.830,24.850,24.480,29356.000
2026-04-02,24.840,24.660,25.100,24.500,27002.000
2026-04-03,24.660,24.270,24.900,24.220,21017.000
2026-04-07,24.270,24.840,24.840,24.090,24801.000
2026-04-08,25.180,25.230,25.280,25.000,27411.000
2026-04-09,25.140,24.970,25.220,24.890,19283.000
2026-04-10,25.070,25.380,25.470,25.070,22003.000
2026-04-13,25.300,25.070,25.360,24.910,16969.000
2026-04-14,25.190,25.180,25.320,24.880,17273.000
2026-04-15,25.280,25.890,26.620,24.970,66598.000
2026-04-16,25.880,25.860,26.260,25.710,28113.000
2026-04-17,25.750,26.070,26.100,25.740,22940.000
2026-04-20,26.070,26.290,26.380,25.790,22823.000
2026-04-21,26.160,26.320,26.460,26.080,20795.000
2026-04-22,26.280,26.730,26.830,26.140,26161.000
2026-04-23,26.710,25.920,26.870,25.830,30452.000
2026-04-24,25.870,26.150,26.340,25.600,23761.000
2026-04-27,26.280,26.390,26.420,25.770,21423.000
2026-04-28,26.260,25.790,26.410,25.590,21541.000
2026-04-29,25.080,27.200,27.860,24.850,86150.000
2026-04-30,26.880,28.010,28.380,26.880,69916.000
2026-05-06,28.010,28.280,28.360,27.730,56432.000
2026-05-07,28.160,28.090,28.550,27.970,45632.000
2026-05-08,28.150,28.440,28.740,28.030,43097.000
2026-05-11,28.360,28.550,28.670,27.920,36357.000
2026-05-12,28.390,27.850,28.520,27.780,31132.000
2026-05-13,27.770,28.400,29.020,27.660,37458.000
2026-05-14,28.410,28.210,28.750,28.080,38503.000
2026-05-15,28.100,29.020,29.430,27.890,66247.000
2026-05-18,28.980,29.070,29.340,28.380,53848.000
2026-05-19,29.180,30.330,30.380,29.070,78494.000
2026-05-20,30.030,31.350,32.160,29.790,93357.000
2026-05-21,31.100,30.980,32.450,30.730,87337.000
2026-05-22,31.480,31.620,32.120,30.530,66867.000
2026-05-25,31.380,30.680,32.000,30.380,65029.000
2026-05-26,30.680,30.240,31.320,29.740,52011.000
2026-05-27,29.980,29.150,30.380,28.940,46876.000
2026-05-28,29.180,29.380,29.850,28.960,36750.000
2026-05-29,29.380,27.480,29.620,27.180,60549.000
2026-06-01,27.790,28.000,28.500,27.190,40863.000
2026-06-02,27.870,27.790,28.590,27.380,30171.000
2026-06-03,28.180,27.400,28.180,26.980,35531.000
2026-06-04,27.400,27.060,28.030,26.860,40556.000
2026-06-05,26.790,29.770,29.770,25.950,75951.000
2026-06-08,29.660,30.080,31.000,29.080,139097.000
2026-06-09,30.370,30.880,30.880,29.660,88600.000
2026-06-10,30.380,30.080,31.680,29.850,76297.000
2026-06-11,30.190,30.100,30.830,29.650,81787.000
2026-06-12,30.000,28.900,30.230,28.750,88721.000
2026-06-15,26.990,28.750,29.080,26.960,78062.000
2026-06-16,28.730,28.660,29.200,28.200,55833.000
2026-06-17,29.000,30.200,30.780,28.270,82545.000
2026-06-18,30.250,31.730,31.980,29.900,100355.000
2026-06-22,31.840,31.060,31.900,29.360,91222.000
2026-06-23,30.590,30.490,31.200,30.270,53502.000
2026-06-24,30.380,29.750,30.520,29.090,46652.000
2026-06-25,29.710,28.720,29.990,28.110,56452.000
2026-06-26,28.680,31.590,31.590,28.000,70448.000
