date,open,close,high,low,volume
2026-03-30,30.330,30.880,30.960,29.890,10979.000
2026-03-31,30.990,30.850,31.260,30.610,5500.000
2026-04-01,31.060,31.280,31.440,30.800,8977.000
2026-04-02,31.250,30.810,31.260,30.610,7812.000
2026-04-03,30.880,31.770,32.840,30.760,18900.000
2026-04-07,31.450,30.110,31.740,29.810,19560.000
2026-04-08,30.300,31.040,31.250,30.290,11402.000
2026-04-09,31.330,30.680,31.330,30.570,9840.000
2026-04-10,30.720,31.360,31.690,30.720,8759.000
2026-04-13,31.360,30.970,31.360,30.660,7219.000
2026-04-14,31.180,31.090,31.380,30.720,5732.000
2026-04-15,31.190,30.910,31.320,30.780,5511.000
2026-04-16,30.970,31.750,31.750,30.900,7499.000
2026-04-17,31.750,31.300,31.800,30.850,8495.000
2026-04-20,31.300,31.350,31.890,31.090,8192.000
2026-04-21,31.180,31.420,31.650,30.950,8644.000
2026-04-22,31.520,31.130,31.520,30.990,6748.000
2026-04-23,31.310,31.680,31.850,30.910,9007.000
2026-04-24,31.670,31.320,31.670,31.010,10095.000
2026-04-27,31.200,32.010,32.150,31.120,9686.000
2026-04-28,32.240,31.700,32.280,31.430,10455.000
2026-04-29,31.500,32.100,32.600,31.390,18496.000
2026-04-30,31.310,30.530,31.430,29.700,38765.000
2026-05-06,30.430,30.130,30.760,29.960,27275.000
2026-05-07,30.070,29.760,30.110,29.420,19413.000
2026-05-08,29.760,30.140,30.240,29.510,13625.000
2026-05-11,30.140,29.820,30.140,29.680,15411.000
2026-05-12,29.850,29.290,29.880,29.100,9553.000
2026-05-13,29.280,28.300,29.300,28.020,27770.000
2026-05-14,28.440,27.890,28.510,27.730,10320.000
2026-05-15,27.810,27.530,27.890,27.410,13641.000
2026-05-18,27.520,27.240,27.520,26.870,10305.000
2026-05-19,27.310,27.340,27.450,27.000,7625.000
2026-05-20,27.300,26.880,27.300,26.710,8417.000
2026-05-21,27.040,29.570,29.570,26.910,39689.000
2026-05-22,32.530,32.530,32.530,32.530,17971.000
2026-05-25,35.780,35.780,35.780,35.780,13699.000
2026-05-26,39.360,37.470,39.360,37.140,146881.000
2026-05-27,34.700,33.720,35.880,33.720,47763.000
2026-05-28,30.770,32.950,34.430,30.350,114368.000
2026-05-29,33.550,31.240,34.580,30.950,90008.000
2026-06-01,30.680,31.390,31.810,29.710,67567.000
2026-06-02,31.170,33.700,34.530,31.090,79019.000
2026-06-03,34.040,34.090,36.060,32.960,69789.000
2026-06-04,33.670,36.410,37.500,33.670,105977.000
2026-06-05,35.720,34.680,36.440,34.300,76440.000
2026-06-08,33.210,32.990,34.400,32.380,47530.000
2026-06-09,33.000,33.410,33.680,31.810,46753.000
2026-06-10,33.310,36.750,36.750,33.100,64666.000
2026-06-11,36.060,36.170,37.400,35.460,78462.000
2026-06-12,36.520,35.440,37.000,35.240,47357.000
2026-06-15,35.860,34.580,35.900,34.060,50151.000
2026-06-16,34.360,33.680,34.770,33.450,71740.000
2026-06-17,33.000,33.640,34.180,32.400,65531.000
2026-06-18,33.430,32.480,34.170,32.460,52795.000
2026-06-22,32.700,35.730,35.730,32.680,77183.000
2026-06-23,36.020,35.550,36.790,34.930,87043.000
2026-06-24,35.100,33.910,35.300,33.190,65375.000
2026-06-25,35.000,37.300,37.300,35.000,43700.000
2026-06-26,38.390,40.060,41.030,37.280,142498.000
