date,open,close,high,low,volume
2026-03-30,29.525,30.765,30.905,29.505,172470.000
2026-03-31,30.675,30.555,31.725,30.525,206087.000
2026-04-01,30.825,30.475,30.905,29.615,150771.000
2026-04-02,30.425,29.845,30.805,29.615,74710.000
2026-04-03,29.935,29.025,30.365,28.805,105749.000
2026-04-07,28.955,28.955,29.305,28.755,69222.000
2026-04-08,29.675,31.145,31.845,29.545,244013.000
2026-04-09,30.455,32.005,32.655,30.345,293951.000
2026-04-10,32.005,31.895,32.875,31.845,232893.000
2026-04-13,32.505,32.595,33.105,31.855,242413.000
2026-04-14,32.575,35.865,35.865,32.335,414754.000
2026-04-15,39.425,39.455,39.455,38.025,210622.000
2026-04-16,38.125,42.505,43.225,38.115,699614.000
2026-04-17,42.925,46.115,46.765,42.335,662169.000
2026-04-20,47.705,45.625,47.925,45.335,656964.000
2026-04-21,45.625,46.135,47.195,44.145,560466.000
2026-04-22,44.125,46.925,47.525,44.025,518453.000
2026-04-23,46.825,43.025,46.825,42.225,574748.000
2026-04-24,42.665,40.425,43.525,39.325,478461.000
2026-04-27,40.575,40.185,41.245,39.375,285833.000
2026-04-28,40.525,39.415,40.675,39.005,224342.000
2026-04-29,38.725,39.895,40.225,38.425,227480.000
2026-04-30,40.695,43.895,43.895,40.165,485185.000
2026-05-06,43.725,43.955,45.035,43.125,522138.000
2026-05-07,43.915,44.185,44.565,42.925,389612.000
2026-05-08,43.725,45.075,46.355,43.425,550028.000
2026-05-11,45.105,44.335,45.295,43.175,365090.000
2026-05-12,43.335,42.865,46.385,42.225,454692.000
2026-05-13,42.125,42.385,43.715,41.695,270056.000
2026-05-14,42.305,39.635,42.305,39.635,269482.000
2026-05-15,39.825,38.665,40.205,38.155,200075.000
2026-05-18,38.225,39.725,41.755,38.125,266531.000
2026-05-19,39.225,42.325,42.705,38.205,338412.000
2026-05-20,42.135,39.945,43.265,39.815,341526.000
2026-05-21,39.945,38.425,40.715,38.185,185892.000
2026-05-22,38.615,38.575,39.225,37.525,127322.000
2026-05-25,38.925,37.625,39.245,37.135,151797.000
2026-05-26,37.175,35.685,37.175,35.095,171736.000
2026-05-27,35.795,34.605,37.695,34.185,265945.000
2026-05-28,34.615,34.925,35.685,34.345,180331.000
2026-05-29,35.000,32.600,35.200,32.480,178994.000
2026-06-01,32.530,32.330,33.000,32.240,124458.000
2026-06-02,32.600,32.030,32.800,31.270,123255.000
2026-06-03,31.800,32.520,33.440,31.740,142233.000
2026-06-04,32.180,33.070,33.910,32.050,186545.000
2026-06-05,33.470,33.170,34.080,32.200,211731.000
2026-06-08,32.000,31.510,33.450,31.350,160170.000
2026-06-09,31.640,31.120,31.800,30.650,145587.000
2026-06-10,31.030,30.690,31.480,29.950,135561.000
2026-06-11,30.370,30.240,30.790,29.750,110513.000
2026-06-12,30.600,30.930,32.000,29.990,151610.000
2026-06-15,30.490,30.560,30.990,30.130,112152.000
2026-06-16,32.000,31.140,32.240,30.500,210210.000
2026-06-17,31.400,31.720,32.600,31.140,210091.000
2026-06-18,31.480,33.030,33.730,31.210,255049.000
2026-06-22,33.090,34.650,34.700,32.880,307514.000
2026-06-23,34.070,33.960,35.110,33.050,233455.000
2026-06-24,34.410,37.360,37.360,33.400,196129.000
2026-06-25,40.840,39.590,41.100,39.110,607996.000
2026-06-26,39.500,43.550,43.550,39.500,326659.000
