date,open,close,high,low,volume
2026-03-30,10.931,11.092,11.123,10.846,25702.000
2026-03-31,11.100,10.908,11.146,10.892,24562.000
2026-04-01,11.000,11.023,11.123,10.954,21037.000
2026-04-02,11.023,10.846,11.085,10.754,20465.000
2026-04-03,10.854,10.815,10.908,10.723,19966.000
2026-04-07,10.962,11.285,11.362,10.831,47489.000
2026-04-08,11.354,11.431,11.500,11.292,45740.000
2026-04-09,11.362,11.415,11.569,11.331,30959.000
2026-04-10,11.423,11.415,11.562,11.385,26688.000
2026-04-13,11.369,11.354,11.431,11.231,25935.000
2026-04-14,11.354,11.408,11.469,11.269,26855.000
2026-04-15,11.408,11.223,11.446,11.215,25328.000
2026-04-16,11.223,11.331,11.362,11.146,26957.000
2026-04-17,11.831,11.662,11.900,11.446,104479.000
2026-04-20,11.631,11.823,11.839,11.508,70268.000
2026-04-21,11.869,11.785,11.900,11.700,37381.000
2026-04-22,11.754,11.915,12.008,11.715,44266.000
2026-04-23,12.269,12.023,12.269,11.931,82240.000
2026-04-24,11.900,11.915,12.092,11.777,51486.000
2026-04-27,11.977,12.008,12.123,11.700,49429.000
2026-04-28,11.908,11.815,12.015,11.777,36093.000
2026-04-29,12.054,12.139,12.254,11.954,62666.000
2026-04-30,12.023,12.177,12.277,11.985,43370.000
2026-05-06,12.223,12.392,12.439,12.192,56378.000
2026-05-07,12.385,12.354,12.515,12.300,37800.000
2026-05-08,12.331,12.354,12.392,12.231,36159.000
2026-05-11,12.354,12.415,12.469,12.262,47839.000
2026-05-12,12.354,12.269,12.392,12.146,37972.000
2026-05-13,12.215,12.569,12.739,12.185,64694.000
2026-05-14,12.569,12.615,12.815,12.462,66366.000
2026-05-15,12.615,12.923,13.077,12.615,92295.000
2026-05-18,12.762,12.723,12.892,12.462,69112.000
2026-05-19,12.685,12.792,12.931,12.546,48270.000
2026-05-20,12.762,12.777,12.846,12.577,43605.000
2026-05-21,12.792,12.131,12.808,12.092,67221.000
2026-05-22,12.139,12.639,12.715,12.115,64008.000
2026-05-25,12.662,12.492,12.715,12.408,43769.000
2026-05-26,12.446,12.239,12.454,12.108,45617.000
2026-05-27,12.215,12.062,12.354,11.939,45235.000
2026-05-28,11.892,12.400,12.485,11.839,49500.000
2026-05-29,12.377,11.692,12.408,11.646,53012.000
2026-06-01,11.669,11.854,12.008,11.654,38046.000
2026-06-02,11.846,11.554,11.969,11.469,33933.000
2026-06-03,11.546,11.585,11.800,11.415,37665.000
2026-06-04,11.377,11.246,11.592,11.131,43003.000
2026-06-05,11.154,11.400,11.615,10.908,49869.000
2026-06-08,11.131,10.939,11.523,10.739,40121.000
2026-06-09,11.269,11.423,11.723,11.039,83755.000
2026-06-10,11.300,11.708,11.869,11.292,73676.000
2026-06-11,11.523,11.454,11.700,11.246,54413.000
2026-06-12,11.662,11.515,11.815,11.331,50802.000
2026-06-15,11.462,11.792,11.939,11.454,48465.000
2026-06-16,11.754,11.846,11.985,11.615,44173.000
2026-06-17,11.792,11.631,11.900,11.508,46560.000
2026-06-18,11.460,11.400,11.620,11.200,70267.000
2026-06-22,11.510,12.180,12.190,11.370,145759.000
2026-06-23,12.190,12.000,12.600,11.930,112788.000
2026-06-24,12.090,12.080,12.530,11.820,105988.000
2026-06-25,11.900,11.120,12.300,11.060,140235.000
2026-06-26,11.010,12.230,12.230,10.820,120305.000
