date,open,close,high,low,volume
2026-03-30,24.630,24.530,24.700,24.150,76094.000
2026-03-31,24.550,24.110,24.600,24.010,59414.000
2026-04-01,24.510,24.700,24.790,24.330,72160.000
2026-04-02,24.570,24.250,24.690,23.990,74535.000
2026-04-03,24.040,22.920,24.040,22.820,122407.000
2026-04-07,22.990,23.160,23.520,22.920,83558.000
2026-04-08,23.680,24.000,24.000,23.550,89850.000
2026-04-09,23.850,23.750,23.900,23.680,59594.000
2026-04-10,23.890,24.200,24.440,23.850,72930.000
2026-04-13,24.220,24.440,24.690,24.110,74888.000
2026-04-14,24.580,25.090,25.100,24.380,82900.000
2026-04-15,25.340,24.640,25.380,24.620,78048.000
2026-04-16,24.680,24.870,24.940,24.580,64683.000
2026-04-17,24.770,25.130,25.170,24.550,73374.000
2026-04-20,25.350,25.730,25.960,25.320,114479.000
2026-04-21,26.750,26.500,27.730,26.350,214558.000
2026-04-22,26.580,26.400,26.580,26.050,117238.000
2026-04-23,26.400,25.950,26.500,25.890,85617.000
2026-04-24,26.050,26.350,26.630,25.900,109840.000
2026-04-27,26.560,26.310,26.750,26.050,110790.000
2026-04-28,26.200,26.290,26.620,25.800,108920.000
2026-04-29,26.180,26.620,26.740,26.000,106183.000
2026-04-30,26.450,26.450,26.790,26.360,78664.000
2026-05-06,26.650,26.540,26.700,26.420,132253.000
2026-05-07,26.650,26.480,26.740,26.180,102307.000
2026-05-08,26.540,26.990,28.000,26.540,181769.000
2026-05-11,27.160,27.700,28.320,27.160,202064.000
2026-05-12,27.620,28.020,28.520,27.500,189953.000
2026-05-13,28.020,28.550,28.840,27.940,176993.000
2026-05-14,28.800,31.300,31.450,28.710,561029.000
2026-05-15,32.500,31.150,33.160,30.990,622259.000
2026-05-18,31.790,30.980,32.450,30.250,401290.000
2026-05-19,30.550,31.340,31.640,29.450,397437.000
2026-05-20,31.430,32.890,33.730,31.100,369527.000
2026-05-21,32.880,32.350,33.730,32.280,299723.000
2026-05-22,32.550,33.240,33.980,32.230,301360.000
2026-05-25,33.760,32.600,34.290,31.780,316022.000
2026-05-26,32.550,33.330,33.850,31.630,318113.000
2026-05-27,33.390,33.440,35.080,32.980,288368.000
2026-05-28,33.300,33.970,34.430,32.930,238132.000
2026-05-29,34.010,33.160,34.500,32.900,220560.000
2026-06-01,33.010,35.110,36.180,33.010,357708.000
2026-06-02,34.900,35.600,35.870,34.120,262629.000
2026-06-03,35.240,34.880,36.880,34.300,319856.000
2026-06-04,34.420,34.090,35.200,33.860,221030.000
2026-06-05,33.550,34.460,35.400,32.580,290012.000
2026-06-08,33.150,32.770,34.980,32.480,268356.000
2026-06-09,33.300,31.700,33.480,31.180,344777.000
2026-06-10,31.460,32.900,33.220,30.960,310221.000
2026-06-11,32.680,33.260,33.790,32.050,243119.000
2026-06-12,33.600,33.690,34.440,32.900,220903.000
2026-06-15,35.060,35.420,35.760,32.950,399764.000
2026-06-16,34.700,35.320,36.330,34.010,413687.000
2026-06-17,34.730,37.100,37.100,34.360,382244.000
2026-06-18,37.230,34.170,37.270,33.840,543135.000
2026-06-22,34.160,37.590,37.590,33.400,624696.000
2026-06-23,37.570,35.620,38.290,35.380,423720.000
2026-06-24,35.640,39.180,39.180,34.930,439949.000
2026-06-25,39.860,38.880,41.130,38.300,512817.000
2026-06-26,38.500,41.220,42.000,38.350,471785.000
