code,sector,screen_date,entry_price,final_price,forward_return,max_dd_fwd,days_held,score,reasons,pct_ma60,vol_ratio,chg20d
002106,光学光电子,2025-08-25,11.43,15.62,36.7,-21.6,200,87,多头排列|均线发散|极早期(10%)|温和放量(1.8x)|稳健(+7%),9.7,1.8,6.7
000636,元件,2025-08-25,15.60,78.50,403.2,-30.0,200,87,多头排列|均线发散|极早期(12%)|温和放量(1.5x)|稳健(+8%),11.5,1.5,8.4
000727,光学光电子,2025-08-25,2.68,2.67,-0.4,-19.2,200,87,多头排列|均线发散|极早期(9%)|温和放量(1.5x)|稳健(+9%),9.2,1.5,8.6
000050,光学光电子,2025-08-25,10.02,9.88,-1.4,-30.1,200,87,多头排列|均线发散|极早期(11%)|温和放量(1.4x)|稳健(+6%),10.8,1.4,6.1
600776,通信设备,2025-08-25,11.88,13.40,12.8,-48.7,200,87,多头排列|均线发散|极早期(8%)|温和放量(1.5x)|稳健(+6%),8.2,1.5,6.2
600105,通信设备,2025-08-25,9.97,65.71,559.1,-20.1,200,87,多头排列|均线发散|极早期(15%)|温和放量(1.2x)|稳健(+6%),14.9,1.2,6.5
600176,玻璃玻纤,2025-08-25,13.41,74.12,452.7,-20.7,200,87,多头排列|均线发散|极早期(12%)|温和放量(1.5x)|稳健(+6%),12.5,1.5,5.7
605006,玻璃玻纤,2025-08-25,8.34,24.94,199.0,-26.9,200,87,多头排列|均线发散|极早期(12%)|温和放量(1.3x)|稳健(+11%),12.0,1.3,10.8
002475,科技精选,2025-08-25,45.44,68.00,49.6,-33.9,200,84,多头排列|均线发散|温和放量(1.3x)|稳健(+14%),20.3,1.3,13.8
002643,电子化学品,2025-08-25,13.72,19.44,41.6,-24.9,200,84,多头排列|均线发散|温和放量(1.3x)|稳健(+6%),15.6,1.3,5.9
600584,科技精选,2025-08-25,38.86,100.89,159.6,-27.3,200,83,多头排列|均线发散|极早期(15%)|稳健(+11%),14.7,1.9,11.4
002613,玻璃玻纤,2025-08-25,4.35,4.07,-6.4,-25.5,200,83,多头排列|均线发散|极早期(13%)|稳健(+7%),13.3,2.2,6.6
002152,计算机设备,2025-08-25,14.26,9.26,-35.1,-36.6,200,83,多头排列|均线发散|极早期(11%)|稳健(+8%),11.4,1.9,8.1
000066,计算机设备,2025-08-25,18.99,18.57,-2.2,-38.8,200,81,多头排列|均线发散|温和放量(1.2x),19.5,1.2,19.5
002579,元件,2025-08-25,13.72,22.78,66.0,-27.3,200,80,多头排列|均线发散|极早期(14%)|稳健(+10%),14.4,1.0,10.3
002415,计算机设备,2025-08-25,30.13,33.32,10.6,-15.7,200,80,多头排列|均线发散|极早期(10%)|稳健(+9%),10.2,1.0,9.4
002935,国防军工,2025-08-25,17.14,21.09,23.0,-34.1,200,80,多头排列|均线发散|极早期(10%)|稳健(+9%),9.7,1.2,8.8
002236,计算机设备,2025-08-25,18.31,15.98,-12.7,-24.4,200,80,多头排列|均线发散|稳健(+13%),16.2,1.8,13.4
003004,计算机设备,2025-08-22,19.59,69.68,255.7,-15.4,200,80,多头排列|均线发散|极早期(7%)|稳健(+9%),7.2,1.2,8.7
002194,通信设备,2025-08-25,16.29,10.49,-35.6,-38.1,200,79,均线发散|极早期(5%)|温和放量(1.7x)|稳健(+10%),5.3,1.7,10.3
002134,元件,2025-08-25,22.47,29.06,29.3,-30.5,200,79,均线发散|极早期(2%)|温和放量(1.6x)|稳健(+7%),2.2,1.6,6.8
603061,半导体,2025-08-25,72.12,415.05,475.5,-25.8,200,77,多头排列|均线发散|稳健(+12%),17.8,1.1,11.6
600703,科技精选,2025-08-25,15.70,21.73,38.4,-39.2,200,77,多头排列|均线发散,17.5,2.3,15.2
