time,open,high,low,close,volume,amount
20250319,37.5,37.5,37.05,37.17,21358982.0,794084808.0
20250320,37.18,37.28,36.98,37.01,20606993.0,764656766.0
20250321,36.91,37.04,36.1,36.26,31276901.0,1142045152.0
20250324,36.25,36.62,35.53,36.6,28007676.0,1008210870.0
20250325,36.6,36.6,35.98,36.01,18953827.0,685503155.0
20250326,35.9,36.24,35.88,35.92,15049044.0,542290160.0
20250327,35.82,36.4,35.54,36.05,19578611.0,705405302.0
20250328,36.1,36.24,35.88,35.9,15185811.0,547173821.0
20250331,35.85,36.09,34.43,35.01,32509962.0,1142840523.0
20250401,35.0,35.2,34.86,35.0,17271525.0,605260163.0
20250402,35.01,35.32,34.93,35.23,15112534.0,531221262.0
20250403,34.98,35.3,34.07,34.37,27634501.0,958376810.0
20250407,31.31,32.4,30.93,30.93,41439780.0,1293597632.0
20250408,30.93,31.29,29.08,30.0,73055334.0,2177802763.0
20250409,29.5,31.31,28.9,31.08,68987230.0,2107993061.0
20250410,32.0,32.97,31.6,31.96,59010878.0,1902402785.0
20250411,31.96,34.13,31.86,33.35,70133598.0,2316349873.0
20250414,34.4,34.4,33.1,33.35,48566543.0,1628151410.0
20250415,33.15,33.24,32.66,32.85,24396093.0,801412073.0
20250416,32.87,33.07,32.2,32.85,27052313.0,880533126.0
20250417,32.6,33.15,32.5,32.8,21627245.0,710844423.0
20250418,32.6,32.86,32.34,32.8,16523801.0,538859907.0
20250421,32.8,33.18,32.63,33.15,18495558.0,610632297.0
20250422,33.15,33.15,32.7,32.77,20290436.0,667081589.0
20250423,32.93,33.25,32.8,33.11,23087384.0,762953734.0
20250424,33.23,33.23,32.6,32.81,17623421.0,579243813.0
20250425,32.83,33.23,32.7,33.0,19388698.0,640549329.0
20250428,33.0,33.09,32.68,32.72,15020036.0,492546402.0
20250429,32.9,33.07,32.65,33.02,18541014.0,610254859.0
20250430,33.05,33.66,32.94,33.43,27866729.0,931978982.0
20250506,33.63,34.34,33.63,34.32,33288837.0,1134357000.0
20250507,35.0,35.02,33.86,34.23,33681437.0,1153833562.0
20250508,34.02,34.33,33.95,34.27,20321515.0,695345675.0
20250509,34.27,34.27,33.52,33.69,19535161.0,659340520.0
20250512,34.0,34.25,33.98,34.15,21762942.0,742030196.0
20250513,34.6,34.6,33.95,34.07,20775851.0,710294791.0
20250514,34.03,34.34,33.97,34.23,19153032.0,654354159.0
20250515,34.35,34.35,33.43,33.47,21190090.0,716145836.0
20250516,33.6,33.83,33.38,33.68,13870500.0,467410203.0
20250519,33.5,33.75,32.91,33.46,18411103.0,613144629.0
20250520,33.5,33.59,33.3,33.34,16244582.0,542926938.0
20250521,33.35,33.35,33.0,33.07,14570379.0,482150105.0
20250522,33.07,33.45,32.82,32.89,16736358.0,553970589.0
20250523,32.89,33.62,32.6,32.63,21606167.0,714889672.0
20250526,32.7,32.95,32.6,32.79,13996750.0,458338351.0
20250527,32.7,32.7,32.3,32.35,12079122.0,392181339.0
20250528,32.5,32.5,32.02,32.06,11266254.0,362349082.0
20250529,32.07,32.7,32.06,32.69,17938521.0,582843164.0
20250530,32.53,32.54,32.14,32.16,12569677.0,405347080.0
20250603,32.0,32.4,31.92,32.03,15024638.0,482383024.0
20250604,32.09,32.54,32.03,32.43,15791681.0,511079319.0
20250605,32.43,33.07,32.31,33.02,20644791.0,676715167.0
20250606,33.05,33.13,32.82,32.94,14570611.0,480520795.0
20250609,32.94,33.16,32.9,32.96,14918634.0,492560497.0
20250610,33.0,33.01,32.19,32.38,18506593.0,602500617.0
20250611,32.36,32.6,32.11,32.3,21046639.0,681577849.0
20250612,32.3,32.56,32.05,32.12,18440943.0,593563357.0
20250613,32.01,32.65,31.9,31.9,23010589.0,738811899.0
20250616,31.71,32.29,31.66,31.94,18182949.0,582610436.0
20250617,31.95,32.22,31.82,31.89,15882778.0,507384091.0
20250618,31.8,32.55,31.76,32.31,23331727.0,750460878.0
20250619,32.2,32.46,31.83,31.95,20035665.0,644590100.0
20250620,31.8,32.13,31.5,31.54,15618657.0,496099964.0
20250623,31.38,32.67,31.2,32.5,41098350.0,1330342130.0
20250624,32.55,32.97,32.49,32.9,28530675.0,935264859.0
20250625,32.97,33.3,32.72,33.22,35670096.0,1179255618.0
20250626,33.31,33.4,32.93,32.96,26210900.0,869151212.0
20250627,33.34,34.08,33.0,33.6,46409194.0,1558093104.0
20250630,33.78,34.0,33.57,33.69,30024016.0,1013129804.0
20250701,33.7,34.38,33.37,33.97,39286790.0,1333734927.0
20250702,33.82,33.82,33.23,33.31,26212329.0,875886910.0
20250703,33.33,33.65,33.23,33.53,21316115.0,712586470.0
20250704,33.5,33.65,33.1,33.23,20300143.0,676363723.0
20250707,33.15,33.32,32.88,32.95,15458230.0,510490749.0
20250708,33.05,33.6,33.01,33.55,24446618.0,818037521.0
20250709,33.55,33.64,33.1,33.18,19428706.0,647986717.0
20250710,33.19,33.35,33.03,33.08,20641001.0,684172081.0
20250711,33.09,33.7,33.0,33.51,31462010.0,1052944334.0
20250714,33.59,33.7,33.4,33.4,18902230.0,633136938.0
20250715,33.4,33.71,33.25,33.64,27976977.0,937076905.0
20250716,33.6,34.14,33.5,33.59,30670399.0,1036286461.0
20250717,33.5,34.08,33.33,33.96,40208799.0,1359935671.0
20250718,34.09,34.19,33.8,33.93,28219169.0,958470367.0
20250721,33.94,34.25,33.82,34.07,25515987.0,867305013.0
20250722,34.1,34.52,33.99,34.25,37186191.0,1274656897.0
20250723,34.26,34.42,33.93,34.02,36673917.0,1253089643.0
20250724,34.1,34.78,34.08,34.7,48968064.0,1693268735.0
20250725,34.78,34.98,34.42,34.82,38499014.0,1334394412.0
20250728,34.95,35.45,34.73,35.01,46255246.0,1618637582.0
20250729,34.85,35.85,34.85,35.8,66342712.0,2360968298.0
20250730,35.87,36.09,35.3,35.54,61286102.0,2189338007.0
20250731,35.5,35.98,34.79,35.07,61067918.0,2162464204.0
20250801,35.01,35.25,34.37,34.54,35873193.0,1245793434.0
20250804,34.35,34.94,34.35,34.72,23086292.0,799181731.0
20250805,34.8,34.83,34.58,34.74,22989521.0,797235378.0
20250806,34.73,35.05,34.46,34.96,34358086.0,1194917908.0
20250807,34.88,35.48,34.83,35.18,45973884.0,1617424011.0
20250808,35.05,35.07,34.6,34.6,31680712.0,1100954752.0
20250811,34.55,34.95,34.51,34.77,25413756.0,883216245.0
20250812,34.78,35.35,34.52,35.1,44800132.0,1564649682.0
20250813,35.12,35.66,34.99,35.57,57729412.0,2040701204.0
20250814,35.65,36.12,35.11,35.28,69073829.0,2465722320.0
20250815,35.13,36.0,35.13,35.86,53130560.0,1891947867.0
20250818,36.7,37.33,36.42,36.9,101271946.0,3746006332.0
20250819,36.9,37.2,36.33,36.33,69393774.0,2540869113.0
20250820,36.26,37.8,36.15,37.7,89100133.0,3293108852.0
20250821,37.05,37.45,36.37,36.58,105457067.0,3890905350.0
20250822,36.3,39.2,36.17,38.84,209117219.0,7962735782.0
20250825,39.99,40.41,38.46,39.0,183577786.0,7217823094.0
20250826,38.5,39.58,38.13,38.99,125253581.0,4853764491.0
20250827,39.0,40.5,38.6,38.6,150393048.0,5929198325.0
20250828,38.55,40.18,38.16,40.18,157605980.0,6210676900.0
20250829,40.23,40.77,39.46,39.9,114774429.0,4591110157.0
20250901,42.0,42.69,40.4,41.15,155686011.0,6441938030.0
20250902,40.68,41.47,38.5,39.02,123529024.0,4907832205.0
20250903,39.03,39.8,38.03,38.35,89852179.0,3484406403.0
20250904,38.25,38.47,35.7,36.25,106546647.0,3940314150.0
20250905,36.31,37.34,35.96,37.18,65632093.0,2408140387.0
20250908,37.5,37.93,37.01,37.63,59735432.0,2237450044.0
20250909,37.35,37.38,36.52,36.61,49776671.0,1837858218.0
20250910,36.63,37.13,36.51,36.6,36582081.0,1346412164.0
20250911,36.62,38.06,36.25,38.05,82889949.0,3107199849.0
20250912,38.06,38.47,37.8,37.88,76163057.0,2903698918.0
20250915,38.58,38.76,37.74,37.82,62709655.0,2390558698.0
20250916,37.75,39.0,37.68,38.7,77177903.0,2966403227.0
20250917,38.58,39.07,38.09,38.77,65856196.0,2544732335.0
20250918,38.99,40.37,38.1,39.13,141211852.0,5572856944.0
20250919,39.43,39.74,38.68,38.73,85149177.0,3336914236.0
20250922,38.88,39.88,38.5,39.66,88723472.0,3495822099.0
20250923,39.7,39.8,38.11,39.2,89206084.0,3464905105.0
20250924,39.15,41.69,39.0,41.2,185184984.0,7569191034.0
20250925,41.23,44.49,40.88,42.82,238196421.0,10118282574.0
20250926,42.4,43.2,41.3,41.33,131969267.0,5552536752.0
20250929,41.33,41.67,40.43,40.89,102754051.0,4199736908.0
20250930,41.84,44.98,41.14,44.09,215434169.0,9289248003.0
20251009,45.31,47.6,45.0,47.0,230258658.0,10646431436.0
20251010,45.55,45.85,43.48,43.77,166155591.0,7376464981.0
20251013,40.96,43.93,40.96,43.61,120308229.0,5157949199.0
20251014,44.3,44.48,40.58,40.79,137290704.0,5793296703.0
20251015,41.03,41.94,39.91,41.92,84115639.0,3448067187.0
20251016,41.7,42.6,41.35,41.72,74077490.0,3103103147.0
20251017,41.05,41.58,39.47,39.5,83649260.0,3363928719.0
20251020,40.25,40.57,39.39,39.59,59487514.0,2377353980.0
20251021,39.65,40.5,39.53,40.5,65598869.0,2639323979.0
20251022,40.19,40.5,39.56,39.93,46589992.0,1863321019.0
20251023,39.6,39.84,38.86,39.83,45822407.0,1799467135.0
20251024,40.4,41.1,40.1,40.95,75658558.0,3082212694.0
20251027,41.88,42.5,41.0,42.09,123359141.0,5155208442.0
20251028,42.02,42.93,41.6,41.89,95768243.0,4048035501.0
20251029,41.63,42.39,41.42,41.8,67862839.0,2833735528.0
20251030,42.09,42.6,41.55,41.6,92839206.0,3908161357.0
20251031,41.3,41.31,40.0,40.02,80387834.0,3251958139.0
20251103,39.8,39.81,38.44,39.45,66861761.0,2613870601.0
20251104,39.58,41.21,39.44,39.82,71868602.0,2897071317.0
20251105,38.56,39.23,38.5,38.88,49717864.0,1930759686.0
20251106,39.27,39.7,38.91,39.69,48840818.0,1925169949.0
20251107,39.24,39.25,38.8,38.92,35648645.0,1389916425.0
20251110,39.15,39.58,38.88,39.19,38152359.0,1494887356.0
20251111,39.5,39.69,38.51,38.52,39938220.0,1552991927.0
20251112,38.3,38.3,37.46,37.69,40462795.0,1529100787.0
20251113,37.67,38.42,37.61,38.24,34916245.0,1330942105.0
20251114,37.8,37.81,37.03,37.05,48226236.0,1802972186.0
20251117,37.0,37.33,36.77,37.08,28551304.0,1057684374.0
20251118,37.01,37.52,36.81,37.17,28868445.0,1074728786.0
20251119,37.01,37.2,36.39,36.59,29693719.0,1090272798.0
20251120,36.99,37.08,36.11,36.12,26871999.0,980623957.0
20251121,35.6,35.8,34.8,34.85,42233532.0,1486565480.0
20251124,35.01,35.26,34.58,35.05,28559949.0,997828583.0
20251125,35.44,35.93,35.28,35.51,32948443.0,1172826325.0
20251126,35.48,36.08,35.26,35.8,36563489.0,1309368383.0
20251127,35.85,36.56,35.73,35.75,36700158.0,1326760581.0
20251128,35.61,35.98,35.43,35.91,23399785.0,836578646.0
20251201,36.98,37.22,36.5,37.1,48395869.0,1784103507.0
20251202,37.0,37.0,36.4,36.46,27538492.0,1009123627.0
20251203,36.53,37.78,36.46,36.61,35654280.0,1317048542.0
20251204,36.48,36.99,36.01,36.99,28584518.0,1043606559.0
20251205,36.99,36.99,36.22,36.74,28128675.0,1029369731.0
20251208,36.73,37.47,36.61,37.28,38282025.0,1421326447.0
20251209,37.12,37.39,36.8,36.9,29713283.0,1102144996.0
20251210,36.7,37.3,36.45,37.19,30528865.0,1129250136.0
20251211,37.16,37.17,36.37,36.41,26025243.0,956493237.0
20251212,36.42,36.95,35.98,36.82,33601146.0,1228852280.0
20251215,36.48,36.57,36.01,36.04,25048397.0,908577094.0
20251216,36.0,36.15,35.1,35.38,27127806.0,961806334.0
20251217,35.3,36.05,35.13,35.93,27849810.0,991389545.0
20251218,35.6,36.15,35.57,35.67,22518805.0,807786685.0
20251219,35.97,36.35,35.74,35.76,24064359.0,865662234.0
20251222,36.05,36.89,36.03,36.79,41516939.0,1519928286.0
20251223,36.8,36.99,36.47,36.63,28296372.0,1039494738.0
20251224,36.84,37.2,36.7,37.12,32623248.0,1207065016.0
20251225,37.16,37.4,36.94,37.13,27905801.0,1037102395.0
20251226,36.96,37.26,36.66,36.8,30489723.0,1126125501.0
20251229,36.81,37.11,36.55,36.62,28355191.0,1043647681.0
20251230,36.53,37.24,36.51,37.1,33480259.0,1240081330.0
20251231,37.26,37.35,36.7,36.78,28095490.0,1036329986.0
20260105,37.2,38.6,37.2,38.36,79525985.0,3038786138.0
20260106,38.6,38.69,38.06,38.44,58452059.0,2243132117.0
20260107,39.06,39.59,38.5,39.08,97859100.0,3822377234.0
20260108,38.8,39.6,38.68,38.98,64056495.0,2512526433.0
20260109,39.25,41.49,39.25,41.18,134851185.0,5514654632.0
20260112,41.98,45.28,41.98,43.68,167549851.0,7357955587.0
20260113,43.5,43.8,41.98,42.2,101869675.0,4363252495.0
20260114,42.2,43.31,41.53,41.98,86562008.0,3668781163.0
20260115,41.71,44.16,41.47,43.99,125270549.0,5392901852.0
20260116,45.0,48.39,44.8,48.39,197080479.0,9286881238.0
20260119,49.16,50.76,47.96,48.83,239101352.0,11749034774.0
20260120,48.83,50.28,48.4,49.49,178916455.0,8842379886.0
20260121,49.01,53.57,48.58,52.61,231403760.0,11973641605.0
20260122,54.59,54.63,48.91,49.4,251036977.0,12607133409.0
20260123,49.4,50.35,48.45,49.02,165477934.0,8143964115.0
20260126,48.83,49.32,47.05,47.31,125961710.0,6011665036.0
20260127,47.18,48.66,46.15,48.2,129552119.0,6158076884.0
20260128,49.26,51.4,49.19,50.05,151152671.0,7597088075.0
20260129,49.4,51.0,48.8,48.98,90323132.0,4469149402.0
20260130,48.95,50.14,47.9,49.48,92342017.0,4542014269.0
20260202,48.44,48.75,46.21,46.34,95664825.0,4515763531.0
20260203,47.45,47.82,46.84,47.69,64265594.0,3042598536.0
20260204,46.99,47.13,45.4,45.87,69844609.0,3218140234.0
20260205,44.88,45.09,43.87,44.66,64707601.0,2871804624.0
20260206,43.99,44.68,43.5,44.06,48646811.0,2145297213.0
20260209,45.2,46.96,44.5,46.76,77345433.0,3552201435.0
20260210,46.77,47.49,46.1,46.24,44473388.0,2071172715.0
20260211,45.86,46.86,45.8,46.19,33914795.0,1568992442.0
20260212,46.5,46.97,46.19,46.63,48274790.0,2250077974.0
20260213,46.0,46.97,45.8,46.13,43143897.0,2005592207.0
20260224,46.9,47.42,46.05,46.74,55100734.0,2579475255.0
20260225,47.45,47.63,45.4,46.92,83846812.0,3906195440.0
20260226,46.9,49.98,46.6,48.72,100939758.0,4866860807.0
20260227,47.76,48.24,46.31,48.16,81754727.0,3875995663.0
20260302,46.78,47.68,46.7,46.77,63626436.0,2994724032.0
20260303,47.3,49.89,46.94,47.57,155758016.0,7512231166.0
20260304,45.91,49.45,45.91,47.86,99526481.0,4787131058.0
20260305,49.3,50.33,48.22,48.7,114724045.0,5646963726.0
20260306,48.1,49.09,46.86,47.04,92025304.0,4373547863.0
20260309,45.63,45.63,42.7,45.0,107581854.0,4728604659.0
20260310,46.0,46.6,45.35,46.0,71321624.0,3275463114.0
20260311,46.46,48.26,46.33,46.81,91787914.0,4348980117.0
20260312,46.6,47.68,45.44,45.73,65357402.0,3022709735.0
20260313,45.27,46.8,44.79,45.48,54306364.0,2487147609.0
20260316,45.31,46.46,44.15,45.75,70527085.0,3203099087.0
20260317,46.03,46.04,43.69,43.75,62111435.0,2774511544.0
20260318,44.25,46.17,43.93,45.77,79123287.0,3565691666.0
20260319,44.79,45.17,44.0,44.19,53194153.0,2367791367.0
20260320,44.66,44.75,42.0,42.03,77282375.0,3317503374.0
20260323,40.48,41.18,38.67,39.08,75710390.0,3021893232.0
20260324,39.9,39.97,38.39,39.45,46118069.0,1804238392.0
20260325,39.9,41.26,39.87,40.64,53328858.0,2170329915.0
20260326,40.4,40.76,39.24,39.43,37774932.0,1507017755.0
20260327,38.85,39.94,38.6,39.53,36794000.0,1445288091.0
20260330,38.66,39.97,38.45,39.84,33889063.0,1330224805.0
20260331,39.5,39.6,38.55,38.75,40400504.0,1576961626.0
20260401,39.88,39.89,39.24,39.49,36706954.0,1450867469.0
20260402,39.53,39.53,38.28,38.48,32891527.0,1276608568.0
20260403,38.88,38.98,38.02,38.29,26170612.0,1005827844.0
20260407,38.7,39.06,38.54,38.82,27382119.0,1063155065.0
20260408,40.05,41.98,40.03,41.98,71371225.0,2924657171.0
20260409,41.17,42.47,41.05,41.91,49753341.0,2083840381.0
20260410,42.74,43.79,42.74,43.02,66766919.0,2885803177.0
20260413,42.5,43.5,42.5,42.85,44321080.0,1903992520.0
20260414,43.6,45.08,43.3,44.34,82549995.0,3644259975.0
20260415,44.5,44.7,43.36,43.59,68066554.0,3000554903.0
20260416,43.6,44.02,43.2,43.73,44243272.0,1930963725.0
20260417,43.68,44.6,43.25,43.98,61394169.0,2700991703.0
20260420,44.0,45.0,43.49,44.49,61180808.0,2719345386.0
20260421,44.5,44.6,43.13,44.03,46511624.0,2038879602.0
20260422,43.84,45.68,43.77,45.51,76861446.0,3444471386.0
20260423,45.56,45.78,44.04,44.41,66315595.0,2974691696.0
20260424,44.82,45.87,44.51,44.89,70028949.0,3159344706.0
20260427,46.0,46.95,45.55,46.32,102131277.0,4735395335.0
20260428,46.1,46.49,44.76,45.1,80439998.0,3648812811.0
20260429,44.2,44.63,43.09,44.36,86287559.0,3795548157.0
20260430,44.65,45.86,44.11,45.56,101403022.0,4566035740.0
20260506,47.86,49.18,47.85,48.2,149998286.0,7269788006.0
20260507,48.9,49.5,47.47,48.76,132166219.0,6397744066.0
20260508,48.0,51.59,47.1,50.75,168654906.0,8239048098.0
20260511,53.8,55.83,53.19,55.83,162994255.0,8971881203.0
20260512,56.76,56.99,54.6,55.24,224398600.0,12497854056.0
20260513,53.51,57.97,53.2,57.49,218212309.0,12169573851.0
20260514,57.79,57.79,54.28,54.31,174451474.0,9730726350.0
20260515,55.17,59.73,54.63,58.05,251079832.0,14351403395.0
20260518,57.47,61.96,57.01,58.33,240294280.0,14294155806.0
20260519,56.91,61.0,56.08,60.81,231949700.0,13664043254.0
20260520,59.78,66.89,59.77,66.22,285968244.0,18682988445.0
20260521,66.88,71.28,65.67,66.84,312505756.0,21324471319.0
20260522,67.05,73.14,63.95,72.88,286927908.0,19820620387.0
20260525,74.0,80.17,71.0,80.17,275139063.0,21048787141.0
20260526,83.0,88.19,81.15,88.19,339836664.0,28784651037.0
20260527,86.5,94.9,83.5,86.16,351341166.0,31523590759.0
20260528,83.01,87.5,81.0,84.74,272264649.0,22950139180.0
20260529,86.0,89.77,80.33,82.05,310358553.0,26508349088.0
20260601,80.1,83.51,75.0,75.65,295336496.0,23173514634.0
20260602,76.86,77.54,72.65,75.35,253251201.0,19021217125.0
20260603,76.23,82.89,76.23,80.13,325350062.0,26269142977.0
20260604,79.0,81.86,77.8,80.08,227052025.0,18217342178.0
20260605,79.66,80.42,75.08,75.65,205371194.0,15961191020.0
20260608,70.92,73.0,69.7,70.3,168129755.0,11980759199.0
20260609,72.98,75.65,71.4,75.29,166474326.0,12258528311.0
20260610,73.5,76.44,72.47,74.05,150274848.0,11181386124.0
20260611,72.6,74.26,71.0,71.95,127999146.0,9250455315.0
20260612,75.0,75.88,68.85,68.92,186316644.0,13358663368.0
20260615,70.3,74.47,67.95,74.32,178153124.0,12871558147.0
20260616,75.06,78.38,74.96,76.93,191709382.0,14701154142.0
20260617,76.0,82.83,76.0,81.76,222806726.0,18015771097.0
20260618,81.89,85.55,81.03,83.03,234078050.0,19547621790.0
20260622,85.88,91.33,85.6,91.33,237219439.0,20917975491.0
20260623,91.96,91.96,84.38,86.09,222117468.0,19525842488.0
20260624,84.0,94.7,84.0,94.7,257325263.0,23788606704.0
20260625,100.0,104.17,99.99,104.17,119722972.0,12320788002.0
20260626,106.92,109.33,100.68,100.89,335828451.0,35228700903.0
20260629,103.0,105.8,92.4,103.25,326160484.0,32439880816.0
20260630,101.29,105.07,96.45,103.55,228510859.0,23180238107.0
20260701,105.5,111.11,101.68,106.64,245979037.0,26327311096.0
20260702,99.0,101.0,95.98,95.98,190804372.0,18686955465.0
20260703,93.4,94.98,88.35,90.88,178226527.0,16408449724.0
20260706,94.85,97.9,90.88,95.09,208421379.0,19748583547.0
20260707,92.0,102.88,91.8,100.99,227205544.0,22578698079.0
20260708,100.9,102.68,91.0,94.11,207165389.0,19914071465.0
20260709,97.7,103.52,94.6,103.52,206375823.0,20497139426.0
20260710,108.88,113.87,101.11,101.11,305852847.0,33213191229.0
20260713,98.12,106.66,98.12,99.05,243121889.0,25012153841.0
20260714,98.0,103.28,91.65,102.7,278263194.0,27424670381.0
20260715,105.0,105.05,92.43,92.46,238580981.0,22966900490.0
20260716,87.46,90.41,83.21,83.21,185426440.0,15886100924.0
20260717,82.0,90.15,77.71,85.49,252546378.0,20781603333.0
20260720,86.0,86.99,76.94,76.99,201899735.0,16284351133.0
20260721,76.7,84.69,69.29,84.69,268854169.0,20904684925.0
20260722,84.0,89.88,82.66,85.78,257780881.0,22454664476.0
20260723,85.78,86.88,80.3,80.81,168530327.0,13953017825.0
20260724,78.02,84.8,78.02,82.9,172161393.0,14208029489.0
20260727,81.76,84.2,77.1,82.35,142857990.0,11593743613.0
20260728,79.3,82.87,75.56,76.83,137595027.0,10874183348.0
20260729,76.7,77.45,69.7,71.68,167062769.0,12070990499.0
20260730,70.0,71.33,64.51,64.51,159793915.0,10647381356.0
20260731,70.27,70.27,65.56,65.71,160360275.0,10900609125.0
20260803,64.1,65.42,60.84,61.0,135091372.0,8459420419.0
20260804,61.99,66.1,61.15,65.41,143599301.0,9186950735.0
20260805,65.71,70.59,65.7,68.97,176105264.0,12008296116.0
20260806,67.01,75.87,67.01,75.87,235907084.0,17259959743.0
20260807,75.15,78.74,73.97,77.75,228341425.0,17483054960.0
20260810,78.42,79.49,76.0,78.52,143099767.0,11127773471.0
20260811,77.1,80.64,76.6,77.67,130786817.0,10283784796.0
20260812,78.0,79.08,76.7,78.18,104098338.0,8129643139.0
20260813,79.3,81.88,77.77,77.82,150048941.0,11980625234.0
20260814,78.99,79.28,76.4,78.71,114479283.0,8901809161.0
20260817,78.93,86.48,78.93,85.85,191158336.0,15827066973.0
20260818,85.69,87.5,84.2,85.42,150833240.0,12923176753.0
20260819,81.11,83.23,76.95,77.74,159170816.0,12692138756.0
20260820,79.8,82.13,77.82,79.48,123466986.0,9878325829.0
20260821,78.29,80.5,77.51,78.57,97015960.0,7646217741.0
20260824,78.56,78.56,72.27,73.8,111989577.0,8343892121.0
20260825,72.57,75.3,71.06,74.05,86180801.0,6322392205.0
20260826,74.25,74.85,72.8,73.62,67139274.0,4957125668.0
20260827,74.28,76.82,73.95,76.54,97465042.0,7378098690.0
20260828,76.6,77.98,74.85,74.93,89201867.0,6809177242.0
20260831,72.18,76.0,72.18,75.75,73855942.0,5476000192.0
20260901,75.75,76.38,73.0,73.29,57878705.0,4279726146.0
20260902,71.75,72.49,71.01,71.31,55345363.0,3962423157.0
20260903,72.28,72.52,70.32,71.27,49810483.0,3556476138.0
20260904,71.39,71.92,66.63,67.36,116291883.0,8000712632.0
20260907,68.59,69.49,67.66,69.0,82169643.0,5642632845.0
20260908,69.57,70.3,68.11,68.6,73836064.0,5107935645.0
20260909,69.1,70.28,68.19,68.64,61367465.0,4248234360.0
20260910,68.0,69.44,67.12,68.12,48193622.0,3301892359.0
20260911,66.5,68.12,65.5,67.74,66541365.0,4446672974.0
