time,open,high,low,close,volume,amount
20260803093500,64.100,64.970,64.050,64.880,14144895,912636762.1215
20260803094000,64.900,65.420,63.720,63.770,8247500,532296177.9485
20260803094500,63.780,64.300,63.200,63.220,8539569,543472003.2607
20260803095000,63.220,63.480,62.780,63.280,8835676,557034942.9420
20260803095500,63.230,63.570,62.640,63.180,5530176,348165787.3877
20260803100000,63.180,63.670,62.710,62.930,3394366,214154301.6637
20260803100500,62.930,63.410,62.700,62.870,2942477,185330715.3447
20260803101000,62.880,63.380,62.500,62.500,3582798,225106908.0462
20260803101500,62.510,63.200,62.510,63.120,3409403,213689586.6057
20260803102000,63.130,63.140,62.150,62.210,3633245,226842445.5020
20260803102500,62.180,62.900,62.030,62.070,3166900,197451406.0137
20260803103000,62.070,62.240,61.930,61.930,3288231,204138660.2933
20260803103500,61.940,62.390,61.800,62.350,4453958,276086899.9478
20260803104000,62.350,63.110,62.330,62.600,2602003,163426489.7553
20260803104500,62.590,63.240,62.400,62.970,1806850,113615035.0000
20260803105000,62.970,63.250,62.510,62.570,1422300,89462108.0000
20260803105500,62.580,62.850,62.460,62.660,901389,56437413.6211
20260803110000,62.660,63.190,62.490,62.900,1093108,68700828.5000
20260803110500,62.910,63.270,62.800,62.820,1225550,77331740.0000
20260803111000,62.830,62.830,62.350,62.450,1082000,67695797.0000
20260803111500,62.450,62.590,62.300,62.400,948513,59229150.3298
20260803112000,62.420,62.820,62.400,62.780,864487,54069012.7586
20260803112500,62.770,63.000,62.500,62.930,770818,48369650.3798
20260803113000,62.980,62.990,62.590,62.850,673900,42329613.0000
20260803130500,62.830,63.080,62.720,62.960,1021717,64306351.0935
20260803131000,62.960,63.000,62.300,62.440,1122687,70268692.8358
20260803131500,62.440,62.540,62.230,62.310,835400,52090673.0000
20260803132000,62.300,62.450,62.210,62.350,727300,45339250.0000
20260803132500,62.320,62.350,62.130,62.210,1007200,62663709.0000
20260803133000,62.220,62.250,61.920,62.040,2003178,124282151.3376
20260803133500,62.030,62.040,61.840,61.960,1707861,105764806.0461
20260803134000,61.960,62.120,61.890,61.950,996800,61766521.0000
20260803134500,61.950,62.000,61.850,61.910,1306900,80885004.9996
20260803135000,61.910,61.960,61.800,61.800,1451000,89757626.0000
20260803135500,61.800,61.870,61.760,61.790,1593400,98485907.0524
20260803140000,61.780,61.800,61.400,61.410,2517500,155038981.0684
20260803140500,61.410,61.410,61.180,61.180,2599569,159410254.6565
20260803141000,61.180,61.250,60.840,60.890,4585494,279865301.5930
20260803141500,60.900,61.620,60.890,61.530,2585346,158312949.1774
20260803142000,61.530,61.600,61.080,61.090,1569900,96291401.0000
20260803142500,61.090,61.950,61.030,61.930,1987520,122266835.4688
20260803143000,61.940,62.030,61.410,61.410,1696950,104898806.5000
20260803143500,61.410,61.590,61.200,61.240,1683783,103341995.2164
20260803144000,61.240,61.300,60.980,60.990,2126400,130003632.7344
20260803144500,60.990,61.130,60.900,60.980,2502998,152694624.2478
20260803145000,60.980,61.050,60.950,60.990,2865827,174807090.6347
20260803145500,60.990,61.000,60.900,60.920,4249799,259004182.7885
20260803150000,60.920,61.000,60.900,61.000,3786731,230800234.5102
20260804093500,61.990,62.280,61.150,61.680,10542831,649321770.2739
