time,open,high,low,close,volume,amount
20240801,23.84,23.959999999999997,23.72,23.81,15027.0,35847101.0
20240802,23.69,23.880000000000003,23.150000000000002,23.23,12419.0,29155391.0
20240805,23.02,23.299999999999997,22.47,22.529999999999998,16146.0,36839926.0
20240806,22.76,22.93,22.3,22.63,10148.0,22925689.000000004
20240807,24.89,24.89,24.89,24.89,31544.0,78514012.0
20240808,27.02,27.05,24.7,24.74,135176.0,352918395.0
20240809,24.02,25.96,23.55,25.0,103453.0,253168165.0
20240812,24.1,25.0,23.8,24.490000000000002,54591.0,133447406.99999999
20240813,24.24,24.52,23.72,23.959999999999997,40246.0,96682543.0
20240814,24.080000000000002,24.19,23.55,23.71,33554.0,80007629.0
20240815,23.66,24.28,23.36,24.02,35385.0,84777008.0
20240816,23.459999999999997,23.72,22.97,23.0,32718.0,76251774.0
20240819,22.990000000000002,23.42,22.82,23.05,21321.0,49353136.0
20240820,23.16,23.17,22.53,22.64,20931.0,47655955.0
20240821,22.540000000000003,22.76,22.44,22.48,10554.0,23861031.000000004
20240822,22.45,22.64,21.98,21.990000000000002,15681.0,34789416.0
20240823,22.11,22.400000000000002,21.98,22.32,16520.0,36747261.0
20240826,23.209999999999997,23.209999999999997,22.47,22.56,24758.0,56452544.0
20240827,22.3,22.98,22.13,22.349999999999998,18630.0,41628475.0
20240828,22.11,22.5,22.11,22.47,12599.0,28161342.0
20240829,22.2,22.8,22.12,22.69,19839.0,44771820.0
20240830,22.66,23.299999999999997,22.56,23.0,24313.0,56122211.0
20240902,22.860000000000003,23.110000000000003,22.400000000000002,22.430000000000003,17697.0,40168374.0
20240903,22.3,22.75,22.3,22.73,12845.0,29006799.0
20240904,22.51,23.19,22.51,22.790000000000003,12731.0,28992284.0
20240905,22.78,23.1,22.75,22.94,11907.0,27280067.000000004
20240906,23.0,23.0,22.51,22.560000000000002,14185.0,32144486.0
20240909,22.419999999999998,22.65,22.31,22.41,10648.0,23925715.000000004
20240910,22.419999999999998,22.84,22.18,22.68,13166.0,29597861.0
20240911,22.18,22.8,22.18,22.66,8797.0,19920174.0
20240912,23.060000000000002,23.060000000000002,22.55,22.55,11346.0,25822919.000000004
20240913,22.61,22.75,22.3,22.35,11394.0,25623740.0
20240918,22.36,22.52,22.06,22.27,11125.0,24780516.0
20240919,22.35,22.77,22.12,22.560000000000002,13473.0,30304528.999999996
20240920,22.6,22.720000000000002,22.42,22.55,10428.0,23506492.0
20240923,22.69,22.89,22.490000000000002,22.53,14465.0,32769025.0
20240924,22.63,23.1,22.43,23.1,27896.0,63758244.0
20240925,23.3,23.76,23.25,23.32,30274.0,71201048.0
20240926,23.4,23.97,23.32,23.97,31190.0,73910678.00000001
20240927,24.03,25.1,24.03,24.880000000000003,30013.0,74059338.99999999
20240930,25.96,27.169999999999998,25.43,27.0,80853.0,213709866.0
20241008,29.7,29.7,28.0,29.48,107996.0,314667974.0
20241009,28.8,28.93,26.86,26.91,74940.0,209207467.99999997
20241010,27.990000000000002,27.990000000000002,26.830000000000002,27.05,42166.0,115413268.0
20241011,27.39,27.39,25.45,25.82,38983.0,101812059.0
20241014,26.22,26.4,25.45,26.349999999999998,32132.0,83600257.0
20241015,26.26,26.68,25.69,25.700000000000003,28040.0,73320934.00000001
20241016,25.33,25.9,25.22,25.45,23746.0,60575520.00000001
20241017,25.69,25.79,25.21,25.240000000000002,24729.0,63056673.0
20241018,25.1,26.87,25.060000000000002,26.340000000000003,49406.0,128804232.0
20241021,26.919999999999998,27.23,26.2,26.529999999999998,48108.0,128423160.99999999
20241022,26.919999999999998,27.119999999999997,26.38,26.9,39475.0,105706840.0
20241023,26.88,27.75,26.66,27.36,44565.0,121945216.00000001
20241024,27.46,27.75,26.95,27.509999999999998,37822.0,103458033.00000001
20241025,28.61,28.61,27.36,28.03,48070.0,134445141.0
20241028,27.89,27.89,27.560000000000002,27.8,37895.0,105016022.0
20241029,27.790000000000003,27.900000000000002,27.28,27.46,34835.0,96223098.0
20241030,27.29,27.75,27.11,27.41,26114.0,71586710.99999999
20241031,27.32,28.39,27.25,28.17,54679.0,152109820.0
20241101,28.029999999999998,28.029999999999998,26.79,26.919999999999998,58199.0,158268064.0
20241104,27.46,27.950000000000003,26.92,27.91,45962.0,127116239.0
20241105,27.849999999999998,28.63,27.7,28.62,48394.0,137287826.0
20241106,28.94,28.96,28.1,28.310000000000002,44707.0,127421062.0
20241107,28.3,28.55,28.060000000000002,28.480000000000004,33970.0,96281100.0
20241108,28.63,29.48,28.55,29.09,58750.0,170641154.0
20241111,32.0,32.0,30.05,30.67,171837.0,530470162.0
20241112,30.21,30.509999999999998,29.27,29.58,97932.0,291838275.0
20241113,29.5,30.24,29.18,29.84,55925.0,166777983.0
20241114,30.01,30.23,29.09,29.15,44884.0,133089191.0
20241115,29.15,29.419999999999998,28.43,28.45,35643.0,103174247.0
20241118,28.63,28.97,28.16,28.36,40384.0,115169695.00000001
20241119,28.36,28.869999999999997,28.22,28.799999999999997,33448.0,95479470.00000001
20241120,28.990000000000002,29.000000000000004,28.400000000000002,28.73,32852.0,94237742.0
20241121,28.82,29.19,28.26,28.520000000000003,32524.0,93289288.0
20241122,28.5,28.73,27.62,27.64,39801.0,112451351.0
20241125,28.01,29.91,27.75,28.7,92384.0,269311368.0
20241126,28.46,29.17,28.03,28.060000000000002,42932.0,121518867.0
20241127,27.85,28.790000000000003,27.53,28.790000000000003,36752.0,103423672.99999999
20241128,28.720000000000002,28.79,28.21,28.3,23628.0,67298104.0
20241129,28.32,29.060000000000002,28.21,28.78,32056.0,91924535.0
20241202,28.63,29.34,28.5,28.9,33465.0,96642508.00000001
20241203,28.9,28.98,28.52,28.7,23850.0,68536851.0
20241204,28.689999999999998,28.849999999999998,28.13,28.29,26343.0,74925083.0
20241205,28.360000000000003,28.5,28.1,28.200000000000003,25482.0,72139751.0
20241206,28.240000000000002,28.430000000000003,27.92,28.360000000000003,24314.0,68680626.0
20241209,28.3,28.46,27.86,28.15,25646.0,72135388.0
20241210,28.96,28.96,28.1,28.17,29066.0,82658639.0
20241211,28.080000000000002,28.42,28.080000000000002,28.290000000000003,18978.0,53698379.0
20241212,28.31,28.4,28.04,28.349999999999998,21245.0,59985545.0
20241213,28.3,28.47,27.95,28.0,23720.0,66700292.00000001
20241216,28.270000000000003,28.69,27.85,27.91,47023.0,132944554.0
