time,open,high,low,close,volume,amount
20240902,3.6,3.62,3.48,3.48,275090,99926543.0
20240903,3.46,3.54,3.44,3.54,196177,70863170.0
20240904,3.5,3.52,3.46,3.49,197628,71008969.99999999
20240905,3.49,3.57,3.48,3.54,194301,70524847.0
20240906,3.53,3.54,3.45,3.47,170382,61133692.99999999
20240909,3.43,3.47,3.41,3.44,153689,54358155.00000001
20240910,3.46,3.51,3.37,3.49,240137,84919125.0
20240911,3.47,3.49,3.44,3.45,127718,45482938.00000001
20240912,3.48,3.52,3.45,3.46,152968,54783295.0
20240913,3.45,3.47,3.39,3.4,139776,49386733.0
20240918,3.4,3.41,3.29,3.36,162773,55972264.0
20240919,3.38,3.48,3.35,3.46,194115,68572746.0
20240920,3.46,3.51,3.45,3.48,173914,62172024.00000001
20240923,3.51,3.54,3.47,3.53,187541,67876514.00000001
20240924,3.51,3.71,3.46,3.69,545422,201570492.00000003
20240925,3.68,3.77,3.65,3.66,596655,227075449.0
20240926,3.65,3.75,3.63,3.75,362947,137918545.0
20240927,3.79,3.92,3.76,3.92,375021,147461917.0
20240930,4.0600000000000005,4.3100000000000005,3.96,4.290000000000001,915490,390066190.0
20241008,4.73,4.73,4.380000000000001,4.680000000000001,943665,442845197.0
20241009,4.6000000000000005,4.6000000000000005,4.2,4.2,718790,320639189.00000006
20241010,4.19,4.33,4.08,4.2,443529,191708786.0
20241011,4.21,4.21,3.91,3.9699999999999993,393462,162737862.0
20241014,3.97,4.090000000000001,3.93,4.090000000000001,315598,130237868.0
20241015,4.0600000000000005,4.19,4.0200000000000005,4.050000000000001,349213,147315312.0
20241016,3.96,4.0600000000000005,3.96,4.010000000000001,262425,107584313.0
20241017,4.04,4.25,4.04,4.14,509341,215797680.0
20241018,4.11,4.2700000000000005,4.090000000000001,4.200000000000001,581500,248702351.0
20241021,4.23,4.470000000000001,4.210000000000001,4.410000000000001,678260,303341497.0
20241022,4.7700000000000005,4.86,4.58,4.6,1244290,597035802.0
20241023,4.63,4.8500000000000005,4.53,4.57,1074902,513287783.0
20241024,4.590000000000001,5.040000000000001,4.590000000000001,5.040000000000001,1435872,716669517.0000001
20241025,5.4,5.4,4.95,5.08,2326084,1229324680.0
20241028,5.000000000000001,5.6000000000000005,5.000000000000001,5.490000000000001,1861293,1007266444.0
20241029,5.3100000000000005,5.3100000000000005,5.1000000000000005,5.1000000000000005,1522081,807978329.0
20241030,5.040000000000001,5.180000000000001,4.920000000000001,4.98,930564,475740850.0
20241031,5.0,5.29,4.94,5.170000000000001,1139841,598281555.0
20241101,5.11,5.12,4.74,4.76,1002093,498317665.0
20241104,4.720000000000001,4.900000000000001,4.710000000000001,4.8500000000000005,460222,226877413.0
20241105,4.85,4.95,4.79,4.93,603234,301323485.00000006
20241106,4.98,5.26,4.91,5.16,1178672,612175177.0
20241107,5.140000000000001,5.140000000000001,5.0200000000000005,5.12,752136,389490079.0
20241108,5.12,5.23,5.1000000000000005,5.130000000000001,789055,414709415.00000006
20241111,5.1000000000000005,5.300000000000001,5.050000000000001,5.260000000000001,892549,474541396.0
20241112,5.270000000000001,5.290000000000001,5.000000000000001,5.070000000000001,784235,409240082.0
20241113,5.0200000000000005,5.07,4.91,5.07,419410,213937054.0
20241114,5.050000000000001,5.08,4.9,4.91,395568,200533265.00000003
20241115,4.880000000000001,4.960000000000001,4.73,4.74,402344,199020906.0
20241118,4.79,4.800000000000001,4.53,4.61,405293,191929790.0
20241119,4.6000000000000005,4.840000000000001,4.550000000000001,4.790000000000001,492172,235906460.00000003
20241120,4.74,4.970000000000001,4.7,4.9,462711,228430539.0
20241121,4.86,5.4,4.86,5.4,1142230,620919442.0
20241122,5.95,5.95,5.95,5.95,854547,517000633.0
20241125,6.36,6.5600000000000005,6.180000000000001,6.5600000000000005,4157137,2720886638.0000005
20241126,6.630000000000001,7.07,5.890000000000001,5.890000000000001,4204827,2762773225.0000005
20241127,5.300000000000001,5.8500000000000005,5.300000000000001,5.590000000000001,2852630,1608492313.0
20241128,5.48,5.65,5.300000000000001,5.3100000000000005,2142884,1186257161.0
20241129,5.2700000000000005,5.5,5.15,5.45,1774615,967445667.0
20241202,5.45,5.86,5.45,5.74,2051278,1188264180.0
20241203,5.750000000000001,6.1000000000000005,5.670000000000001,5.940000000000001,2059275,1225330706.0
20241204,5.8100000000000005,5.8100000000000005,5.6000000000000005,5.670000000000001,1370572,793849115.0000001
20241205,5.6,5.79,5.58,5.73,1064645,616853314.0
20241206,5.69,5.720000000000001,5.5600000000000005,5.670000000000001,1023364,587449593.0
20241209,5.670000000000001,5.700000000000001,5.460000000000001,5.5200000000000005,930360,527734996.00000006
20241210,5.68,5.72,5.58,5.64,965519,555713398.0
20241211,5.67,5.87,5.65,5.840000000000001,1398860,825314099.0
20241212,5.870000000000001,5.890000000000001,5.670000000000001,5.8100000000000005,1044104,611971969.0
20241213,5.72,5.75,5.58,5.6,757834,437088578.00000006
20241216,5.550000000000001,5.590000000000001,5.460000000000001,5.500000000000001,570699,319856431.99999994
20241217,5.45,5.69,5.430000000000001,5.680000000000001,1249848,710198671.0
20241218,5.69,5.75,5.2,5.430000000000001,1118929,620524216.0000001
20241219,5.2700000000000005,5.460000000000001,5.220000000000001,5.420000000000001,699921,381579399.0
20241220,5.41,5.66,5.32,5.57,785302,443522292.0
20241223,5.490000000000001,5.640000000000001,5.130000000000001,5.15,952137,517692592.00000006
20241224,5.160000000000001,5.300000000000001,5.050000000000001,5.220000000000001,621649,326705379.0
20241225,5.17,5.180000000000001,4.86,4.94,737974,374501326.0
20241226,4.91,5.15,4.9,5.1000000000000005,559881,289552379.00000006
20241227,5.090000000000001,5.330000000000001,5.050000000000001,5.15,529752,280367673.0
20241230,5.16,5.180000000000001,4.95,5.07,406921,209480824.0
20241231,5.07,5.130000000000001,4.86,4.86,476288,239976180.0
20250102,4.8100000000000005,4.94,4.69,4.74,404042,198459226.0
20250103,4.7700000000000005,4.800000000000001,4.420000000000001,4.44,501096,234007850.0
20250106,4.44,4.48,4.2700000000000005,4.380000000000001,335121,150224415.0
20250107,4.380000000000001,4.830000000000001,4.380000000000001,4.830000000000001,670309,316833635.00000006
20250108,4.99,5.07,4.73,4.9,1305620,654319286.0
20250109,4.760000000000001,4.920000000000001,4.760000000000001,4.8500000000000005,639989,316643049.00000006
20250110,4.800000000000001,4.870000000000001,4.590000000000001,4.590000000000001,533299,258207195.0
20250113,4.49,4.65,4.41,4.62,374396,174148296.0
20250114,4.66,5.010000000000001,4.61,4.95,745528,369116876.0
20250115,4.9,5.050000000000001,4.8500000000000005,4.94,598761,301860250.99999994
20250116,5.0,5.1000000000000005,4.94,5.0600000000000005,861215,442153917.0
20250117,5.040000000000001,5.07,4.970000000000001,4.98,483187,246803188.0
20250120,5.040000000000001,5.0600000000000005,4.960000000000001,5.000000000000001,421849,215639853.0
20250121,5.080000000000001,5.140000000000001,5.000000000000001,5.0600000000000005,559730,288600644.0
20250122,5.03,5.260000000000001,5.010000000000001,5.080000000000001,864402,452832945.0
20250123,5.130000000000001,5.250000000000001,5.0200000000000005,5.0200000000000005,765183,402199174.0
20250124,4.99,5.11,4.98,5.04,549551,282554464.0
20250127,5.0600000000000005,5.07,4.800000000000001,4.8100000000000005,568933,283237360.99999994
20250205,4.86,4.93,4.79,4.92,431071,214711892.00000003
20250206,4.920000000000001,5.07,4.8500000000000005,5.07,465647,237947746.0
20250207,5.06,5.22,5.04,5.16,653526,343286596.00000006
20250210,5.17,5.33,5.16,5.33,667859,358325859.0
20250211,5.340000000000001,5.5600000000000005,5.220000000000001,5.460000000000001,1019002,559147639.0
20250212,5.3,5.47,5.29,5.44,719371,396374686.0
20250213,5.450000000000001,5.48,5.300000000000001,5.3100000000000005,542644,296082083.0
