time,open,high,low,close,volume,amount
20240902,32.53,32.75,30.98,31.03,383642.0,1213579986.0
20240903,30.95,31.3,30.71,31.01,243784.0,755671631.0
20240904,30.32,30.73,30.0,30.48,208919.0,634389718.0
20240905,30.590000000000003,30.790000000000003,30.17,30.450000000000003,185621.0,564889127.0
20240906,30.46,30.56,29.76,29.770000000000003,191819.0,575319998.0
20240909,29.56,30.02,29.22,29.42,212618.0,627254673.9999999
20240910,29.47,29.7,28.86,29.59,232613.0,681329034.0
20240911,29.51,29.73,29.15,29.320000000000004,142590.0,419363888.0
20240912,29.66,29.73,29.04,29.06,140676.0,412745451.0
20240913,29.01,29.87,28.89,28.96,233389.0,684909531.9999999
20240918,29.0,29.13,27.43,27.78,437675.0,1221116817.0
20240919,28.07,28.38,27.61,27.87,298860.0,834911026.0
20240920,27.92,28.29,27.47,28.06,244745.0,682090850.0000001
20240923,28.06,28.6,27.72,27.79,243878.0,684141106.0000001
20240924,28.08,29.02,27.5,29.0,433697.0,1231930366.0
20240925,29.25,30.33,29.23,29.8,533432.0,1589734430.9999998
20240926,29.81,30.630000000000003,29.6,30.62,415911.0,1249161526.0
20240927,30.98,32.13,30.78,32.120000000000005,294637.0,926751353.0
20240930,33.75000000000001,35.330000000000005,32.910000000000004,35.330000000000005,892563.0,3072340195.0000005
20241008,38.86000000000001,38.86000000000001,37.55,38.86000000000001,669605.0,2590922492.0
20241009,39.93,42.0,37.79,39.3,1652051.0,6662934518.000001
20241010,39.32,39.82,36.15,38.17,956760.0,3664558248.0
20241011,37.620000000000005,38.68000000000001,36.02,36.55,683462.0,2527090854.0
20241014,36.55,37.5,35.56,37.440000000000005,632499.0,2323592506.0
20241015,37.43,39.49,36.95,37.86,843982.0,3248115670.0
20241016,36.760000000000005,37.86000000000001,36.55,37.18000000000001,458552.0,1709234927.0
20241017,37.72,37.99,37.0,37.0,444473.0,1665894852.0000002
20241018,37.150000000000006,40.7,37.13,40.03,1187008.0,4646463702.0
20241021,41.0,41.7,39.86,39.95,1460090.0,5931508021.0
20241022,39.38,39.98,38.63,38.98,862728.0,3378595682.0000005
20241023,38.99,39.28,38.28,38.66,717645.0,2779133765.0
20241024,38.39,39.09,38.21,38.65,519542.0,2007546646.0
20241025,38.77,39.25,38.29,39.09,553964.0,2148251872.0
20241028,38.93,38.93,37.5,38.52,735710.0,2804314734.0
20241029,38.53,39.89,38.04,38.62,886624.0,3454756976.0
20241030,38.2,38.98,37.7,38.260000000000005,644956.0,2473006664.0
20241031,38.15,40.8,37.61,39.92,1175976.0,4619560691.0
20241101,41.9,41.9,38.5,38.59,1137287.0,4557471255.0
20241104,38.6,39.5,38.1,38.85,602546.0,2332569306.0000005
20241105,38.86000000000001,41.36000000000001,38.55,41.07000000000001,1198304.0,4833970198.0
20241106,41.1,45.150000000000006,40.7,43.56,1656750.0,7008960223.0
20241107,42.6,44.25,41.75,43.83,1188292.0,5089477535.0
20241108,44.79,45.690000000000005,43.49,43.61,1196516.0,5343170107.0
20241111,44.96,47.92,44.52,46.55,1323030.0,6109575381.0
20241112,46.58,47.55,45.01,46.1,999999.0,4611431007.999999
20241113,45.620000000000005,45.71,43.74,44.34,877310.0,3903748142.0
20241114,44.73,45.21,43.01,43.09,721838.0,3175689292.0
20241115,43.88,46.45,43.01,43.19,1083367.0,4826996862.0
20241118,42.29,42.83,40.36,40.76,851932.0,3531158347.0
20241119,40.7,42.11,40.45,41.98,637711.0,2637166042.0
20241120,41.96,41.99,40.91,41.63,584614.0,2424805043.0
20241121,41.5,41.53,40.67,41.05,556719.0,2288496125.0
20241122,41.05,41.5,38.83,38.92,706012.0,2833315231.0
20241125,38.88,39.09,36.9,37.72,728062.0,2742623605.0
20241126,37.74,38.50000000000001,37.48,37.57000000000001,405123.0,1538089227.0
20241127,37.44,38.17,36.82,38.16,531507.0,1998534047.0
20241128,38.18,39.19,37.79,38.37,575744.0,2219028465.0
20241129,38.3,39.55,37.83,38.98,562352.0,2175884223.0
20241202,39.19,40.5,39.19,40.19,637269.0,2546953583.0
20241203,40.23,40.96,39.28,39.73,582136.0,2338575130.9999995
20241204,40.58,40.83,39.28,39.3,516484.0,2070969647.0
20241205,39.09,39.77,39.0,39.31,312409.0,1227937119.0000002
20241206,39.33,39.95,38.85,39.56,458116.0,1802291916.0
20241209,39.55,39.55,38.3,38.63,368372.0,1428578216.0
20241210,39.83,39.98,38.44,38.55,454427.0,1782816040.0
20241211,38.36000000000001,38.790000000000006,38.05,38.46,388797.0,1491870292.0000002
20241212,38.45,38.71,38.01,38.58,343206.0,1316343208.0
20241213,38.5,38.66,37.9,38.0,412367.0,1573535849.0000002
20241216,38.01,38.57,37.65,37.84,346383.0,1317783287.0
20241217,37.68000000000001,38.36000000000001,37.59,37.74,318361.0,1208083668.0
20241218,37.900000000000006,38.43,37.52,38.190000000000005,419703.0,1594968816.9999998
20241219,37.62,39.0,37.51,38.87,611159.0,2340619950.0
20241220,38.8,40.55,38.38,39.98,939495.0,3726683816.0
20241223,40.0,40.2,38.85,39.03,573740.0,2273705391.0
20241224,39.1,39.290000000000006,38.05,39.24,502994.0,1946568051.0
20241225,39.25,39.45,38.71,38.93,343647.0,1343335566.0000002
20241226,38.8,40.1,38.69,39.93,611680.0,2428757246.0
20241227,39.68,41.52,39.68,40.45,947102.0,3839328221.0
20241230,41.5,43.48,41.0,42.97,1505430.0,6359134869.000001
20241231,42.98,43.08,40.85,40.86,955295.0,3981376139.0
20250102,40.86,40.92,37.77,38.23,879352.0,3434066962.0
20250103,38.14,38.370000000000005,36.23,36.36000000000001,627045.0,2330323727.0
20250106,36.2,36.99,35.35,35.660000000000004,414072.0,1489125825.0000002
20250107,35.99,37.400000000000006,35.77,37.370000000000005,508769.0,1855862162.0
20250108,36.88,37.49,35.89,36.96,494849.0,1814898744.0
20250109,36.71,38.08,36.61,37.69,529905.0,1992987843.0
20250110,37.7,41.46,37.69,40.08,1822732.0,7422520833.0
20250113,39.4,40.08,38.35,38.9,1039060.0,4057135361.000001
20250114,39.05,40.66,38.12,40.6,1197255.0,4732371232.000001
20250115,40.04,40.720000000000006,39.63,39.99,705486.0,2827681142.0000005
20250116,41.07,41.99,39.51,40.09,940682.0,3825541400.0
20250117,39.51,41.48,39.4,40.39,857233.0,3464449090.0
20250120,40.6,42.2,40.3,41.620000000000005,964947.0,3985148083.0
20250121,41.7,42.0,40.79,41.29,811469.0,3354094541.0
20250122,40.83,41.3,40.21,40.81,621498.0,2530977979.0000005
20250123,41.46,41.55,39.4,39.4,785065.0,3173108057.0000005
20250124,39.22,40.97,39.19,40.63,721237.0,2919692760.0
20250127,40.6,40.63,38.8,38.830000000000005,594843.0,2341200151.0
20250205,39.87,40.18,39.19,39.59,478605.0,1897901378.0
20250206,39.50000000000001,42.32000000000001,39.3,42.28,1060102.0,4396145195.000001
