time,open,high,low,close,volume,amount
20240902,34.5,34.53,33.39,33.39,200657.0,678010654.78
20240903,33.400000000000006,34.28,33.31,34.09,204156.0,692972144.62
20240904,33.73,34.12,33.68,33.88,116883.0,396415615.28
20240905,33.89,34.45,33.81,34.25,143465.0,490117795.76000005
20240906,34.35,34.76,33.89,34.0,194246.0,667682294.44
20240909,33.9,34.25,33.5,33.66,132687.0,448339327.74
20240910,33.68,34.43,33.26,34.16,167483.0,566933119.3399999
20240911,34.13,34.5,33.96,34.34,149483.0,512893609.23999995
20240912,34.48,34.85,34.08,34.08,142552.0,491054536.27000004
20240913,34.199999999999996,34.4,33.8,33.82,130731.0,445507613.85999995
20240918,33.830000000000005,33.95,33.410000000000004,33.84,110519.0,371853924.41
20240919,34.0,34.769999999999996,33.61,34.58,251355.0,864006380.85
20240920,34.589999999999996,34.779999999999994,34.37,34.69,183525.0,634556172.06
20240923,34.690000000000005,35.38,34.63,34.81,201317.0,704323144.53
20240924,34.92,35.85,34.35,35.85,379543.0,1339333538.0100002
20240925,36.12,37.46,36.12,36.379999999999995,480585.0,1769655936.6300004
20240926,36.38,37.57,36.18,37.57,380436.0,1406537750.8700001
20240927,38.25,41.0,38.25,40.4,743787.0,2950486696.47
20240930,42.379999999999995,44.44,42.26,44.44,1105598.0,4828743059.34
20241008,48.88,48.88,46.0,48.88,1378136.0,6678014043.650001
20241009,48.88,50.14,46.07,46.97,1443007.0,6942143622.879999
20241010,46.970000000000006,47.7,43.910000000000004,44.74,947111.0,4293400007.06
20241011,44.38,44.49,42.38,42.910000000000004,594852.0,2568282971.02
20241014,42.910000000000004,43.660000000000004,42.14,43.65,537325.0,2313967453.92
20241015,43.6,44.75,43.01,43.05,542866.0,2385162817.04
20241016,42.24,43.56,42.06,43.0,329358.0,1412525057.12
20241017,43.300000000000004,45.64,43.1,44.4,798486.0,3534829720.4600005
20241018,44.010000000000005,47.510000000000005,43.050000000000004,45.830000000000005,1128782.0,5100644027.33
20241021,46.22,47.0,45.83,46.18,956264.0,4441628408.259999
20241022,46.0,46.3,45.12,45.55,553430.0,2516923851.23
20241023,45.5,46.0,45.14,45.58,451499.0,2059996997.2699997
20241024,45.61,45.75,44.78,44.81,376813.0,1697958586.56
20241025,45.45,45.81,45.17,45.480000000000004,410539.0,1866511888.5700002
20241028,45.75,46.1,45.4,45.65,398448.0,1821071794.77
20241029,45.839999999999996,47.42,45.15,45.91,810103.0,3752782509.07
20241030,45.6,46.33,45.0,45.55,473838.0,2160674500.0000005
20241031,45.550000000000004,46.550000000000004,44.7,45.95,640004.0,2930889740.2400002
20241101,45.96,47.190000000000005,44.77,44.78,604437.0,2752387532.0299997
20241104,44.440000000000005,46.11,43.74,45.43,483510.0,2180904470.4900002
20241105,45.5,47.09,45.13,46.790000000000006,926245.0,4303433742.31
20241106,46.8,48.89,46.65,47.79,1103418.0,5284244456.3
20241107,47.0,49.4,46.4,48.699999999999996,1014273.0,4836029294.38
20241108,49.230000000000004,50.400000000000006,48.09,48.2,1074269.0,5288687968.71
20241111,48.0,51.82,47.84,51.35,1628268.0,8227981097.009999
20241112,51.0,51.2,48.78,49.28,1104347.0,5508650546.339999
20241113,48.67,54.21000000000001,48.480000000000004,54.21000000000001,2246443.0,11740730573.67
20241114,54.589999999999996,55.15,52.4,52.69,1951146.0,10529295828.15
20241115,52.98,56.5,52.94,53.07,1899286.0,10385019896.25
20241118,53.98,54.349999999999994,47.76,48.35,1654427.0,8207257821.05
20241119,47.3,48.06,45.61,47.76,1289431.0,6044962784.12
20241120,47.79,49.879999999999995,47.47,49.15,1046713.0,5131498448.800001
20241121,49.0,51.18,48.19,50.05,1012767.0,5056707843.69
20241122,49.7,52.35,48.7,48.92,1332181.0,6760262845.0199995
20241125,50.15,50.78,47.01,48.79,909115.0,4388962799.91
20241126,48.01,48.88,47.0,47.04,636598.0,3040706028.6600003
20241127,46.92,48.50000000000001,46.480000000000004,48.480000000000004,658784.0,3120429633.99
20241128,48.5,49.18,47.77,47.82,580748.0,2811825526.6600003
20241129,47.50000000000001,52.53,47.410000000000004,51.31,1558442.0,7856545954.110001
20241202,51.0,51.49,50.5,51.15,872952.0,4453201552.349999
20241203,51.15,51.39,49.36,49.88,769003.0,3859608599.73
20241204,50.07,50.760000000000005,49.410000000000004,49.88,674582.0,3375035117.87
20241205,49.980000000000004,52.09,49.980000000000004,51.300000000000004,939182.0,4840352155.65
20241206,52.38,52.93,50.88,51.82,877026.0,4551823404.48
20241209,51.84,54.21,51.84,52.68000000000001,915822.0,4861529162.2
20241210,54.21,56.8,52.79,54.51,1526412.0,8345556960.77
20241211,53.92,54.040000000000006,52.45,53.21,810313.0,4307642434.93
20241212,53.0,53.800000000000004,51.85,52.33,733883.0,3850817468.09
20241213,52.0,52.65,50.86,50.97,683698.0,3536434086.83
20241216,51.0,51.5,50.21,50.5,466527.0,2364113041.7000003
20241217,50.300000000000004,50.910000000000004,49.71,49.94,439405.0,2208399716.9900002
20241218,50.01,51.1,49.61,50.6,444090.0,2239341387.6100006
20241219,50.0,51.86,49.85,51.59,602210.0,3076032671.5000005
20241220,51.29,52.5,50.99,51.75,603969.0,3124270596.7500005
20241223,51.769999999999996,51.8,50.15,50.24,463239.0,2353131611.46
20241224,50.24,50.5,49.46,50.28,425445.0,2124543802.48
20241225,50.24,50.94,49.71,49.87,356292.0,1787460600.6499999
20241226,49.870000000000005,51.28,49.77,50.800000000000004,429539.0,2181236822.34
20241227,50.620000000000005,51.24,49.800000000000004,49.96,465294.0,2352838833.5300007
20241230,49.81,51.0,48.81,50.1,472967.0,2366736371.79
20241231,50.1,50.59,48.300000000000004,48.32000000000001,514301.0,2521599846.2900004
20250102,48.02,48.22,46.0,46.3,555147.0,2609222544.05
20250103,46.46,46.62,44.44,44.47,524768.0,2373980682.4200006
20250106,44.400000000000006,45.410000000000004,44.02,44.400000000000006,295708.0,1316446929.36
20250107,44.550000000000004,45.24,44.300000000000004,45.21,327919.0,1471804892.52
20250108,45.010000000000005,45.50000000000001,43.730000000000004,45.09,428009.0,1913404367.7500002
20250109,44.98,46.09,44.82,45.410000000000004,341013.0,1553088702.0700002
20250110,45.50000000000001,46.1,44.800000000000004,44.800000000000004,349201.0,1587914511.8300002
20250113,44.28,46.0,44.03,45.13,407614.0,1842694015.9
20250114,45.25,47.17,44.89,47.01,578147.0,2682180974.02
20250115,47.11,47.4,46.35,46.49,382806.0,1787118742.21
20250116,46.980000000000004,49.81,46.96,48.160000000000004,873618.0,4248842232.02
20250117,47.77,48.59,47.660000000000004,47.93000000000001,417413.0,2005915067.97
20250120,48.510000000000005,48.690000000000005,47.660000000000004,47.81,345768.0,1660325358.6800003
20250121,48.09,48.29,47.5,48.17,348588.0,1673157962.5900002
20250122,48.2,48.35,47.68,47.79,290339.0,1393303243.2
20250123,48.300000000000004,48.99,47.35,47.36,410060.0,1974108700.15
20250124,47.35,50.49,47.25,49.82,894960.0,4401497976.650001
20250127,52.18,52.2,50.1,50.68,1041840.0,5310111058.349999
20250205,53.0,55.0,53.0,54.43,1600699.0,8669412282.619999
20250206,53.39,54.989999999999995,53.01,54.6,1120125.0,6070443551.43
20250207,54.49,55.690000000000005,53.45,54.300000000000004,1342411.0,7332974004.39
20250210,54.87,55.87,54.22,55.04,978136.0,5379572636.650001
20250211,54.92,55.040000000000006,53.800000000000004,53.910000000000004,828802.0,4507529027.79
20250212,53.85,54.5,53.61,54.089999999999996,591703.0,3195595243.5699997
20250213,54.09,54.25,52.6,52.78,719033.0,3827816345.0
20250214,52.78,54.739999999999995,52.15,54.58,1004087.0,5401839661.490001
20250217,55.28,56.12,54.43,55.05,967306.0,5344949698.849999
20250218,55.08,56.5,53.61,53.82,841948.0,4627403670.469999
20250219,53.9,54.82,53.39,54.42,596209.0,3238198384.73
20250220,54.510000000000005,54.89000000000001,53.300000000000004,53.620000000000005,601326.0,3247555519.2400002
20250221,53.900000000000006,55.980000000000004,53.730000000000004,55.6,1121833.0,6165845053.02
20250224,55.86,59.370000000000005,55.2,57.45,1374308.0,7916747728.7699995
20250225,56.0,56.7,55.5,55.62,843546.0,4720261616.310001
20250226,55.67,55.96,54.74,55.35,624580.0,3451125967.28
20250227,55.71,56.8,53.5,54.32,767042.0,4203173119.82
20250228,53.98,54.33,51.5,51.8,774896.0,4079255568.98
20250303,52.1,52.47,51.07,51.46,458009.0,2375722060.83
20250304,51.46,51.93000000000001,51.230000000000004,51.6,417528.0,2152846784.04
20250305,51.730000000000004,51.95,51.09,51.790000000000006,378237.0,1949179854.78
