time,open,high,low,close,volume,amount
20240902,13.66,13.86,13.19,13.19,1031474,1386609640.0
20240903,13.19,13.62,13.1,13.51,838967,1128573716.0
20240904,13.46,13.9,13.44,13.67,968834,1328252740.0
20240905,13.66,14.04,13.66,13.76,912878,1266618014.0
20240906,13.76,13.76,13.48,13.53,450701,611884045.0
20240909,13.44,13.59,13.25,13.31,560562,750079454.0
20240910,13.3,13.37,13.03,13.13,576793,759058414.0
20240911,13.03,13.45,13.03,13.36,742788,986430133.0
20240912,13.33,13.92,13.29,13.43,1084668,1483005238.0
20240913,13.43,13.56,13.14,13.14,528441,702573446.0
20240918,13.13,13.19,12.87,12.96,558842,724535112.0
20240919,13.04,13.51,12.85,13.32,849573,1126781660.0
20240920,13.29,13.29,12.71,12.8,1339026,1723833529.0
20240923,12.77,12.87,12.71,12.73,558584,712384070.0
20240924,12.98,13.6,12.85,13.59,2308343,3067870682.0
20240925,13.8,14.1,13.71,13.74,1739525,2418916448.0
20240926,13.67,14.57,13.65,14.56,1785396,2528859956.0
20240927,14.8,16.0,14.79,15.96,2011263,3112951174.0
20240930,16.9,17.56,16.51,17.56,3959534,6817840793.0
20241008,19.32,19.32,18.01,19.28,4912179,9315052949.0
20241009,18.6,18.6,17.35,17.35,3333855,5958697374.0
20241010,17.03,17.68,16.58,16.95,2025098,3468415805.0
20241011,16.7,16.82,15.99,16.2,1605255,2624754416.0
20241014,16.35,16.92,16.13,16.75,1698001,2808827279.0
20241015,16.48,16.79,16.3,16.3,1187263,1963020925.0
20241016,16.05,16.2,15.81,15.93,1122728,1794073983.0
20241017,15.95,16.1,15.59,15.61,1082216,1714793397.0
20241018,15.55,16.54,15.45,16.45,1816296,2900552385.0
20241021,16.58,18.0,16.58,17.51,2982512,5173065244.0
20241022,17.3,18.78,16.91,18.38,3415573,6083088682.0
20241023,18.38,20.22,17.94,19.58,4956261,9517227564.0
20241024,19.7,19.73,18.54,18.6,2822279,5360615295.0
20241025,18.6,20.46,18.59,20.46,4809354,9636191051.0
20241028,20.88,20.88,19.63,20.08,4251654,8535400530.0
20241029,20.5,21.15,19.16,19.24,3643362,7241822670.0
20241030,19.0,19.85,18.85,19.25,2068691,3984188417.0
20241031,19.8,20.1,19.4,19.74,3051038,6047425601.0
20241101,19.63,19.8,18.9,19.01,2139439,4116409989.0
20241104,19.01,19.42,18.93,19.26,1332710,2554980762.0
20241105,19.2,19.79,19.0,19.63,1707408,3326352847.0
20241106,19.63,19.97,19.08,19.21,2150696,4193886605.0
20241107,18.71,19.19,18.39,19.18,2047551,3856961665.0
20241108,19.25,19.75,19.11,19.23,1739102,3373517689.0
20241111,19.08,20.18,19.03,20.02,2400596,4752825092.0
20241112,20.07,21.17,19.91,20.1,2921409,5999069500.0
20241113,19.8,20.18,19.68,20.08,1544078,3070609819.0
20241114,20.3,20.34,19.16,19.19,1419299,2785287620.0
20241115,19.19,19.38,18.5,18.52,1421013,2694306667.0
20241118,18.49,18.76,18.11,18.21,1087823,1997738213.0
20241119,18.34,18.73,17.89,18.64,980804,1798205881.0
20241120,18.65,18.71,18.35,18.6,745677,1381754452.0
20241121,18.98,19.15,18.45,18.61,964469,1806966949.0
20241122,18.5,18.57,17.71,17.75,1048358,1902125473.0
20241125,17.7,17.92,17.55,17.81,711744,1263982359.0
20241126,17.99,18.55,17.9,18.0,937228,1709683460.0
20241127,18.05,18.39,17.87,18.35,754879,1367008140.0
