time,open,high,low,close,volume,amount
20240902,13.66,13.86,13.19,13.19,1031474.0,1386609640.0
20240903,13.19,13.62,13.1,13.51,838967.0,1128573716.0
20240904,13.459999999999999,13.9,13.44,13.67,968834.0,1328252740.0
20240905,13.66,14.040000000000001,13.66,13.76,912878.0,1266618014.0
20240906,13.76,13.76,13.48,13.530000000000001,450701.0,611884045.0
20240909,13.44,13.59,13.25,13.31,560562.0,750079454.0
20240910,13.3,13.370000000000001,13.030000000000001,13.13,576793.0,759058414.0
20240911,13.030000000000001,13.450000000000001,13.030000000000001,13.360000000000001,742788.0,986430133.0
20240912,13.33,13.920000000000002,13.290000000000001,13.430000000000001,1084668.0,1483005238.0
20240913,13.43,13.56,13.14,13.14,528441.0,702573446.9999999
20240918,13.13,13.190000000000001,12.870000000000001,12.96,558842.0,724535112.0
20240919,13.04,13.51,12.85,13.32,849573.0,1126781660.9999998
20240920,13.290000000000001,13.290000000000001,12.71,12.8,1339026.0,1723833529.0
20240923,12.770000000000001,12.870000000000001,12.71,12.73,558584.0,712384070.0000001
20240924,12.98,13.6,12.85,13.59,2308343.0,3067870682.0000005
20240925,13.8,14.100000000000001,13.71,13.74,1739525.0,2418916448.0
20240926,13.67,14.57,13.65,14.56,1785396.0,2528859956.9999995
20240927,14.8,16.0,14.790000000000001,15.96,2011263.0,3112951174.0
20240930,16.900000000000002,17.560000000000002,16.51,17.560000000000002,3959534.0,6817840793.000001
20241008,19.32,19.32,18.01,19.28,4912179.0,9315052949.0
20241009,18.6,18.6,17.35,17.35,3333855.0,5958697374.000001
20241010,17.03,17.680000000000003,16.580000000000002,16.950000000000003,2025098.0,3468415805.0
20241011,16.7,16.82,15.99,16.2,1605255.0,2624754416.0
20241014,16.349999999999998,16.919999999999998,16.13,16.75,1698001.0,2808827279.0000005
20241015,16.48,16.79,16.3,16.3,1187263.0,1963020925.0000002
20241016,16.05,16.2,15.81,15.93,1122728.0,1794073983.0
20241017,15.95,16.1,15.59,15.61,1082216.0,1714793397.0
20241018,15.55,16.540000000000003,15.450000000000001,16.450000000000003,1816296.0,2900552385.0
20241021,16.580000000000002,18.0,16.580000000000002,17.51,2982512.0,5173065244.999999
20241022,17.3,18.78,16.91,18.38,3415573.0,6083088682.0
20241023,18.380000000000003,20.220000000000002,17.94,19.580000000000002,4956261.0,9517227564.0
20241024,19.7,19.73,18.54,18.599999999999998,2822279.0,5360615295.0
20241025,18.6,20.46,18.59,20.46,4809354.0,9636191051.0
20241028,20.88,20.88,19.63,20.08,4251654.0,8535400530.0
20241029,20.5,21.15,19.16,19.24,3643362.0,7241822670.000001
20241030,19.0,19.85,18.85,19.25,2068691.0,3984188417.0
20241031,19.8,20.1,19.400000000000002,19.740000000000002,3051038.0,6047425601.0
20241101,19.630000000000003,19.8,18.900000000000002,19.01,2139439.0,4116409989.9999995
20241104,19.009999999999998,19.419999999999998,18.93,19.259999999999998,1332710.0,2554980762.0
20241105,19.2,19.79,19.0,19.63,1707408.0,3326352847.0000005
20241106,19.630000000000003,19.970000000000002,19.080000000000002,19.21,2150696.0,4193886605.0
20241107,18.71,19.19,18.39,19.18,2047551.0,3856961665.0000005
20241108,19.25,19.75,19.11,19.23,1739102.0,3373517689.0
20241111,19.080000000000002,20.18,19.03,20.02,2400596.0,4752825092.999999
20241112,20.07,21.17,19.91,20.1,2921409.0,5999069500.0
20241113,19.8,20.18,19.68,20.08,1544078.0,3070609819.0
20241114,20.3,20.34,19.16,19.19,1419299.0,2785287620.0
20241115,19.19,19.38,18.5,18.52,1421013.0,2694306667.0
20241118,18.49,18.759999999999998,18.11,18.21,1087823.0,1997738213.0
20241119,18.34,18.73,17.89,18.64,980804.0,1798205881.0000002
20241120,18.650000000000002,18.71,18.35,18.6,745677.0,1381754452.0
20241121,18.98,19.15,18.45,18.61,964469.0,1806966949.0
20241122,18.5,18.57,17.71,17.75,1048358.0,1902125473.0
20241125,17.7,17.92,17.55,17.810000000000002,711744.0,1263982359.0
20241126,17.990000000000002,18.55,17.900000000000002,18.000000000000004,937228.0,1709683460.0000002
20241127,18.05,18.39,17.87,18.35,754879.0,1367008140.0
20241128,18.2,18.76,18.14,18.27,688243.0,1268653008.0
20241129,18.3,18.64,18.18,18.5,810694.0,1495120558.0
20241202,18.18,18.45,17.77,18.43,1022824.0,1862712745.0
20241203,18.55,18.69,18.25,18.48,774523.0,1426455960.0000002
20241204,18.360000000000003,18.500000000000004,17.900000000000002,17.930000000000003,841096.0,1523541153.0000002
20241205,17.78,18.0,17.78,17.94,521150.0,931582332.0
20241206,17.95,17.959999999999997,17.38,17.849999999999998,1070963.0,1896650647.0000002
20241209,17.86,17.900000000000002,17.55,17.63,712009.0,1260159814.0
20241210,18.16,18.24,17.56,17.619999999999997,935928.0,1673014321.0
20241211,17.55,17.78,17.53,17.69,555535.0,981421663.0
20241212,17.57,17.87,17.52,17.78,617914.0,1094649199.0
20241213,17.69,17.69,17.01,17.020000000000003,1262503.0,2179286417.0
20241216,17.090000000000003,17.160000000000004,16.740000000000002,16.860000000000003,743620.0,1255440826.0
20241217,16.75,16.85,16.6,16.68,665760.0,1112520077.0
20241218,16.790000000000003,16.830000000000002,16.580000000000002,16.630000000000003,485289.0,810443880.0000001
20241219,16.4,16.74,16.25,16.62,649769.0,1073593550.0000001
20241220,16.63,16.689999999999998,16.31,16.34,752484.0,1238069616.0
20241223,16.31,16.599999999999998,16.2,16.24,829532.0,1356910143.0
20241224,16.22,16.59,16.2,16.39,802712.0,1319262920.0
20241225,16.65,16.689999999999998,16.31,16.36,555859.0,914200229.0
20241226,16.419999999999998,16.419999999999998,16.13,16.189999999999998,582441.0,945650138.0
20241227,16.23,16.32,16.05,16.150000000000002,610831.0,990279529.0
20241230,16.169999999999998,16.27,16.02,16.24,572914.0,925326617.0000001
20241231,16.200000000000003,16.400000000000002,15.700000000000001,15.71,871134.0,1390268494.0000002
20250102,15.700000000000001,15.8,15.3,15.430000000000001,828253.0,1287616503.0000002
20250103,15.430000000000001,15.56,14.97,15.0,722007.0,1101114343.0
20250106,15.0,15.28,14.91,15.17,648292.0,979232009.0
20250107,15.049999999999999,15.27,15.02,15.24,466371.0,707882488.0
20250108,15.24,15.280000000000001,14.81,15.09,600621.0,903552090.0000001
20250109,15.0,15.17,14.93,14.98,507011.0,761659148.0
20250110,14.950000000000001,15.0,14.46,14.46,639163.0,938941440.0
20250113,14.350000000000001,14.72,14.290000000000001,14.63,532879.0,776602990.0
20250114,14.7,15.15,14.6,15.11,673008.0,1004866708.0
20250115,15.06,15.75,14.88,15.260000000000002,1109179.0,1697709224.0
