time,open,high,low,close,volume,amount
20250915093000,7.45,7.45,7.45,7.45,17047.0,12700015.0
20250915093100,7.45,7.46,7.41,7.42,95154.0,70738977.0
20250915093200,7.42,7.42,7.41,7.42,49919.0,37012730.0
20250915093300,7.42,7.44,7.42,7.43,27440.0,20382711.0
20250915093400,7.44,7.44,7.42,7.44,28910.0,21481355.0
20250915093500,7.44,7.44,7.43,7.43,10907.0,8107228.0
20250915093600,7.44,7.44,7.43,7.44,8313.0,6178622.0
20250915093700,7.44,7.44,7.42,7.42,30984.0,23023053.0
20250915093800,7.43,7.43,7.42,7.43,9271.0,6881343.0
20250915093900,7.42,7.43,7.42,7.42,49499.0,36745554.0
20250915094000,7.43,7.43,7.41,7.42,37666.0,27947602.0
20250915094100,7.41,7.42,7.41,7.42,14084.0,10441235.0
20250915094200,7.42,7.43,7.41,7.42,51053.0,37877855.0
20250915094300,7.42,7.43,7.42,7.43,14281.0,10603448.0
20250915094400,7.43,7.43,7.42,7.43,14278.0,10600966.0
20250915094500,7.42,7.43,7.42,7.43,9986.0,7415123.0
20250915094600,7.42,7.43,7.42,7.42,6136.0,4554823.0
20250915094700,7.42,7.43,7.42,7.42,8939.0,6634541.0
20250915094800,7.43,7.43,7.41,7.42,64714.0,48013990.0
20250915094900,7.41,7.42,7.41,7.42,30680.0,22741148.0
20250915095000,7.41,7.42,7.41,7.41,42294.0,31342812.0
20250915095100,7.42,7.42,7.4,7.4,87998.0,65188290.0
20250915095200,7.4,7.41,7.4,7.41,16392.0,12136177.0
20250915095300,7.41,7.41,7.4,7.4,29385.0,21752674.0
20250915095400,7.4,7.41,7.4,7.4,20856.0,15438078.0
20250915095500,7.4,7.41,7.4,7.4,19332.0,14311307.0
20250915095600,7.41,7.41,7.4,7.41,12521.0,9269276.0
20250915095700,7.4,7.41,7.4,7.4,15010.0,11111186.0
20250915095800,7.41,7.42,7.4,7.41,43506.0,32237532.0
20250915095900,7.41,7.42,7.41,7.42,10445.0,7742686.0
20250915100000,7.41,7.42,7.41,7.41,14061.0,10422892.0
20250915100100,7.41,7.42,7.41,7.41,7073.0,5244359.0
20250915100200,7.41,7.42,7.41,7.42,4522.0,3352463.0
20250915100300,7.41,7.42,7.41,7.41,50270.0,37253375.0
20250915100400,7.41,7.41,7.4,7.4,31033.0,22969342.0
20250915100500,7.41,7.41,7.4,7.41,59532.0,44064085.0
20250915100600,7.41,7.41,7.4,7.41,15707.0,11636237.0
20250915100700,7.4,7.41,7.4,7.4,7435.0,5507712.0
20250915100800,7.41,7.41,7.4,7.41,3431.0,2541253.0
20250915100900,7.41,7.41,7.4,7.41,96356.0,71305860.0
20250915101000,7.4,7.41,7.4,7.4,12244.0,9062157.0
20250915101100,7.41,7.41,7.4,7.4,5433.0,4022681.0
20250915101200,7.4,7.41,7.4,7.4,8274.0,6126091.0
20250915101300,7.41,7.41,7.4,7.4,8775.0,6498535.0
20250915101400,7.41,7.41,7.4,7.41,6825.0,5052911.0
20250915101500,7.4,7.41,7.4,7.4,9553.0,7073744.0
20250915101600,7.41,7.41,7.4,7.41,34154.0,25305425.0
20250915101700,7.41,7.42,7.41,7.41,3137.0,2325592.0
20250915101800,7.42,7.42,7.4,7.41,28761.0,21311260.0
20250915101900,7.4,7.41,7.4,7.4,7728.0,5724239.0
20250915102000,7.4,7.41,7.4,7.4,6568.0,4865617.0
20250915102100,7.4,7.41,7.4,7.41,13525.0,10015993.0
20250915102200,7.4,7.41,7.4,7.41,6695.0,4959157.0
20250915102300,7.4,7.41,7.4,7.41,2155.0,1596192.0
20250915102400,7.41,7.41,7.4,7.4,6145.0,4549595.0
20250915102500,7.41,7.41,7.4,7.41,6373.0,4719855.0
20250915102600,7.41,7.41,7.4,7.41,8360.0,6191056.0
20250915102700,7.41,7.41,7.4,7.41,8378.0,6205143.0
20250915102800,7.4,7.42,7.4,7.42,19871.0,14724371.0
20250915102900,7.42,7.42,7.41,7.42,8168.0,6053840.0
20250915103000,7.41,7.42,7.41,7.41,5870.0,4350786.0
20250915103100,7.42,7.42,7.41,7.42,10107.0,7496663.0
