time,open,high,low,close,volume,amount
20240902,3.7,3.72,3.58,3.58,275090.0,99926543.0
20240903,3.56,3.64,3.54,3.64,196177.0,70863170.0
20240904,3.6,3.62,3.56,3.59,197628.0,71008969.99999999
20240905,3.59,3.67,3.58,3.64,194301.0,70524847.0
20240906,3.6300000000000003,3.64,3.5500000000000003,3.5700000000000003,170382.0,61133692.99999999
20240909,3.5300000000000002,3.5700000000000003,3.5100000000000002,3.54,153689.0,54358155.00000001
20240910,3.56,3.6100000000000003,3.47,3.5900000000000003,240137.0,84919125.0
20240911,3.57,3.59,3.54,3.55,127718.0,45482938.00000001
20240912,3.58,3.62,3.5500000000000003,3.56,152968.0,54783295.0
20240913,3.5500000000000003,3.5700000000000003,3.49,3.5,139776.0,49386733.0
20240918,3.5,3.5100000000000002,3.39,3.46,162773.0,55972264.0
20240919,3.48,3.58,3.45,3.56,194115.0,68572746.0
20240920,3.56,3.6100000000000003,3.5500000000000003,3.58,173914.0,62172024.00000001
20240923,3.6100000000000003,3.64,3.5700000000000003,3.6300000000000003,187541.0,67876514.00000001
20240924,3.61,3.81,3.56,3.79,545422.0,201570492.00000003
20240925,3.78,3.87,3.75,3.76,596655.0,227075449.0
20240926,3.75,3.85,3.73,3.85,362947.0,137918545.0
20240927,3.8899999999999997,4.02,3.86,4.02,375021.0,147461917.0
20240930,4.16,4.41,4.0600000000000005,4.390000000000001,915490.0,390066190.0
20241008,4.83,4.83,4.48,4.78,943665.0,442845197.0
20241009,4.7,4.7,4.3,4.3,718790.0,320639189.00000006
20241010,4.29,4.43,4.18,4.3,443529.0,191708786.0
20241011,4.31,4.31,4.01,4.069999999999999,393462.0,162737862.0
20241014,4.07,4.19,4.03,4.19,315598.0,130237868.0
20241015,4.16,4.29,4.12,4.15,349213.0,147315312.0
20241016,4.0600000000000005,4.16,4.0600000000000005,4.11,262425.0,107584313.0
20241017,4.14,4.35,4.14,4.239999999999999,509341.0,215797680.0
20241018,4.21,4.37,4.19,4.300000000000001,581500.0,248702351.0
20241021,4.33,4.57,4.3100000000000005,4.510000000000001,678260.0,303341497.0
20241022,4.87,4.96,4.68,4.699999999999999,1244290.0,597035802.0
20241023,4.7299999999999995,4.95,4.63,4.67,1074902.0,513287783.0
20241024,4.69,5.140000000000001,4.69,5.140000000000001,1435872.0,716669517.0000001
20241025,5.5,5.5,5.05,5.18,2326084.0,1229324680.0
20241028,5.1000000000000005,5.7,5.1000000000000005,5.590000000000001,1861293.0,1007266444.0
20241029,5.41,5.41,5.2,5.2,1522081.0,807978329.0
20241030,5.140000000000001,5.28,5.0200000000000005,5.08,930564.0,475740849.99999994
20241031,5.1,5.39,5.04,5.2700000000000005,1139841.0,598281555.0
20241101,5.21,5.22,4.84,4.859999999999999,1002093.0,498317665.0
20241104,4.82,5.000000000000001,4.8100000000000005,4.95,460222.0,226877413.0
20241105,4.949999999999999,5.05,4.89,5.029999999999999,603234.0,301323485.00000006
20241106,5.08,5.359999999999999,5.01,5.26,1178672.0,612175177.0
20241107,5.24,5.24,5.12,5.22,752136.0,389490079.0
20241108,5.22,5.33,5.2,5.23,789055.0,414709415.00000006
20241111,5.2,5.4,5.15,5.36,892549.0,474541396.0
20241112,5.370000000000001,5.390000000000001,5.1000000000000005,5.170000000000001,784235.0,409240082.0
20241113,5.12,5.17,5.01,5.17,419410.0,213937054.0
20241114,5.15,5.18,5.0,5.01,395568.0,200533265.00000003
20241115,4.98,5.0600000000000005,4.83,4.84,402344.0,199020906.0
20241118,4.89,4.9,4.63,4.71,405293.0,191929790.0
20241119,4.7,4.94,4.65,4.890000000000001,492172.0,235906460.00000003
20241120,4.84,5.07,4.8,5.0,462711.0,228430539.0
20241121,4.96,5.5,4.96,5.5,1142230.0,620919442.0
20241122,6.05,6.05,6.05,6.05,854547.0,517000632.99999994
20241125,6.46,6.66,6.28,6.66,4157137.0,2720886638.0000005
20241126,6.73,7.17,5.99,5.99,4204827.0,2762773225.0000005
20241127,5.4,5.95,5.4,5.69,2852630.0,1608492313.0
20241128,5.58,5.75,5.4,5.41,2142884.0,1186257161.0
20241129,5.37,5.6,5.25,5.55,1774615.0,967445667.0000001
20241202,5.55,5.96,5.55,5.84,2051278.0,1188264180.0
20241203,5.8500000000000005,6.2,5.7700000000000005,6.040000000000001,2059275.0,1225330706.0
20241204,5.91,5.91,5.7,5.7700000000000005,1370572.0,793849115.0000001
20241205,5.699999999999999,5.89,5.68,5.83,1064645.0,616853314.0
20241206,5.79,5.82,5.66,5.7700000000000005,1023364.0,587449593.0
20241209,5.7700000000000005,5.800000000000001,5.5600000000000005,5.62,930360.0,527734996.00000006
20241210,5.779999999999999,5.819999999999999,5.68,5.739999999999999,965519.0,555713398.0
20241211,5.77,5.97,5.75,5.94,1398860.0,825314099.0
20241212,5.970000000000001,5.99,5.7700000000000005,5.91,1044104.0,611971969.0
20241213,5.819999999999999,5.85,5.68,5.699999999999999,757834.0,437088578.00000006
20241216,5.65,5.69,5.5600000000000005,5.6000000000000005,570699.0,319856431.99999994
20241217,5.55,5.79,5.53,5.78,1249848.0,710198671.0
20241218,5.79,5.85,5.3,5.53,1118929.0,620524216.0000001
20241219,5.37,5.5600000000000005,5.32,5.5200000000000005,699921.0,381579399.0
20241220,5.51,5.76,5.42,5.67,785302.0,443522292.0
20241223,5.590000000000001,5.74,5.23,5.25,952137.0,517692592.00000006
20241224,5.260000000000001,5.4,5.15,5.32,621649.0,326705379.0
20241225,5.27,5.28,4.96,5.04,737974.0,374501326.0
20241226,5.01,5.25,5.0,5.2,559881.0,289552379.00000006
20241227,5.19,5.430000000000001,5.15,5.25,529752.0,280367673.0
20241230,5.26,5.28,5.05,5.17,406921.0,209480824.0
20241231,5.17,5.23,4.96,4.96,476288.0,239976180.0
20250102,4.91,5.04,4.79,4.84,404042.0,198459226.0
20250103,4.87,4.9,4.5200000000000005,4.54,501096.0,234007850.0
20250106,4.54,4.58,4.37,4.48,335121.0,150224415.0
20250107,4.48,4.930000000000001,4.48,4.930000000000001,670309.0,316833635.00000006
20250108,5.09,5.17,4.83,5.0,1305620.0,654319286.0
20250109,4.86,5.0200000000000005,4.86,4.95,639989.0,316643049.00000006
20250110,4.9,4.970000000000001,4.69,4.69,533299.0,258207194.99999997
20250113,4.59,4.75,4.51,4.72,374396.0,174148296.0
20250114,4.76,5.11,4.71,5.05,745528.0,369116876.0
20250115,5.0,5.15,4.95,5.04,598761.0,301860250.99999994
20250116,5.1,5.2,5.04,5.16,861215.0,442153917.0
20250117,5.140000000000001,5.17,5.07,5.08,483187.0,246803187.99999997
20250120,5.140000000000001,5.16,5.0600000000000005,5.1000000000000005,421849.0,215639853.0
20250121,5.180000000000001,5.24,5.1000000000000005,5.16,559730.0,288600644.0
20250122,5.13,5.36,5.11,5.180000000000001,864402.0,452832945.0
20250123,5.23,5.3500000000000005,5.12,5.12,765183.0,402199174.0
20250124,5.09,5.21,5.08,5.14,549551.0,282554464.0
20250127,5.16,5.17,4.9,4.91,568933.0,283237360.99999994
20250205,4.96,5.029999999999999,4.89,5.02,431071.0,214711892.00000003
20250206,5.0200000000000005,5.17,4.95,5.17,465647.0,237947746.0
20250207,5.159999999999999,5.319999999999999,5.14,5.26,653526.0,343286596.00000006
20250210,5.27,5.43,5.26,5.43,667859.0,358325859.0
