time,open,high,low,close,volume,amount
20250912104700,89.74,89.89,89.73,89.88,256.0,2299479.0
20250912104800,89.89,90.19,89.76,89.9,786.0,7066083.0
20250912104900,89.9,90.0,89.75,89.76,1255.0,11272571.0
20250912105000,89.81,89.88,89.76,89.83,208.0,1868686.0
20250912105100,89.8,89.83,89.74,89.74,375.0,3367238.0
20250912105200,89.73,89.73,89.3,89.47,1326.0,11878325.0
20250912105300,89.38,89.56,89.37,89.53,217.0,1941720.0
20250912105400,89.53,89.53,89.12,89.12,1252.0,11175790.0
20250912105500,89.2,89.35,89.12,89.35,412.0,3674799.0
20250912105600,89.35,89.56,89.35,89.54,215.0,1923377.0
20250912105700,89.51,89.51,89.3,89.37,623.0,5570947.0
20250912105800,89.46,89.65,89.46,89.63,295.0,2640764.0
20250912105900,89.6,89.63,89.49,89.53,284.0,2543969.0
20250912110000,89.59,89.6,89.19,89.21,802.0,7166683.0
20250912110100,89.18,89.27,89.07,89.09,628.0,5598285.0
20250912110200,89.07,89.09,88.88,88.88,1128.0,10036432.0
20250912110300,88.87,88.99,88.81,88.99,933.0,8292171.0
20250912110400,89.0,89.21,89.0,89.07,462.0,4115134.0
20250912110500,89.07,89.11,88.83,88.9,639.0,5685224.0
20250912110600,88.89,88.91,88.73,88.73,684.0,6077259.0
20250912110700,88.72,88.8,88.69,88.73,468.0,4153713.0
20250912110800,88.73,88.73,88.56,88.72,820.0,7267357.0
20250912110900,88.6,88.81,88.6,88.81,343.0,3043949.0
20250912111000,88.81,89.3,88.81,89.19,461.0,4108067.0
20250912111100,89.2,89.33,89.07,89.33,532.0,4746493.0
20250912111200,89.34,89.35,89.21,89.34,602.0,5374929.0
20250912111300,89.6,89.84,89.4,89.45,530.0,4744900.0
20250912111400,89.45,89.68,89.44,89.68,283.0,2533328.0
20250912111500,89.79,89.79,89.4,89.42,910.0,8141875.0
20250912111600,89.43,90.01,89.43,89.96,804.0,7216767.0
20250912111700,89.95,89.96,89.78,89.86,255.0,2291325.0
20250912111800,89.84,89.9,89.84,89.88,176.0,1581955.0
20250912111900,89.88,89.99,89.86,89.91,148.0,1330523.0
20250912112000,89.89,90.08,89.89,90.04,277.0,2491148.0
20250912112100,90.19,90.35,90.19,90.35,339.0,3059546.0
20250912112200,90.35,90.61,90.2,90.2,488.0,4411465.0
20250912112300,90.27,90.37,90.1,90.35,256.0,2311027.0
20250912112400,90.31,90.31,89.89,89.99,530.0,4771676.0
20250912112500,90.0,90.0,89.92,89.93,252.0,2266488.0
20250912112600,89.9,89.92,89.57,89.58,450.0,4037629.0
20250912112700,89.5,89.6,89.5,89.59,458.0,4101024.0
20250912112800,89.59,89.75,89.59,89.6,199.0,1783769.0
20250912112900,89.6,89.68,89.5,89.68,232.0,2077773.0
20250912113000,89.71,89.75,89.61,89.63,212.0,1901294.0
20250912130100,89.74,89.74,89.49,89.49,924.0,8280660.0
20250912130200,89.47,89.47,89.02,89.36,481.0,4292399.0
20250912130300,89.36,89.36,89.0,89.08,461.0,4105799.0
20250912130400,89.08,89.38,89.0,89.23,794.0,7071877.0
20250912130500,89.23,89.23,88.88,89.0,744.0,6621790.0
20250912130600,89.14,89.18,89.05,89.09,142.0,1265438.0
20250912130700,89.09,89.17,89.08,89.17,417.0,3715921.0
20250912130800,89.17,89.17,89.11,89.17,307.0,2736755.0
20250912130900,89.14,89.7,89.14,89.66,323.0,2890507.0
