time,open,high,low,close,volume,amount
20250117,29.74,30.15,29.31,30.06,47226,140634686.0
20250120,30.48,30.55,29.7,30.01,47962,144407850.0
20250121,30.3,30.59,30.0,30.42,46066,139617527.0
20250122,30.26,32.12,30.26,31.69,114020,357749797.0
20250123,31.72,34.86,31.65,34.86,120409,415205580.0
20250124,35.28,38.35,35.05,38.35,142408,533130552.0
20250127,42.19,42.19,40.93,41.8,389329,1633913713.0
20250205,38.04,38.8,37.62,37.62,37063,140604302.0
20250206,35.0,40.14,33.86,39.4,364719,1298442318.0
20250207,38.2,40.49,37.86,39.66,253127,994787502.0
20250210,39.5,40.35,38.81,39.52,157431,623854670.0
20250211,39.39,41.19,38.99,39.26,143156,568517149.0
20250212,39.34,40.19,38.58,39.57,122993,484846652.0
20250213,39.3,39.62,37.8,37.88,113568,438151146.0
20250214,37.9,38.8,37.6,38.06,75422,287868469.0
20250217,37.6,38.11,36.94,37.4,91662,342980367.0
20250218,37.4,37.88,36.43,36.7,69028,257085267.0
20250219,36.7,37.48,36.66,37.26,61693,229385004.0
20250220,37.08,37.5,36.5,36.92,59959,221878971.0
20250221,36.97,39.24,36.97,38.85,148668,571238011.0
20250224,38.86,42.74,38.38,42.74,144653,597886471.0
20250225,40.61,46.99,40.4,43.09,268220,1136302172.0
20250226,42.92,43.0,41.0,42.2,152586,639357439.0
20250227,41.83,42.2,39.77,40.55,133802,545955750.0
20250228,39.78,40.38,36.5,36.5,120957,456186226.0
20250303,36.63,37.0,35.35,35.76,78769,284213234.0
20250304,35.25,38.0,35.13,36.9,85476,312902477.0
20250305,39.0,39.5,36.64,37.31,100240,378445019.0
20250306,37.52,38.68,37.32,37.84,82103,310959839.0
20250307,37.73,38.1,36.6,36.87,66164,246723998.0
20250310,36.9,37.92,36.51,37.58,61994,230605133.0
20250311,36.69,37.54,36.18,36.44,68335,250613857.0
20250312,36.87,38.1,36.52,37.16,86733,324711843.0
20250313,37.18,37.84,36.51,36.67,69770,258790780.0
20250314,36.42,38.7,36.28,37.39,96284,362199068.0
20250317,37.55,39.47,37.55,38.15,101617,390491794.0
20250318,38.15,38.35,37.28,37.64,55859,210665965.0
20250319,37.3,37.38,36.12,36.18,67897,247640190.0
20250320,36.14,36.4,35.9,36.06,35501,128319751.0
20250321,35.81,36.14,35.26,35.26,41135,146468993.0
20250324,35.2,35.6,33.9,34.88,72333,248594848.0
20250325,34.72,35.15,33.74,33.97,43200,148155904.0
20250326,33.88,34.33,33.86,34.05,24019,81995325.0
20250327,34.1,34.51,33.65,34.12,31245,106724410.0
20250328,34.12,34.38,33.64,33.81,23190,78662400.0
20250331,33.81,34.93,33.54,33.85,44795,152755881.0
20250401,33.95,34.38,33.66,34.02,33566,114095373.0
20250402,34.06,35.1,33.91,34.36,42334,145797289.0
20250403,33.51,34.29,33.5,34.0,36174,123027491.0
20250407,32.0,32.89,30.6,30.6,60448,190237028.0
20250408,30.59,30.99,28.97,29.94,61000,182064034.0
20250409,29.49,30.65,28.07,30.29,67589,198898306.0
20250410,31.0,31.93,31.0,31.22,54223,170605958.0
20250411,31.0,32.04,30.88,31.53,39539,124840620.0
20250414,32.07,32.21,31.37,31.44,35394,111859978.0
20250415,31.45,31.5,30.78,31.04,27551,85383542.0
20250416,30.67,30.98,30.05,30.4,23580,71823273.0
20250417,30.11,30.67,29.92,29.95,30915,93404425.0
20250418,29.95,30.9,29.73,30.49,53796,163859242.0
20250421,30.8,31.28,30.34,31.07,36903,114369267.0
20250422,30.85,31.01,30.65,30.71,23291,71740788.0
20250423,31.21,31.76,31.0,31.36,35420,111067583.0
20250424,31.24,32.12,31.07,31.74,55035,174706479.0
20250425,31.74,33.2,31.72,31.75,39678,127837045.0
20250428,31.55,32.6,31.41,32.16,41203,131991222.0
20250429,33.55,33.88,32.28,33.4,80827,266517872.0
20250430,32.94,33.1,31.89,32.86,75213,244328297.0
20250506,33.54,35.5,33.4,34.55,103724,358616024.0
20250507,34.92,35.1,34.22,34.54,52690,182220315.0
20250508,34.48,37.21,34.48,36.52,93799,340588026.0
20250509,36.02,36.28,35.43,35.5,53041,189734494.0
20250512,35.7,35.85,35.15,35.68,51194,181777153.0
20250513,37.0,37.08,35.25,35.38,70776,254866812.0
20250514,35.26,36.48,35.21,35.38,54545,194837812.0
20250515,35.22,35.25,33.99,34.04,59510,204694580.0
20250516,34.14,34.63,33.86,34.28,25168,86408287.0
20250519,34.38,34.53,33.6,33.92,30215,102441643.0
20250520,33.83,34.0,33.37,33.82,31390,105773785.0
20250521,33.82,33.98,33.21,33.49,25346,84850732.0
20250522,33.4,33.7,32.99,33.09,20214,67344885.0
20250523,33.1,33.26,32.25,32.33,27149,88869247.0
20250526,32.33,32.62,32.18,32.5,19924,64538151.0
20250527,32.5,32.54,32.15,32.35,16346,52817063.0
20250528,32.61,32.67,32.2,32.51,19534,63384749.0
20250529,32.51,33.27,32.45,33.07,35711,117970205.0
20250530,33.0,33.01,31.84,31.97,35740,115133120.0
20250603,31.94,34.09,31.7,33.28,59880,199023388.0
