time,open,high,low,close,volume,amount
20260420111000,387.33,387.33,387.01,387.01,208,8055656.0
20260420111100,387.01,387.01,386.2,386.2,279,10784850.0
20260420111200,386.25,386.46,386.18,386.18,277,10699757.0
20260420111300,386.22,386.26,386.18,386.22,245,9461945.0
20260420111400,386.23,386.57,386.23,386.57,243,9393025.0
20260420111500,386.81,387.01,386.81,386.91,324,12537593.0
20260420111600,387.0,387.0,386.51,386.83,227,8781220.0
20260420111700,386.84,387.0,386.84,386.9,144,5571802.0
20260420111800,386.83,386.97,386.83,386.96,148,5726351.0
20260420111900,386.96,386.96,386.43,386.43,186,7192999.0
20260420112000,386.28,386.51,386.0,386.09,469,18105806.0
20260420112100,386.09,386.27,386.0,386.24,315,12166052.0
20260420112200,386.27,386.51,386.24,386.51,123,4751148.0
20260420112300,386.55,387.08,386.55,387.08,131,5067592.0
20260420112400,386.99,387.56,386.99,387.56,205,7934351.0
20260420112500,387.5,387.5,386.55,386.95,194,7505105.0
20260420112600,386.95,386.98,386.95,386.97,138,5340172.0
20260420112700,387.0,387.0,386.95,386.95,124,4798578.0
20260420112800,386.97,387.0,386.95,386.99,113,4372933.0
20260420112900,386.99,387.0,386.97,386.98,127,4914662.0
20260420113000,386.97,387.0,386.97,387.0,152,5882217.0
20260420130100,386.99,387.57,386.73,386.73,730,28252235.0
20260420130200,386.55,386.55,385.6,386.31,520,20066762.0
20260420130300,386.31,386.72,386.29,386.72,138,5333220.0
20260420130400,386.73,387.83,386.73,387.83,169,6547083.0
20260420130500,387.85,388.76,387.85,388.76,144,5591564.0
20260420130600,388.76,388.89,388.7,388.74,287,11158808.0
20260420130700,388.75,388.75,387.6,387.7,263,10207412.0
20260420130800,387.6,387.6,386.5,386.5,276,10677901.0
20260420130900,386.5,386.5,385.6,385.6,346,13358613.0
20260420131000,385.6,385.6,385.4,385.5,304,11718330.0
20260420131100,385.48,385.55,385.48,385.51,302,11642290.0
20260420131200,385.5,385.5,385.22,385.22,178,6860759.0
20260420131300,385.24,385.25,385.18,385.18,258,9938711.0
20260420131400,385.19,385.19,385.03,385.04,234,9011396.0
20260420131500,385.03,385.1,385.03,385.03,238,9164071.0
