date,version,slip,failure,bars,orders,turnover,initial_equity,final_equity,account_gross,hold_gross,excess_gross,final_position,position_gap,short_unclosed,long_unclosed,mom_unclosed,state,cycles,strategy_reported_gross,max_drawdown
20260421,v51,0.0,,241,4,150382.0,175460.0,177354.0,1894.0,855.9999999999945,1038.0,200,0,0,0,0,DONE,2,1038.0000000000052,0.02059523809523811
20260421,v51,0.01,,241,4,150381.0,175460.0,177351.0,1891.0,855.9999999999945,1035.0,200,0,0,0,0,DONE,2,1035.000000000008,0.020606575963718843
20260421,v39,0.0,,241,5,186930.0,175460.0,178104.0,2644.0,855.9999999999945,1788.0,300,100,0,100,0,BT_SPIKING,2,1062.0000000000061,0.02059523809523811
20260421,v39,0.01,,241,5,186929.0,175460.0,178101.0,2641.0,855.9999999999945,1785.0,300,100,0,100,0,BT_SPIKING,2,1062.0000000000061,0.020606575963718843
20260422,v51,0.0,,241,2,78546.0,176458.0,178546.0,2088.0,5941.999999999996,-3854.0,0,-200,200,0,0,SOLD,0,0.0,0.003629213483146043
20260422,v51,0.01,,241,2,78544.0,176458.0,178544.0,2086.0,5941.999999999996,-3856.0,0,-200,200,0,0,SOLD,0,0.0,0.003629213483146043
20260422,v39,0.0,,241,2,77747.0,176458.0,177747.0,1289.0,5941.999999999996,-4653.0,0,-200,200,0,0,SOLD,0,0.0,0.003573033707865214
20260422,v39,0.01,,241,2,77745.0,176458.0,177745.0,1287.0,5941.999999999996,-4655.0,0,-200,200,0,0,SOLD,0,0.0,0.003578651685393286
20260423,v51,0.0,,241,3,121457.0,182240.0,177049.0,-5191.0,-5236.000000000002,45.0,300,100,0,100,0,BT_DIPPING,1,2994.999999999999,0.04003264417845487
20260423,v51,0.01,,241,3,121457.0,182240.0,177047.0,-5193.0,-5236.000000000002,43.0,300,100,0,100,0,BT_DIPPING,1,2994.0,0.04004352557127311
20260423,v39,0.0,,241,3,121457.0,182240.0,177049.0,-5191.0,-5236.000000000002,45.0,300,100,0,100,0,BT_DIPPING,1,0.0,0.04003264417845487
20260423,v39,0.01,,241,3,121457.0,182240.0,177047.0,-5193.0,-5236.000000000002,43.0,300,100,0,100,0,BT_DIPPING,1,0.0,0.04004352557127311
20260424,v51,0.0,,241,3,112376.0,175678.0,172368.0,-3310.0,-2045.9999999999923,-1264.0,300,100,0,100,0,BT_DIPPING,1,-620.999999999998,0.033281034833058665
20260424,v51,0.01,,241,3,112377.0,175678.0,172365.0,-3313.0,-2045.9999999999923,-1267.0,300,100,0,100,0,BT_DIPPING,1,-622.9999999999961,0.03329251017286816
20260424,v39,0.0,,241,3,112376.0,175678.0,172368.0,-3310.0,-2045.9999999999923,-1264.0,300,100,0,100,0,BT_DIPPING,1,-620.999999999998,0.033281034833058665
20260424,v39,0.01,,241,3,112377.0,175678.0,172365.0,-3313.0,-2045.9999999999923,-1267.0,300,100,0,100,0,BT_DIPPING,1,-620.999999999998,0.03329251017286816
20260427,v51,0.0,,241,4,152593.0,175600.0,176721.0,1121.0,-100.0,1221.0,200,0,0,0,0,DONE,2,1220.999999999998,0.019075552296676457
