order_id,signed_quantity,limit,submitted_event,label,traded_volume,traded_value,fee,order_status,reason,stock_code,order_sysid
1,-100,,39,MOM short,100,36900.0,11.069999999999999,56,,601869.SH,1
2,100,381.6,475,MOM force buyback,0,0.0,0.0,54,VOLUME_CAP,601869.SH,2
3,100,381.6,477,MOM force buyback,0,0.0,0.0,54,VOLUME_CAP,601869.SH,3
4,100,381.6,479,MOM force buyback,100,38158.0,11.447399999999998,56,,601869.SH,4
5,-100,,496,REV-T sell,100,39100.0,11.729999999999999,56,,601869.SH,5
6,100,386.88,1111,REV-T buyback(NORMAL),100,38665.0,11.599499999999999,56,,601869.SH,6
7,-100,,1458,MOM short,100,37913.0,11.373899999999999,56,,601869.SH,7
8,100,374.0,1534,MOM buyback,100,37390.0,11.216999999999999,56,,601869.SH,8
9,-100,,1937,REV-T sell,100,38431.0,11.5293,56,,601869.SH,9
10,100,377.45,1969,REV-T buyback(NORMAL),100,37739.0,11.3217,56,,601869.SH,10
11,-100,,1993,MOM short,100,37959.0,11.387699999999999,56,,601869.SH,11
12,100,377.3,2399,MOM force buyback,0,0.0,0.0,54,VOLUME_CAP,601869.SH,12
13,100,377.2,2401,MOM force buyback,0,0.0,0.0,54,VOLUME_CAP,601869.SH,13
14,100,377.2,2403,MOM force buyback,0,0.0,0.0,54,LIMIT_NOT_MET,601869.SH,14
15,100,377.5,2405,MOM force buyback,0,0.0,0.0,54,,601869.SH,15
16,100,377.0,2416,MOM buyback,100,37686.0,11.3058,56,,601869.SH,16
17,-100,,2450,MOM short,100,37534.0,11.2602,56,,601869.SH,17
18,100,370.98,2784,MOM buyback,0,0.0,0.0,54,LIMIT_NOT_MET,601869.SH,18
19,100,370.55,2786,MOM buyback,0,0.0,0.0,54,LIMIT_NOT_MET,601869.SH,19
20,100,370.01,2788,MOM buyback,0,0.0,0.0,54,LIMIT_NOT_MET,601869.SH,20
21,100,371.0,2790,MOM buyback,100,37099.0,11.1297,56,,601869.SH,21
22,-100,,2953,MOM short,100,36507.0,10.9521,56,,601869.SH,22
23,100,370.55,3361,MOM force buyback,0,0.0,0.0,54,VOLUME_CAP,601869.SH,23
24,100,370.51,3363,MOM force buyback,0,0.0,0.0,54,VOLUME_CAP,601869.SH,24
25,100,370.51,3365,MOM force buyback,0,0.0,0.0,54,LIMIT_NOT_MET,601869.SH,25
26,100,370.52,3367,MOM force buyback,0,0.0,0.0,54,,601869.SH,26
27,100,354.0,3842,MOM force buyback,0,0.0,0.0,54,VOLUME_CAP,601869.SH,27
28,100,353.99,3844,MOM force buyback,0,0.0,0.0,54,VOLUME_CAP,601869.SH,28
29,100,353.99,3846,MOM force buyback,100,35390.0,10.616999999999999,56,,601869.SH,29
30,-100,,3983,REV-T sell,100,36579.0,10.9737,56,,601869.SH,30
31,100,363.2,4143,REV-T buyback(REBOUND99),100,36300.0,10.889999999999999,56,,601869.SH,31
32,-100,,4344,MOM short,100,37589.0,11.276699999999998,56,,601869.SH,32
33,100,389.27,4804,MOM force buyback,0,0.0,0.0,54,VOLUME_CAP,601869.SH,33
34,100,389.21,4806,MOM force buyback,0,0.0,0.0,54,VOLUME_CAP,601869.SH,34
35,100,389.21,4808,MOM force buyback,100,38920.0,11.675999999999998,56,,601869.SH,35
36,-100,,4845,MOM short,100,38590.0,11.576999999999998,56,,601869.SH,36
37,100,397.3,5285,MOM force buyback,0,0.0,0.0,54,VOLUME_CAP,601869.SH,37
38,100,397.23,5287,MOM force buyback,0,0.0,0.0,54,VOLUME_CAP,601869.SH,38
39,100,397.23,5289,MOM force buyback,100,39723.0,11.916899999999998,56,,601869.SH,39
40,-100,,5312,MOM short,100,40107.0,12.0321,56,,601869.SH,40
41,100,398.5,5320,MOM buyback,100,39800.0,11.94,56,,601869.SH,41
42,-100,,5324,MOM short,100,39999.0,11.999699999999999,56,,601869.SH,42
43,100,397.7,5376,MOM buyback,0,0.0,0.0,54,LIMIT_NOT_MET,601869.SH,43
44,100,397.19,5394,MOM buyback,100,39718.0,11.915399999999998,56,,601869.SH,44
45,-100,,5779,REV-T sell,100,41376.0,12.412799999999999,56,,601869.SH,45
46,100,409.99,6009,REV-T buyback(NORMAL),100,40900.0,12.27,56,,601869.SH,46
47,-100,,6041,MOM short,100,41498.0,12.449399999999999,56,,601869.SH,47
48,100,409.03,6167,MOM buyback,100,40893.0,12.2679,56,,601869.SH,48
49,-100,,6260,REV-T sell,100,40200.0,12.059999999999999,56,,601869.SH,49
50,100,400.3,6264,REV-T buyback(NORMAL),100,40020.0,12.005999999999998,56,,601869.SH,50
51,100,,6769,MOM long,100,41170.0,12.350999999999999,56,,601869.SH,51
52,-100,,6817,MOM stop-loss,100,40528.0,12.158399999999999,56,,601869.SH,52
53,-100,,7119,MOM short,100,41188.0,12.356399999999999,56,,601869.SH,53
54,100,406.01,7201,MOM buyback,0,0.0,0.0,54,LIMIT_NOT_MET,601869.SH,54
55,100,406.03,7203,MOM buyback,100,40603.0,12.1809,56,,601869.SH,55
56,-100,,7286,MOM short,100,37152.0,11.145599999999998,56,,601869.SH,56
57,100,374.47,7690,MOM force buyback,0,0.0,0.0,54,VOLUME_CAP,601869.SH,57
58,100,374.47,7692,MOM force buyback,0,0.0,0.0,54,VOLUME_CAP,601869.SH,58
59,100,374.47,7694,MOM force buyback,100,37445.0,11.2335,56,,601869.SH,59
60,-100,,7709,REV-T sell,100,38001.0,11.4003,56,,601869.SH,60
61,100,377.89,9596,REV-T buyback(REBOUND99),100,37702.0,11.310599999999999,56,,601869.SH,61
62,-100,,9639,REV-T sell,100,38359.0,11.5077,56,,601869.SH,62
63,100,380.2,9703,REV-T buyback(NORMAL),100,38000.0,11.399999999999999,56,,601869.SH,63
64,-100,,10120,MOM short,100,38137.0,11.441099999999999,56,,601869.SH,64
65,100,386.03,10576,MOM force buyback,0,0.0,0.0,54,VOLUME_CAP,601869.SH,65
66,100,386.03,10578,MOM force buyback,0,0.0,0.0,54,VOLUME_CAP,601869.SH,66
67,100,386.03,10580,MOM force buyback,100,38603.0,11.5809,56,,601869.SH,67
68,-100,,10645,MOM short,100,36749.0,11.0247,56,,601869.SH,68
69,100,363.27,10689,MOM buyback,0,0.0,0.0,54,LIMIT_NOT_MET,601869.SH,69
70,100,362.01,10691,MOM buyback,100,36200.0,10.86,56,,601869.SH,70
71,-100,,11074,REV-T sell,100,36450.0,10.934999999999999,56,,601869.SH,71
72,100,361.0,11414,REV-T buyback(NORMAL),100,36100.0,10.829999999999998,56,,601869.SH,72
73,-100,,11787,REV-T sell,100,36262.0,10.878599999999999,56,,601869.SH,73
74,100,361.32,11811,REV-T buyback(NORMAL),100,36031.0,10.809299999999999,56,,601869.SH,74
75,-100,,11883,REV-T sell,100,36997.0,11.099099999999998,56,,601869.SH,75
76,100,367.0,12092,REV-T buyback(NORMAL),0,0.0,0.0,54,LIMIT_NOT_MET,601869.SH,76
77,100,367.08,12112,REV-T buyback(NORMAL),100,36701.0,11.010299999999999,56,,601869.SH,77
78,-100,,12118,MOM short,100,36860.0,11.058,56,,601869.SH,78
79,100,395.4,12500,MOM force buyback,0,0.0,0.0,54,VOLUME_CAP,601869.SH,79
80,100,395.4,12502,MOM force buyback,0,0.0,0.0,54,VOLUME_CAP,601869.SH,80
81,100,395.4,12504,MOM force buyback,0,0.0,0.0,54,LIMIT_NOT_MET,601869.SH,81
82,100,402.81,12506,MOM force buyback,0,0.0,0.0,54,,601869.SH,82
83,100,371.85,12981,MOM force buyback,0,0.0,0.0,54,VOLUME_CAP,601869.SH,83
84,100,371.85,12983,MOM force buyback,0,0.0,0.0,54,VOLUME_CAP,601869.SH,84
85,100,371.85,12985,MOM force buyback,100,37158.0,11.1474,56,,601869.SH,85
86,-100,,12994,MOM short,100,37324.0,11.197199999999999,56,,601869.SH,86
87,100,408.74,13462,MOM force buyback,0,0.0,0.0,54,NON_TRADABLE,601869.SH,87
88,100,408.74,13464,MOM force buyback,0,0.0,0.0,54,NON_TRADABLE,601869.SH,88
89,100,408.74,13466,MOM force buyback,0,0.0,0.0,54,NON_TRADABLE,601869.SH,89
90,100,408.74,13468,MOM force buyback,0,0.0,0.0,54,,601869.SH,90
91,100,443.72,13943,MOM force buyback,0,0.0,0.0,54,VOLUME_CAP,601869.SH,91
92,100,443.86,13945,MOM force buyback,0,0.0,0.0,54,VOLUME_CAP,601869.SH,92
93,100,443.86,13947,MOM force buyback,0,0.0,0.0,54,LIMIT_NOT_MET,601869.SH,93
94,100,444.99,13949,MOM force buyback,0,0.0,0.0,54,,601869.SH,94
95,100,455.43,14424,MOM force buyback,0,0.0,0.0,54,VOLUME_CAP,601869.SH,95
96,100,455.89,14426,MOM force buyback,0,0.0,0.0,54,VOLUME_CAP,601869.SH,96
97,100,455.89,14428,MOM force buyback,100,45589.0,13.676699999999999,56,,601869.SH,97
98,-100,,14457,REV-T sell,100,47384.0,14.2152,56,,601869.SH,98
99,100,469.99,14575,REV-T buyback(NORMAL),100,46905.0,14.071499999999999,56,,601869.SH,99
100,-100,,14920,REV-T sell,100,40824.0,12.2472,56,,601869.SH,100
101,100,405.89,25642,REV-T buyback(REBOUND99),0,0.0,0.0,54,LIMIT_NOT_MET,601869.SH,101
102,100,403.67,25648,REV-T buyback(NORMAL),100,40367.0,12.1101,56,,601869.SH,102
103,-100,,25764,REV-T sell,100,41770.0,12.530999999999999,56,,601869.SH,103
104,100,400.99,26460,REV-T buyback(NORMAL),0,0.0,0.0,54,LIMIT_NOT_MET,601869.SH,104
105,100,410.03,26466,REV-T buyback(NORMAL),0,0.0,0.0,54,LIMIT_NOT_MET,601869.SH,105
106,100,403.82,26472,REV-T buyback(NORMAL),0,0.0,0.0,54,LIMIT_NOT_MET,601869.SH,106
107,100,407.88,26486,REV-T buyback(NORMAL),100,40658.0,12.197399999999998,56,,601869.SH,107
108,-100,,26712,MOM short,100,38963.0,11.688899999999999,56,,601869.SH,108
109,100,385.0,26758,MOM buyback,100,38472.0,11.541599999999999,56,,601869.SH,109
110,-100,,26941,REV-T sell,100,38033.0,11.409899999999999,56,,601869.SH,110
111,100,377.61,27119,REV-T buyback(REBOUND99),100,37700.0,11.309999999999999,56,,601869.SH,111
112,-100,,27191,MOM short,100,39205.0,11.7615,56,,601869.SH,112
113,100,400.19,27411,MOM force buyback,0,0.0,0.0,54,VOLUME_CAP,601869.SH,113
114,100,400.18,27413,MOM force buyback,0,0.0,0.0,54,VOLUME_CAP,601869.SH,114
115,100,400.18,27415,MOM force buyback,100,40018.0,12.005399999999998,56,,601869.SH,115
116,-100,,27931,MOM short,100,40500.0,12.149999999999999,56,,601869.SH,116
117,100,400.57,28137,MOM buyback,100,40057.0,12.0171,56,,601869.SH,117
118,-100,,28155,MOM short,100,40547.0,12.1641,56,,601869.SH,118
119,100,400.92,28365,MOM buyback,0,0.0,0.0,54,LIMIT_NOT_MET,601869.SH,119
120,100,402.49,28367,MOM buyback,100,40249.0,12.074699999999998,56,,601869.SH,120
121,-100,,28402,MOM short,100,37133.0,11.139899999999999,56,,601869.SH,121
122,100,361.57,28854,MOM force buyback,0,0.0,0.0,54,NON_TRADABLE,601869.SH,122
123,100,361.57,28856,MOM force buyback,0,0.0,0.0,54,NON_TRADABLE,601869.SH,123
124,100,361.57,28858,MOM force buyback,0,0.0,0.0,54,NON_TRADABLE,601869.SH,124
125,100,361.57,28860,MOM force buyback,0,0.0,0.0,54,,601869.SH,125
126,100,367.19,28871,MOM buyback,100,36679.0,11.003699999999998,56,,601869.SH,126
127,-100,,28921,MOM short,100,36636.0,10.990799999999998,56,,601869.SH,127
128,100,363.57,29303,MOM buyback,100,36350.0,10.905,56,,601869.SH,128
129,-100,,29362,MOM short,100,36689.0,11.006699999999999,56,,601869.SH,129
130,100,362.5,29498,MOM buyback,0,0.0,0.0,54,LIMIT_NOT_MET,601869.SH,130
131,100,364.6,29500,MOM buyback,0,0.0,0.0,54,LIMIT_NOT_MET,601869.SH,131
132,100,364.0,29504,MOM buyback,0,0.0,0.0,54,LIMIT_NOT_MET,601869.SH,132
133,100,406.38,29816,MOM force buyback,0,0.0,0.0,54,VOLUME_CAP,601869.SH,133
134,100,406.38,29818,MOM force buyback,0,0.0,0.0,54,VOLUME_CAP,601869.SH,134
135,100,406.38,29820,MOM force buyback,100,40638.0,12.1914,56,,601869.SH,135
136,-100,,29829,MOM short,100,39000.0,11.7,56,,601869.SH,136
137,100,386.6,29871,MOM buyback,0,0.0,0.0,54,LIMIT_NOT_MET,601869.SH,137
138,100,384.69,29873,MOM buyback,100,38400.0,11.52,56,,601869.SH,138
139,-100,,29881,MOM short,100,38713.0,11.6139,56,,601869.SH,139
140,100,382.6,29975,MOM buyback,100,38259.0,11.477699999999999,56,,601869.SH,140
