group,opened,closed,gross
MOM SHORT,2026-04-21T09:49:00,2026-04-21T14:59:00,-1257.9999999999984
SHORT,2026-04-22T09:37:00,2026-04-23T10:44:00,435.0000000000023
MOM SHORT,2026-04-24T09:37:00,2026-04-24T10:15:00,523.0000000000018
SHORT,2026-04-27T09:36:00,2026-04-27T09:52:00,692.0000000000016
MOM SHORT,2026-04-27T10:04:00,2026-04-28T09:35:00,272.99999999999613
MOM SHORT,2026-04-28T09:52:00,2026-04-28T14:12:00,434.9999999999966
MOM SHORT,2026-04-29T10:03:00,2026-04-30T14:59:00,1117.0000000000016
SHORT,2026-05-06T10:37:00,2026-05-06T13:27:00,279.00000000000205
MOM SHORT,2026-05-07T09:37:00,2026-05-07T14:59:00,-1331.0000000000002
MOM SHORT,2026-05-08T09:47:00,2026-05-08T14:59:00,-1133.000000000004
MOM SHORT,2026-05-11T09:40:00,2026-05-11T09:44:00,306.9999999999993
MOM SHORT,2026-05-11T09:46:00,2026-05-11T10:21:00,281.0000000000002
SHORT,2026-05-12T09:33:00,2026-05-12T11:28:00,475.9999999999991
MOM SHORT,2026-05-12T13:14:00,2026-05-12T14:17:00,605.0000000000011
SHORT,2026-05-13T09:33:00,2026-05-13T09:35:00,180.00000000000114
MOM LONG,2026-05-14T09:47:00,2026-05-14T10:11:00,-642.0000000000016
MOM SHORT,2026-05-14T14:12:00,2026-05-14T14:54:00,585.0000000000023
MOM SHORT,2026-05-15T10:05:00,2026-05-15T14:59:00,-293.0000000000007
SHORT,2026-05-18T09:36:00,2026-05-21T14:48:00,299.0000000000009
SHORT,2026-05-22T09:39:00,2026-05-22T10:11:00,358.9999999999975
MOM SHORT,2026-05-25T09:39:00,2026-05-25T14:59:00,-465.9999999999968
MOM SHORT,2026-05-26T10:01:00,2026-05-26T10:24:00,549.0000000000009
SHORT,2026-05-27T09:35:00,2026-05-27T13:55:00,350.0
SHORT,2026-05-28T13:01:00,2026-05-28T13:13:00,231.00000000000023
SHORT,2026-05-28T13:49:00,2026-05-29T10:13:00,296.00000000000364
MOM SHORT,2026-05-29T10:16:00,2026-06-01T14:59:00,-297.99999999999613
MOM SHORT,2026-06-02T09:33:00,2026-06-04T14:59:00,-8264.999999999998
SHORT,2026-06-05T09:43:00,2026-06-05T10:42:00,478.99999999999636
SHORT,2026-06-08T09:34:00,2026-07-09T10:47:00,456.9999999999993
SHORT,2026-07-09T13:15:00,2026-07-13T09:45:00,1112.0000000000005
MOM SHORT,2026-07-13T13:08:00,2026-07-13T13:31:00,490.9999999999968
SHORT,2026-07-14T09:32:00,2026-07-14T11:01:00,332.9999999999984
MOM SHORT,2026-07-14T13:07:00,2026-07-14T14:59:00,-812.9999999999995
MOM SHORT,2026-07-16T09:46:00,2026-07-16T11:29:00,443.0000000000007
MOM SHORT,2026-07-16T13:08:00,2026-07-16T14:54:00,298.0000000000018
MOM SHORT,2026-07-17T09:41:00,2026-07-20T09:35:00,453.99999999999636
MOM SHORT,2026-07-20T10:00:00,2026-07-20T14:41:00,286.00000000000136
MOM SHORT,2026-07-21T09:40:00,2026-07-21T14:59:00,-3949.000000000001
MOM SHORT,2026-07-22T09:33:00,2026-07-22T09:55:00,600.0
MOM SHORT,2026-07-22T09:59:00,2026-07-22T10:46:00,454.00000000000205
MOM SHORT,2026-07-23T09:36:00,2026-07-23T11:17:00,534.0000000000032
MOM SHORT,2026-07-23T13:11:00,2026-07-23T14:24:00,505.00000000000114
MOM SHORT,2026-07-24T09:36:00,2026-07-24T10:25:00,220.99999999999795
MOM SHORT,2026-07-24T10:27:00,2026-07-24T11:05:00,556.0000000000002
MOM LONG,2026-07-27T09:46:00,2026-07-27T10:39:00,486.00000000000136
MOM SHORT,2026-07-27T14:32:00,2026-07-28T09:36:00,468.0000000000007
MOM SHORT,2026-07-28T09:56:00,2026-07-28T10:21:00,342.0000000000016
MOM SHORT,2026-07-29T09:38:00,2026-07-29T14:59:00,1265.0000000000034
SHORT,2026-07-30T09:35:00,2026-07-30T09:50:00,831.9999999999993
MOM SHORT,2026-07-30T09:53:00,2026-07-30T14:59:00,1564.9999999999977
MOM SHORT,2026-08-03T09:35:00,2026-08-03T09:52:00,416.0000000000025
MOM SHORT,2026-08-03T09:57:00,2026-08-03T10:40:00,306.9999999999993
SHORT,2026-08-04T09:38:00,2026-08-04T10:20:00,-7.999999999998408
SHORT,2026-08-04T13:55:00,2026-08-05T09:32:00,269.99999999999886
MOM SHORT,2026-08-05T09:34:00,2026-08-07T14:59:00,-5682.999999999998
MOM SHORT,2026-08-10T09:49:00,2026-08-10T14:13:00,506.9999999999993
MOM SHORT,2026-08-11T09:49:00,2026-08-14T14:59:00,-2487.9999999999995
SHORT,2026-08-17T09:52:00,2026-08-17T10:00:00,406.0000000000002
SHORT,2026-08-17T11:03:00,2026-08-19T09:33:00,329.00000000000205
MOM SHORT,2026-08-19T09:39:00,2026-08-20T10:02:00,380.00000000000114
SHORT,2026-08-21T09:32:00,2026-08-21T09:45:00,159.9999999999966
MOM SHORT,2026-08-21T09:47:00,2026-08-21T14:59:00,-436.00000000000136
MOM SHORT,2026-08-24T09:50:00,2026-08-24T14:59:00,-1463.9999999999986
