date,open,high,low,close,preclose,volume,amount
2020-01-02,34.61,35.54,34.61,35.04,34.48,48843804,1713274183.9
2020-01-03,34.96,35.29,34.43,34.66,35.04,44019437,1531343100.72
2020-01-06,34.3,37.63,34.21,36.72,34.66,124336428,4546572811.37
2020-01-07,36.71,36.82,36.21,36.75,36.72,49733045,1816298067.16
2020-01-08,36.45,36.66,36.03,36.05,36.75,47125351,1709205340.75
2020-01-09,36.58,36.84,36.24,36.54,36.05,46484015,1698261946.12
2020-01-10,36.45,37.11,36.01,36.26,36.54,39585945,1446077463.72
2020-01-13,36.35,37.28,36.2,36.99,36.26,50102186,1846205642.12
2020-01-14,37.1,37.18,36.35,36.4,36.99,37473692,1371788078.73
2020-01-15,36.31,36.7,35.8,36.28,36.4,34319862,1240427491.12
2020-01-16,36.28,36.76,36.15,36.32,36.28,32834088,1196855409.82
2020-01-17,36.51,36.56,35.86,35.96,36.32,31248738,1130456932.57
2020-01-20,36.0,36.73,35.62,36.62,35.96,41308943,1502080992.89
2020-01-21,36.57,36.95,35.98,36.03,36.62,34975462,1270504619.24
2020-01-22,35.86,36.98,35.75,36.86,36.03,50916222,1862660437.94
2020-01-23,36.36,36.6,34.4,35.19,36.86,64969974,2312794863.04
2020-02-03,31.67,33.65,31.67,31.95,35.19,96516579,3127358382.15
2020-02-04,32.55,35.15,32.5,35.15,31.95,106696515,3674946269.34
2020-02-05,35.99,38.67,35.2,38.19,35.15,159254243,5987569732.01
2020-02-06,38.32,39.37,37.8,39.3,38.19,130991689,5081874374.12
2020-02-07,38.88,39.8,38.1,38.86,39.3,107461310,4183592782.24
2020-02-10,39.11,39.7,38.1,39.02,38.86,84304345,3281871852.88
2020-02-11,39.4,39.68,37.69,37.83,39.02,83444074,3193150986.26
2020-02-12,37.88,39.35,37.6,39.3,37.83,104569399,4054918335.27
2020-02-13,39.1,39.5,38.2,38.42,39.3,74657952,2885889011.35
2020-02-14,38.2,39.14,38.05,38.36,38.42,62518707,2409471368.53
2020-02-17,38.36,39.66,38.3,39.54,38.36,94927024,3718514224.34
2020-02-18,39.71,40.52,39.13,40.05,39.54,97061812,3862633425.42
2020-02-19,39.71,39.71,38.62,38.66,40.05,84477867,3300201456.39
2020-02-20,38.88,39.27,38.15,39.01,38.66,61613714,2393525706.76
2020-02-21,39.05,42.22,39.05,41.34,39.01,143469143,5899911958.53
2020-02-24,41.99,43.19,41.35,42.4,41.34,115410150,4899672442.91
2020-02-25,41.43,42.13,39.74,42.0,42.4,117799191,4859846718.32
2020-02-26,41.0,41.19,39.4,39.78,42.0,91676891,3706319345.13
2020-02-27,39.96,41.83,39.15,40.99,39.78,91107585,3705661294.61
2020-02-28,39.39,40.42,38.5,38.59,40.99,89772145,3534285427.58
2020-03-02,39.85,41.22,39.12,40.78,38.59,87231419,3511965315.89
2020-03-03,41.7,44.86,41.26,43.8,40.78,189305067,8292350125.58
2020-03-04,43.28,44.44,41.88,43.26,43.8,125571756,5437591389.95
2020-03-05,44.5,44.68,41.98,42.8,43.26,103100170,4448259503.62
2020-03-06,41.88,42.65,41.45,41.85,42.8,68072673,2850403841.87
