date,open,high,low,close,preclose,volume,amount
2020-01-02,19.56,20.02,19.46,19.88,19.5,63260052,1251188179.0
2020-01-03,19.9,20.01,19.0,19.1,19.88,70847645,1367189334.0
2020-01-06,18.9,19.31,18.65,18.99,19.1,62415929,1184198738.0
2020-01-07,19.01,19.36,18.91,19.25,18.99,43700704,839621186.0
2020-01-08,19.14,19.47,19.0,19.23,19.25,34415518,663375376.0
2020-01-09,19.44,19.65,19.32,19.46,19.23,30897850,602999229.0
2020-01-10,19.54,19.95,19.52,19.89,19.46,33591349,664340734.0
2020-01-13,20.0,20.01,19.64,19.89,19.89,34801941,690319979.0
2020-01-14,20.05,20.23,19.81,20.0,19.89,36980412,741874452.0
2020-01-15,19.99,19.99,19.58,19.65,20.0,29636367,583589361.0
2020-01-16,19.77,19.79,19.45,19.54,19.65,24260401,474933845.0
2020-01-17,19.59,19.74,19.26,19.45,19.54,24421666,475330279.0
2020-01-20,19.21,19.55,19.2,19.43,19.45,38991173,754014343.0
2020-01-21,19.38,19.54,19.08,19.39,19.43,38357481,741647763.0
2020-01-22,19.24,19.44,19.05,19.36,19.39,30976516,596676023.0
2020-01-23,19.29,19.29,18.2,18.57,19.36,45741075,857315042.0
2020-02-03,16.71,17.74,16.71,17.0,18.57,81041763,1381712989.0
2020-02-04,17.09,17.54,17.05,17.35,17.0,55700959,964146194.0
2020-02-05,17.46,17.64,17.25,17.5,17.35,69477852,1215543892.0
2020-02-06,17.51,17.83,17.2,17.73,17.5,51758139,908372372.0
2020-02-07,17.57,17.78,17.5,17.76,17.73,33120077,583202869.0
2020-02-10,17.65,18.07,17.3,18.0,17.76,39404009,700235498.0
2020-02-11,18.1,18.74,17.99,18.55,18.0,49335117,907191704.0
2020-02-12,18.43,18.95,18.31,18.61,18.55,31256022,583556589.0
2020-02-13,18.69,18.9,18.22,18.3,18.61,35380544,653894786.0
2020-02-14,18.29,18.42,18.04,18.2,18.3,26319639,479599565.0
2020-02-17,18.28,18.6,18.02,18.58,18.2,28911089,532153850.0
2020-02-18,18.58,18.63,18.24,18.51,18.58,29949618,552147923.0
2020-02-19,18.46,18.46,18.18,18.21,18.51,35771584,654372633.0
2020-02-20,18.21,18.91,18.1,18.89,18.21,51159191,952555869.0
2020-02-21,18.87,19.14,18.65,18.82,18.89,39716834,748856299.0
2020-02-24,18.75,18.75,18.29,18.31,18.82,51646755,950177663.0
2020-02-25,18.0,18.08,17.54,17.8,18.31,52833384,939882662.0
2020-02-26,17.36,17.95,17.36,17.61,17.8,40905744,723501512.0
2020-02-27,17.7,17.95,17.61,17.8,17.61,30566574,544247320.0
2020-02-28,17.4,17.55,16.92,17.02,17.8,52766099,906781020.0
2020-03-02,17.1,17.76,17.09,17.64,17.02,43042188,752116469.0
2020-03-03,17.8,17.94,17.5,17.64,17.64,34554787,612956096.0
2020-03-04,17.5,17.92,17.37,17.89,17.64,38114321,671142052.0
2020-03-05,18.04,18.61,17.9,18.49,17.89,50622617,928505616.0
2020-03-06,18.25,18.38,18.0,18.03,18.49,34302505,621138510.0
2020-03-09,17.6,17.9,17.25,17.59,18.03,52348335,918972829.0
2020-03-10,17.39,17.9,17.33,17.7,17.59,48564707,856435294.0
2020-03-11,17.7,17.75,17.33,17.35,17.7,32456685,567980592.0
2020-03-12,17.1,17.1,16.7,16.75,17.35,52877411,890155226.0
2020-03-13,15.8,16.66,15.6,16.24,16.75,62078052,1003039982.0
2020-03-16,16.1,16.2,15.37,15.54,16.24,59000101,932912636.0
2020-03-17,15.4,15.8,15.0,15.1,15.54,53654449,820681497.0
2020-03-18,15.24,15.58,15.01,15.02,15.1,45418056,696116770.0
2020-03-19,15.02,15.2,14.17,14.55,15.02,72901507,1059365242.0
2020-03-20,14.7,14.77,14.34,14.61,14.55,47178825,686350478.0
2020-03-23,14.05,14.24,13.8,13.85,14.61,48747254,681635225.0
2020-03-24,14.1,14.65,14.09,14.62,13.85,52645779,761554325.0
2020-03-25,15.1,15.15,14.79,15.04,14.62,48559025,726910249.0
2020-03-26,14.91,14.99,14.57,14.63,15.04,33149814,489447004.0
2020-03-27,14.9,15.02,14.7,14.77,14.63,36328944,539559304.0
2020-03-30,14.58,14.58,14.09,14.3,14.77,43310608,618695669.0
2020-03-31,14.48,14.7,14.37,14.4,14.3,32038372,464028255.0
2020-04-01,14.45,14.96,14.41,14.68,14.4,33960003,499528198.0
2020-04-02,14.57,14.87,14.48,14.85,14.68,31354241,461223468.0
2020-04-03,14.8,15.02,14.7,14.78,14.85,24703153,366911550.0
2020-04-07,15.1,15.2,14.93,14.97,14.78,35985954,541588609.0
2020-04-08,14.83,14.94,14.72,14.83,14.97,26525133,393552407.0
2020-04-09,14.93,15.0,14.86,14.87,14.83,18609558,277791314.0
2020-04-10,14.91,15.57,14.72,15.29,14.87,53404033,813552352.0
2020-04-13,15.1,15.57,15.07,15.47,15.29,44430516,681613868.0
2020-04-14,15.4,15.51,15.16,15.41,15.47,39448269,606122713.0
2020-04-15,15.16,15.25,14.83,14.92,15.41,49769823,749347764.0
2020-04-16,14.79,14.8,14.6,14.74,14.92,29228218,429123822.0
2020-04-17,14.81,14.98,14.79,14.82,14.74,29980506,446066291.0
2020-04-20,14.84,14.96,14.6,14.9,14.82,38495145,569504686.0
2020-04-21,14.87,14.9,14.6,14.71,14.9,29120036,427839579.0
2020-04-22,14.62,14.9,14.54,14.86,14.71,24718390,364987007.0
2020-04-23,14.93,15.34,14.93,15.1,14.86,46618875,707562439.0
2020-04-24,15.2,15.2,14.85,14.89,15.1,24327277,364401837.0
2020-04-27,14.97,15.15,14.9,14.9,14.89,23354399,350801837.0
2020-04-28,14.92,15.17,14.55,15.06,14.9,28841801,430599464.0
2020-04-29,15.0,15.84,14.9,15.73,15.06,46722873,725768328.0
2020-04-30,15.48,15.62,15.31,15.46,15.73,65158069,1006964648.0
2020-05-06,15.16,15.28,14.92,15.22,15.46,84521010,1271075469.0
2020-05-07,15.15,15.15,14.92,14.97,15.22,46876719,702896607.0
2020-05-08,15.05,15.62,15.0,15.35,14.97,94739564,1453167938.0
2020-05-11,15.53,15.97,15.38,15.57,15.35,84905494,1326610380.0
2020-05-12,15.56,15.75,15.36,15.5,15.57,54877175,851552316.0
2020-05-13,15.45,15.45,15.16,15.3,15.5,55647569,847157722.0
2020-05-14,15.21,15.33,15.08,15.12,15.3,41287414,627836201.0
2020-05-15,15.1,15.37,15.08,15.12,15.12,42141354,639578260.0
2020-05-18,15.13,15.2,14.94,15.06,15.12,35283906,532081701.0
2020-05-19,15.23,15.54,15.23,15.42,15.06,55401077,853007051.0
2020-05-20,15.41,15.41,15.18,15.33,15.42,30312519,463152051.0
2020-05-21,15.35,15.67,15.33,15.43,15.33,50872587,787766701.0
2020-05-22,15.55,15.59,15.0,15.05,15.43,43354781,659303535.0
2020-05-25,15.0,15.26,14.95,15.1,15.05,24877686,375896892.0
2020-05-26,15.2,15.63,15.17,15.6,15.1,57034714,882080020.0
2020-05-27,15.65,16.19,15.56,16.05,15.6,76559848,1219570685.0
2020-05-28,16.03,16.4,15.7,15.91,16.05,53692176,862505805.0
2020-05-29,15.88,16.55,15.82,16.55,15.91,64926228,1054927407.0
2020-06-01,16.65,16.89,16.45,16.61,16.55,72970931,1214095311.0
2020-06-02,16.61,17.96,16.28,17.03,16.61,80724120,1349862012.0
2020-06-03,16.71,16.8,16.34,16.44,17.03,71923262,1190184832.0
2020-06-04,16.57,16.66,16.22,16.31,16.44,45949211,753338210.0
2020-06-05,16.4,16.85,16.25,16.75,16.31,51785129,860325650.0
2020-06-08,16.9,17.46,16.9,17.0,16.75,79062386,1357167974.0
2020-06-09,17.0,17.68,16.85,17.38,17.0,51384714,892203603.0
2020-06-10,17.26,17.37,17.01,17.14,17.38,36798889,631677543.0
2020-06-11,17.15,17.28,16.63,16.73,17.14,42588710,721687085.0
2020-06-12,16.35,16.62,16.23,16.59,16.73,48851345,803264327.0
2020-06-15,16.41,16.54,15.92,16.02,16.59,52628741,853157520.0
2020-06-16,16.2,16.49,16.15,16.45,16.02,35260254,575577395.0
2020-06-17,16.7,16.93,16.57,16.79,16.45,44331813,743645590.0
2020-06-18,16.65,17.36,16.61,17.18,16.79,48220262,825986523.0
2020-06-19,17.15,17.63,17.15,17.51,17.18,52623229,918099857.0
2020-06-22,17.5,17.61,17.24,17.51,17.51,42064818,733180845.0
2020-06-23,17.5,17.76,17.16,17.29,17.51,26670947,463790405.0
2020-06-24,17.33,17.99,17.31,17.92,17.29,50845807,905083003.0
2020-06-29,17.82,18.38,17.73,17.94,17.92,51980089,938210901.0
2020-06-30,18.11,18.35,17.6,17.7,17.94,40149871,718950455.0
2020-07-01,17.83,18.0,17.64,17.95,17.7,31655732,565528782.0
2020-07-02,17.88,18.25,17.75,18.12,17.95,44063473,791657913.0
2020-07-03,18.14,18.41,17.72,17.98,18.12,50816179,915907360.0
2020-07-06,18.11,18.97,18.1,18.82,17.98,55891688,1039736133.0
2020-07-07,18.82,19.33,18.58,18.59,18.82,59940995,1132876380.0
2020-07-08,18.55,18.79,18.34,18.6,18.59,53455015,988858830.0
2020-07-09,18.6,18.68,18.21,18.63,18.6,67409527,1243579336.0
2020-07-10,18.51,18.53,17.92,17.97,18.63,73259293,1332186584.0
2020-07-13,17.9,18.36,17.89,18.3,17.97,50913187,925440845.0
2020-07-14,18.38,18.44,17.91,18.05,18.3,43166683,782286735.0
2020-07-15,18.1,18.77,18.09,18.55,18.05,80921019,1493298495.0
2020-07-16,18.21,18.26,16.86,16.98,18.18,65478966,1148671757.0
2020-07-17,17.05,17.75,17.05,17.47,16.98,45548569,795504865.0
2020-07-20,17.53,17.86,17.0,17.78,17.47,58070443,1016848644.0
2020-07-21,17.74,17.91,17.44,17.55,17.78,39301850,691962682.99
2020-07-22,17.56,18.27,17.4,17.94,17.55,55393998,992089565.25
2020-07-23,17.75,17.99,17.26,17.61,17.94,58377593,1025243217.83
2020-07-24,17.46,17.48,16.45,16.57,17.61,70842322,1196010657.88
2020-07-27,16.55,16.6,16.19,16.26,16.57,38010410,620994691.58
2020-07-28,16.38,16.62,16.26,16.36,16.26,33795386,553414496.87
2020-07-29,16.55,18.0,16.38,18.0,16.36,112398164,1982237421.03
2020-07-30,18.0,18.0,18.0,18.0,18.0,0,0.0
2020-07-31,18.0,18.0,18.0,18.0,18.0,0,0.0
2020-08-03,18.9,19.8,18.72,19.8,18.0,96034347,1873040163.23
2020-08-04,20.7,21.61,20.21,20.72,19.8,204260712,4252373931.5
2020-08-05,20.54,22.54,20.09,21.88,20.72,179561607,3860829107.95
2020-08-06,21.5,22.14,20.9,21.28,21.88,113285757,2426679362.92
2020-08-07,21.01,22.88,21.01,22.59,21.28,131835502,2920307630.51
2020-08-10,22.0,23.15,21.5,22.33,22.59,83511802,1866657247.26
2020-08-11,22.31,22.66,21.61,21.7,22.33,74975585,1655067765.76
2020-08-12,21.7,21.88,21.0,21.61,21.7,71151631,1522258070.09
2020-08-13,21.68,21.85,21.21,21.49,21.61,50828952,1094469553.64
2020-08-14,21.31,22.34,21.14,22.3,21.49,54118346,1184194521.16
2020-08-17,22.12,24.4,22.12,24.09,22.3,92831136,2207053222.47
2020-08-18,23.93,24.05,23.22,23.78,24.09,61583368,1452626810.01
2020-08-19,23.79,24.29,23.25,23.28,23.78,55985581,1322950312.03
2020-08-20,23.05,23.68,22.92,23.06,23.28,37393693,869331720.59
2020-08-21,23.3,23.74,22.47,23.0,23.06,52343978,1201769319.45
2020-08-24,22.94,23.31,22.51,22.97,23.0,37878633,870280575.4
2020-08-25,23.18,23.89,22.97,23.24,22.97,57606043,1348218261.48
2020-08-26,23.03,23.45,22.5,22.6,23.24,40119368,919570204.14
2020-08-27,22.5,22.79,22.31,22.57,22.6,28576473,644422966.38
2020-08-28,22.68,23.55,22.64,23.24,22.57,48008739,1108905183.23
2020-08-31,23.99,24.18,22.3,22.3,23.24,85302715,1951023537.99
2020-09-01,22.1,22.22,21.63,22.0,22.3,63100594,1382728778.71
2020-09-02,22.14,22.48,21.71,21.9,22.0,44632319,982168857.01
2020-09-03,21.89,21.89,21.15,21.3,21.9,78874097,1684024697.83
2020-09-04,20.9,21.38,20.59,21.3,21.3,43062292,911110434.77
2020-09-07,21.17,21.54,21.02,21.09,21.3,45383995,963445741.03
2020-09-08,21.06,21.5,21.0,21.3,21.09,42157748,897694343.12
2020-09-09,21.1,21.25,20.52,20.91,21.3,40418233,848125503.07
2020-09-10,21.11,22.05,21.01,21.32,20.91,43469261,937026068.19
2020-09-11,21.35,21.64,21.05,21.28,21.32,28985045,616387514.27
2020-09-14,21.6,22.4,21.47,22.0,21.28,60845544,1335721221.46
2020-09-15,21.96,22.4,21.63,22.13,22.0,34481735,764356533.74
2020-09-16,22.14,22.29,21.9,22.13,22.13,21893999,483162741.12
2020-09-17,22.15,22.41,21.74,22.19,22.13,29739274,657532992.75
2020-09-18,22.2,22.75,22.1,22.73,22.19,38908318,875226108.53
2020-09-21,22.85,23.01,22.1,22.6,22.73,40580742,912283600.18
2020-09-22,22.38,22.52,22.12,22.31,22.6,26932932,601667338.55
2020-09-23,22.31,23.08,22.31,22.64,22.31,39448638,895517312.06
2020-09-24,22.4,22.5,21.98,22.03,22.64,32115060,713788125.28
2020-09-25,22.24,22.28,21.28,21.49,22.03,37849354,814243591.7
2020-09-28,21.5,21.77,21.41,21.6,21.49,22879480,494788701.0
2020-09-29,21.8,22.39,21.63,22.19,21.6,26671280,589677943.79
2020-09-30,22.29,22.53,21.65,21.82,22.19,33432682,733892515.73
2020-10-09,22.2,22.55,22.05,22.1,21.82,27436686,610988457.76
2020-10-12,22.18,22.8,22.1,22.8,22.1,37274457,837200049.23
2020-10-13,22.81,23.42,22.59,23.41,22.8,34202825,787140284.85
2020-10-14,23.4,23.66,22.88,23.4,23.41,35150379,821575076.72
2020-10-15,23.5,23.51,22.88,23.03,23.4,30710343,711236779.61
2020-10-16,23.1,23.15,22.25,22.28,23.03,36598854,822598590.9
2020-10-19,22.4,23.06,22.07,22.24,22.28,33088588,743475212.12
2020-10-20,22.26,22.45,22.07,22.2,22.24,27688928,615459044.83
2020-10-21,22.21,22.93,22.21,22.87,22.2,38388136,870146059.21
2020-10-22,22.8,23.07,22.31,22.92,22.87,27188460,616852150.75
2020-10-23,22.75,23.05,22.5,22.72,22.92,16332601,372435644.75
2020-10-26,22.62,23.1,22.11,22.98,22.72,23769612,542316404.98
2020-10-27,22.7,23.03,22.43,23.02,22.98,31520607,717966502.24
2020-10-28,23.2,24.1,23.08,24.06,23.02,58239358,1386779700.64
2020-10-29,23.73,25.74,23.72,25.31,24.06,78060724,1928284927.0
2020-10-30,26.6,27.28,24.61,24.86,25.31,99354767,2562186692.96
2020-11-02,25.19,27.0,25.19,26.39,24.86,89944007,2355096809.39
2020-11-03,26.66,27.2,26.04,26.9,26.39,61959260,1654854359.2
2020-11-04,26.9,28.35,26.5,28.18,26.9,67847411,1880015299.67
2020-11-05,28.25,28.78,27.66,28.25,28.18,63199566,1773958405.52
2020-11-06,28.43,29.42,27.81,28.9,28.25,75028136,2160445509.15
2020-11-09,29.18,30.05,27.92,28.41,28.9,109594389,3151148539.37
2020-11-10,27.97,28.77,27.01,28.5,28.41,59946191,1682830946.67
2020-11-11,28.41,28.69,27.93,28.0,28.5,44662483,1263578027.83
2020-11-12,28.18,29.1,28.18,28.65,28.0,39686763,1138932821.96
2020-11-13,28.56,29.1,28.15,28.4,28.65,43732244,1245719530.98
2020-11-16,28.98,29.06,27.9,28.73,28.4,53395735,1521880161.93
2020-11-17,28.73,30.08,28.62,29.1,28.73,73880268,2174374308.95
2020-11-18,28.9,29.1,27.52,28.11,29.1,76082642,2147436118.47
2020-11-19,28.22,29.1,28.06,29.1,28.11,58662288,1682989213.64
2020-11-20,29.13,30.21,28.81,29.54,29.1,61334902,1821036281.09
