trade_id,order_id,stock_code,traded_price,traded_volume,traded_amount,trade_cost,direction,reason
T1,1,002265.SZ,8.65,0,1999880.0,500.07,buy,Alpha144突破
T2,2,600483.SH,8.22,0,1999926.0,520.0808,buy,Alpha144突破
T3,3,300718.SZ,19.64,0,1999352.0,499.938,buy,Alpha144突破
T4,4,603568.SH,24.31,0,2000713.0,520.2854,buy,Alpha144突破
T5,5,600871.SH,1.89,0,1958040.0,509.1904,buy,Alpha144突破
T6,6,002265.SZ,26.81,231200,6198472.0,7748.19,sell,回测结束强制平仓
T7,7,600483.SH,9.47,243300,2304051.0,2903.2043,sell,回测结束强制平仓
T8,8,300718.SZ,85.32,101800,8685576.0,10857.07,sell,回测结束强制平仓
T9,9,603568.SH,25.37,82300,2087951.0,2630.9183,sell,回测结束强制平仓
T10,10,600871.SH,2.16,1036000,2237760.0,2819.6776,sell,回测结束强制平仓
