code,date,direction,shares,price,commission,stamp_tax,pnl
600487.SH,2025-08-26,buy,113500,19.379,549.89,0.0,0.0
600487.SH,2025-09-04,sell,113500,19.271,546.81,2187.23,-15065.81
600487.SH,2025-09-19,buy,94500,22.923,541.55,0.0,0.0
600487.SH,2025-10-10,sell,94500,22.537,532.45,2129.79,-39088.21
600487.SH,2025-12-18,buy,110000,22.623,622.12,0.0,0.0
600487.SH,2025-12-25,sell,110000,25.474,700.55,2802.2,310206.26
600487.SH,2026-01-19,buy,94600,27.107,641.08,0.0,0.0
600487.SH,2026-01-29,sell,94600,31.798,752.03,3008.11,440016.98
600487.SH,2026-02-12,buy,38300,41.892,401.11,0.0,0.0
600487.SH,2026-03-09,sell,38300,45.674,437.33,1749.32,142680.41
600487.SH,2026-03-31,buy,33000,52.713,434.88,0.0,0.0
600487.SH,2026-04-10,sell,33000,55.924,461.37,1845.49,103668.01
600487.SH,2026-04-24,buy,31900,69.61,555.14,0.0,0.0
600487.SH,2026-05-15,sell,31900,69.73,556.1,2224.39,1068.56
600487.SH,2026-06-01,buy,25400,75.636,480.29,0.0,0.0
600487.SH,2026-06-12,sell,25400,96.903,615.33,2461.34,537116.31
