code,date,direction,shares,price,commission,stamp_tax,pnl
600519.SH,2020-04-29,buy,1500,1276.175,478.57,0.0,0.0
000858.SZ,2020-04-29,buy,12100,135.635,410.3,0.0,0.0
600809.SH,2020-04-29,buy,12700,103.593,328.91,0.0,0.0
000568.SZ,2020-04-29,buy,19000,79.169,376.05,0.0,0.0
601318.SH,2020-04-29,buy,27000,74.074,500.0,0.0,0.0
600036.SH,2020-04-29,buy,45800,35.055,401.38,0.0,0.0
601318.SH,2020-05-22,sell,27000,70.05,472.84,1891.35,-111015.42
002142.SZ,2020-05-22,buy,600,25.385,3.81,0.0,0.0
600036.SH,2020-05-25,sell,45800,33.057,378.5,1514.01,-93405.95
000333.SZ,2020-05-25,buy,31500,56.897,448.06,0.0,0.0
002142.SZ,2020-06-18,sell,600,25.484,3.82,15.29,40.36
600030.SH,2020-06-18,buy,66200,23.103,382.36,0.0,0.0
600030.SH,2020-07-10,sell,66200,31.738,525.27,2101.07,569020.59
601318.SH,2020-07-10,buy,1000,82.422,20.61,0.0,0.0
600519.SH,2020-07-16,sell,1500,1612.386,604.64,2418.58,501293.43
000858.SZ,2020-07-16,sell,12100,201.358,609.11,2436.44,792202.03
600809.SH,2020-07-16,sell,12700,156.423,496.64,1986.58,668456.89
000568.SZ,2020-07-16,sell,19000,114.975,546.13,2184.52,677579.93
000333.SZ,2020-07-16,sell,31500,61.079,481.0,1923.98,129328.65
600000.SH,2020-07-16,buy,170400,11.211,477.6,0.0,0.0
600837.SH,2020-07-16,buy,72300,14.615,264.16,0.0,0.0
000001.SZ,2020-07-16,buy,96400,14.164,341.36,0.0,0.0
300750.SZ,2020-07-16,buy,5600,196.967,275.75,0.0,0.0
002594.SZ,2020-07-16,buy,11700,85.135,249.02,0.0,0.0
601318.SH,2020-07-24,sell,1000,76.923,19.23,76.92,-5595.49
600000.SH,2020-07-24,sell,170400,10.41,443.45,1773.79,-138813.29
002142.SZ,2020-07-24,buy,42500,30.11,319.92,0.0,0.0
601012.SH,2020-07-24,buy,24200,51.251,310.07,0.0,0.0
600837.SH,2020-07-30,sell,72300,13.986,252.8,1011.19,-46711.76
