date,pnl,reason
20221201,0.0,无分钟数据
20221202,0.0,无分钟数据
20221205,0.0,无分钟数据
20221206,0.0,无分钟数据
20221207,0.0,无分钟数据
20221208,0.0,无分钟数据
20221209,0.0,无分钟数据
20221212,0.0,无分钟数据
20221213,0.0,无分钟数据
20221214,0.0,无分钟数据
20221215,0.0,无分钟数据
20221216,0.0,无分钟数据
20221219,0.0,无分钟数据
20221220,0.0,无分钟数据
20221221,0.0,无分钟数据
20221222,0.0,无分钟数据
20221223,0.0,无分钟数据
20221226,0.0,无分钟数据
20221227,0.0,无分钟数据
20221228,0.0,无分钟数据
20221229,0.0,无分钟数据
20221230,0.0,无分钟数据
20230103,0.0,无分钟数据
20230104,0.0,无分钟数据
20230105,0.0,无分钟数据
20230106,0.0,无分钟数据
20230109,0.0,无分钟数据
20230110,0.0,无分钟数据
20230111,0.0,无分钟数据
20230112,0.0,无分钟数据
20230113,0.0,无分钟数据
20230116,0.0,无分钟数据
20230117,0.0,无分钟数据
20230118,0.0,无分钟数据
20230119,0.0,无分钟数据
20230120,0.0,无分钟数据
20230130,0.0,无分钟数据
20230131,0.0,无分钟数据
20230201,0.0,无分钟数据
20230202,0.0,无分钟数据
20230203,0.0,无分钟数据
20230206,0.0,无分钟数据
20230207,0.0,无分钟数据
20230208,0.0,无分钟数据
20230209,0.0,无分钟数据
20230210,0.0,无分钟数据
20230213,0.0,无分钟数据
20230214,0.0,无分钟数据
20230215,0.0,强牛禁反T
20230216,0.0,无分钟数据
20230217,0.0,无分钟数据
20230220,0.0,无分钟数据
20230221,0.0,无分钟数据
20230222,0.0,无分钟数据
20230223,0.0,无分钟数据
20230224,0.0,无分钟数据
20230227,0.0,无分钟数据
20230228,0.0,无分钟数据
20230301,0.0,无分钟数据
20230302,0.0,无分钟数据
20230303,0.0,无分钟数据
20230306,0.0,无分钟数据
20230307,0.0,无分钟数据
20230308,0.0,无分钟数据
20230309,0.0,无分钟数据
20230310,0.0,无分钟数据
20230313,0.0,无分钟数据
20230314,0.0,无分钟数据
20230315,0.0,无分钟数据
20230316,0.0,无分钟数据
20230317,0.0,无分钟数据
20230320,0.0,无分钟数据
20230321,0.0,无分钟数据
20230322,0.0,无分钟数据
20230323,0.0,强牛禁反T
20230324,0.0,无分钟数据
20230327,0.0,无分钟数据
20230328,0.0,无分钟数据
20230329,0.0,无分钟数据
20230330,0.0,无分钟数据
20230331,0.0,无分钟数据
20230403,0.0,无分钟数据
20230404,0.0,无分钟数据
20230406,0.0,无分钟数据
20230407,0.0,无分钟数据
20230410,0.0,无分钟数据
20230411,0.0,无分钟数据
20230412,0.0,无分钟数据
20230413,0.0,无分钟数据
20230414,0.0,无分钟数据
20230417,0.0,无分钟数据
20230418,0.0,无分钟数据
20230419,0.0,无分钟数据
20230420,0.0,无分钟数据
20230421,0.0,无分钟数据
20230424,0.0,无分钟数据
20230425,0.0,无分钟数据
20230426,0.0,无分钟数据
20230427,0.0,无分钟数据
20230428,0.0,无分钟数据
20230504,0.0,无分钟数据
20230505,0.0,无分钟数据
20230508,0.0,无分钟数据
20230509,0.0,无分钟数据
20230510,0.0,无分钟数据
20230511,0.0,无分钟数据
20230512,0.0,缩量(量比0.39)
20230515,0.0,无分钟数据
20230516,0.0,无分钟数据
20230517,0.0,缩量(量比0.38)
20230518,0.0,无分钟数据
20230519,0.0,无分钟数据
20230522,0.0,无分钟数据
20230523,0.0,无分钟数据
20230524,0.0,无分钟数据
20230525,0.0,无分钟数据
20230526,0.0,无分钟数据
20230529,0.0,无分钟数据
20230530,0.0,无分钟数据
20230531,0.0,无分钟数据
20230601,0.0,无分钟数据
20230602,0.0,无分钟数据
20230605,0.0,无分钟数据
20230606,0.0,无分钟数据
20230607,0.0,无分钟数据
20230608,0.0,无分钟数据
20230609,0.0,无分钟数据
20230612,0.0,无分钟数据
20230613,0.0,无分钟数据
20230614,0.0,无分钟数据
20230615,0.0,无分钟数据
20230616,0.0,无分钟数据
20230619,0.0,无分钟数据
20230620,0.0,无分钟数据
20230621,0.0,无分钟数据
20230626,0.0,无分钟数据
20230627,0.0,无分钟数据
20230628,0.0,无分钟数据
20230629,0.0,无分钟数据
20230630,0.0,无分钟数据
20230703,0.0,无分钟数据
20230704,0.0,无分钟数据
20230705,0.0,无分钟数据
20230706,0.0,无分钟数据
20230707,0.0,无分钟数据
20230710,0.0,缩量(量比0.38)
20230711,0.0,无分钟数据
20230712,0.0,无分钟数据
20230713,0.0,无分钟数据
20230714,0.0,无分钟数据
20230717,0.0,无分钟数据
20230718,0.0,无分钟数据
20230719,0.0,无分钟数据
20230720,0.0,无分钟数据
20230721,0.0,无分钟数据
