date,sell_price,buyback_price,reason,gross_profit,net_profit,trend,atr_pct,sell_mult,sell_trigger
20251105,83.92,82.74,正常,118.0,105.44,bear,0.0692,0.27,82.51
20251106,83.91,82.97,正常,94.0,81.44,bear,0.0633,0.37,82.7
20251114,78.55,79.76,止损,-121.0,-132.81,bear,0.0473,0.32,78.42
20251117,80.27,79.77,正常,50.0,37.97,bear,0.0465,0.36,79.8
20251118,81.75,80.82,正常,93.0,80.76,bear,0.0467,0.28,81.37
20251119,83.25,82.28,正常,97.0,84.54,bear,0.0469,0.2,82.23
20251121,74.87,74.15,正常,72.0,60.79,bear,0.061,0.2,74.89
20251125,75.92,77.29,止损,-137.0,-148.42,bear,0.0573,0.21,75.93
20251126,84.68,83.58,正常,110.0,97.33,sideways,0.0582,0.26,84.3
20251127,87.36,86.09,正常,127.0,113.93,sideways,0.0618,0.2,86.55
20251128,87.58,86.78,正常,80.0,66.88,weak_bull,0.064,0.41,87.29
20251208,87.17,86.39,正常,78.0,64.94,weak_bull,0.0629,0.48,86.32
20251210,92.61,91.09,正常,152.0,138.15,weak_bull,0.0558,0.55,91.95
20251217,98.13,96.59,正常,154.0,139.32,weak_bull,0.0653,0.58,96.72
20251218,107.94,106.79,正常,115.0,98.84,weak_bull,0.0616,0.43,104.86
20251219,114.07,112.81,正常,126.0,108.92,weak_bull,0.0647,0.48,113.59
20251222,126.67,127.05,尾盘,-38.0,-57.01,weak_bull,0.0635,0.76,123.93
20251223,127.92,126.01,正常,191.0,171.86,weak_bull,0.0659,0.33,127.69
20260107,118.75,120.84,止损,-209.0,-226.86,weak_bull,0.0616,0.66,118.76
20260113,111.55,110.66,正常,89.0,72.29,bear,0.0517,0.28,111.53
20260115,108.99,107.77,正常,122.0,105.68,bear,0.0473,0.57,108.77
20260116,114.22,113.29,正常,93.0,75.89,bear,0.045,0.22,112.23
20260120,122.11,119.78,正常,233.0,214.74,sideways,0.0502,0.48,120.86
20260121,116.28,115.44,正常,84.0,66.58,bear,0.0545,0.2,116.32
20260123,115.54,117.6,止损,-206.0,-223.38,bear,0.0575,0.21,113.81
20260126,120.16,123.76,紧急,-360.0,-378.11,weak_bull,0.0569,0.7,118.75
20260127,127.87,125.35,正常,252.0,232.88,weak_bull,0.0586,0.55,127.08
20260205,169.03,165.51,正常,352.0,326.73,weak_bull,0.071,0.34,168.73
20260227,231.17,236.81,止损,-564.0,-598.82,weak_bull,0.0797,0.34,229.36
20260303,248.86,245.63,正常,323.0,285.75,weak_bull,0.0846,0.32,248.91
20260304,243.76,230.24,正常,1352.0,1315.77,weak_bull,0.0903,0.54,238.0
20260310,232.87,233.1,尾盘,-23.0,-57.94,weak_bull,0.0861,0.53,227.89
20260311,256.15,252.21,正常,394.0,355.68,weak_bull,0.0819,0.35,251.91
20260312,255.24,251.75,正常,349.0,310.8,weak_bull,0.0848,0.46,254.56
20260313,254.65,248.6,正常,605.0,566.95,weak_bull,0.0853,0.46,253.27
20260319,217.98,213.23,正常,475.0,442.42,bear,0.0843,0.2,215.64
20260320,228.47,225.4,正常,307.0,272.81,bear,0.0802,0.2,225.78
20260323,222.38,216.94,正常,544.0,510.78,bear,0.08,0.2,216.94
20260324,226.65,223.34,正常,331.0,297.09,sideways,0.0726,0.45,223.96
20260325,251.75,248.25,正常,350.0,312.33,sideways,0.0679,0.31,251.4
20260326,271.73,268.43,正常,330.0,289.32,weak_bull,0.0677,0.66,270.45
20260327,274.27,268.42,正常,585.0,544.01,weak_bull,0.069,0.74,272.01
20260416,362.69,369.66,止损,-697.0,-751.58,weak_bull,0.0769,0.44,362.46
20260420,388.41,384.26,正常,415.0,356.84,weak_bull,0.0714,0.47,387.16
20260430,364.64,346.36,正常,1828.0,1773.76,bear,0.0709,0.2,364.12
20260506,369.62,364.25,正常,537.0,481.69,bear,0.068,0.2,366.91
20260507,391.61,387.87,正常,374.0,315.35,sideways,0.0656,0.39,390.07
20260508,387.5,383.49,正常,401.0,342.98,sideways,0.0665,0.39,383.68
20260512,428.9,424.86,正常,404.0,339.77,weak_bull,0.066,0.74,424.64
20260513,412.57,406.41,正常,616.0,554.27,weak_bull,0.0639,0.71,410.87
20260518,387.11,394.19,止损,-708.0,-766.24,weak_bull,0.0632,0.71,385.94
20260527,370.62,366.73,正常,389.0,333.5,bear,0.0661,0.29,370.0
20260528,367.43,370.55,尾盘,-312.0,-367.19,bear,0.0633,0.29,367.46
20260529,376.55,370.38,正常,617.0,560.67,sideways,0.0621,0.26,376.47
20260602,386.9,380.77,正常,613.0,555.12,sideways,0.0658,0.36,382.79
20260603,439.45,446.57,止损,-712.0,-778.1,weak_bull,0.0636,0.53,438.01
20260604,462.32,457.46,正常,486.0,416.77,weak_bull,0.0619,0.74,455.8
20260605,469.03,460.88,正常,815.0,744.85,weak_bull,0.0666,0.46,469.49
20260608,424.58,407.11,正常,1747.0,1683.75,weak_bull,0.0723,0.5,421.92
20260609,476.18,461.32,正常,1486.0,1414.94,weak_bull,0.0686,0.58,473.28
20260616,469.93,459.86,正常,1007.0,936.76,weak_bull,0.0827,0.49,469.12
20260618,477.08,470.48,正常,660.0,588.6,weak_bull,0.0789,0.57,476.21
20260703,476.85,487.78,止损,-1093.0,-1164.8,sideways,0.0823,0.39,475.25
20260707,444.56,437.44,正常,712.0,645.49,bear,0.0962,0.2,443.25
20260709,429.07,440.1,止损,-1103.0,-1167.64,bear,0.0977,0.2,427.43
20260710,453.81,466.54,止损,-1273.0,-1341.39,bear,0.1048,0.2,449.96
20260714,391.41,384.74,正常,667.0,608.46,bear,0.1044,0.2,390.21
20260716,399.35,384.38,正常,1497.0,1437.47,bear,0.1035,0.2,399.52
20260717,393.96,371.45,正常,2251.0,2192.47,bear,0.1112,0.2,393.04
20260720,379.12,370.61,正常,851.0,794.34,bear,0.1097,0.2,379.08
20260721,394.6,387.39,正常,721.0,661.99,bear,0.1064,0.2,387.91
20260722,396.6,385.38,正常,1122.0,1062.79,bear,0.1168,0.2,395.75
20260723,376.67,365.57,正常,1110.0,1053.78,bear,0.118,0.2,375.21
20260727,335.16,329.44,正常,572.0,521.87,bear,0.1154,0.2,333.75
20260730,291.71,285.8,正常,591.0,547.39,bear,0.1409,0.2,289.1
20260804,275.56,270.42,正常,514.0,472.79,bear,0.1197,0.24,275.16
20260805,281.1,289.53,紧急,-843.0,-885.38,bear,0.1092,0.2,276.83
