date,Buy&Hold,G_ExtremeOnly,H_FlowReversal,I_PerfectStorm,J_OneCrash,K_NeverSell,L_RSI_Div
2025-06-30,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2025-07-01,983437.1600909721,983442.1289429446,1000000.0,983442.1289429446,983442.1289429446,983442.1289429446,1000000.0
2025-07-02,959952.5363393652,959964.5505784634,1000000.0,959964.5505784634,959964.5505784634,959964.5505784634,1000000.0
2025-07-03,967121.5267477505,967131.3902897261,1000000.0,967131.3902897261,967131.3902897261,967131.3902897261,1000000.0
2025-07-04,936467.9125877584,936486.9722139819,1000000.0,936486.9722139819,936486.9722139819,936486.9722139819,1000000.0
2025-07-07,922624.3449026006,922647.5575991299,985221.6884008237,922647.5575991299,922647.5575991299,922647.5575991299,985221.6884008237
2025-07-08,966379.9070503314,966389.9930782161,1031931.7089910776,966389.9930782161,966389.9930782161,966389.9930782161,1031931.7089910776
2025-07-09,949075.4474438841,949090.724809651,1013458.8194921073,949090.724809651,949090.724809651,949090.724809651,1013458.8194921073
2025-07-10,958469.2969445268,958481.7561554435,1023486.9595058339,958481.7561554435,958481.7561554435,958481.7561554435,1023486.9595058339
2025-07-11,947839.4146148522,947855.0627904676,1012139.3273850378,947855.0627904676,947855.0627904676,947855.0627904676,1012139.3273850378
2025-07-14,966132.700484525,966142.8606743795,1031667.8105696638,966142.8606743795,966142.8606743795,966142.8606743795,1031667.8105696638
2025-07-15,967615.9398793633,967625.6550973995,1033251.2010981471,967625.6550973995,967625.6550973995,967625.6550973995,1033251.2010981471
2025-07-16,967368.7333135569,967378.5226935627,1032987.302676733,967378.5226935627,967378.5226935627,967378.5226935627,1032987.302676733
2025-07-17,1064768.1202412737,1064748.6898052013,1136963.2807137957,1064748.6898052013,1064748.6898052013,1064748.6898052013,1136963.2807137957
2025-07-18,1043261.1490161179,1043248.170671413,1114004.1180507892,1043248.170671413,1043248.170671413,1043248.170671413,1114004.1180507892
2025-07-21,1030653.6141599921,1030644.4180757441,1100545.2985586822,1030644.4180757441,1030644.4180757441,1030644.4180757441,1100545.2985586822
2025-07-22,1017551.6661722536,1017546.4006724019,1086558.6822237475,1017546.4006724019,1017546.4006724019,1017546.4006724019,1086558.6822237475
2025-07-23,1015079.6005141897,1015075.0766340353,1083919.6980096088,1015075.0766340353,1015075.0766340353,1015075.0766340353,1083919.6980096088
2025-07-24,997033.5212103234,997034.4111539603,1064655.1132463969,997034.4111539603,997034.4111539603,997034.4111539603,1064655.1132463969
2025-07-25,989864.5308019381,989867.5714426975,1057002.0590253947,989867.5714426975,989867.5714426975,989867.5714426975,1057002.0590253947
2025-07-28,992089.3898941956,992091.7630772273,1059377.1448181195,992091.7630772273,992091.7630772273,992091.7630772273,1059377.1448181195
2025-07-29,1086027.884900623,1086002.0765351527,1159658.544955388,1086002.0765351527,1086002.0765351527,1086002.0765351527,1159658.544955388
2025-07-30,1195293.1869870464,1195234.59903095,1276301.6472203156,1195234.59903095,1195234.59903095,1195234.59903095,1276301.6472203156
2025-07-31,1250420.251161871,1250345.1250865222,1335150.9951956077,1250345.1250865222,1250345.1250865222,1250345.1250865222,1335150.9951956077
2025-08-01,1247453.7723721943,1247379.5362404827,1331984.2141386413,1247379.5362404827,1247379.5362404827,1247379.5362404827,1331984.2141386413
2025-08-04,1274399.2880450906,1274316.9682586768,1360749.1420727524,1274316.9682586768,1274316.9682586768,1274316.9682586768,1360749.1420727524
2025-08-05,1402452.2891327995,1402331.5534460596,1497448.5243651338,1402331.5534460596,1402331.5534460596,1402331.5534460596,1497448.5243651338
2025-08-06,1305547.3153366954,1305455.6511420943,1394000.3431708992,1305455.6511420943,1305455.6511420943,1305455.6511420943,1394000.3431708992
2025-08-07,1323346.1880747552,1323249.1842183326,1413001.0295126974,1323249.1842183326,1323249.1842183326,1323249.1842183326,1413001.0295126974
2025-08-08,1370809.848709582,1370698.6057549687,1463669.5264241593,1370698.6057549687,1370698.6057549687,1370698.6057549687,1463669.5264241593
2025-08-11,1350538.910313458,1350433.7486403638,1442029.8558682224,1350433.7486403638,1350433.7486403638,1350433.7486403638,1442029.8558682224
2025-08-12,1376495.5997231286,1376382.6510432118,1469739.1901166784,1376382.6510432118,1376382.6510432118,1376382.6510432118,1469739.1901166784
2025-08-13,1408138.0401463464,1408015.5987343024,1503518.188057653,1408015.5987343024,1408015.5987343024,1408015.5987343024,1503518.188057653
2025-08-14,1297389.4986650846,1297300.281815485,1385291.6952642417,1297300.281815485,1297300.281815485,1297300.281815485,1385291.6952642417
2025-08-15,1309502.6203895975,1309409.7696034806,1398222.717913521,1309409.7696034806,1309409.7696034806,1309409.7696034806,1398222.717913521
2025-08-18,1362157.6189063583,1362048.9716206861,1454433.081674674,1362048.9716206861,1362048.9716206861,1362048.9716206861,1454433.081674674
2025-08-19,1457579.3533076239,1457442.0795016317,1556297.8723404258,1457442.0795016317,1457442.0795016317,1457442.0795016317,1556297.8723404258
2025-08-20,1515672.896272125,1515518.1944032433,1618314.0013726836,1515518.1944032433,1515518.1944032433,1515518.1944032433,1618314.0013726836
2025-08-21,1387372.6886186097,1387256.4768120241,1481350.7206588883,1387256.4768120241,1387256.4768120241,1387256.4768120241,1481350.7206588883
2025-08-22,1451399.189162464,1451263.7694057154,1549700.411805079,1451263.7694057154,1451263.7694057154,1451263.7694057154,1549700.411805079
2025-08-25,1597251.0629882328,1597071.8876693363,1705400.4804392587,1597071.8876693363,1597071.8876693363,1597071.8876693363,1705400.4804392587
2025-08-26,1756897.0631859982,1756669.9940670421,1875826.0809883322,1756669.9940670421,1756669.9940670421,1756669.9940670421,1875826.0809883322
2025-08-27,1864184.7127459706,1863925.4573321466,1990357.9958819493,1863925.4573321466,1863925.4573321466,1863925.4573321466,1990357.9958819493
2025-08-28,2050578.463363987,2050263.2898249777,2189337.405628003,2050263.2898249777,2050263.2898249777,2050263.2898249777,2189337.405628003
2025-08-29,2255759.912983289,2255383.185009394,2408373.09540151,2255383.185009394,2255383.185009394,2255383.185009394,2408373.09540151
2025-09-01,2273805.9922871552,2273423.8504894692,2427637.6801647223,2273423.8504894692,2273423.8504894692,2273423.8504894692,2427637.6801647223
2025-09-02,2046375.9517452784,2046062.0389597549,2184851.1324639674,2046062.0389597549,2046062.0389597549,2046062.0389597549,2184851.1324639674
2025-09-03,2251062.9882329674,2250687.669336498,2403359.025394647,2250687.669336498,2250687.669336498,2250687.669336498,2403359.025394647
2025-09-04,2125976.4659349355,2125638.6729951547,2269826.4241592316,2125638.6729951547,2125638.6729951547,2125638.6729951547,2269826.4241592316
2025-09-05,2221150.9937703945,2220784.6484722635,2371427.316403569,2220784.6484722635,2220784.6484722635,2220784.6484722635,2371427.316403569
2025-09-08,2075793.5330762386,2075470.7950163155,2216255.044612217,2075470.7950163155,2075470.7950163155,2075470.7950163155,2216255.044612217
2025-09-09,2192969.4452684666,2192611.5544348857,2341342.8963623885,2192611.5544348857,2192611.5544348857,2192611.5544348857,2341342.8963623885
2025-09-10,2165776.723029764,2165426.990012855,2312314.0700068637,2165426.990012855,2165426.990012855,2165426.990012855,2312314.0700068637
2025-09-11,2305201.2261445667,2304809.665776723,2461152.779684283,2304809.665776723,2304809.665776723,2304809.665776723,2461152.779684283
2025-09-12,2207554.632651043,2207192.366261248,2356912.9032258065,2207192.366261248,2207192.366261248,2207192.366261248,2356912.9032258065
2025-09-15,2149461.0896865423,2149116.251359636,2294896.7741935486,2149116.251359636,2149116.251359636,2149116.251359636,2294896.7741935486
2025-09-16,2364530.8019381,2364121.442697518,2524488.4008236104,2364121.442697518,2364121.442697518,2364121.442697518,2524488.4008236104
2025-09-17,2464155.0479580737,2463715.8014436867,2630839.464653398,2463715.8014436867,2463715.8014436867,2463715.8014436867,2630839.464653398
2025-09-18,2710619.9940670426,2710106.8080688226,2893946.1908030203,2710106.8080688226,2710106.8080688226,2710106.8080688226,2893946.1908030203
2025-09-19,2981805.59675665,2981211.055077623,3183442.759094029,2981211.055077623,2981211.055077623,2981211.055077623,3183442.759094029
2025-09-22,2849797.2906160387,2849242.351428854,3042521.0020590257,2849242.351428854,2849242.351428854,2849242.351428854,3042521.0020590257
2025-09-23,2898991.39721151,2898421.6997923465,3095036.7879203847,2898421.6997923465,2898421.6997923465,2898421.6997923465,3095036.7879203847
2025-09-24,2726688.4208444576,2726170.4143182044,2911099.588194921,2726170.4143182044,2726170.4143182044,2726170.4143182044,2911099.588194921
2025-09-25,2671808.56323544,2671307.020666469,2852514.1386410436,2671307.020666469,2671307.020666469,2671307.020666469,2852514.1386410436
2025-09-26,2546227.6278057946,2545763.7595174527,2718453.7405628003,2545763.7595174527,2545763.7595174527,2545763.7595174527,2718453.7405628003
2025-09-29,2609265.3020864236,2608782.5224957974,2785747.8380233357,2608782.5224957974,2608782.5224957974,2608782.5224957974,2785747.8380233357
2025-09-30,2492831.009591615,2492383.160288737,2661451.681537406,2492383.160288737,2492383.160288737,2492383.160288737,2661451.681537406
2025-10-09,2422129.931770988,2421703.2927914564,2585976.733013041,2421703.2927914564,2421703.2927914564,2421703.2927914564,2585976.733013041
2025-10-10,2255265.499851676,2254888.9202017207,2407845.2985586827,2254888.9202017207,2254888.9202017207,2254888.9202017207,2407845.2985586827
2025-10-13,2190250.1730445963,2189893.0979926824,2338440.013726836,2189893.0979926824,2189893.0979926824,2189893.0979926824,2338440.013726836
2025-10-14,2105705.5275388113,2105373.81588055,2248186.753603295,2105373.81588055,2105373.81588055,2105373.81588055,2248186.753603295
2025-10-15,2126223.6725007417,2125885.8053989913,2270090.3225806453,2125885.8053989913,2125885.8053989913,2125885.8053989913,2270090.3225806453
2025-10-16,2117571.442697518,2117236.1712647085,2260853.87783116,2117236.1712647085,2117236.1712647085,2117236.1712647085,2260853.87783116
2025-10-17,2041926.2335607635,2041613.655690695,2180100.9608785175,2041613.655690695,2041613.655690695,2041613.655690695,2180100.9608785175
2025-10-20,2035251.656283991,2034941.0807871057,2172975.7035003435,2034941.0807871057,2034941.0807871057,2034941.0807871057,2172975.7035003435
