date,open,close,high,low,volume,main_net,small_net,mid_net,large_net,super_net
2025-12-24,125.0,130.5,131.5,123.55,225136.0,58392096.0,-148856448.0,90464352.0,-1425776.0,59817872.0
2025-12-25,128.99,125.0,129.99,122.37,202680.0,-325748144.0,267186720.0,58561424.0,-80855136.0,-244893008.0
2025-12-26,124.0,121.86,124.5,119.47,160494.0,-302867249.0,321565552.0,-18698288.0,-149152400.0,-153714849.0
2025-12-29,119.99,120.75,123.0,119.0,112830.0,-94324379.0,81779776.0,12544608.0,-87217293.0,-7107086.0
2025-12-30,119.02,119.3,124.0,119.01,128938.0,-20448575.0,-59891664.0,80340224.0,27236352.0,-47684927.0
2025-12-31,120.54,116.36,121.0,115.55,133298.0,-260340511.0,235963824.0,24376704.0,-83261600.0,-177078911.0
2026-01-05,118.0,115.19,118.37,113.45,106598.0,-100272898.0,74648448.0,25624448.0,-56790782.0,-43482116.0
2026-01-06,114.41,113.92,114.78,112.08,109499.0,-32007399.0,48070288.0,-16062896.0,39299216.0,-71306615.0
2026-01-07,114.55,117.76,121.22,114.11,220863.0,417200992.0,-409983024.0,-7217952.0,238824832.0,178376160.0
2026-01-08,116.59,111.63,117.0,111.48,161417.0,-182421759.0,114746992.0,67674784.0,-72148416.0,-110273343.0
2026-01-09,110.0,112.03,113.62,108.89,120112.0,-54613565.0,53040096.0,1573456.0,-17694016.0,-36919549.0
2026-01-12,111.89,110.48,111.95,107.89,114878.0,-180340862.0,195196224.0,-14855360.0,-68276112.0,-112064750.0
2026-01-13,109.98,107.2,111.66,106.64,111091.0,-128781744.0,102193280.0,26588464.0,-81964827.0,-46816917.0
2026-01-14,109.3,107.2,109.73,105.33,119807.0,34537428.0,-50800384.0,16262960.0,4049392.0,30488036.0
2026-01-15,105.85,108.37,109.1,105.41,100897.0,89734812.0,-87579792.0,-2155024.0,35941056.0,53793756.0
2026-01-16,111.1,114.4,116.86,111.1,216227.0,409736965.0,-307028608.0,-102708336.0,212753680.0,196983285.0
2026-01-19,124.79,117.83,125.5,116.95,234184.0,388029456.0,-193880128.0,-194149328.0,138119120.0,249910336.0
2026-01-20,118.0,118.4,122.23,112.56,181366.0,132158736.0,-161173072.0,29014336.0,146570080.0,-14411344.0
2026-01-21,115.08,114.17,121.8,113.0,176916.0,-75561792.0,55951712.0,19610080.0,17101888.0,-92663680.0
2026-01-22,113.97,110.13,114.85,109.18,121304.0,-178945817.0,182071056.0,-3125216.0,-78453776.0,-100492041.0
2026-01-23,112.45,112.58,118.28,112.0,175705.0,25982816.0,35361024.0,-61343840.0,-32614656.0,58597472.0
2026-01-26,113.82,123.84,123.84,112.58,143807.0,554060560.0,-232544564.0,-321515999.0,-123642272.0,677702832.0
2026-01-27,123.0,126.6,128.0,115.6,255686.0,42655648.0,-62642368.0,19986720.0,61281344.0,-18625696.0
2026-01-28,139.26,135.3,139.26,128.2,293722.0,282148240.0,-136863904.0,-145284336.0,-59910096.0,342058336.0
2026-01-29,132.04,135.56,136.0,129.0,211978.0,-44715552.0,8086272.0,36629296.0,53674016.0,-98389568.0
2026-01-30,132.99,149.12,149.12,131.67,220993.0,355317776.0,-175341824.0,-179975952.0,-60191584.0,415509360.0
2026-02-02,151.0,158.99,164.03,151.0,285672.0,-10479376.0,92738352.0,-82258992.0,-184877408.0,174398032.0
2026-02-03,160.0,165.22,168.5,156.0,219023.0,-199744688.0,181253616.0,18491056.0,-175388576.0,-24356112.0
2026-02-04,163.19,173.51,175.36,162.74,206471.0,101120176.0,-101795488.0,675296.0,-21790192.0,122910368.0
2026-02-05,164.83,161.76,169.2,157.0,166028.0,-147313040.0,115460384.0,31852640.0,-112588176.0,-34724864.0
2026-02-06,160.65,174.77,177.94,160.65,212139.0,204512928.0,-5626272.0,-198886672.0,-18233232.0,222746160.0
2026-02-09,181.3,192.25,192.25,171.23,194696.0,349806864.0,-170485440.0,-179321440.0,87325968.0,262480896.0
2026-02-10,198.37,211.48,211.48,198.37,155659.0,119924640.0,-11531952.0,-108392688.0,-73357216.0,193281856.0
2026-02-11,208.08,218.26,225.87,208.08,203428.0,-391328960.0,288256960.0,103071984.0,-105340992.0,-285987968.0
2026-02-12,221.0,227.0,229.77,210.15,169565.0,96928384.0,-97697504.0,769136.0,24078240.0,72850144.0
2026-02-13,225.0,213.39,226.99,211.2,160419.0,-499874400.0,439680784.0,60193616.0,-162591952.0,-337282448.0
2026-02-24,228.0,234.73,234.73,221.03,119239.0,310400080.0,-117135424.0,-193264624.0,-103494112.0,413894192.0
2026-02-25,240.0,228.55,244.88,218.51,203469.0,-284535888.0,192415856.0,92120016.0,-177898976.0,-106636912.0
2026-02-26,233.0,236.2,248.88,233.0,216253.0,-310967792.0,217091584.0,93876224.0,-202823264.0,-108144528.0
2026-02-27,223.09,231.31,237.95,215.08,198344.0,-467183072.0,384841392.0,82341680.0,-101870192.0,-365312880.0
2026-03-02,227.62,242.42,254.44,224.65,214677.0,273458448.0,-49791312.0,-223667120.0,-82080016.0,355538464.0
2026-03-03,242.52,236.0,253.87,235.0,184002.0,-267079824.0,195591584.0,71488240.0,-177539856.0,-89539968.0
2026-03-04,226.87,228.27,245.77,224.0,140351.0,-385795728.0,359852016.0,25943696.0,-197391104.0,-188404624.0
2026-03-05,233.0,223.36,236.01,219.59,142939.0,-154146576.0,175187872.0,-21041312.0,-98162608.0,-55983968.0
2026-03-06,219.74,213.2,221.66,211.58,137415.0,-544930368.0,435404784.0,109525568.0,-310765968.0,-234164400.0
2026-03-09,204.78,211.91,211.91,196.12,136859.0,-208039440.0,202511680.0,5527760.0,-165749648.0,-42289792.0
2026-03-10,217.25,233.1,233.1,214.25,170543.0,689975616.0,-390661248.0,-299314368.0,64296096.0,625679520.0
2026-03-11,244.75,250.01,256.41,244.66,246696.0,175185488.0,57684576.0,-232870080.0,-279071584.0,454257072.0
2026-03-12,245.01,245.0,266.66,242.82,196167.0,-241722912.0,184794976.0,56927936.0,-22820304.0,-218902608.0
2026-03-13,243.78,241.9,254.97,241.06,159105.0,135758080.0,-90969920.0,-44788176.0,37550512.0,98207568.0
2026-03-16,242.0,233.0,245.0,228.0,152351.0,-41677024.0,213374864.0,-171697872.0,47922384.0,-89599408.0
2026-03-17,232.98,215.81,232.98,213.8,166216.0,-550588176.0,396564800.0,154023392.0,-81744672.0,-468843504.0
2026-03-18,221.0,222.93,224.36,214.67,137808.0,235274208.0,-262768480.0,27494272.0,105423008.0,129851200.0
2026-03-19,212.0,215.93,222.93,212.0,105390.0,-2101701.0,22531264.0,-20429552.0,38628064.0,-40729765.0
2026-03-20,222.3,216.88,233.6,215.08,205015.0,542376656.0,-360439008.0,-181937648.0,241881408.0,300495248.0
2026-03-23,213.54,212.1,222.64,209.6,143246.0,-26795424.0,27486016.0,-690592.0,-26465312.0,-330112.0
2026-03-24,216.34,233.31,233.31,212.79,195170.0,746779856.0,-405004960.0,-341774896.0,129810528.0,616969328.0
2026-03-25,246.0,256.64,256.64,243.0,216140.0,568953296.0,-224395584.0,-344557680.0,6954784.0,561998512.0
2026-03-26,258.44,268.88,276.5,254.07,216812.0,-342476768.0,307304288.0,35172480.0,87361728.0,-429838496.0
2026-03-27,258.0,274.26,279.66,252.25,205662.0,470904816.0,-346635296.0,-124269504.0,201316048.0,269588768.0
2026-03-30,269.28,301.69,301.69,269.28,149173.0,290965392.0,-18360272.0,-272605136.0,-59541504.0,350506896.0
2026-03-31,300.0,309.49,320.0,287.01,213010.0,-370249072.0,158154112.0,212094976.0,-32634624.0,-337614448.0
2026-04-01,320.0,308.0,320.0,291.0,182901.0,-217700720.0,227512096.0,-9811376.0,-186500896.0,-31199824.0
2026-04-02,304.9,332.49,338.8,304.9,192142.0,140772928.0,80822800.0,-221595728.0,-329950656.0,470723584.0
2026-04-03,339.13,352.5,363.63,330.0,186519.0,-150960816.0,50832128.0,100128704.0,250670368.0,-401631184.0
2026-04-07,351.5,357.1,368.0,346.0,172365.0,-284834144.0,264292704.0,20541456.0,-49756928.0,-235077216.0
2026-04-08,362.2,362.1,365.1,341.5,218783.0,-115973248.0,223275552.0,-107302304.0,-280239888.0,164266640.0
2026-04-09,354.86,398.31,398.31,353.0,214583.0,271860000.0,7848576.0,-279708560.0,-78840032.0,350700032.0
2026-04-10,392.0,384.38,396.53,370.0,248833.0,-1670641040.0,1285591152.0,385049904.0,-492931904.0,-1177709136.0
2026-04-13,372.0,369.18,375.88,360.0,230442.0,-570671200.0,570640240.0,30960.0,-228915328.0,-341755872.0
2026-04-14,369.99,364.5,376.76,360.01,174594.0,-528656752.0,502133040.0,26523712.0,-296465120.0,-232191632.0
2026-04-15,360.12,358.61,371.8,352.0,170899.0,-486080880.0,501382096.0,-15301232.0,-51185696.0,-434895184.0
2026-04-16,350.0,368.52,373.05,346.0,180799.0,11044592.0,74484464.0,-85529040.0,71761984.0,-60717392.0
2026-04-17,367.44,365.89,372.64,360.35,152231.0,-409071424.0,331667216.0,77404208.0,-93090288.0,-315981136.0
