type,date,price,return_pct,hold_days
BUY,2025-06-25,38.26,,
SELL,2025-07-07,37.32,-2.5,8
BUY,2025-07-17,43.07,,
SELL,2025-07-28,40.13,-6.8,7
BUY,2025-07-30,48.35,,
SELL,2025-09-10,87.61,81.2,30
BUY,2025-09-11,93.25,,
SELL,2025-09-30,100.84,8.1,13
BUY,2025-11-28,87.08,,
SELL,2025-12-08,88.31,1.4,6
BUY,2025-12-10,98.43,,
SELL,2025-12-31,116.36,18.2,15
BUY,2026-01-19,117.83,,
SELL,2026-03-05,223.36,89.6,27
BUY,2026-03-11,250.01,,
SELL,2026-03-19,215.93,-13.6,6
BUY,2026-03-24,233.31,,
SELL,2026-04-17,365.89,56.8,17
BUY,2026-04-22,412.00,,
SELL,2026-04-29,370.52,-10.1,5
BUY,2026-05-29,402.81,,
SELL,2026-06-16,464.10,15.2,12
BUY,2026-06-18,471.55,,
SELL(F),2026-06-26,543.00,15.2,5
